gene_symbol,gene_id,exact_2NAP_human_support,exact_2NAP_experimental_support,parent_naphthalene_support,number_of_sources,number_of_independent_references,number_of_species,number_of_tissues_or_cells,perturbation_direction_consistency,CTD_support,toxicogenomic_support,bioassay_target_support,direct_target_or_binding_support,exposure_metabolism_flag,direct_target_binding_flag,transcriptomic_response_flag,evidence_rows,in_thyroid_disease_set,in_hypertension_disease_set,branch_class,thyroid_disease_relevance_score,thyroid_disease_rank,hypertension_disease_relevance_score,hypertension_disease_rank,thyroid_disease_id,hypertension_disease_id,branch_evidence_note
LRG1,116844,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1,True,True,shared,0.0014783194187388072,2086,0.01677748814769502,1180,MONDO_0003240,HP_0000822,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
LYPLA1,10434,False,False,True,1,1,1,0,consistent:inactive,False,True,True,True,False,True,False,1,True,True,shared,0.0014783194187388072,1996,0.03455571641301962,533,MONDO_0003240,HP_0000822,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
MAPK1,5594,False,False,True,1,1,1,0,consistent:inactive,False,True,True,True,False,True,False,1,True,True,shared,0.0021045519502878854,1873,0.04141427121032077,425,MONDO_0003240,HP_0000822,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
MAPT,4137,False,False,True,1,1,1,0,consistent:inactive,False,True,True,True,False,True,False,1,True,True,shared,0.27802018903109815,149,0.09798968834596045,130,MONDO_0003240,HP_0000822,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
MBD2,8932,False,False,True,1,1,1,0,consistent:inactive,False,True,True,True,False,True,False,1,True,True,shared,0.0036957985468470188,1409,0.008910980940731143,1989,MONDO_0003240,HP_0000822,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
MCL1,4170,False,False,True,1,1,1,0,consistent:inactive,False,True,True,True,False,True,False,1,True,True,shared,0.0025870589827929123,1631,0.010553209268203207,1730,MONDO_0003240,HP_0000822,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
MDM2,4193,False,False,True,1,1,1,0,consistent:inactive,False,True,True,True,False,True,False,1,True,True,shared,0.008490879268496178,906,0.022268623499743723,883,MONDO_0003240,HP_0000822,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
MDM4,4194,False,False,True,1,1,1,0,consistent:inactive,False,True,True,True,False,True,False,1,True,True,shared,0.0014783194187388072,1972,0.00406537840153172,3220,MONDO_0003240,HP_0000822,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
MEN1,4221,False,False,True,1,2,1,0,consistent:inactive,False,True,True,True,False,True,False,2,True,True,shared,0.017937032371024914,651,0.008419645056141983,2088,MONDO_0003240,HP_0000822,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
MITF,4286,True,False,True,1,2,1,0,consistent:inactive,False,True,True,True,False,True,False,2,True,True,shared,0.0014783194187388072,2051,0.009239496367117545,1946,MONDO_0003240,HP_0000822,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
MMEL1,79258,False,False,True,1,1,1,0,consistent:decreases,True,False,False,False,False,False,False,1,True,True,shared,0.09518892672852804,302,0.003245527090556156,3832,MONDO_0003240,HP_0000822,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
MMP14,4323,False,False,True,1,1,1,0,consistent:inactive,False,True,True,True,False,True,False,1,True,True,shared,0.0044349582562164215,1254,0.006543770167661577,2499,MONDO_0003240,HP_0000822,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
MMP9,4318,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1,True,True,shared,0.014253119694813129,690,0.06786119042109727,237,MONDO_0003240,HP_0000822,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
MUC1,4582,False,False,True,1,1,1,0,consistent:decreases,True,False,False,False,False,False,False,1,True,True,shared,0.002771848910135263,1585,0.006191242184848408,2546,MONDO_0003240,HP_0000822,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
MYC,4609,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1,True,True,shared,0.2875360709128665,133,0.020140341929223066,983,MONDO_0003240,HP_0000822,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
NCOA3,8202,False,False,True,1,1,1,0,consistent:inactive,False,True,True,True,False,True,False,1,True,True,shared,0.007206807166351686,1024,0.0036957985468470188,3732,MONDO_0003240,HP_0000822,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
NFE2L2,4780,True,False,True,2,8,2,0,mixed,True,True,True,True,False,True,False,26,True,True,shared,0.010358078823219884,806,0.030542794060077236,622,MONDO_0003240,HP_0000822,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
NFKB1,4790,True,False,True,1,3,1,0,consistent:inactive,False,True,True,True,False,True,False,10,True,True,shared,0.2991520579797809,112,0.07303266684253373,216,MONDO_0003240,HP_0000822,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
NGF,4803,False,False,True,1,2,1,0,mixed,True,False,False,False,False,False,False,2,True,True,shared,0.009393487973236171,850,0.02964877556458995,642,MONDO_0003240,HP_0000822,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
NKD1,85407,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1,True,True,shared,0.0036957985468470188,1398,0.0036957985468470188,3354,MONDO_0003240,HP_0000822,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
NLRP3,114548,False,False,True,1,1,1,0,consistent:inactive,False,True,True,True,False,True,False,1,True,True,shared,0.017663645939628984,654,0.10004092912673121,126,MONDO_0003240,HP_0000822,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
NOD2,64127,False,False,True,1,1,1,0,consistent:inactive,False,True,True,True,False,True,False,1,True,True,shared,0.0014783194187388072,1930,0.0022174791281082107,4428,MONDO_0003240,HP_0000822,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
NOS3,4846,False,False,True,1,1,1,0,mixed,True,False,False,False,False,False,False,6,True,True,shared,0.0014783194187388072,1997,0.20679364253731547,94,MONDO_0003240,HP_0000822,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
NQO1,1728,False,False,True,1,2,1,0,consistent:increases,True,False,False,False,False,True,False,2,True,True,shared,0.0029566388374776143,1542,0.020933694214604268,947,MONDO_0003240,HP_0000822,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
NR1H4,9971,True,False,True,1,6,1,0,consistent:inactive,False,True,True,True,False,True,False,20,True,True,shared,0.008869916512432843,883,0.028762595501308594,667,MONDO_0003240,HP_0000822,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
NR3C1,2908,True,False,True,1,6,1,0,mixed,False,True,True,True,False,True,False,24,True,True,shared,0.3208595501903224,88,0.3761461599214754,43,MONDO_0003240,HP_0000822,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
NR5A2,2494,False,False,True,1,1,1,0,consistent:inactive,False,True,True,True,False,True,False,1,True,False,thyroid-specific,0.00406537840153172,1301,,,MONDO_0003240,,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
NRG1,3084,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1,True,True,shared,0.419283371970387,30,0.01773427675630206,1128,MONDO_0003240,HP_0000822,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
NTSR1,4923,False,False,True,1,1,1,0,consistent:inactive,False,True,True,True,False,True,False,1,True,False,thyroid-specific,0.0022174791281082107,1731,,,MONDO_0003240,,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
OPRM1,4988,False,False,True,1,2,1,0,consistent:inactive,False,True,True,True,False,True,False,2,True,True,shared,0.0036957985468470183,1470,0.015871894240595145,1243,MONDO_0003240,HP_0000822,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
PAPPA,5069,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1,True,True,shared,0.0036957985468470188,1314,0.03085121659025141,613,MONDO_0003240,HP_0000822,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
PDIA3,2923,False,False,True,1,1,1,0,consistent:affects,True,False,False,False,True,False,False,1,True,True,shared,0.007391597093694037,1019,0.07447034071896741,205,MONDO_0003240,HP_0000822,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
PF4,5196,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1,True,True,shared,0.004866134753348573,1172,0.005540275895385226,2684,MONDO_0003240,HP_0000822,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
PGF,5228,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1,True,True,shared,0.010363635091783513,804,0.04876095357941475,347,MONDO_0003240,HP_0000822,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
PGR,5241,True,False,True,1,4,1,0,mixed,False,True,True,True,False,True,False,16,True,True,shared,0.010957726263906167,787,0.26300556233181893,87,MONDO_0003240,HP_0000822,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
PIN1,5300,False,False,True,1,1,1,0,consistent:inactive,False,True,True,True,False,True,False,1,True,True,shared,0.005913277674955229,1073,0.013401979570831387,1423,MONDO_0003240,HP_0000822,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
PKM,5315,False,False,True,1,1,1,0,consistent:affects;decreases,True,False,False,False,False,False,False,1,True,True,shared,0.014613803420657585,686,0.019636598967964172,1021,MONDO_0003240,HP_0000822,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
PLA1A,51365,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1,True,False,thyroid-specific,0.033262186921623166,471,,,MONDO_0003240,,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
PLAT,5327,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1,True,True,shared,0.0025870589827929123,1622,0.037329194410495405,481,MONDO_0003240,HP_0000822,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
PON1,5444,False,False,True,1,2,2,0,consistent:decreases,True,False,False,False,False,False,False,2,True,True,shared,0.0042501683288740716,1286,0.05023713873433479,332,MONDO_0003240,HP_0000822,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
POR,5447,False,False,True,1,2,1,0,consistent:decreases,True,False,False,False,False,False,False,2,True,True,shared,0.0022174791281082107,1801,0.009141968349909081,1957,MONDO_0003240,HP_0000822,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
PPARA,5465,False,False,True,2,2,2,0,mixed,True,True,True,True,False,True,False,3,True,True,shared,0.005790084390060328,1092,0.094913785789096,138,MONDO_0003240,HP_0000822,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
PPARG,5468,True,False,True,1,6,1,0,consistent:inactive,False,True,True,True,False,True,False,22,True,True,shared,0.03645794911955376,444,0.3374429978611282,74,MONDO_0003240,HP_0000822,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
PRDX1,5052,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1,True,False,thyroid-specific,0.006652437384324632,1047,,,MONDO_0003240,,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
PRDX6,9588,False,False,True,1,1,1,0,consistent:affects,True,False,False,False,True,False,False,1,True,True,shared,0.006652437384324632,1038,0.0073915970936940375,2307,MONDO_0003240,HP_0000822,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
PRKAR1A,615074,False,False,True,1,1,1,0,consistent:inactive,False,True,True,True,False,True,False,1,True,False,thyroid-specific,0.0076379836634838365,960,,,MONDO_0003240,,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
PRTN3,5657,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1,True,True,shared,0.010699609392019723,794,0.013401237564595195,1424,MONDO_0003240,HP_0000822,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
PSIP1,11168,False,False,True,1,1,1,0,consistent:inactive,False,True,True,True,False,True,False,1,True,False,thyroid-specific,0.0022174791281082107,1700,,,MONDO_0003240,,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
PTS,5805,False,False,True,1,1,1,0,consistent:decreases,True,False,False,False,False,False,False,1,True,False,thyroid-specific,0.0022174791281082107,1656,,,MONDO_0003240,,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
PTX3,5806,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1,True,True,shared,0.010409832573619101,801,0.05213266508105274,320,MONDO_0003240,HP_0000822,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
RAF1,5894,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1,True,True,shared,0.0018478992734235094,1882,0.004565953782488,2981,MONDO_0003240,HP_0000822,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
RAPGEF3,10411,False,False,True,1,4,1,0,consistent:inactive,False,True,True,True,False,True,False,6,True,True,shared,0.3245740777083813,82,0.0049862356353777455,2879,MONDO_0003240,HP_0000822,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
RBBP8,5932,False,False,True,1,1,1,0,consistent:inactive,False,True,True,True,False,True,False,1,True,False,thyroid-specific,0.0022174791281082107,1806,,,MONDO_0003240,,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
RGS4,5999,False,False,True,1,1,1,0,consistent:inactive,False,True,True,True,False,True,False,1,True,True,shared,0.0022174791281082107,1869,0.002751316695986113,4078,MONDO_0003240,HP_0000822,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
RORC,6097,False,False,True,1,1,1,0,consistent:inactive,False,True,True,True,False,True,False,1,True,True,shared,0.00794596687572109,937,0.004434958256216422,2998,MONDO_0003240,HP_0000822,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
S100A4,6275,False,False,True,1,1,1,0,consistent:inactive,False,True,True,True,False,True,False,1,True,False,thyroid-specific,0.0022174791281082107,1840,,,MONDO_0003240,,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
S100A6,6277,False,False,True,1,1,1,0,consistent:affects,True,False,False,False,False,False,False,1,True,True,shared,0.0044349582562164215,1256,0.06068301603298607,266,MONDO_0003240,HP_0000822,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
S100A8,6279,False,False,True,1,3,1,0,mixed,True,False,False,False,False,False,False,4,True,True,shared,0.0025870589827929123,1625,0.015432597991291862,1273,MONDO_0003240,HP_0000822,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
SCGB3A2,117156,False,False,True,1,1,1,0,consistent:decreases,True,False,False,False,False,False,False,1,True,False,thyroid-specific,0.0014783194187388072,1923,,,MONDO_0003240,,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
SDHA,6389,False,False,True,1,1,1,0,consistent:decreases,True,False,False,False,False,False,False,1,True,False,thyroid-specific,0.0022174791281082107,1821,,,MONDO_0003240,,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
SERPINA1,5265,False,False,True,1,2,2,0,consistent:affects,True,False,False,False,True,False,False,2,True,True,shared,0.012478453149145974,731,0.020686744164285474,962,MONDO_0003240,HP_0000822,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
SERPINE1,5054,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1,True,True,shared,0.009218964152968395,862,0.049813919945663365,336,MONDO_0003240,HP_0000822,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
SIAE,54414,False,False,True,1,1,1,0,consistent:inactive,False,True,True,True,False,True,False,1,True,False,thyroid-specific,0.0073915970936940375,972,,,MONDO_0003240,,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
SLC45A3,85414,False,False,True,1,1,1,0,consistent:decreases,True,False,False,False,False,False,False,1,True,False,thyroid-specific,0.0022174791281082107,1666,,,MONDO_0003240,,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
SLC7A11,23657,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1,True,True,shared,0.0073915970936940375,1012,0.01118059932203484,1641,MONDO_0003240,HP_0000822,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
SLPI,6590,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1,True,True,shared,0.009054706439775195,866,0.011456975495225754,1618,MONDO_0003240,HP_0000822,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
SMAD2,4087,True,False,True,1,4,1,0,consistent:inactive,False,True,True,True,False,True,False,16,True,True,shared,0.0073915970936940375,1016,0.01334608646702293,1428,MONDO_0003240,HP_0000822,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
SNCA,6622,False,False,True,1,1,1,0,consistent:inactive,False,True,True,True,False,True,False,1,True,True,shared,0.0014783194187388072,1920,0.002204749155335738,4539,MONDO_0003240,HP_0000822,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
SOX17,64321,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1,True,True,shared,0.0022174791281082107,1767,0.00778314641751833,2211,MONDO_0003240,HP_0000822,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
SOX2,6657,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1,True,True,shared,0.005358907892928176,1117,0.009424286294459896,1907,MONDO_0003240,HP_0000822,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
SPHK1,8877,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1,True,True,shared,0.0022174791281082107,1850,0.04936401679277076,343,MONDO_0003240,HP_0000822,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
STAT5B,6777,False,False,True,1,1,1,0,consistent:decreases,True,False,False,False,False,True,False,1,True,False,thyroid-specific,0.003675266332697868,1476,,,MONDO_0003240,,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
SYP,6855,False,False,True,1,1,2,0,mixed,True,False,False,False,False,False,False,2,True,True,shared,0.004723846509294965,1191,0.0022174791281082107,4204,MONDO_0003240,HP_0000822,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
TAAR1,134864,False,False,True,1,2,1,0,consistent:inactive,False,True,True,True,False,True,False,2,True,True,shared,0.004804538110901123,1179,0.0036957985468470188,3559,MONDO_0003240,HP_0000822,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
TCF19,6941,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1,True,False,thyroid-specific,0.010348235931171651,807,,,MONDO_0003240,,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
TCF7,6932,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1,True,False,thyroid-specific,0.31653301403719747,96,,,MONDO_0003240,,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
TGM2,7052,False,False,True,1,2,2,0,mixed,True,False,False,False,True,False,False,2,True,True,shared,0.019428885079199966,631,0.03750453957234075,479,MONDO_0003240,HP_0000822,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
THRB,7068,True,False,True,2,6,2,0,mixed,True,True,True,True,False,True,False,10,True,True,shared,0.011997595746015055,746,0.0036957985468470188,3372,MONDO_0003240,HP_0000822,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
THRSP,7069,False,False,True,1,1,1,0,consistent:decreases,True,False,False,False,False,False,False,1,True,False,thyroid-specific,0.0014783194187388072,2056,,,MONDO_0003240,,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
TIMP1,7076,False,False,True,1,2,2,0,consistent:increases,True,False,False,False,False,False,False,2,True,True,shared,0.0044349582562164215,1228,0.03549950329135438,514,MONDO_0003240,HP_0000822,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
TIMP3,7078,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1,True,True,shared,0.00597206708417791,1070,0.01966115017022758,1020,MONDO_0003240,HP_0000822,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
TLR9,54106,False,False,True,1,1,1,0,consistent:inactive,False,True,True,True,False,True,False,1,True,True,shared,0.011087395640541052,779,0.030087660897100698,635,MONDO_0003240,HP_0000822,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
TNC,3371,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,2,True,True,shared,0.002771848910135263,1587,0.006422229594026347,2522,MONDO_0003240,HP_0000822,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
TNF,7124,False,False,True,2,3,2,0,mixed,True,True,True,True,False,True,False,3,True,True,shared,0.013626440735108538,705,0.10862489614014692,109,MONDO_0003240,HP_0000822,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
TNFRSF10B,8795,False,False,True,1,1,1,0,consistent:inactive,False,True,True,True,False,True,False,1,True,True,shared,0.0022174791281082107,1761,0.0073915970936940375,2380,MONDO_0003240,HP_0000822,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
TNNI3,7137,False,False,True,1,2,1,0,consistent:inactive,False,True,True,True,False,True,False,2,True,True,shared,0.0029361066233284643,1550,0.0862451088601292,161,MONDO_0003240,HP_0000822,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
TP53,7157,True,False,True,2,13,1,0,mixed,True,True,True,True,False,True,False,56,True,True,shared,0.0180805057492221,650,0.039653326718436216,451,MONDO_0003240,HP_0000822,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
TRHR,7201,True,False,True,1,6,1,0,consistent:inactive,False,True,True,True,False,True,False,18,True,True,shared,0.0036957985468470188,1424,0.009501282097519208,1895,MONDO_0003240,HP_0000822,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
TSG101,7251,False,False,True,1,1,1,0,consistent:inactive,False,True,True,True,False,True,False,1,True,True,shared,0.005543697820270526,1106,0.0014783194187388072,4676,MONDO_0003240,HP_0000822,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
TSHB,7252,False,False,True,1,1,1,0,consistent:affects;decreases,True,False,False,False,False,False,False,1,True,False,thyroid-specific,0.005504070646962668,1109,,,MONDO_0003240,,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
TSHR,7253,True,False,True,1,7,1,0,mixed,False,True,True,True,False,True,False,22,True,True,shared,0.7055254222897115,1,0.014784631442378515,1313,MONDO_0003240,HP_0000822,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
TTR,7276,False,False,True,1,1,1,0,consistent:affects,True,False,False,False,True,False,False,1,True,True,shared,0.013047078399068684,712,0.0503738593700932,330,MONDO_0003240,HP_0000822,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
VCP,7415,False,False,True,1,1,1,0,consistent:affects,True,False,False,False,True,False,False,1,True,True,shared,0.0044349582562164215,1240,0.0014783194187388072,4752,MONDO_0003240,HP_0000822,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
VDR,7421,True,False,True,1,7,1,0,consistent:inactive,False,True,True,True,False,True,False,22,True,True,shared,0.014079668378855109,693,0.358345627495405,72,MONDO_0003240,HP_0000822,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
WDR1,9948,False,False,True,1,1,1,0,consistent:decreases,True,False,False,False,False,False,False,1,True,False,thyroid-specific,0.0044349582562164215,1246,,,MONDO_0003240,,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
WRN,7486,False,False,True,1,1,1,0,consistent:inactive,False,True,True,True,False,True,False,1,True,True,shared,0.0022174791281082107,1670,0.002771848910135263,4059,MONDO_0003240,HP_0000822,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
