gene_symbol,gene_id,exact_2NAP_human_support,exact_2NAP_experimental_support,parent_naphthalene_support,number_of_sources,number_of_independent_references,number_of_species,number_of_tissues_or_cells,perturbation_direction_consistency,CTD_support,toxicogenomic_support,bioassay_target_support,direct_target_or_binding_support,exposure_metabolism_flag,direct_target_binding_flag,transcriptomic_response_flag,evidence_rows,in_thyroid_disease_set,in_hypertension_disease_set,branch_class,thyroid_disease_relevance_score,thyroid_disease_rank,hypertension_disease_relevance_score,hypertension_disease_rank,thyroid_disease_id,hypertension_disease_id,branch_evidence_note
COL1A1,1277,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1,True,True,shared,0.00406537840153172,1299,0.010180358874788423,1789,MONDO_0003240,HP_0000822,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
CREB1,1385,True,False,True,1,4,1,0,mixed,False,True,True,True,False,True,False,32,True,True,shared,0.010502227537290276,798,0.017448358227613252,1142,MONDO_0003240,HP_0000822,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
CXCL10,3627,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1,True,True,shared,0.015060038315697539,677,0.019930089422403707,1001,MONDO_0003240,HP_0000822,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
CXCL8,3576,False,False,True,2,2,1,0,mixed,True,True,True,True,False,True,False,3,True,True,shared,0.027335849498242585,521,0.047987022118989885,351,MONDO_0003240,HP_0000822,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
CXCR6,10663,False,False,True,1,1,1,0,consistent:inactive,False,True,True,True,False,True,False,1,True,True,shared,0.030620716602562787,489,0.027759553529650934,697,MONDO_0003240,HP_0000822,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
CYCS,54205,False,False,True,1,1,1,0,consistent:increases,True,False,False,False,False,False,False,1,True,True,shared,0.002771848910135263,1572,0.021011422559149926,945,MONDO_0003240,HP_0000822,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
CYP19A1,1588,True,False,True,2,4,2,0,mixed,True,True,True,True,False,True,False,13,True,True,shared,0.0025870589827929123,1634,0.032690372180882686,573,MONDO_0003240,HP_0000822,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
CYP1A1,1543,True,False,True,1,6,1,0,mixed,True,False,False,False,True,True,False,8,True,True,shared,0.0037573951892944687,1311,0.032721047162329854,572,MONDO_0003240,HP_0000822,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
CYP2B6,1555,True,False,False,1,1,1,0,consistent:increases,True,False,False,False,True,False,False,1,True,True,shared,0.0022174791281082107,1723,0.011071665456953976,1664,MONDO_0003240,HP_0000822,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
CYP2C19,1557,True,False,True,2,2,1,0,mixed,True,True,True,True,False,True,False,9,True,True,shared,0.0022174791281082107,1752,0.08682710744780149,159,MONDO_0003240,HP_0000822,Branch membership is based on gene symbol membership in the independent disease lists; evidence-layer fields are inherited from the expanded molecular universe.
