run_id,size_scale,size_x,size_y,size_z,exhaustiveness,seed,it1t_affinity_kcal_mol,it1t_rmsd_A,qc_pass_lt2A,resumed_from_cache,pose
1,0.7,17.092488297168224,17.092488297168224,17.092488297168224,32,590836,-5.807,2.2141894485112097,False,True,D:\Codex\projectless-workspaces\2026-08-22\non\work\whynot17\analysis\dinp_crc_structural_pipeline\outputs\stage2_refine_and_rescue\cxcr4_refinement\it1t_s0.70_e32_seed590836.pdbqt
2,0.7,17.092488297168224,17.092488297168224,17.092488297168224,32,3001,-5.766,1.595346982555775,True,True,D:\Codex\projectless-workspaces\2026-08-22\non\work\whynot17\analysis\dinp_crc_structural_pipeline\outputs\stage2_refine_and_rescue\cxcr4_refinement\it1t_s0.70_e32_seed3001.pdbqt
3,0.7,17.092488297168224,17.092488297168224,17.092488297168224,32,3002,-6.204,2.575573197595206,False,True,D:\Codex\projectless-workspaces\2026-08-22\non\work\whynot17\analysis\dinp_crc_structural_pipeline\outputs\stage2_refine_and_rescue\cxcr4_refinement\it1t_s0.70_e32_seed3002.pdbqt
4,0.7,17.092488297168224,17.092488297168224,17.092488297168224,64,590836,-5.807,2.2141894485112097,False,True,D:\Codex\projectless-workspaces\2026-08-22\non\work\whynot17\analysis\dinp_crc_structural_pipeline\outputs\stage2_refine_and_rescue\cxcr4_refinement\it1t_s0.70_e64_seed590836.pdbqt
5,0.7,17.092488297168224,17.092488297168224,17.092488297168224,64,3001,-5.997,2.1976574348923004,False,True,D:\Codex\projectless-workspaces\2026-08-22\non\work\whynot17\analysis\dinp_crc_structural_pipeline\outputs\stage2_refine_and_rescue\cxcr4_refinement\it1t_s0.70_e64_seed3001.pdbqt
6,0.7,17.092488297168224,17.092488297168224,17.092488297168224,64,3002,-6.204,2.575573197595206,False,True,D:\Codex\projectless-workspaces\2026-08-22\non\work\whynot17\analysis\dinp_crc_structural_pipeline\outputs\stage2_refine_and_rescue\cxcr4_refinement\it1t_s0.70_e64_seed3002.pdbqt
7,0.7,17.092488297168224,17.092488297168224,17.092488297168224,128,590836,-5.9,2.1945173134623546,False,True,D:\Codex\projectless-workspaces\2026-08-22\non\work\whynot17\analysis\dinp_crc_structural_pipeline\outputs\stage2_refine_and_rescue\cxcr4_refinement\it1t_s0.70_e128_seed590836.pdbqt
8,0.7,17.092488297168224,17.092488297168224,17.092488297168224,128,3001,-5.997,2.1976574348923004,False,True,D:\Codex\projectless-workspaces\2026-08-22\non\work\whynot17\analysis\dinp_crc_structural_pipeline\outputs\stage2_refine_and_rescue\cxcr4_refinement\it1t_s0.70_e128_seed3001.pdbqt
9,0.7,17.092488297168224,17.092488297168224,17.092488297168224,128,3002,-6.204,2.575573197595206,False,True,D:\Codex\projectless-workspaces\2026-08-22\non\work\whynot17\analysis\dinp_crc_structural_pipeline\outputs\stage2_refine_and_rescue\cxcr4_refinement\it1t_s0.70_e128_seed3002.pdbqt
10,0.8,19.534272339620827,19.534272339620827,19.534272339620827,32,590836,-6.417,2.048282723691189,False,True,D:\Codex\projectless-workspaces\2026-08-22\non\work\whynot17\analysis\dinp_crc_structural_pipeline\outputs\stage2_refine_and_rescue\cxcr4_refinement\it1t_s0.80_e32_seed590836.pdbqt
11,0.8,19.534272339620827,19.534272339620827,19.534272339620827,32,3001,-6.698,2.69950999141045,False,True,D:\Codex\projectless-workspaces\2026-08-22\non\work\whynot17\analysis\dinp_crc_structural_pipeline\outputs\stage2_refine_and_rescue\cxcr4_refinement\it1t_s0.80_e32_seed3001.pdbqt
12,0.8,19.534272339620827,19.534272339620827,19.534272339620827,32,3002,-6.397,2.6802059543945336,False,True,D:\Codex\projectless-workspaces\2026-08-22\non\work\whynot17\analysis\dinp_crc_structural_pipeline\outputs\stage2_refine_and_rescue\cxcr4_refinement\it1t_s0.80_e32_seed3002.pdbqt
13,0.8,19.534272339620827,19.534272339620827,19.534272339620827,64,590836,-6.337,2.6504511328415474,False,True,D:\Codex\projectless-workspaces\2026-08-22\non\work\whynot17\analysis\dinp_crc_structural_pipeline\outputs\stage2_refine_and_rescue\cxcr4_refinement\it1t_s0.80_e64_seed590836.pdbqt
14,0.8,19.534272339620827,19.534272339620827,19.534272339620827,64,3001,-6.469,2.660877563123111,False,True,D:\Codex\projectless-workspaces\2026-08-22\non\work\whynot17\analysis\dinp_crc_structural_pipeline\outputs\stage2_refine_and_rescue\cxcr4_refinement\it1t_s0.80_e64_seed3001.pdbqt
15,0.8,19.534272339620827,19.534272339620827,19.534272339620827,64,3002,-6.548,2.695091734975311,False,True,D:\Codex\projectless-workspaces\2026-08-22\non\work\whynot17\analysis\dinp_crc_structural_pipeline\outputs\stage2_refine_and_rescue\cxcr4_refinement\it1t_s0.80_e64_seed3002.pdbqt
16,0.8,19.534272339620827,19.534272339620827,19.534272339620827,128,590836,-6.491,2.6814546406573854,False,True,D:\Codex\projectless-workspaces\2026-08-22\non\work\whynot17\analysis\dinp_crc_structural_pipeline\outputs\stage2_refine_and_rescue\cxcr4_refinement\it1t_s0.80_e128_seed590836.pdbqt
17,0.8,19.534272339620827,19.534272339620827,19.534272339620827,128,3001,-6.475,2.691047104897237,False,True,D:\Codex\projectless-workspaces\2026-08-22\non\work\whynot17\analysis\dinp_crc_structural_pipeline\outputs\stage2_refine_and_rescue\cxcr4_refinement\it1t_s0.80_e128_seed3001.pdbqt
18,0.8,19.534272339620827,19.534272339620827,19.534272339620827,128,3002,-6.548,2.695091734975311,False,True,D:\Codex\projectless-workspaces\2026-08-22\non\work\whynot17\analysis\dinp_crc_structural_pipeline\outputs\stage2_refine_and_rescue\cxcr4_refinement\it1t_s0.80_e128_seed3002.pdbqt
19,0.9,21.97605638207343,21.97605638207343,21.97605638207343,32,590836,-6.409,2.6009707619423907,False,True,D:\Codex\projectless-workspaces\2026-08-22\non\work\whynot17\analysis\dinp_crc_structural_pipeline\outputs\stage2_refine_and_rescue\cxcr4_refinement\it1t_s0.90_e32_seed590836.pdbqt
20,0.9,21.97605638207343,21.97605638207343,21.97605638207343,32,3001,-6.71,1.8695263258693395,True,True,D:\Codex\projectless-workspaces\2026-08-22\non\work\whynot17\analysis\dinp_crc_structural_pipeline\outputs\stage2_refine_and_rescue\cxcr4_refinement\it1t_s0.90_e32_seed3001.pdbqt
21,0.9,21.97605638207343,21.97605638207343,21.97605638207343,32,3002,-6.413,2.692264371814594,False,True,D:\Codex\projectless-workspaces\2026-08-22\non\work\whynot17\analysis\dinp_crc_structural_pipeline\outputs\stage2_refine_and_rescue\cxcr4_refinement\it1t_s0.90_e32_seed3002.pdbqt
22,0.9,21.97605638207343,21.97605638207343,21.97605638207343,64,590836,-6.409,2.6009707619423907,False,True,D:\Codex\projectless-workspaces\2026-08-22\non\work\whynot17\analysis\dinp_crc_structural_pipeline\outputs\stage2_refine_and_rescue\cxcr4_refinement\it1t_s0.90_e64_seed590836.pdbqt
23,0.9,21.97605638207343,21.97605638207343,21.97605638207343,64,3001,-6.385,2.634094068437427,False,True,D:\Codex\projectless-workspaces\2026-08-22\non\work\whynot17\analysis\dinp_crc_structural_pipeline\outputs\stage2_refine_and_rescue\cxcr4_refinement\it1t_s0.90_e64_seed3001.pdbqt
