donor_id,gene_symbol,tumor_mean,normal_mean,tumor_minus_normal
C106,ABCC4,0.009028825908899307,0.0,0.009028825908899307
C107,ABCC4,0.045610979199409485,0.0,0.045610979199409485
C109,ABCC4,0.048157334327697754,0.0,0.048157334327697754
C110,ABCC4,0.02879694662988186,0.045333076268434525,-0.016536129638552666
C111,ABCC4,0.04134979844093323,0.0,0.04134979844093323
C112,ABCC4,0.04371606931090355,0.06400851160287857,-0.02029244229197502
C113,ABCC4,0.02846784144639969,0.0,0.02846784144639969
C114,ABCC4,0.05644438415765762,0.01608402468264103,0.040360359475016594
C115,ABCC4,0.054336998611688614,0.09625851362943649,-0.04192151501774788
C116,ABCC4,0.07201813161373138,0.10115707665681839,-0.029138945043087006
C119,ABCC4,0.06757618486881256,0.0,0.06757618486881256
C122,ABCC4,0.014746753498911858,0.07821010798215866,-0.0634633544832468
C123,ABCC4,0.07581521570682526,0.116613008081913,-0.04079779237508774
C124,ABCC4,0.033152248710393906,0.12975595891475677,-0.09660371020436287
C125,ABCC4,0.06913655251264572,0.09522182494401932,-0.026085272431373596
C126,ABCC4,0.08842796087265015,0.06211161985993385,0.026316341012716293
C129,ABCC4,0.103195920586586,0.046049024909734726,0.05714689567685127
C130,ABCC4,0.031230168417096138,0.1194094568490982,-0.08817928843200207
C132,ABCC4,0.04572377726435661,0.0,0.04572377726435661
C133,ABCC4,0.041659820824861526,0.0,0.041659820824861526
C134,ABCC4,0.02853434719145298,0.07933100312948227,-0.05079665593802929
C135,ABCC4,0.07794659584760666,0.34180861711502075,-0.2638620212674141
C136,ABCC4,0.06474091857671738,0.20404084026813507,-0.1392999216914177
C137,ABCC4,0.02132520079612732,0.25119102001190186,-0.22986581921577454
C138,ABCC4,0.0808023139834404,0.0,0.0808023139834404
C139,ABCC4,0.061628054827451706,0.08586370199918747,-0.024235647171735764
C140,ABCC4,0.07214880734682083,0.0,0.07214880734682083
C142,ABCC4,0.11006433516740799,0.2413608431816101,-0.13129650801420212
C143,ABCC4,0.04496383294463158,0.0,0.04496383294463158
C151,ABCC4,0.0,0.09953150153160095,-0.09953150153160095
C155,ABCC4,0.14216303825378418,0.0,0.14216303825378418
C157,ABCC4,0.34064847230911255,0.2993936538696289,0.04125481843948364
C162,ABCC4,0.07235554605722427,0.3281156122684479,-0.2557600662112236
C165,ABCC4,0.055323027074337006,0.08244112133979797,-0.027118094265460968
C170,ABCC4,0.10273309797048569,0.06627631187438965,0.03645678609609604
C106,ADAMTS1,0.0,0.0,0.0
C107,ADAMTS1,0.0,0.0,0.0
C109,ADAMTS1,0.0,0.0,0.0
C110,ADAMTS1,0.0,0.0,0.0
C111,ADAMTS1,0.0,0.0,0.0
C112,ADAMTS1,0.0012661006767302752,0.0,0.0012661006767302752
C113,ADAMTS1,0.0,0.0,0.0
C114,ADAMTS1,0.0,0.0,0.0
C115,ADAMTS1,0.0,0.0,0.0
C116,ADAMTS1,0.0,0.0,0.0
C119,ADAMTS1,0.0,0.0,0.0
C122,ADAMTS1,0.0,0.0,0.0
C123,ADAMTS1,0.0007351630483753979,0.0,0.0007351630483753979
C124,ADAMTS1,0.0039255754090845585,0.0,0.0039255754090845585
C125,ADAMTS1,0.002921184292063117,0.0,0.002921184292063117
C126,ADAMTS1,0.0,0.0,0.0
C129,ADAMTS1,0.0,0.0,0.0
C130,ADAMTS1,0.0,0.0,0.0
C132,ADAMTS1,0.0,0.0,0.0
C133,ADAMTS1,0.0,0.0,0.0
C134,ADAMTS1,0.0,0.005069250240921974,-0.005069250240921974
C135,ADAMTS1,0.0024015300441533327,0.0,0.0024015300441533327
C136,ADAMTS1,0.0,0.0,0.0
C137,ADAMTS1,0.0,0.0,0.0
C138,ADAMTS1,0.0,0.0,0.0
