menopause_status,female_n,oa_cases,oa_controls,n_contributing_cycles,contributing_cycles,age_min,age_max
pre_menopause,2558,81,2477,8,2003-2004;2005-2006;2007-2008;2009-2010;2011-2012;2013-2014;2015-2016;2017-2018,20.0,76.0
post_menopause,2086,670,1416,8,2003-2004;2005-2006;2007-2008;2009-2010;2011-2012;2013-2014;2015-2016;2017-2018,31.0,85.0
