branch_class,gene_symbol,string_id,string_preferred_name,mapped_to_STRING,degree,weighted_degree,degree_centrality,degree_rank,betweenness_centrality,betweenness_rank,closeness_centrality,pagerank,pagerank_rank,core_number,network_central_top10pct_any,network_top10pct_n,network_nodes_total,accessed_at_utc,source_database
thyroid-branch,COL1A1,9606.ENSP00000225964,COL1A1,True,7,5.678,0.03211009174311927,86,0.016082996987507942,20,0.29290188963439684,0.004814329067617125,74,5,True,22,219,2026-08-30T07:50:54.272243+00:00,STRING + NetworkX
thyroid-branch,CREB1,9606.ENSP00000387699,CREB1,True,19,16.347,0.0871559633027523,33,0.007171892332823057,45,0.3755871120670734,0.0076334364748950854,34,12,False,22,219,2026-08-30T07:50:54.272243+00:00,STRING + NetworkX
thyroid-branch,CXCL10,9606.ENSP00000305651,CXCL10,True,12,10.895,0.05504587155963303,59,0.0006569939106162671,105,0.3203988017225239,0.005284077072978105,60,9,False,22,219,2026-08-30T07:50:54.272243+00:00,STRING + NetworkX
thyroid-branch,CXCL8,9606.ENSP00000306512,CXCL8,True,27,22.884,0.12385321100917432,21,0.020031740679539896,15,0.39645306273746644,0.01101964128206433,19,13,True,22,219,2026-08-30T07:50:54.272243+00:00,STRING + NetworkX
thyroid-branch,CXCR6,9606.ENSP00000395704,CXCR6,True,5,4.205,0.022935779816513763,111,1.4561792572789811e-05,145,0.27786798733457824,0.002507825667989852,132,5,False,22,219,2026-08-30T07:50:54.272243+00:00,STRING + NetworkX
thyroid-branch,CYCS,9606.ENSP00000307786,CYCS,True,28,23.704,0.12844036697247707,18,0.03000698913447615,11,0.4015227949975363,0.011926882169775832,16,13,True,22,219,2026-08-30T07:50:54.272243+00:00,STRING + NetworkX
thyroid-branch,CYP19A1,9606.ENSP00000379683,CYP19A1,True,7,5.9350000000000005,0.03211009174311927,87,0.0004389801199371256,114,0.3257166241577525,0.0032534294715705282,110,6,False,22,219,2026-08-30T07:50:54.272243+00:00,STRING + NetworkX
thyroid-branch,CYP1A1,9606.ENSP00000378488,CYP1A1,True,11,9.725,0.05045871559633028,66,0.005421337396558675,53,0.30965564663518086,0.0062825836208477105,44,6,False,22,219,2026-08-30T07:50:54.272243+00:00,STRING + NetworkX
thyroid-branch,CYP2B6,9606.ENSP00000324648,CYP2B6,True,7,6.123,0.03211009174311927,88,0.0014473698362137647,83,0.2565284523595371,0.0046108299341409776,79,4,False,22,219,2026-08-30T07:50:54.272243+00:00,STRING + NetworkX
thyroid-branch,CYP2C19,9606.ENSP00000360372,CYP2C19,True,6,5.249,0.027522935779816515,99,0.0008767764356446898,101,0.2524042007138854,0.004130371422084731,87,4,False,22,219,2026-08-30T07:50:54.272243+00:00,STRING + NetworkX
