branch_class,status,source,native_id,term_name,description,intersection_size,term_size,effective_domain_size,query_size_mappable,p_value_corrected,significant_g_scs,precision,recall,source_order,group_id,branch_n_genes,branch_exact_2NAP_human_n,branch_exact_2NAP_experimental_n,branch_parent_naphthalene_n,branch_multi_source_ge2_n,branch_CTD_n,branch_toxicogenomic_n,branch_bioassay_target_n,background_n_genes,background_definition,multiple_testing,accessed_at_utc,source_database,error
thyroid-specific,OK,GO:BP,GO:0000022,mitotic spindle elongation,"""The cell cycle process in which the distance is lengthened between poles of the mitotic spindle. Mitotic spindle elongation begins during mitotic prophase and ends during mitotic anaphase B."" [GOC:mtg_cell_cycle, GOC:vw, PMID:19686686]",1,4,682,30,1.0,False,0.03333333333333333,0.25,7,1,30,0,0,30,0,20,10,10,828,all 828 M1b expanded-universe gene symbols,g:SCS,2026-08-30T07:50:33.686118+00:00,g:Profiler g:GOSt,
thyroid-specific,OK,GO:BP,GO:0000045,autophagosome assembly,"""The formation of a double membrane-bounded structure, the autophagosome, that occurs when a specialized membrane sac, called the isolation membrane, starts to enclose a portion of the cytoplasm."" [GOC:autophagy, PMID:9412464]",1,3,682,30,1.0,False,0.03333333333333333,0.3333333333333333,16,1,30,0,0,30,0,20,10,10,828,all 828 M1b expanded-universe gene symbols,g:SCS,2026-08-30T07:50:33.686118+00:00,g:Profiler g:GOSt,
thyroid-specific,OK,GO:BP,GO:0000070,mitotic sister chromatid segregation,"""The cell cycle process in which replicated homologous chromosomes are organized and then physically separated and apportioned to two sets during the mitotic cell cycle. Each replicated chromosome, composed of two sister chromatids, aligns at the cell equator, paired with its homologous partner. One homolog of each morphologic type goes into each of the resulting chromosome sets."" [GOC:ai, GOC:jl]",1,19,682,30,1.0,False,0.03333333333333333,0.05263157894736842,23,1,30,0,0,30,0,20,10,10,828,all 828 M1b expanded-universe gene symbols,g:SCS,2026-08-30T07:50:33.686118+00:00,g:Profiler g:GOSt,
thyroid-specific,OK,GO:BP,GO:0000075,cell cycle checkpoint signaling,"""A signaling process that controls cell cycle progression by monitoring the integrity of specific cell cycle events. A cell cycle checkpoint begins with detection of deficiencies or defects and ends with signal transduction."" [GOC:mtg_cell_cycle]",2,20,682,30,1.0,False,0.06666666666666667,0.1,25,1,30,0,0,30,0,20,10,10,828,all 828 M1b expanded-universe gene symbols,g:SCS,2026-08-30T07:50:33.686118+00:00,g:Profiler g:GOSt,
thyroid-specific,OK,GO:BP,GO:0000082,G1/S transition of mitotic cell cycle,"""The mitotic cell cycle transition by which a cell in G1 commits to S phase. The process begins with the build up of G1 cyclin-dependent kinase (G1 CDK), resulting in the activation of transcription of G1 cyclins. The process ends with the positive feedback of the G1 cyclins on the G1 CDK which commits the cell to S phase, in which DNA replication is initiated."" [GOC:mtg_cell_cycle]",2,25,682,30,1.0,False,0.06666666666666667,0.08,30,1,30,0,0,30,0,20,10,10,828,all 828 M1b expanded-universe gene symbols,g:SCS,2026-08-30T07:50:33.686118+00:00,g:Profiler g:GOSt,
thyroid-specific,OK,GO:BP,GO:0000086,G2/M transition of mitotic cell cycle,"""The mitotic cell cycle transition by which a cell in G2 commits to M phase. The process begins when the kinase activity of M cyclin/CDK complex reaches a threshold high enough for the cell cycle to proceed. This is accomplished by activating a positive feedback loop that results in the accumulation of unphosphorylated and active M cyclin/CDK complex."" [GOC:mtg_cell_cycle]",1,16,682,30,1.0,False,0.03333333333333333,0.0625,33,1,30,0,0,30,0,20,10,10,828,all 828 M1b expanded-universe gene symbols,g:SCS,2026-08-30T07:50:33.686118+00:00,g:Profiler g:GOSt,
thyroid-specific,OK,GO:BP,GO:0000122,negative regulation of transcription by RNA polymerase II,"""Any process that stops, prevents, or reduces the frequency, rate or extent of transcription mediated by RNA polymerase II."" [GOC:go_curators, GOC:txnOH]",2,72,682,30,1.0,False,0.06666666666666667,0.027777777777777776,47,1,30,0,0,30,0,20,10,10,828,all 828 M1b expanded-universe gene symbols,g:SCS,2026-08-30T07:50:33.686118+00:00,g:Profiler g:GOSt,
thyroid-specific,OK,GO:BP,GO:0000165,MAPK cascade,"""An intracellular protein kinase cascade containing at least a MAP kinase (MAPK). It starts with the activation of a MAP3K, and the consecutive activation of a MPK2K and a MAPK. The cascade can also contain an additional tier: the upstream MAP4K. The kinases in each tier phosphorylate and activate the kinase in the downstream tier to transmit a signal within a cell."" [PMID:20811974, PMID:9561267]",1,68,682,30,1.0,False,0.03333333333333333,0.014705882352941176,54,1,30,0,0,30,0,20,10,10,828,all 828 M1b expanded-universe gene symbols,g:SCS,2026-08-30T07:50:33.686118+00:00,g:Profiler g:GOSt,
thyroid-specific,OK,GO:BP,GO:0000226,microtubule cytoskeleton organization,"""A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of cytoskeletal structures comprising microtubules and their associated proteins."" [GOC:mah]",2,46,682,30,1.0,False,0.06666666666666667,0.043478260869565216,60,1,30,0,0,30,0,20,10,10,828,all 828 M1b expanded-universe gene symbols,g:SCS,2026-08-30T07:50:33.686118+00:00,g:Profiler g:GOSt,
thyroid-specific,OK,GO:BP,GO:0000245,spliceosomal complex assembly,"""The aggregation, arrangement and bonding together of a spliceosomal complex, a ribonucleoprotein apparatus that catalyzes nuclear mRNA splicing via transesterification reactions."" [PMID:9476892]",1,3,682,30,1.0,False,0.03333333333333333,0.3333333333333333,68,1,30,0,0,30,0,20,10,10,828,all 828 M1b expanded-universe gene symbols,g:SCS,2026-08-30T07:50:33.686118+00:00,g:Profiler g:GOSt,
