gene_symbol,exact_2NAP_human_support,exact_2NAP_experimental_support,exact_2NAP_any,number_of_sources,multi_source_ge2,parent_naphthalene_support,CTD_support,toxicogenomic_support,bioassay_target_support,degree,degree_rank,betweenness_centrality,betweenness_rank,pagerank,pagerank_rank,network_central_top10pct_any,priority_hub_candidate,candidate_rule
ADRA2C,False,False,False,1,False,True,True,False,False,0,171,0.0,136,0.0008764241893076269,171,False,False,"exact 2-NAP evidence (human or experimental) AND number_of_sources >=2 AND top 10% by degree, betweenness, or PageRank in shared STRING network"
ATXN2,False,False,False,1,False,True,False,True,True,0,172,0.0,142,0.0008764241893076269,172,False,False,"exact 2-NAP evidence (human or experimental) AND number_of_sources >=2 AND top 10% by degree, betweenness, or PageRank in shared STRING network"
BAZ2B,False,False,False,1,False,True,False,True,True,0,173,0.0,143,0.0008764241893076269,173,False,False,"exact 2-NAP evidence (human or experimental) AND number_of_sources >=2 AND top 10% by degree, betweenness, or PageRank in shared STRING network"
CAT,False,False,False,1,False,True,True,False,False,0,174,0.0,144,0.0008764241893076269,174,False,False,"exact 2-NAP evidence (human or experimental) AND number_of_sources >=2 AND top 10% by degree, betweenness, or PageRank in shared STRING network"
FETUB,False,False,False,1,False,True,True,False,False,0,175,0.0,151,0.0008764241893076269,175,False,False,"exact 2-NAP evidence (human or experimental) AND number_of_sources >=2 AND top 10% by degree, betweenness, or PageRank in shared STRING network"
GABRP,False,False,False,1,False,True,True,False,False,0,176,0.0,152,0.0008764241893076269,176,False,False,"exact 2-NAP evidence (human or experimental) AND number_of_sources >=2 AND top 10% by degree, betweenness, or PageRank in shared STRING network"
GPR183,False,False,False,1,False,True,False,True,True,0,177,0.0,157,0.0008764241893076269,177,False,False,"exact 2-NAP evidence (human or experimental) AND number_of_sources >=2 AND top 10% by degree, betweenness, or PageRank in shared STRING network"
HBB,False,False,False,1,False,True,False,True,True,0,178,0.0,158,0.0008764241893076269,178,False,False,"exact 2-NAP evidence (human or experimental) AND number_of_sources >=2 AND top 10% by degree, betweenness, or PageRank in shared STRING network"
KCNJ16,False,False,False,1,False,True,True,False,False,0,179,0.0,159,0.0008764241893076269,179,False,False,"exact 2-NAP evidence (human or experimental) AND number_of_sources >=2 AND top 10% by degree, betweenness, or PageRank in shared STRING network"
KCNQ1,False,False,False,1,False,True,True,False,False,0,180,0.0,160,0.0008764241893076269,180,False,False,"exact 2-NAP evidence (human or experimental) AND number_of_sources >=2 AND top 10% by degree, betweenness, or PageRank in shared STRING network"
KLK7,False,False,False,1,False,True,False,True,True,0,181,0.0,161,0.0008764241893076269,181,False,False,"exact 2-NAP evidence (human or experimental) AND number_of_sources >=2 AND top 10% by degree, betweenness, or PageRank in shared STRING network"
LGALS1,False,False,False,1,False,True,True,False,False,0,182,0.0,163,0.0008764241893076269,182,False,False,"exact 2-NAP evidence (human or experimental) AND number_of_sources >=2 AND top 10% by degree, betweenness, or PageRank in shared STRING network"
NKD1,False,False,False,1,False,True,True,False,False,0,183,0.0,171,0.0008764241893076269,183,False,False,"exact 2-NAP evidence (human or experimental) AND number_of_sources >=2 AND top 10% by degree, betweenness, or PageRank in shared STRING network"
PTX3,False,False,False,1,False,True,True,False,False,0,184,0.0,176,0.0008764241893076269,184,False,False,"exact 2-NAP evidence (human or experimental) AND number_of_sources >=2 AND top 10% by degree, betweenness, or PageRank in shared STRING network"
RAPGEF3,False,False,False,1,False,True,False,True,True,0,185,0.0,177,0.0008764241893076269,185,False,False,"exact 2-NAP evidence (human or experimental) AND number_of_sources >=2 AND top 10% by degree, betweenness, or PageRank in shared STRING network"
SLPI,False,False,False,1,False,True,True,False,False,0,186,0.0,179,0.0008764241893076269,186,False,False,"exact 2-NAP evidence (human or experimental) AND number_of_sources >=2 AND top 10% by degree, betweenness, or PageRank in shared STRING network"
TAAR1,False,False,False,1,False,True,False,True,True,0,187,0.0,183,0.0008764241893076269,187,False,False,"exact 2-NAP evidence (human or experimental) AND number_of_sources >=2 AND top 10% by degree, betweenness, or PageRank in shared STRING network"
TGM2,False,False,False,1,False,True,True,False,False,0,188,0.0,184,0.0008764241893076269,188,False,False,"exact 2-NAP evidence (human or experimental) AND number_of_sources >=2 AND top 10% by degree, betweenness, or PageRank in shared STRING network"
TNC,False,False,False,1,False,True,True,False,False,0,189,0.0,185,0.0008764241893076269,189,False,False,"exact 2-NAP evidence (human or experimental) AND number_of_sources >=2 AND top 10% by degree, betweenness, or PageRank in shared STRING network"
