branch_class,gene_a,gene_b,string_id_a,string_id_b,preferred_name_a,preferred_name_b,score,required_score,network_type,species,accessed_at_utc,source_database
thyroid-branch,MAPK1,HIF1A,9606.ENSP00000215832,9606.ENSP00000437955,MAPK1,HIF1A,0.985,700,functional,9606,2026-08-30T07:50:54.272243+00:00,STRING
thyroid-branch,MAPK1,ESR1,9606.ENSP00000215832,9606.ENSP00000405330,MAPK1,ESR1,0.987,700,functional,9606,2026-08-30T07:50:54.272243+00:00,STRING
thyroid-branch,MAPK1,AKT1,9606.ENSP00000215832,9606.ENSP00000451828,MAPK1,AKT1,0.988,700,functional,9606,2026-08-30T07:50:54.272243+00:00,STRING
thyroid-branch,MAPK1,FOS,9606.ENSP00000215832,9606.ENSP00000306245,MAPK1,FOS,0.992,700,functional,9606,2026-08-30T07:50:54.272243+00:00,STRING
thyroid-branch,MAPK1,TP53,9606.ENSP00000215832,9606.ENSP00000269305,MAPK1,TP53,0.998,700,functional,9606,2026-08-30T07:50:54.272243+00:00,STRING
thyroid-branch,MAPK1,JUN,9606.ENSP00000215832,9606.ENSP00000360266,MAPK1,JUN,0.998,700,functional,9606,2026-08-30T07:50:54.272243+00:00,STRING
thyroid-branch,LGALS1,S100A4,9606.ENSP00000215909,9606.ENSP00000357704,LGALS1,S100A4,0.737,700,functional,9606,2026-08-30T07:50:54.272243+00:00,STRING
thyroid-branch,HMOX1,HIF1A,9606.ENSP00000216117,9606.ENSP00000437955,HMOX1,HIF1A,0.701,700,functional,9606,2026-08-30T07:50:54.272243+00:00,STRING
thyroid-branch,HMOX1,GPX4,9606.ENSP00000216117,9606.ENSP00000346103,HMOX1,GPX4,0.716,700,functional,9606,2026-08-30T07:50:54.272243+00:00,STRING
thyroid-branch,HMOX1,BAX,9606.ENSP00000216117,9606.ENSP00000293288,HMOX1,BAX,0.729,700,functional,9606,2026-08-30T07:50:54.272243+00:00,STRING
thyroid-branch,HMOX1,EDN1,9606.ENSP00000216117,9606.ENSP00000368683,HMOX1,EDN1,0.735,700,functional,9606,2026-08-30T07:50:54.272243+00:00,STRING
thyroid-branch,HMOX1,GSR,9606.ENSP00000216117,9606.ENSP00000221130,HMOX1,GSR,0.761,700,functional,9606,2026-08-30T07:50:54.272243+00:00,STRING
thyroid-branch,HMOX1,NOS3,9606.ENSP00000216117,9606.ENSP00000297494,HMOX1,NOS3,0.77,700,functional,9606,2026-08-30T07:50:54.272243+00:00,STRING
thyroid-branch,HMOX1,PPARG,9606.ENSP00000216117,9606.ENSP00000287820,HMOX1,PPARG,0.784,700,functional,9606,2026-08-30T07:50:54.272243+00:00,STRING
thyroid-branch,HMOX1,TNF,9606.ENSP00000216117,9606.ENSP00000398698,HMOX1,TNF,0.792,700,functional,9606,2026-08-30T07:50:54.272243+00:00,STRING
thyroid-branch,HMOX1,AKT1,9606.ENSP00000216117,9606.ENSP00000451828,HMOX1,AKT1,0.796,700,functional,9606,2026-08-30T07:50:54.272243+00:00,STRING
thyroid-branch,HMOX1,JUN,9606.ENSP00000216117,9606.ENSP00000360266,HMOX1,JUN,0.798,700,functional,9606,2026-08-30T07:50:54.272243+00:00,STRING
thyroid-branch,HMOX1,CASP3,9606.ENSP00000216117,9606.ENSP00000311032,HMOX1,CASP3,0.806,700,functional,9606,2026-08-30T07:50:54.272243+00:00,STRING
thyroid-branch,HMOX1,IL1B,9606.ENSP00000216117,9606.ENSP00000263341,HMOX1,IL1B,0.817,700,functional,9606,2026-08-30T07:50:54.272243+00:00,STRING
thyroid-branch,HMOX1,CYCS,9606.ENSP00000216117,9606.ENSP00000307786,HMOX1,CYCS,0.827,700,functional,9606,2026-08-30T07:50:54.272243+00:00,STRING
