branch_class,input_n_genes,string_mapped_n_genes,network_n_nodes,network_n_edges,network_n_components,largest_component_n,network_density,average_node_degree,average_clustering_weighted,module_n,module_largest_n,ppi_enrichment_n_nodes,ppi_enrichment_n_edges,ppi_enrichment_average_node_degree,ppi_enrichment_expected_edges,ppi_enrichment_p_value,branch_exact_2NAP_human_n,branch_exact_2NAP_experimental_n,branch_parent_naphthalene_n,branch_multi_source_ge2_n,required_score,network_type,species,accessed_at_utc,source_database
thyroid-branch,219,219,219,1058,33,186,0.04432156172761929,9.662100456621005,0.32087395425993837,39,47,219,1058,9.66,364,0.0,34,2,215,17,700,functional,9606,2026-08-30T07:50:54.272243+00:00,STRING
hypertension-branch,440,437,440,2360,52,387,0.024435700973286394,10.727272727272727,0.3348308473357532,61,152,437,2360,10.8,955,0.0,60,6,429,28,700,functional,9606,2026-08-30T07:51:00.550986+00:00,STRING
shared-core,189,189,189,978,23,166,0.05504896994258696,10.34920634920635,0.34913001805308896,29,60,189,978,10.35,310,0.0,34,2,185,17,700,functional,9606,2026-08-30T07:51:09.311524+00:00,STRING
