Result_family,cycle,Model_complete_case_N,Model_complete_case_CRC_cases,Model_CRC_MCOP_median_ng_mL,Model_control_MCOP_median_ng_mL,Model_case_control_MCOP_median_ratio,MCOP_above_LOD_pct,LLOD_ng_mL_codebook,MCOP_median_ng_mL,MCOP_P95_ng_mL,MCOP_P99_ng_mL,assay_platform,codebook,llod_ng_mL,platform,laboratory,method_note,change_note,method_manual
Cycle-level exposure and assay audit,2005-2006,1286.0,6.0,3.0,4.55,0.6593406593406593,94.82884195193007,0.7,4.5,46.499999999999865,220.1039999999996,HPLC-ESI-MS/MS,,,,,,,
Cycle-level exposure and assay audit,2007-2008,1476.0,13.0,8.6,5.5,1.5636363636363635,95.30487804878048,0.7,5.4,46.91499999999999,153.5099999999999,HPLC-ESI-MS/MS,,,,,,,
Cycle-level exposure and assay audit,2009-2010,1574.0,16.0,15.705,9.935,1.580775037745345,99.7155858930603,0.2,10.33,134.50349999999963,403.2856000000007,HPLC-ESI-MS/MS,,,,,,,
Cycle-level exposure and assay audit,2011-2012,1415.0,10.0,9.8,16.1,0.6086956521739131,100.0,0.2,16.0,203.615,512.0270000000025,HPLC/ESI-MS/MS (Method 6306.04),,,,,,,
Cycle-level exposure and assay audit,2013-2014,1484.0,7.0,51.5,17.7,2.9096045197740112,99.81773997569866,0.3,17.3,218.75,551.8649999999998,HPLC-ESI-MS/MS,,,,,,,
Cycle-level exposure and assay audit,2015-2016,1377.0,9.0,9.1,7.2,1.2638888888888888,99.28617780661908,0.3,7.0,90.9,228.3399999999984,HPLC-ESI-MS/MS,,,,,,,
Cycle-level exposure and assay audit,2017-2018,1324.0,9.0,9.2,4.4,2.0909090909090904,99.2248062015504,0.3,4.4,40.77999999999984,148.81999999999988,HPLC-ESI-MS/MS,,,,,,,
Analyte LOD audit,2005-2006,,,,,,,,,,,,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2005/DataFiles/PHTHTE_D.htm,0.7,HPLC-ESI-MS/MS,CDC Division of Laboratory Sciences / NCEH,"Online SPE, reversed-phase HPLC-ESI-MS/MS, isotopically labeled internal standards.",No cycle-specific no-change statement located in the codebook; MCOP included in the listed phthalate panel.,
Analyte LOD audit,2007-2008,,,,,,,,,,,,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2007/DataFiles/PHTHTE_E.htm,0.7,HPLC-ESI-MS/MS,CDC Division of Laboratory Sciences / NCEH,"Online SPE, reversed-phase HPLC-ESI-MS/MS, isotopically labeled internal standards.",No cycle-specific no-change statement located in the codebook; MCOP included in the listed phthalate panel.,
Analyte LOD audit,2009-2010,,,,,,,,,,,,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2009/DataFiles/PHTHTE_F.htm,0.2,HPLC-ESI-MS/MS,CDC Division of Laboratory Sciences / NCEH,"Online SPE, reversed-phase HPLC-ESI-MS/MS, isotopically labeled internal standards.",No cycle-specific no-change statement located in the codebook; MCOP included in the listed phthalate panel.,
Analyte LOD audit,2011-2012,,,,,,,,,,,,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2011/DataFiles/PHTHTE_G.htm,0.2,HPLC/ESI-MS/MS (Method 6306.04),"Personal Care Products Laboratory, Organic Analytical Toxicology Branch, CDC NCEH","Online SPE, reversed-phase HPLC-ESI-MS/MS, isotopically labeled standards; manual explicitly maps MCOP to the di-isononyl phthalate axis.",Method manual revised April 2013; no explicit cycle-level no-change statement in the codebook.,https://wwwn.cdc.gov/nchs/data/nhanes/public/2011/labmethods/phthte_g_met.pdf
Analyte LOD audit,2013-2014,,,,,,,,,,,,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2013/DataFiles/PHTHTE_H.htm,0.3,HPLC-ESI-MS/MS,CDC Division of Laboratory Sciences / NCEH,"Online SPE, reversed-phase HPLC-ESI-MS/MS, isotopically labeled internal standards.","CDC codebook states no changes to lab method, equipment, or site in 2013-2014.",
Analyte LOD audit,2015-2016,,,,,,,,,,,,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2015/DataFiles/PHTHTE_I.htm,0.3,HPLC-ESI-MS/MS,CDC Division of Laboratory Sciences / NCEH,"Online SPE, reversed-phase HPLC-ESI-MS/MS, isotopically labeled internal standards.","CDC codebook states no changes to lab method, equipment, or site in 2015-2016.",
Analyte LOD audit,2017-2018,,,,,,,,,,,,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2017/DataFiles/PHTHTE_J.htm,0.3,HPLC-ESI-MS/MS,CDC Division of Laboratory Sciences / NCEH,"Online SPE, reversed-phase HPLC-ESI-MS/MS, isotopically labeled internal standards; MONP was additionally measured with a separate isotope-dilution method.","CDC codebook states no changes to lab method, equipment, or site in 2017-2018.",
