Result_family,Cycle,N,CRC_N,OR,CI_low,CI_high,P,status,design_df,PSU_N,strata_N,reference_cycle,interaction_terms,Wald_statistic,F_statistic,df_num,df_denom,P_chi2,P_F,knots_log2,overall_P_chi2,overall_P_F,nonlinear_P_chi2,nonlinear_P_F,nonlinear_df
Cycle-specific model,2005-2006,1286,6,1.4841235574881413,0.9559435048211656,2.304134839331656,0.0750155021369562,converged_with_warning,15,30.0,15.0,,,,,,,,,,,,,,
Cycle-specific model,2007-2008,1476,13,1.129387091021125,0.7264793466994285,1.755748745177868,0.5669661255617636,converged_with_warning,16,32.0,16.0,,,,,,,,,,,,,,
Cycle-specific model,2009-2010,1574,16,1.3551662406205152,0.8124400510333596,2.260444370488245,0.2259939930614588,ok,16,31.0,15.0,,,,,,,,,,,,,,
Cycle-specific model,2011-2012,1415,10,0.8401325768795741,0.6121765573290499,1.1529725179511048,0.2616622096154951,ok,17,31.0,14.0,,,,,,,,,,,,,,
Cycle-specific model,2013-2014,1484,7,1.482231414195059,0.8620286179030139,2.548650844761013,0.1425521058558014,ok,15,30.0,15.0,,,,,,,,,,,,,,
Cycle-specific model,2015-2016,1377,9,1.322537531478965,0.8947536236646302,1.9548459776074292,0.1480999024444236,ok,15,30.0,15.0,,,,,,,,,,,,,,
Cycle-specific model,2017-2018,1324,9,1.5786352634446856,0.8276482716571832,3.0110487514233704,0.1525701137800659,converged_with_warning,15,30.0,15.0,,,,,,,,,,,,,,
MCOP × cycle interaction,,9936,70,,,,,ok,109,,,2005-2006,mcop_x_cycle_2007-2008;mcop_x_cycle_2009-2010;mcop_x_cycle_2011-2012;mcop_x_cycle_2013-2014;mcop_x_cycle_2015-2016;mcop_x_cycle_2017-2018,19.315467538167532,3.2192445896945894,6.0,109.0,0.0036627389408795,0.00598088397561,,,,,,
Restricted cubic spline,,9936,70,,,,,ok,109,,,,,,,,,,,0;2.2630344;3.776104;6.9081224,0.0014590306688035,0.002268201740955,0.3548154169460927,0.3582834241320227,2.0
