Table_section,stage,n,definition,ChemicalID,ChemicalName,phase1_scope,gene_cards_k,phase1_unfiltered_rank,phase1_bh_fdr,phase1_degree_matched_bh_fdr,phase1_n_ctd_human_genes,phase1_crc_overlap,molecular_level,molecular_M2_definition_met,entity_E_tag,entity_E_reason,entity_manual_review_required,canonical_name,synonyms,entity_type,parent_compound,metabolite_of,exposure_family,exposure_axis,candidate_to_axis_relationship,all_candidate_biomarkers,mapping_confidence,mapping_source,searched_domain_count,searched_domains,mapping_status,selection_reason,all_biomarker_summary,above_lod_pct,min_cycle_above_lod_pct,median_cycle_above_lod_pct,max_cycle_above_lod_pct,n_measured,n_above_lod,D_tag,n_cycles_available,cycle_list,first_cycle,last_cycle,biological_matrix,nhanes_lab_component,analyte_available_n,crc_outcome_available_n,exposure_plus_outcome_n,complete_covariate_n,available_crc_cases,available_controls,survey_weight_available,strata_psu_available,creatinine_available_if_urine,core_covariates_available,T_tag,T_reason,selected_primary_biomarker,chemical_class,CasRN,PubChemCID,DTXSID,X_tag,B_tag,human_biomarker,nhanes_variable,biomarker_type,nhanes_cycles,n_cycles,C_tag,E_tag,N_tag,M_tag,eligible_permissive,eligible_moderate,eligible_strict,audit_status,audit_evidence,what_was_checked,databases_checked,possible_proxy,reason_unresolved,manual_review_required,manual_review_reason,priority_tier,final_disposition,PRIORITIZATION_OUTCOME_BLINDED
267-chemical attrition flow,total_core_chemicals,267.0,all Phase 1 primary chemicals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
267-chemical attrition flow,E_entity_valid,259.0,E_tag == 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
267-chemical attrition flow,E_and_X_interpretable_exposure,135.0,E_tag == 1 and X_tag == 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
267-chemical attrition flow,E_X_and_B_biomarker_available,134.0,E/X/B gates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
267-chemical attrition flow,E_X_B_and_D_detectable,127.0,E/X/B and D >= 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
267-chemical attrition flow,E_X_B_D_and_C_coverage,124.0,E/X/B/D and C >= 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
267-chemical attrition flow,E_X_B_D_C_and_T_testable,87.0,E=1 & X=1 & B=1 & D>=1 & C>=1 & T>=1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
267-chemical attrition flow,moderate_eligibility,87.0,E=1 & X=1 & B=1 & D>=1 & C>=2 & T>=1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
267-chemical attrition flow,strict_eligibility,27.0,E=1 & X=1 & B=1 & D=2 & C=2 & T=2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
267-chemical actionability matrix,,,,C573544,mono(carboxy-isooctyl)phthalate,GeneCards_Disorders,1000.0,78.0,0.2841687474373862,0.2993944830679524,19.0,2.0,M0,False,1.0,specific_entity_identifier:PubChemCID,False,mono carboxy isooctyl phthalate,mono(carboxy-isooctyl)phthalate;phthalate;plasticizer,phthalate parent or monoester metabolite,DINP,DINP,phthalates,DINP-related exposure axis,direct urinary metabolite,URXCOP,high,CDC NHANES phthalate/plasticizer metabolite panel and codebook,161.0,"Phthalates & Plasticizers Metabolites - Urine;Phthalates - Urine;Phthalates and Plasticizers Metabolites - Urine;Phthalates, Phytoestrogens & PAHs - Urine;Phthalates, Phytoestrogens & PAHs - Urine PHPYPA Urinary Phthalates",mapped,"validated/specificity mapping first; detectability, cycle coverage, and measured N used as non-CRC tie-breakers","[{""variable"": ""URXCOP"", ""n_cycles_available"": 7, ""total_measured"": 18812, ""total_above_lod"": 18579, ""pooled_above_lod_pct"": 98.76142887518606, ""min_cycle_above_lod_pct"": 96.03610675039246, ""median_cycle_above_lod_pct"": 99.49312092686459, ""max_cycle_above_lod_pct"": 100.0}]",98.76142887518606,96.03610675039246,99.4931209268646,100.0,18812.0,18579.0,2.0,7.0,2005-2006;2007-2008;2009-2010;2011-2012;2013-2014;2015-2016;2017-2018,2005-2006,2017-2018,urine,Phthalates & Plasticizers Metabolites - Urine;Phthalates - Urine;Phthalates and Plasticizers Metabolites - Urine,18812.0,17382.0,12113.0,10863.0,70.0,9866.0,True,True,True,True,2.0,predefined primary survey model feasible,URXCOP,phthalates,,CID:121232681,,1.0,1.0,URXCOP,URXCOP,urinary biomarker,2005-2006;2007-2008;2009-2010;2011-2012;2013-2014;2015-2016;2017-2018,7.0,2.0,1.0,pending_manual_review,M0,True,True,True,resolved_mapped,"CDC NHANES catalog domains checked: Phthalates & Plasticizers Metabolites - Urine;Phthalates - Urine;Phthalates and Plasticizers Metabolites - Urine;Phthalates, Phytoestrogens & PAHs - Urine;Phthalates, Phytoestrogens & PAHs - Urine PHPYPA Urinary Phthalates; CDC NHANES phthalate/plasticizer metabolite panel and codebook; local XPT registry variables checked for candidate aliases.",CTD identifiers/name; CDC NHANES laboratory catalog; 161 relevant laboratory domains; downloaded XPT value/LOD/weight columns.,CTD Phase 1 export; CDC NHANES continuous laboratory catalog; CDC NHANES environmental XPT files,direct urinary metabolite,,False,,Tier_A_strict,enter_systematic_human_screen,True
267-chemical actionability matrix,,,,D008982,Molybdenum,GeneCards_Disorders,1000.0,56.0,0.0604774578570994,0.2015318015318015,7.0,2.0,M0,False,1.0,"specific_entity_identifier:CasRN,PubChemCID,DTXSID,InChIKey",False,molybdenum,Molybdenum;7439-98-7,elemental species or metal compound,,,heavy_metals,metal exposure axis,elemental urinary biomarker for parent metal/species,URXUMO,moderate,CDC NHANES metals blood/urine panels and codebooks,119.0,Metals - Urine,mapped,"validated/specificity mapping first; detectability, cycle coverage, and measured N used as non-CRC tie-breakers","[{""variable"": ""URXUMO"", ""n_cycles_available"": 10, ""total_measured"": 26592, ""total_above_lod"": 26587, ""pooled_above_lod_pct"": 99.98119735258724, ""min_cycle_above_lod_pct"": 99.88272087568413, ""median_cycle_above_lod_pct"": 100.0, ""max_cycle_above_lod_pct"": 100.0}]",99.98119735258724,99.88272087568411,100.0,100.0,26592.0,26587.0,2.0,10.0,1999-2000;2001-2002;2003-2004;2005-2006;2007-2008;2009-2010;2011-2012;2013-2014;2015-2016;2017-2018,1999-2000,2017-2018,urine,Metals - Urine,26592.0,17382.0,1715.0,1531.0,10.0,1409.0,True,True,True,True,0.0,insufficient complete-case events/sample or survey infrastructure,URXUMO,heavy_metals,7439-98-7,CID:23932,DTXSID1024207,1.0,1.0,URXUMO,URXUMO,urinary biomarker,1999-2000;2001-2002;2003-2004;2005-2006;2007-2008;2009-2010;2011-2012;2013-2014;2015-2016;2017-2018,10.0,2.0,1.0,pending_manual_review,M0,False,False,False,resolved_mapped,CDC NHANES catalog domains checked: Metals - Urine; CDC NHANES metals blood/urine panels and codebooks; local XPT registry variables checked for candidate aliases.,CTD identifiers/name; CDC NHANES laboratory catalog; 119 relevant laboratory domains; downloaded XPT value/LOD/weight columns.,CTD Phase 1 export; CDC NHANES continuous laboratory catalog; CDC NHANES environmental XPT files,elemental urinary biomarker for parent metal/species,,False,,not_human_testable,retain_with_resolved_audit_no_primary_screen,True
267-chemical actionability matrix,,,,C033729,fluorotelomer alcohols,GeneCards_Disorders,1000.0,63.0,0.1196765367734294,0.6540445855514349,26.0,3.0,M0,False,1.0,specific_ctd_entity_id:C033729,False,fluorotelomer alcohols,fluorotelomer alcohols,PFAS or fluorinated compound,,,pfas_perfluoro,,none,,unresolved,,0.0,,resolved_no_candidate_specific_analyte,no analyte rows,,,,,,,,,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,0.0,no analyte mapping,,pfas_perfluoro,,,,0.0,0.0,,,,,0.0,0.0,1.0,pending_manual_review,M0,False,False,False,resolved_no_supported_candidate_specific_analyte,CDC NHANES catalog domains checked: none matched; ; local XPT registry variables checked for candidate aliases.,CTD identifiers/name; CDC NHANES laboratory catalog; 0 relevant laboratory domains; downloaded XPT value/LOD/weight columns.,CTD Phase 1 export; CDC NHANES continuous laboratory catalog; CDC NHANES environmental XPT files,,,False,,not_human_testable,retain_with_resolved_audit_no_primary_screen,True
267-chemical actionability matrix,,,,C008745,"4,4'-bisphenol F",GeneCards_Disorders,1000.0,67.0,0.1919163627038211,0.9257213374860436,32.0,3.0,M0,False,1.0,specific_entity_identifier:PubChemCID,False,4 4 bisphenol f,"4,4'-bisphenol F",bisphenol or bisphenol-related compound,,,bisphenols,bisphenol exposure axis,direct urinary analyte,URXBPH,high,CDC NHANES environmental phenols panel and codebook,33.0,Environmental Phenols;Environmental Phenols & Parabens,mapped,"validated/specificity mapping first; detectability, cycle coverage, and measured N used as non-CRC tie-breakers","[{""variable"": ""URXBPH"", ""n_cycles_available"": 5, ""total_measured"": 12907, ""total_above_lod"": 11918, ""pooled_above_lod_pct"": 92.3374912837995, ""min_cycle_above_lod_pct"": 89.71474487746083, ""median_cycle_above_lod_pct"": 92.85714285714286, ""max_cycle_above_lod_pct"": 93.62519201228879}]",92.3374912837995,89.71474487746083,92.85714285714286,93.6251920122888,12907.0,11918.0,2.0,5.0,2003-2004;2005-2006;2007-2008;2009-2010;2011-2012,2003-2004,2011-2012,urine,Environmental Phenols;Environmental Phenols & Parabens,12907.0,17382.0,6912.0,6261.0,45.0,5706.0,True,True,True,True,1.0,survey model feasible but event/sample margin is limited,URXBPH,bisphenols,,CID:12111,,1.0,1.0,URXBPH,URXBPH,urinary biomarker,2003-2004;2005-2006;2007-2008;2009-2010;2011-2012,5.0,2.0,1.0,pending_manual_review,M0,True,True,False,resolved_mapped,CDC NHANES catalog domains checked: Environmental Phenols;Environmental Phenols & Parabens; CDC NHANES environmental phenols panel and codebook; local XPT registry variables checked for candidate aliases.,CTD identifiers/name; CDC NHANES laboratory catalog; 33 relevant laboratory domains; downloaded XPT value/LOD/weight columns.,CTD Phase 1 export; CDC NHANES continuous laboratory catalog; CDC NHANES environmental XPT files,direct urinary analyte,,False,,Tier_A_moderate,enter_systematic_human_screen,True
267-chemical actionability matrix,,,,D013793,Thallium,GeneCards_Disorders,1000.0,68.0,0.2175573691374303,0.2667332667332667,15.0,2.0,M0,False,1.0,"specific_entity_identifier:CasRN,DTXSID,InChIKey",False,thallium,Thallium;7440-28-0,elemental species or metal compound,,,heavy_metals,metal exposure axis,elemental urinary biomarker for parent metal/species,URXUTL,moderate,CDC NHANES metals blood/urine panels and codebooks,119.0,Metals - Urine,mapped,"validated/specificity mapping first; detectability, cycle coverage, and measured N used as non-CRC tie-breakers","[{""variable"": ""URXUTL"", ""n_cycles_available"": 10, ""total_measured"": 26712, ""total_above_lod"": 26612, ""pooled_above_lod_pct"": 99.62563641808924, ""min_cycle_above_lod_pct"": 99.21171171171171, ""median_cycle_above_lod_pct"": 99.60598105377915, ""max_cycle_above_lod_pct"": 100.0}]",99.62563641808924,99.21171171171171,99.60598105377916,100.0,26712.0,26612.0,2.0,10.0,1999-2000;2001-2002;2003-2004;2005-2006;2007-2008;2009-2010;2011-2012;2013-2014;2015-2016;2017-2018,1999-2000,2017-2018,urine,Metals - Urine,26712.0,17382.0,1715.0,1531.0,10.0,1409.0,True,True,True,True,0.0,insufficient complete-case events/sample or survey infrastructure,URXUTL,heavy_metals,7440-28-0,,DTXSID2036035,1.0,1.0,URXUTL,URXUTL,urinary biomarker,1999-2000;2001-2002;2003-2004;2005-2006;2007-2008;2009-2010;2011-2012;2013-2014;2015-2016;2017-2018,10.0,2.0,1.0,pending_manual_review,M0,False,False,False,resolved_mapped,CDC NHANES catalog domains checked: Metals - Urine; CDC NHANES metals blood/urine panels and codebooks; local XPT registry variables checked for candidate aliases.,CTD identifiers/name; CDC NHANES laboratory catalog; 119 relevant laboratory domains; downloaded XPT value/LOD/weight columns.,CTD Phase 1 export; CDC NHANES continuous laboratory catalog; CDC NHANES environmental XPT files,elemental urinary biomarker for parent metal/species,,False,,not_human_testable,retain_with_resolved_audit_no_primary_screen,True
267-chemical actionability matrix,,,,C031721,naphthalene,GeneCards_Disorders,1000.0,71.0,0.2560022531987447,1.0,60.0,4.0,M0,False,1.0,"specific_entity_identifier:CasRN,PubChemCID,DTXSID,InChIKey",False,naphthalene,naphthalene;91-20-3,CTD entity,,,pahs,PAH exposure axis,parent PAH to validated urinary OH-PAH proxy,URXP02,moderate,CDC NHANES urinary OH-PAH panel; parent-specificity is limited,68.0,Polyaromatic Hydrocarbons (PAHs) - Urine;Polyaromatic Hydrocarbons -Urine;Polycyclic Aromatic Hydrocarbons (PAH) - Urine,mapped,"validated/specificity mapping first; detectability, cycle coverage, and measured N used as non-CRC tie-breakers","[{""variable"": ""URXP02"", ""n_cycles_available"": 8, ""total_measured"": 21166, ""total_above_lod"": 21164, ""pooled_above_lod_pct"": 99.99055088349239, ""min_cycle_above_lod_pct"": 99.95911692559281, ""median_cycle_above_lod_pct"": 100.0, ""max_cycle_above_lod_pct"": 100.0}]",99.9905508834924,99.9591169255928,100.0,100.0,21166.0,21164.0,2.0,8.0,2001-2002;2003-2004;2005-2006;2007-2008;2009-2010;2011-2012;2013-2014;2015-2016,2001-2002,2015-2016,urine,"Phthalates, Phytoestrogens & PAHs - Urine;Polyaromatic Hydrocarbons (PAHs) - Urine;Polyaromatic Hydrocarbons -Urine;Polycyclic Aromatic Hydrocarbons (PAH) - Urine",21166.0,17382.0,9931.0,9016.0,71.0,8230.0,True,True,True,True,2.0,predefined primary survey model feasible,URXP02,pahs,91-20-3,CID:931,DTXSID8020913,1.0,1.0,URXP02,URXP02,urinary biomarker,2001-2002;2003-2004;2005-2006;2007-2008;2009-2010;2011-2012;2013-2014;2015-2016,8.0,2.0,1.0,pending_manual_review,M0,True,True,True,resolved_mapped,CDC NHANES catalog domains checked: Polyaromatic Hydrocarbons (PAHs) - Urine;Polyaromatic Hydrocarbons -Urine;Polycyclic Aromatic Hydrocarbons (PAH) - Urine; CDC NHANES urinary OH-PAH panel; parent-specificity is limited; local XPT registry variables checked for candidate aliases.,CTD identifiers/name; CDC NHANES laboratory catalog; 68 relevant laboratory domains; downloaded XPT value/LOD/weight columns.,CTD Phase 1 export; CDC NHANES continuous laboratory catalog; CDC NHANES environmental XPT files,parent PAH to validated urinary OH-PAH proxy,,False,,Tier_A_strict,enter_systematic_human_screen,True
267-chemical actionability matrix,,,,C032279,phthalic acid,GeneCards_Disorders,1000.0,72.0,0.2573944694418675,0.8232508232508233,17.0,2.0,M0,False,0.0,broad_or_umbrella_name:\bphthalic acids?\b,True,phthalic acid,phthalic acid;88-99-3,CTD entity,,,phthalates,,none,,unresolved,,0.0,,resolved_no_candidate_specific_analyte,no analyte rows,,,,,,,,,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,0.0,no analyte mapping,,phthalates,88-99-3,,DTXSID8021484,0.0,0.0,,,,,0.0,0.0,0.0,pending_manual_review,M0,False,False,False,resolved_no_supported_candidate_specific_analyte,CDC NHANES catalog domains checked: none matched; ; local XPT registry variables checked for candidate aliases.,CTD identifiers/name; CDC NHANES laboratory catalog; 0 relevant laboratory domains; downloaded XPT value/LOD/weight columns.,CTD Phase 1 export; CDC NHANES continuous laboratory catalog; CDC NHANES environmental XPT files,,,True,broad_or_umbrella_name:\bphthalic acids?\b,not_human_testable,retain_with_resolved_audit_no_primary_screen,True
