"gene_symbol","module","network_input","kME_grey","kME_brown","kME_turquoise","kME_blue","max_abs_kME","best_kME_module"
"SLC2A3P2","turquoise",TRUE,0.391660706449483,-0.0449784526627192,0.279377409128004,0.101077744208371,0.391660706449483,"grey"
"AC078883.4","grey",TRUE,0.084741988624549,-0.0398459452220078,-0.0944287228080341,-0.075070219084515,0.0944287228080341,"turquoise"
"CTD-2547H18.1","brown",TRUE,-0.156832630647919,0.726624921440584,-0.013021522844358,0.246797119496622,0.726624921440584,"brown"
"CTD-2616J11.14","grey",TRUE,0.223462929889153,-0.115482890804952,-0.0817252113687085,-0.063838007527164,0.223462929889153,"grey"
"GDPD4","grey",TRUE,0.309651746727359,0.063682485606942,0.271637736335753,0.225742165655649,0.309651746727359,"grey"
"PGLYRP4","grey",TRUE,0.0546742836130307,0.101732228191771,0.0124782064125354,0.164096968349128,0.164096968349128,"blue"
"RP11-148B6.1","grey",TRUE,0.189320656591547,0.039906228036152,-0.00290933450788492,-0.0446401808641851,0.189320656591547,"grey"
"RP11-90D4.3","grey",TRUE,0.278774828883288,-0.14640558909073,-0.0292809685536597,0.0081666226997812,0.278774828883288,"grey"
"RP4-803A2.1","grey",TRUE,0.0696643887525881,0.0863409413519924,0.215537712286919,0.172848045207734,0.215537712286919,"turquoise"
"RPL18P10","grey",TRUE,0.289245800591115,0.0243466184226455,-0.0682075329386372,-0.0256159431182118,0.289245800591115,"grey"
"TMEM190","grey",TRUE,0.173923483422963,0.0242774315357125,0.115211463662839,0.0563019865206646,0.173923483422963,"grey"
"RP11-307P5.1","grey",TRUE,-0.15959918876119,0.223633788459169,-0.069819286219138,0.00487487525951398,0.223633788459169,"brown"
"RP11-424I19.2","grey",TRUE,0.0178736368683034,0.0868041557901564,0.284301195012439,0.154278902728834,0.284301195012439,"turquoise"
"KLK11","brown",TRUE,-0.309848576538424,0.48448144050458,0.0275829784952896,0.0648250223362084,0.48448144050458,"brown"
"DKK4","grey",TRUE,0.00311392533861742,-6.2463760897376e-05,-0.0434981126266283,-0.0866491551814053,0.0866491551814053,"blue"
"AC005329.7","grey",TRUE,0.106752553910209,0.087245668276662,0.0664722464470881,0.154560281955945,0.154560281955945,"blue"
"CYP24A1","grey",TRUE,0.349805219789044,-0.101341232540319,0.202066789858609,0.183284082976892,0.349805219789044,"grey"
"RP11-1228E12.2","grey",TRUE,0.132403036915101,-0.0883882188395275,0.0809107834470081,-0.0715722633799289,0.132403036915101,"grey"
"TRPM8","grey",TRUE,0.0359361575043516,-0.0494559380823354,0.177884136978337,0.012384067293399,0.177884136978337,"turquoise"
"IGHM","blue",TRUE,-0.0626398200653042,0.484646977865819,0.487060543978277,0.881224561915234,0.881224561915234,"blue"
"HMGB3P4","grey",TRUE,0.427819507631538,-0.072684845638779,0.134157409561497,0.0866741965802305,0.427819507631538,"grey"
"RP11-542B15.1","turquoise",TRUE,0.120859244606549,0.224642681192938,0.588657149403491,0.42436451422412,0.588657149403491,"turquoise"
"ADAD2","turquoise",TRUE,0.167563804465892,0.0466782515272201,0.276894867277108,0.158900432131698,0.276894867277108,"turquoise"
"ANKRD20A3","grey",TRUE,0.231362997969541,0.0184077795176648,0.119932104690117,0.107889723917144,0.231362997969541,"grey"
"CNGA3","turquoise",TRUE,0.138625364387865,0.216182144583166,0.618312907040153,0.394592358628508,0.618312907040153,"turquoise"
"CTNNA3","turquoise",TRUE,0.104199761912092,0.102554662862146,0.522441176559818,0.244495502479326,0.522441176559818,"turquoise"
"ELANE","turquoise",TRUE,0.0568179453391793,0.219396728945214,0.509436650212963,0.409258999902903,0.509436650212963,"turquoise"
"ITIH1","turquoise",TRUE,0.136768195101556,0.215976444050353,0.413776441411106,0.447547236415416,0.447547236415416,"blue"
"OR10V2P","grey",TRUE,0.379654234287991,-0.0973410764524528,0.117510020670368,0.0218105985303596,0.379654234287991,"grey"
"PTPRG-AS1","grey",TRUE,0.364336711710535,-0.107701388158283,0.235661178641585,0.145415995356172,0.364336711710535,"grey"
"PWAR5","turquoise",TRUE,0.376013950441546,0.0438551978234605,0.481238377553531,0.2812848201764,0.481238377553531,"turquoise"
"RP11-1090M7.3","grey",TRUE,0.375189665268685,0.0741079144877711,0.130034868434194,0.120339450965131,0.375189665268685,"grey"
"RP11-253A20.1","grey",TRUE,0.177983603082214,-0.0533280871401407,0.105380596109234,-0.00123638514799511,0.177983603082214,"grey"
"RP11-2H3.7","grey",TRUE,0.234568254386141,0.0475169175398006,0.112223514054954,0.0395693320959929,0.234568254386141,"grey"
"RP11-307C12.13","grey",TRUE,0.171519393986159,-0.0470199481037503,-0.00740415753094234,-0.0267063215896645,0.171519393986159,"grey"
"RP11-497G19.1","grey",TRUE,0.28809717199417,-0.0553209863154045,0.0477154626806811,0.0237663594091073,0.28809717199417,"grey"
"AC006116.27","turquoise",TRUE,0.221295031635804,0.042529053185185,0.481710159460056,0.306062432401049,0.481710159460056,"turquoise"
"RP11-1060J15.4","brown",TRUE,-0.0769278661639721,0.598436825522892,0.119895114033865,0.270389256686422,0.598436825522892,"brown"
"GP1BB","grey",TRUE,-0.0155330243311963,-0.0401284329401599,-0.216968226225813,-0.190425916622026,0.216968226225813,"turquoise"
"CRTAC1","turquoise",TRUE,0.156978977257503,0.0163981832696123,0.70617590995354,0.352741988660992,0.70617590995354,"turquoise"
"RP11-626H12.2","turquoise",TRUE,-0.00161325825519107,-0.00508992224502906,0.368193505523206,0.213478341966239,0.368193505523206,"turquoise"
"CTD-2589M5.4","brown",TRUE,-0.217353455676706,0.502672884244431,0.00260952039364471,0.0732786418117984,0.502672884244431,"brown"
"KB-1562D12.1","grey",TRUE,0.293844564058473,-0.0939602066167359,0.00170642949935832,-0.126433006308634,0.293844564058473,"grey"
"HAND2","turquoise",TRUE,0.0868139381167757,-0.143314320840051,0.763311477870034,0.262144229505728,0.763311477870034,"turquoise"
"CLDN2","grey",TRUE,-0.160483295863096,0.130674000456701,-0.19037286750441,-0.0524097833424174,0.19037286750441,"turquoise"
"LRRN1","turquoise",TRUE,0.246228172016156,-0.0368037698036635,0.291055777589946,0.168835712892116,0.291055777589946,"turquoise"
"DDX11L10","grey",TRUE,0.248069902529068,-0.0446793260789995,0.094735406019802,0.0211688262446217,0.248069902529068,"grey"
"HNRNPA1P50","grey",TRUE,0.309629137095144,-0.119059641387598,0.0437809585838149,-0.0348852044140828,0.309629137095144,"grey"
"RP11-264E20.2","grey",TRUE,0.0710602810467832,-0.00585622622781955,0.24229917384003,0.112896983932283,0.24229917384003,"turquoise"
