"Power","SFT.R.sq","slope","truncated.R.sq","mean.k.","median.k.","max.k."
1,0.577919662761371,18.0695906961817,0.936602742542396,4382.85951034062,4382.88527940759,4891.43958531719
2,0.35885658346605,5.98965189556693,0.967671724027407,2438.17592898171,2422.16328436903,3100.35225188924
3,0.161056820797095,2.35467529012123,0.983699374295544,1378.45098043168,1349.97509884265,2041.7610671325
4,0.00574769189379793,0.29650544316966,0.931127376775976,793.04974078734,758.43770165614,1408.85013141485
5,0.107394493034454,-0.936470464880702,0.862377890801304,465.032821431151,429.018268411044,1011.39020557978
6,0.394883581366415,-1.52508394519666,0.847414366510558,278.447458236267,244.890473978532,752.573823113975
7,0.682731494940271,-1.92665187823941,0.883319498730388,170.591405475432,140.870555260698,577.942017613201
8,0.848874164073763,-2.09745283224689,0.927813082688563,107.156334941814,81.6626554126138,456.028582227933
9,0.901298369856763,-2.11397819855852,0.938720165165309,69.1429107767618,47.6586564613359,368.174786981452
10,0.908051046931471,-2.03758691042727,0.932155584031427,45.8984476443996,28.0839137902875,303.014412796884
12,0.919197795814644,-1.79767601955972,0.938226736570222,22.082842510576,9.96818568184484,214.840570328888
14,0.911419124578598,-1.62325909377093,0.942002707699744,11.9046103623862,3.66368699800286,159.494456400865
16,0.909418252164078,-1.48748502872298,0.950314511114808,7.09232634391294,1.38396679313725,122.450548448958
18,0.914589306403459,-1.38913134009011,0.960152791707806,4.57970480904663,0.545126077190847,96.4309098557891
20,0.9192102958824,-1.32276875303001,0.97031417191714,3.1451048155122,0.223253306948665,77.4670214141714
22,0.920083067403333,-1.2802136481829,0.968421364217189,2.26228496779618,0.0933616692312004,63.2392335470016
24,0.925515775116828,-1.25599803551718,0.973371943045339,1.68549050314558,0.0400704765905732,52.3132522608368
26,0.928034447156887,-1.23887192075287,0.978220345264514,1.29054218101539,0.017527967647064,43.8136983790333
28,0.927089949305339,-1.22239886796271,0.977769160501661,1.00997587241241,0.00781197025823721,37.2687125830266
30,0.932556999571888,-1.20887882581656,0.980715073584815,0.804742546276043,0.00356777889700188,31.9514427880253
