cohort,Patient,Tumor Sample,Normal Sample,Tumor epithelial cells,Normal epithelial cells,Tumor pass50,Normal pass50,paired included/excluded,exclusion reason
GSE294300,patient_01,GSE294300_tum_01,GSE294300_nor_01,937,29,True,False,excluded,normal epithelial <50
GSE294300,patient_02,GSE294300_tum_02,GSE294300_nor_02,20,111,False,True,excluded,tumor epithelial <50
GSE294300,patient_03,GSE294300_tum_03,GSE294300_nor_03,60,42,True,False,excluded,normal epithelial <50
GSE294300,patient_04,GSE294300_Tum_04,GSE294300_Nor_04,3016,1357,True,True,included,
GSE294300,patient_06,GSE294300_Tum6,GSE294300_Nor6,22,357,False,True,excluded,tumor epithelial <50
GSE294300,patient_07,GSE294300_Tum7,GSE294300_Nor7,23,47,False,False,excluded,tumor epithelial <50; normal epithelial <50
GSE294300,patient_08,GSE294300_Tum8,GSE294300_Nor8,1432,388,True,True,included,
GSE294300,patient_09,GSE294300_tum_09,GSE294300_nor_09,75,658,True,True,included,
GSE294300,patient_10,GSE294300_tum_10,GSE294300_nor_10,2314,459,True,True,included,
GSE294300,patient_11,GSE294300_tum_11,GSE294300_nor_11,480,102,True,True,included,
GSE294300,patient_15,GSE294300_tum_15,GSE294300_nor_15,101,7,True,False,excluded,normal epithelial <50
GSE294300,patient_16,GSE294300_tum_16,GSE294300_nor_16,70,24,True,False,excluded,normal epithelial <50
GSE294300,patient_17,GSE294300_tum_17,GSE294300_nor_17,283,420,True,True,included,
GSE294300,patient_18,GSE294300_tum_18,GSE294300_nor_18,469,201,True,True,included,
GSE294300,patient_19,GSE294300_tum_19,GSE294300_nor_19,578,171,True,True,included,
GSE294300,patient_20,GSE294300_tum_20,GSE294300_nor_20,134,1267,True,True,included,
GSE294300,patient_21,GSE294300_tum_21,GSE294300_nor_21,14,395,False,True,excluded,tumor epithelial <50
GSE294300,patient_23,GSE294300_tum_23,GSE294300_nor_23,183,243,True,True,included,
