cohort,Patient,Sample,Class,qc_pass_total_cells,confident_epithelial_cells,low_confidence_cells,ambiguous_cells,epithelial_pass_50
GSE132465,SMC01,SMC01-N,Normal,2435,159,0,0,True
GSE132465,SMC01,SMC01-T,Tumor,2791,1093,0,0,True
GSE132465,SMC02,SMC02-N,Normal,1316,119,0,0,True
GSE132465,SMC02,SMC02-T,Tumor,1689,352,0,0,True
GSE132465,SMC03,SMC03-N,Normal,1262,65,0,0,True
GSE132465,SMC03,SMC03-T,Tumor,2123,796,0,0,True
GSE132465,SMC04,SMC04-N,Normal,1788,169,0,0,True
GSE132465,SMC04,SMC04-T,Tumor,1841,307,0,0,True
GSE132465,SMC05,SMC05-N,Normal,1114,75,0,0,True
GSE132465,SMC05,SMC05-T,Tumor,660,13,0,0,False
GSE132465,SMC06,SMC06-N,Normal,1514,23,0,0,False
GSE132465,SMC06,SMC06-T,Tumor,1541,189,0,0,True
GSE132465,SMC07,SMC07-N,Normal,2214,128,0,0,True
GSE132465,SMC07,SMC07-T,Tumor,4070,542,0,0,True
GSE132465,SMC08,SMC08-N,Normal,1620,18,0,0,False
GSE132465,SMC08,SMC08-T,Tumor,2089,320,0,0,True
GSE132465,SMC09,SMC09-N,Normal,1154,189,0,0,True
GSE132465,SMC09,SMC09-T,Tumor,3789,1887,0,0,True
GSE132465,SMC10,SMC10-N,Normal,1987,125,0,0,True
GSE132465,SMC10,SMC10-T,Tumor,2200,511,0,0,True
GSE132465,SMC11,SMC11-T,Tumor,1698,326,0,0,True
GSE132465,SMC14,SMC14-T,Tumor,1749,166,0,0,True
GSE132465,SMC15,SMC15-T,Tumor,2027,319,0,0,True
GSE132465,SMC16,SMC16-T,Tumor,2956,2720,0,0,True
GSE132465,SMC17,SMC17-T,Tumor,1343,505,0,0,True
GSE132465,SMC18,SMC18-T,Tumor,1936,1516,0,0,True
GSE132465,SMC19,SMC19-T,Tumor,1540,382,0,0,True
GSE132465,SMC20,SMC20-T,Tumor,1681,524,0,0,True
GSE132465,SMC21,SMC21-T,Tumor,2348,1727,0,0,True
GSE132465,SMC22,SMC22-T,Tumor,2363,1902,0,0,True
GSE132465,SMC23,SMC23-T,Tumor,1639,639,0,0,True
GSE132465,SMC24,SMC24-T,Tumor,1580,317,0,0,True
GSE132465,SMC25,SMC25-T,Tumor,1632,416,0,0,True
GSE200997,cac1,T_cac1,Tumor,1696,1211,83,27,True
GSE200997,cac10,B_cac10,Normal,2843,304,143,170,True
GSE200997,cac10,T_cac10,Tumor,701,46,36,20,False
GSE200997,cac11,B_cac11,Normal,4645,379,144,78,True
GSE200997,cac11,T_cac11,Tumor,2866,752,101,49,True
GSE200997,cac12,T_cac12,Tumor,4053,273,198,110,True
GSE200997,cac13,T_cac13,Tumor,2660,22,102,81,False
GSE200997,cac14,B_cac14,Normal,4768,127,131,116,True
GSE200997,cac14,T_cac14,Tumor,4077,915,229,117,True
GSE200997,cac15,B_cac15,Normal,1035,392,73,20,True
GSE200997,cac15,T_cac15,Tumor,3679,51,105,79,True
GSE200997,cac16,T_cac16,Tumor,1381,76,67,22,True
GSE200997,cac2,T_cac2,Tumor,1677,985,158,30,True
GSE200997,cac3,T_cac3,Tumor,1188,671,183,21,True
GSE200997,cac4,B_cac4,Normal,2688,363,176,52,True
GSE200997,cac4,T_cac4,Tumor,1591,47,59,38,False
GSE200997,cac5,T_cac5,Tumor,161,2,11,2,False
GSE200997,cac6,B_cac6,Normal,717,155,64,23,True
GSE200997,cac6,T_cac6,Tumor,1693,49,52,17,False
GSE200997,cac7,B_cac7,Normal,1577,573,198,42,True
GSE200997,cac7,T_cac7,Tumor,1502,889,177,55,True
GSE200997,cac8,T_cac8,Tumor,999,289,28,8,True
GSE200997,cac9,T_cac9,Tumor,1649,181,99,46,True
GSE294300,patient_01,GSE294300_nor_01,Normal,3947,29,177,67,False
GSE294300,patient_01,GSE294300_tum_01,Tumor,6705,937,381,151,True
GSE294300,patient_02,GSE294300_nor_02,Normal,6318,111,293,185,True
GSE294300,patient_02,GSE294300_tum_02,Tumor,5638,20,264,122,False
GSE294300,patient_03,GSE294300_nor_03,Normal,7120,42,160,91,False
GSE294300,patient_03,GSE294300_tum_03,Tumor,6619,60,375,146,True
GSE294300,patient_04,GSE294300_Nor_04,Normal,2333,1357,54,16,True
GSE294300,patient_04,GSE294300_Tum_04,Tumor,4566,3016,129,17,True
GSE294300,patient_06,GSE294300_Nor6,Normal,1300,357,66,66,True
GSE294300,patient_06,GSE294300_Tum6,Tumor,4588,22,151,93,False
GSE294300,patient_07,GSE294300_Nor7,Normal,8266,47,234,196,False
GSE294300,patient_07,GSE294300_Tum7,Tumor,4433,23,393,106,False
GSE294300,patient_08,GSE294300_Nor8,Normal,9389,388,430,204,True
GSE294300,patient_08,GSE294300_Tum8,Tumor,3721,1432,330,73,True
GSE294300,patient_09,GSE294300_nor_09,Normal,7115,658,113,73,True
GSE294300,patient_09,GSE294300_tum_09,Tumor,7015,75,399,170,True
GSE294300,patient_10,GSE294300_nor_10,Normal,1762,459,91,17,True
GSE294300,patient_10,GSE294300_tum_10,Tumor,4955,2314,293,92,True
GSE294300,patient_11,GSE294300_nor_11,Normal,6554,102,334,105,True
GSE294300,patient_11,GSE294300_tum_11,Tumor,7495,480,462,181,True
GSE294300,patient_15,GSE294300_nor_15,Normal,6956,7,232,117,False
GSE294300,patient_15,GSE294300_tum_15,Tumor,7304,101,418,222,True
GSE294300,patient_16,GSE294300_nor_16,Normal,6730,24,298,103,False
GSE294300,patient_16,GSE294300_tum_16,Tumor,3796,70,182,43,True
GSE294300,patient_17,GSE294300_nor_17,Normal,4394,420,214,55,True
