cohort,threshold_variant,rule,similarity_threshold,margin_threshold,require_margin,confident_epithelial_cells_total,confident_epithelial_cells_tumor,confident_epithelial_cells_normal,matched_patient_n,matched_patients,median_delta_tumor_minus_normal_log1p_pseudobulk_cpm,wilcoxon_p_value,direction
GSE200997,strict,reference 5th percentile similarity + 5th percentile margin,0.17495292069381338,0.06334192271976279,True,8752,6459,2293,4,cac11;cac14;cac15;cac7,0.19747379111505037,0.625,Tumor higher
GSE200997,relaxed,reference 5th percentile similarity only; margin not required,0.17495292069381338,0.06334192271976279,False,8839,6523,2316,4,cac11;cac14;cac15;cac7,0.20472674440597127,0.625,Tumor higher
GSE200997,very_strict,reference 10th percentile similarity + 10th percentile margin,0.2577322022225565,0.13764920955114487,True,8147,6069,2078,3,cac11;cac14;cac7,-0.008761969372157896,1.0,Normal higher
GSE294300,strict,reference 5th percentile similarity + 5th percentile margin,0.17495292069381338,0.06334192271976279,True,16489,10211,6278,10,patient_04;patient_08;patient_09;patient_10;patient_11;patient_17;patient_18;patient_19;patient_20;patient_23,0.665450444465336,0.037109375,Tumor higher
GSE294300,relaxed,reference 5th percentile similarity only; margin not required,0.17495292069381338,0.06334192271976279,False,16744,10366,6378,10,patient_04;patient_08;patient_09;patient_10;patient_11;patient_17;patient_18;patient_19;patient_20;patient_23,0.6336067008420785,0.037109375,Tumor higher
GSE294300,very_strict,reference 10th percentile similarity + 10th percentile margin,0.2577322022225565,0.13764920955114487,True,15824,9777,6047,10,patient_04;patient_08;patient_09;patient_10;patient_11;patient_17;patient_18;patient_19;patient_20;patient_23,0.7001930434080657,0.037109375,Tumor higher
