"module","module_size","target_genes_in_network","target_overlap","non_target_in_module","odds_ratio","p_value","BH_FDR_across_WGCNA_modules"
"blue",2070,26,1,2069,0.249506253067826,0.979026030242627,0.979026030242627
"brown",1894,26,7,1887,2.55474693700858,0.0380159795892771,0.152063918357108
"grey",7251,26,9,7242,0.565255613076577,0.946257874570003,0.979026030242627
"turquoise",3785,26,9,3776,1.56995583744341,0.187873206506191,0.375746413012382
