probe_id,gene_symbol,mad,selection_rank
ENSG00000277446.1,Metazoa_SRP,4.3919999999999995,116
ENSG00000203907.9,OOEP,4.3919999999999995,117
ENSG00000231943.7,PGM5P4-AS1,4.3919999999999995,118
ENSG00000187021.14,PNLIPRP1,4.3919999999999995,119
ENSG00000106536.19,POU6F2,4.3919999999999995,120
ENSG00000203783.4,PRR9,4.3919999999999995,121
ENSG00000237412.6,PRSS56,4.3919999999999995,122
ENSG00000255038.1,RP11-1167A19.2,4.3919999999999995,123
ENSG00000254256.1,RP11-117L6.1,4.3919999999999995,124
ENSG00000275327.1,RP11-234G16.4,4.3919999999999995,125
ENSG00000225106.1,RP11-429E11.2,4.3919999999999995,126
ENSG00000258274.1,RP11-887P2.5,4.3919999999999995,127
ENSG00000271774.1,RP4-678D15.1,4.3919999999999995,128
ENSG00000228149.1,RPL3P1,4.3919999999999995,129
ENSG00000186910.3,SERPINA11,4.3919999999999995,130
ENSG00000241361.8,SLC25A24P1,4.3919999999999995,131
ENSG00000256981.1,TAS2R18,4.3919999999999995,132
ENSG00000181408.3,UTS2R,4.3919999999999995,133
ENSG00000238025.1,ZDHHC4P1,4.3919999999999995,134
ENSG00000267457.1,RP5-837J1.4,4.38585,135
ENSG00000229116.2,RP11-20J15.3,4.381499999999999,136
ENSG00000236924.1,RP11-390F4.6,4.37955,137
ENSG00000275558.1,RN7SKP175,4.3795,138
ENSG00000261790.1,AC005606.14,4.375500000000001,139
ENSG00000168269.8,FOXI1,4.359999999999999,140
ENSG00000102243.12,VGLL1,4.3579,141
ENSG00000257767.2,RP11-162P23.2,4.3454999999999995,142
ENSG00000282012.1,LL22NC03-N95F10.1,4.34295,143
ENSG00000183878.15,UTY,4.3395,144
ENSG00000260940.1,RP4-575N6.5,4.3315,145
ENSG00000269720.1,CTD-2521M24.5,4.3118,146
ENSG00000224497.1,RPL36P4,4.3027999999999995,147
ENSG00000188512.6,RP1-273G13.2,4.2971,148
ENSG00000200795.1,RNU4-1,4.2965,149
ENSG00000260953.1,RP11-426C22.6,4.2951,150
ENSG00000278679.1,GTF2IP18,4.29495,151
ENSG00000268530.5,CTC-273B12.5,4.289299999999999,152
ENSG00000235079.1,ZRANB2-AS1,4.283199999999999,153
ENSG00000153002.11,CPB1,4.2735,154
ENSG00000248727.5,CTC-236F12.4,4.267999999999999,155
ENSG00000274642.1,CH17-472G23.1,4.267499999999999,156
ENSG00000127318.10,IL22,4.267499999999999,157
ENSG00000267612.1,CTD-3116E22.7,4.260549999999999,158
ENSG00000121335.11,PRB2,4.256,159
ENSG00000230269.6,RP1-40E16.9,4.256,160
ENSG00000277559.1,RP11-434E6.4,4.255,161
ENSG00000230563.2,RP5-828H9.1,4.255,162
ENSG00000115263.14,GCG,4.2435,163
ENSG00000267733.5,RP11-64C12.3,4.228599999999999,164
ENSG00000237065.2,NANOGP4,4.228,165
ENSG00000259627.1,RP11-244F12.2,4.226,166
ENSG00000169469.8,SPRR1B,4.209,167
ENSG00000265246.1,RP11-663N22.1,4.20445,168
ENSG00000165841.9,CYP2C19,4.2033499999999995,169
ENSG00000180777.13,ANKRD30B,4.2005,170
ENSG00000272727.1,RP11-142A22.4,4.2005,171
ENSG00000212901.3,KRTAP3-1,4.196499999999999,172
ENSG00000268412.2,TRMT112P6,4.196,173
ENSG00000259087.5,RP11-356O9.2,4.1850000000000005,174
ENSG00000279372.1,RP11-1182P23.5,4.1834,175
ENSG00000276160.1,GGTLC5P,4.177849999999999,176
ENSG00000273971.1,RP11-77K12.10,4.1745,177
ENSG00000223401.1,RP11-211G3.2,4.155799999999999,178
ENSG00000184995.7,IFNE,4.143,179
ENSG00000260436.1,RP11-20I23.7,4.14025,180
ENSG00000267340.1,RP11-242D8.3,4.1375,181
ENSG00000260197.1,RP11-424G14.1,4.1361,182
ENSG00000148604.13,RGR,4.13555,183
