"sample_id","cohort","mean_expression","sd_expression","missing_values"
"TCGA-D5-6929-01","COAD",-2.15859603333333,4.19271301065697,0
"TCGA-AA-3511-01","COAD",-1.97207708666667,3.83408629393014,0
"TCGA-QG-A5YX-01","COAD",-2.35612782666667,3.98674161942845,0
"TCGA-CM-6164-01","COAD",-1.68685862,3.80930846991948,0
"TCGA-A6-A567-01","COAD",-2.28679293333333,4.2656795285512,0
"TCGA-G4-6320-01","COAD",-2.79216967333333,4.2241298082612,0
"TCGA-AY-A69D-01","COAD",-1.77407274666667,3.66330030706755,0
"TCGA-AY-A8YK-01","COAD",-1.80790720666667,3.91742896923701,0
"TCGA-F4-6806-01","COAD",-2.17801452,4.26451190005033,0
"TCGA-5M-AAT4-01","COAD",-2.21468695333333,3.8304714827817,0
"TCGA-CM-6167-01","COAD",-1.03456077333333,3.93750985497295,0
"TCGA-AZ-6603-01","COAD",-1.5738818,3.76340250718879,0
"TCGA-CM-6168-01","COAD",-1.41500653333333,3.98104993467052,0
"TCGA-G4-6314-01","COAD",-1.78500068666667,3.96548284508505,0
"TCGA-F4-6808-01","COAD",-2.65704056666667,4.25500420108854,0
"TCGA-AZ-4615-01","COAD",-2.68671727333333,4.43874814916433,0
"TCGA-AY-6386-01","COAD",-2.71445548666667,4.37769846436483,0
"TCGA-AZ-6598-01","COAD",-2.92672985333333,4.45934599763851,0
"TCGA-A6-6653-01","COAD",-2.97211575333333,4.51484594555591,0
"TCGA-NH-A50V-01","COAD",-1.7230326,3.78641992521932,0
"TCGA-AD-6899-01","COAD",-1.36347797333333,3.81910210696394,0
"TCGA-G4-6311-01","COAD",-1.98909252666667,4.13215181082028,0
"TCGA-DM-A280-01","COAD",-3.57689196666667,4.53144628932982,0
"TCGA-NH-A6GC-01","COAD",-1.78327856666667,4.19784327526364,0
"TCGA-F4-6570-01","COAD",-2.11637637333333,4.34081555605148,0
"TCGA-CM-6679-01","COAD",-1.36984797333333,3.74027188802449,0
"TCGA-A6-4105-01","COAD",-1.84963863333333,4.00998659847554,0
"TCGA-D5-5538-01","COAD",-1.9784281,4.14095663832877,0
"TCGA-NH-A50U-01","COAD",-1.92869670666667,3.76440354231536,0
"TCGA-D5-6924-01","COAD",-1.66673581333333,4.21035897425206,0
"TCGA-D5-6931-01","COAD",-1.75519756666667,4.03411197741368,0
"TCGA-A6-5656-01","COAD",-0.8071463458,2.68974852209417,0
"TCGA-A6-6649-01","COAD",-1.01175274,3.64967199846602,0
"TCGA-DM-A0X9-01","COAD",-2.40844602,3.75706554376952,0
"TCGA-DM-A28G-01","COAD",-2.32888004,3.79087014378011,0
"TCGA-F4-6703-01","COAD",-1.62950979333333,4.19775752556159,0
"TCGA-AA-3492-01","COAD",-3.04259104,4.49848442343288,0
"TCGA-G4-6293-01","COAD",-2.15205423333333,4.17679727747189,0
"TCGA-DM-A28E-01","COAD",-2.74282811333333,4.05164985336154,0
"TCGA-CK-6747-01","COAD",-2.46957678,4.19016555341407,0
"TCGA-CK-4947-01","COAD",-2.16052405333333,4.15336006390249,0
"TCGA-AD-6888-01","COAD",-2.88154282666667,4.25595911501162,0
"TCGA-F4-6809-01","COAD",-1.3144786,3.63277275509255,0
"TCGA-CK-5914-01","COAD",-2.31029126666667,4.00840568430231,0
"TCGA-AZ-4313-01","COAD",-3.45800857333333,4.38366012973566,0
"TCGA-G4-6588-01","COAD",-2.56713071333333,4.27762934514134,0
"TCGA-G4-6309-01","COAD",-2.03615677333333,4.10853570535273,0
"TCGA-CM-5868-01","COAD",-1.95101531333333,3.85815595146436,0
"TCGA-F4-6855-01","COAD",-2.17146434,4.22414230520651,0
"TCGA-AD-6964-01","COAD",-1.83246004666667,4.238121739344,0
"TCGA-G4-6295-01","COAD",-2.46446788,4.31594874315376,0
"TCGA-D5-5539-01","COAD",-1.89284524666667,3.89572390750255,0
"TCGA-AA-3506-01","COAD",-1.96357464,4.01552489341275,0
"TCGA-A6-5661-01","COAD",-2.19468215833333,4.06346789076612,0
"TCGA-RU-A8FL-01","COAD",-3.07580516666667,4.17758655892408,0
"TCGA-5M-AATE-01","COAD",-2.41097977333333,4.19877947998435,0
"TCGA-A6-6648-01","COAD",-1.8120018,3.7988952700314,0
"TCGA-A6-5662-01","COAD",-2.20248454,4.06606357967374,0
"TCGA-DM-A1D8-01","COAD",-2.43501122,3.81606478175847,0
"TCGA-D5-6539-01","COAD",-2.10968713333333,4.25363500326593,0
"TCGA-AZ-6599-01","COAD",-2.60238159333333,4.2316642566649,0
"TCGA-G4-6299-01","COAD",-1.90933325333333,4.18195757679461,0
"TCGA-AZ-5403-01","COAD",-2.49561389333333,4.29101270894842,0
"TCGA-AD-5900-01","COAD",-2.52210299333333,4.30683401828224,0
"TCGA-D5-6898-01","COAD",-1.71904175333333,3.95223575358195,0
"TCGA-AA-3489-01","COAD",-1.14765504666667,3.77787409619894,0
"TCGA-DM-A1D7-01","COAD",-2.21152634666667,3.88738326784088,0
"TCGA-AA-A02Y-01","COAD",-3.37436602666667,4.27509284972277,0
"TCGA-CM-6676-01","COAD",-1.85608792,3.93745699626454,0
"TCGA-CA-5797-01","COAD",-2.33352562666667,4.24005644617738,0
"TCGA-AA-3496-01","COAD",-1.76147625333333,3.85914883288268,0
"TCGA-NH-A8F7-01","COAD",-2.1624367,3.94274059737509,0
"TCGA-AA-3712-01","COAD",-1.96002174666667,3.96497499118878,0
"TCGA-CM-4743-01","COAD",-3.18788455333333,4.44215002270864,0
"TCGA-AA-3662-01","COAD",-1.81558462,3.81639213280565,0
"TCGA-A6-3809-01","COAD",-3.32256470806667,3.99672620888962,0
"TCGA-CM-4747-01","COAD",-2.62384802666667,4.01020790547927,0
"TCGA-A6-5666-01","COAD",-3.06471937333333,4.25970289870499,0
"TCGA-DM-A285-01","COAD",-1.58615395333333,3.6231565327617,0
"TCGA-CM-6171-01","COAD",-2.11254619333333,4.16105604681302,0
"TCGA-D5-6538-01","COAD",-2.5290565,3.94225596177379,0
"TCGA-A6-2675-01","COAD",-1.65640882666667,4.14045053422062,0
"TCGA-G4-6298-01","COAD",-2.83956166,4.16369461880543,0
"TCGA-A6-6650-01","COAD",-1.8495885826,3.20641425906074,0
"TCGA-AM-5820-01","COAD",-2.76177489333333,4.23360629540702,0
"TCGA-AA-3663-01","COAD",-3.18185262666667,4.31757671498204,0
"TCGA-A6-6654-01","COAD",-1.62214702666667,4.1329093232971,0
"TCGA-CM-5349-01","COAD",-2.30667754666667,4.13513286981486,0
"TCGA-AZ-6600-01","COAD",-1.79128556666667,3.9147165722411,0
"TCGA-AA-3509-01","COAD",-1.98969050666667,3.97372879637699,0
"TCGA-AZ-6606-01","COAD",-2.43784011333333,4.0283439172665,0
"TCGA-WS-AB45-01","COAD",-1.74972420666667,4.45997922480263,0
"TCGA-AD-6548-01","COAD",-1.80645628,3.90256294072015,0
"TCGA-D5-6926-01","COAD",-1.46320414,3.96058229166556,0
"TCGA-A6-6138-01","COAD",-2.29024266,4.33583977183151,0
"TCGA-AZ-4616-01","COAD",-2.41851263333333,3.9976980588304,0
"TCGA-AA-A02K-01","COAD",-2.06015806,3.92913779130137,0
"TCGA-A6-2685-01","COAD",-1.37048074666667,3.9354596560387,0
"TCGA-DM-A1HA-01","COAD",-2.58832061333333,4.0546649973097,0
"TCGA-AA-3713-01","COAD",-1.65292428,3.93909847063342,0
"TCGA-G4-6627-01","COAD",-1.60337575333333,4.05070284156879,0
"TCGA-AA-3502-01","COAD",-2.69119002,4.15858854332884,0
"TCGA-AA-A01X-01","COAD",-2.01333308666667,3.96172654492042,0
"TCGA-CK-5913-01","COAD",-2.35806024,4.29266598892343,0
"TCGA-4N-A93T-01","COAD",-2.23222425333333,4.03907805161247,0
"TCGA-QG-A5YV-01","COAD",-2.15054540666667,3.86677336967138,0
"TCGA-AZ-6607-01","COAD",-2.02743736,4.60649016684938,0
"TCGA-G4-6321-01","COAD",-3.00727546666667,4.54650030459364,0
"TCGA-D5-6536-01","COAD",-2.17350137333333,4.19697881493124,0
"TCGA-A6-6140-01","COAD",-2.13258364,4.13459413764453,0
"TCGA-A6-A566-01","COAD",-1.45894512,4.16384951952288,0
"TCGA-AD-6963-01","COAD",-2.11452022,3.85195060882103,0
"TCGA-D5-5541-01","COAD",-1.73769608666667,3.84845666025561,0
"TCGA-AM-5821-01","COAD",-3.00130483333333,4.47845377514022,0
"TCGA-A6-6652-01","COAD",-2.43342805333333,4.09312045696606,0
"TCGA-DM-A282-01","COAD",-2.55375944666667,3.91539402589062,0
"TCGA-AD-6901-01","COAD",-1.44001534,3.92226077250224,0
"TCGA-CM-6161-01","COAD",-1.87725155333333,3.95177594596785,0
"TCGA-5M-AAT5-01","COAD",-2.36535322,3.99229496050527,0
"TCGA-CK-6748-01","COAD",-2.42571378,4.24574177495571,0
"TCGA-AZ-4684-01","COAD",-2.20046234,4.2032100377489,0
"TCGA-G4-6302-01","COAD",-1.72103271333333,4.41964527836525,0
"TCGA-AU-6004-01","COAD",-1.68401239333333,3.90997891332685,0
"TCGA-G4-6310-01","COAD",-2.38118582,4.37087868282152,0
"TCGA-CA-5255-01","COAD",-2.79792576666667,4.1948285485938,0
"TCGA-NH-A6GA-01","COAD",-1.37680108666667,3.64586002134958,0
"TCGA-AA-3655-01","COAD",-1.91959108,4.09938174428659,0
"TCGA-CM-5863-01","COAD",-2.10165823333333,4.08923551724638,0
"TCGA-G4-6304-01","COAD",-3.02935356666667,4.36340708012623,0
"TCGA-CM-6678-01","COAD",-2.41228304,3.84228908540453,0
"TCGA-A6-5657-01","COAD",-1.48064122,3.68870192679709,0
"TCGA-A6-2672-01","COAD",-1.82958017193333,3.89942731553955,0
"TCGA-D5-6930-01","COAD",-2.30408890666667,4.26232371147035,0
"TCGA-F4-6805-01","COAD",-1.94979428,4.36550048936699,0
"TCGA-DM-A28M-01","COAD",-3.30787834666667,4.16968525043793,0
"TCGA-QL-A97D-01","COAD",-2.3785238,4.08565192249507,0
"TCGA-3L-AA1B-01","COAD",-1.27514221333333,3.65509746512009,0
"TCGA-CM-5860-01","COAD",-2.64070230666667,4.4355040065166,0
"TCGA-SS-A7HO-01","COAD",-2.02364794666667,3.96773260968292,0
"TCGA-D5-6537-01","COAD",-2.74099566666667,4.20165158184202,0
"TCGA-AA-3495-01","COAD",-2.15175664,4.0309131876727,0
"TCGA-CA-5254-01","COAD",-2.24431476,4.07428556896551,0
"TCGA-AD-A5EK-01","COAD",-1.91121988666667,3.72249811460468,0
"TCGA-CK-6746-01","COAD",-2.84954132,4.32700903058191,0
"TCGA-CA-6718-01","COAD",-1.70116116,4.0788200038483,0
"TCGA-AY-5543-01","COAD",-2.60859517333333,4.05284222298669,0
"TCGA-CK-4952-01","COAD",-2.731587,4.22323509563035,0
"TCGA-F4-6807-01","COAD",-1.69967670666667,4.06559476155955,0
"TCGA-CK-5915-01","COAD",-3.06284754666667,4.44999748951889,0
"TCGA-A6-6781-01","COAD",-1.16841799346667,3.45447113945862,0
"TCGA-AU-3779-01","COAD",-2.01835017333333,4.11861853780139,0
"TCGA-DM-A1D4-01","COAD",-2.96428657333333,4.05786098117681,0
