"Power","SFT.R.sq","slope","truncated.R.sq","mean.k.","median.k.","max.k."
1,0.489066631253943,14.896269552188,0.993005532137346,8172.09054440207,8155.20774771082,9218.11103062642
2,0.251593890817397,4.56207333989249,0.976599065929789,4534.24440319469,4476.51540742354,5922.27186492034
3,0.0240212288585541,0.755290970708897,0.902759092548668,2565.72050714099,2481.23591328508,3997.90061038118
4,0.0920691229287286,-0.977393890692151,0.832095003123224,1483.24352182541,1388.31250190013,2822.1230260167
5,0.380476055277324,-1.63095696399973,0.816907323893145,877.774762559734,784.60771680827,2073.72658518921
6,0.663805987559948,-1.92615301240258,0.864133811515819,532.888816435548,446.737999300756,1577.587211437
7,0.83730273488828,-2.04129067465145,0.911501192930098,332.545691897883,256.843329742357,1235.59284244399
8,0.903675090247697,-2.02054318506086,0.933138781761065,213.679879997324,149.101373053217,991.18735959567
9,0.922348700083696,-1.92847086405029,0.937758540649546,141.533393018491,87.2735284993873,810.784700086413
10,0.927146899621353,-1.81365326972677,0.935643296554414,96.6682444664882,51.5329470766043,673.817194413554
12,0.939119197846579,-1.61005204299227,0.949447030417788,49.2974774059505,18.5160932541945,484.950935061487
14,0.933421187671679,-1.48278156946945,0.952779480883968,27.9652291483691,6.9030497175033,368.465151211128
16,0.924024444404078,-1.40122243874799,0.956154302551919,17.2948588559314,2.68080342674008,288.200451241381
18,0.89982459559636,-1.35547080187892,0.95109078980612,11.4271683195292,1.07658883514174,230.363982748186
20,0.884715542133428,-1.33706920530392,0.947530460246018,7.93445563225509,0.452336557111494,187.264235468959
22,0.885371487895701,-1.31080735913399,0.952838389737753,5.72010342900951,0.197574774618116,154.298589359816
24,0.884769266407118,-1.30059613692839,0.958162573691732,4.24548213832541,0.0891722575447436,128.554758939719
26,0.889598858616069,-1.28786957341456,0.966008299185209,3.2250331051481,0.041588084767586,108.106403138846
28,0.892961277169175,-1.27939141706188,0.97024456182235,2.49701453295616,0.0194631202121678,91.6328532683396
30,0.891172531595954,-1.27354540466153,0.971053776523824,1.96460761783379,0.00937280715706601,78.2015921732414
