"module","module_size.x","target_overlap","target_genes","module_size.y","target_score_cor","target_score_p","cohort_COAD_cor","cohort_COAD_p","target_score_BH_FDR","cohort_COAD_BH_FDR"
"blue",2070,1,"NEAT1",2070,0.11285330013555,0.0278282018852903,0.0199479365933362,0.698301433955122,0.0278282018852903,0.698301433955122
"brown",1894,7,"CXCR4;ESR1;F3;HPGD;PTGER2;PTGER4;PTGS2",1894,0.76292112639748,1.32548499677806e-73,0.0288318289064946,0.575274348971489,5.30193998711222e-73,0.698301433955122
"grey",7251,9,"AKR1C3;CA9;CCL20;CYP2C9;CYP3A4;DKK1;IGFBP1;IL1A;NR1I2",7251,0.14341459532664,0.00509527653111533,-0.227669236768693,7.37836736110249e-06,0.00679370204148711,2.951346944441e-05
"turquoise",3785,9,"DUSP1;HSPA1A;MMP2;MMP9;NR3C1;PGR;PTGS1;SELE;TIMP2",3785,0.737221948941779,2.3952156138187e-66,-0.0801204115264338,0.118949897020234,4.79043122763741e-66,0.237899794040468
