test_id,biomarker,variable,matrix,exposure_axis,outcome_id,outcome_name,organ_system_id,organ_system_name,within_system_weight,cycles,estimable,fit_status,fit_reason,beta_interaction,se_interaction,ci_low_interaction,ci_high_interaction,p_interaction,pooled_n,pooled_cases,pooled_controls,male_beta,male_se,male_n,male_cases,female_beta,female_se,female_n,female_cases,model_specification,bh_q_interaction_fixed406
NHANES_LBXPFDE,LBXPFDE,LBXPFDE,serum_or_blood,PFAS exposure axis,T2D,Type 2 diabetes,metabolic,Metabolic,0.5,2003-2004;2005-2006;2007-2008;2009-2010;2011-2012;2013-2014;2015-2016;2017-2018,True,ok,,-0.07876622410125325,0.0650145586852987,-0.20744824739690446,0.04991579919439795,0.22800113647209344,11644,1786,9858,-0.06981190086029371,0.040855898942390466,5616,904,-0.16691107881248807,0.048247440240738806,6028,882,survey-weighted logit: exposure + female + exposure:female + age_centered + age_centered_sq + race + PIR + smoking + cycle fixed effects,0.6198615769692034
NHANES_LBXPFDE,LBXPFDE,LBXPFDE,serum_or_blood,PFAS exposure axis,any_cancer_history,Any cancer history,cancer,Cancer,1.0,2003-2004;2005-2006;2007-2008;2009-2010;2011-2012;2013-2014;2015-2016;2017-2018,True,ok,,0.10316615330345966,0.08032088058185072,-0.05581136858039046,0.26214367518730974,0.20138770599207673,11948,1125,10823,-0.0612989263044024,0.06430844732749114,5770,546,0.06295969482136811,0.051126393266763194,6178,579,survey-weighted logit: exposure + female + exposure:female + age_centered + age_centered_sq + race + PIR + smoking + cycle fixed effects,0.601201534064582
NHANES_LBXPFDE,LBXPFDE,LBXPFDE,serum_or_blood,PFAS exposure axis,arthritis,Arthritis,musculoskeletal_immune,Musculoskeletal/immune-related,1.0,2003-2004;2005-2006;2007-2008;2009-2010;2011-2012;2013-2014;2015-2016;2017-2018,True,ok,,-0.09427470958804561,0.04952597738258074,-0.19230049187680942,0.0037510727007182,0.059287776570857216,11925,3220,8705,-0.04863064291390907,0.04648543764513482,5759,1302,-0.16515095466386473,0.03573354682942909,6166,1918,survey-weighted logit: exposure + female + exposure:female + age_centered + age_centered_sq + race + PIR + smoking + cycle fixed effects,0.36182765374352965
NHANES_LBXPFDE,LBXPFDE,LBXPFDE,serum_or_blood,PFAS exposure axis,asthma,Asthma,respiratory,Respiratory,0.3333333333,2003-2004;2005-2006;2007-2008;2009-2010;2011-2012;2013-2014;2015-2016;2017-2018,True,ok,,-0.08214558851001413,0.07336428620459874,-0.22735406146368428,0.06306288444365601,0.26500810149881004,11945,1686,10259,-0.11696123009064352,0.05934849338210401,5769,692,-0.20396029944061841,0.04862964475892881,6176,994,survey-weighted logit: exposure + female + exposure:female + age_centered + age_centered_sq + race + PIR + smoking + cycle fixed effects,0.6560566415153468
NHANES_LBXPFDE,LBXPFDE,LBXPFDE,serum_or_blood,PFAS exposure axis,chronic_bronchitis,Chronic bronchitis,respiratory,Respiratory,0.3333333333,2003-2004;2005-2006;2007-2008;2009-2010;2011-2012;2013-2014;2015-2016;2017-2018,True,ok,,0.11375070674144978,0.09670667469910936,-0.07765889163347119,0.30516030511637077,0.24175035351899157,11929,719,11210,-0.23469986088622963,0.07889888030574778,5763,263,-0.0964107685167378,0.06363248191745735,6166,456,survey-weighted logit: exposure + female + exposure:female + age_centered + age_centered_sq + race + PIR + smoking + cycle fixed effects,0.6291707918507088
NHANES_LBXPFDE,LBXPFDE,LBXPFDE,serum_or_blood,PFAS exposure axis,congestive_heart_failure,Congestive heart failure,cardiovascular,Cardiovascular,0.2,2003-2004;2005-2006;2007-2008;2009-2010;2011-2012;2013-2014;2015-2016;2017-2018,True,ok,,-0.1446806819852959,0.11652742491470489,-0.37532109715813644,0.08595973318754466,0.21672689083420799,11923,397,11526,-0.049075184456276184,0.08918412264144619,5758,230,-0.16076639871879572,0.10172121462340857,6165,167,survey-weighted logit: exposure + female + exposure:female + age_centered + age_centered_sq + race + PIR + smoking + cycle fixed effects,0.6150251593353802
NHANES_LBXPFDE,LBXPFDE,LBXPFDE,serum_or_blood,PFAS exposure axis,coronary_heart_disease,Coronary heart disease,cardiovascular,Cardiovascular,0.2,2003-2004;2005-2006;2007-2008;2009-2010;2011-2012;2013-2014;2015-2016;2017-2018,True,ok,,-0.03933366100609163,0.10537599928833577,-0.24790228116486196,0.16923495915267872,0.7095851272327368,11917,498,11419,0.02836363331735362,0.07052216804997477,5753,344,0.03616292523354773,0.0972871667324281,6164,154,survey-weighted logit: exposure + female + exposure:female + age_centered + age_centered_sq + race + PIR + smoking + cycle fixed effects,0.9573168049977775
NHANES_LBXPFDE,LBXPFDE,LBXPFDE,serum_or_blood,PFAS exposure axis,emphysema,Emphysema,respiratory,Respiratory,0.3333333333,2003-2004;2005-2006;2007-2008;2009-2010;2011-2012;2013-2014;2015-2016;2017-2018,True,ok,,0.1457714680156036,0.1432456882897806,-0.13775187460573607,0.42929481063694325,0.3108340561407421,11941,235,11706,-0.2513939310782649,0.0951071983203709,5766,143,-0.054244723360144936,0.1070235785039205,6175,92,survey-weighted logit: exposure + female + exposure:female + age_centered + age_centered_sq + race + PIR + smoking + cycle fixed effects,0.7215600217986957
NHANES_LBXPFDE,LBXPFDE,LBXPFDE,serum_or_blood,PFAS exposure axis,hypertension,Hypertension,cardiovascular,Cardiovascular,0.2,2003-2004;2005-2006;2007-2008;2009-2010;2011-2012;2013-2014;2015-2016;2017-2018,True,ok,,0.054488707936531496,0.045034822496892314,-0.03464782078639648,0.14362523665945948,0.22860960704074632,11924,4252,7672,-0.07717704865828656,0.03509794303383972,5754,2044,-0.08129576006132103,0.04041871379478261,6170,2208,survey-weighted logit: exposure + female + exposure:female + age_centered + age_centered_sq + race + PIR + smoking + cycle fixed effects,0.6198615769692034
NHANES_LBXPFDE,LBXPFDE,LBXPFDE,serum_or_blood,PFAS exposure axis,liver_disease,Liver disease,hepatic,Hepatic,1.0,2003-2004;2005-2006;2007-2008;2009-2010;2011-2012;2013-2014;2015-2016;2017-2018,True,ok,,-0.03027323827805681,0.12356734308265667,-0.27484762350324965,0.214301146947136,0.8068661776769249,11940,448,11492,-0.01961874468017513,0.08927934622541207,5764,241,-0.09545912857386873,0.09652359825786636,6176,207,survey-weighted logit: exposure + female + exposure:female + age_centered + age_centered_sq + race + PIR + smoking + cycle fixed effects,0.9573168049977775
