index,test_id,biomarker,variable,organ_system_id,organ_system_name,SD,SL
47,NHANES_URXMBP,URXMBP,URXMBP,musculoskeletal_immune,Musculoskeletal/immune-related,0.0205404829740425,-0.0205404829740425
48,NHANES_URXMBP,URXMBP,URXMBP,respiratory,Respiratory,0.038029786856640484,0.038029786856640484
49,NHANES_URXMEP,URXMEP,URXMEP,cancer,Cancer,0.02556068752741343,0.02556068752741343
50,NHANES_URXMEP,URXMEP,URXMEP,cardiovascular,Cardiovascular,0.04656535173864557,0.04624796090055928
51,NHANES_URXMEP,URXMEP,URXMEP,endocrine,Endocrine,0.009185108723798763,0.009185108723798763
52,NHANES_URXMEP,URXMEP,URXMEP,hepatic,Hepatic,0.028474995030028965,0.028474995030028965
53,NHANES_URXMEP,URXMEP,URXMEP,metabolic,Metabolic,0.0663706991229648,0.0663706991229648
54,NHANES_URXMEP,URXMEP,URXMEP,musculoskeletal_immune,Musculoskeletal/immune-related,0.027528157595592427,0.027528157595592427
55,NHANES_URXMEP,URXMEP,URXMEP,respiratory,Respiratory,0.01443686437433059,0.011588358413250824
56,NHANES_URXMHH,URXMHH,URXMHH,cancer,Cancer,0.06390483384802416,0.06390483384802416
57,NHANES_URXMHH,URXMHH,URXMHH,cardiovascular,Cardiovascular,0.05135406465545889,0.04773278448243016
58,NHANES_URXMHH,URXMHH,URXMHH,endocrine,Endocrine,0.011464979105858178,-0.011464979105858178
59,NHANES_URXMHH,URXMHH,URXMHH,hepatic,Hepatic,0.0051732559255931575,0.0051732559255931575
60,NHANES_URXMHH,URXMHH,URXMHH,metabolic,Metabolic,0.053330400293442715,0.053330400293442715
61,NHANES_URXMHH,URXMHH,URXMHH,musculoskeletal_immune,Musculoskeletal/immune-related,0.007032345673471461,-0.007032345673471461
62,NHANES_URXMHH,URXMHH,URXMHH,respiratory,Respiratory,0.016161785751367147,0.016161785751367147
63,NHANES_URXMHP,URXMHP,URXMHP,cancer,Cancer,0.0759309257857806,0.0759309257857806
64,NHANES_URXMHP,URXMHP,URXMHP,cardiovascular,Cardiovascular,0.05248234030810077,0.0478875629192355
65,NHANES_URXMHP,URXMHP,URXMHP,endocrine,Endocrine,0.015701919505567964,0.015701919505567964
66,NHANES_URXMHP,URXMHP,URXMHP,hepatic,Hepatic,0.03346236405016561,0.03346236405016561
67,NHANES_URXMHP,URXMHP,URXMHP,metabolic,Metabolic,0.01785049599759386,-0.014784898530441754
68,NHANES_URXMHP,URXMHP,URXMHP,musculoskeletal_immune,Musculoskeletal/immune-related,0.033420219811840964,-0.033420219811840964
69,NHANES_URXMHP,URXMHP,URXMHP,respiratory,Respiratory,0.05746544700743052,0.03310067781630614
70,NHANES_URXMIB,URXMIB,URXMIB,cancer,Cancer,0.02793131560034257,-0.02793131560034257
71,NHANES_URXMIB,URXMIB,URXMIB,cardiovascular,Cardiovascular,0.07507710550605498,0.06275018659324891
72,NHANES_URXMIB,URXMIB,URXMIB,endocrine,Endocrine,0.03975634305772438,0.03975634305772438
73,NHANES_URXMIB,URXMIB,URXMIB,hepatic,Hepatic,0.007407949247495145,-0.007407949247495145
74,NHANES_URXMIB,URXMIB,URXMIB,metabolic,Metabolic,0.14595048606612848,0.14595048606612848
