mcop_log2,mcop_ng_ml,log_or_vs_median,se_log_or,or_vs_median,ci_low,ci_high
0.0,1.0,-0.9725008161742186,0.5415622031645001,0.37813620553090765,0.12926903592990557,1.1061194113866966
0.029400540761158018,1.0205879695318352,-0.9628395880668282,0.5361536859931935,0.3818071701276399,0.1319306645170846,1.104949449731597
0.058801081522316036,1.041599803553114,-0.9531783599594378,0.5307451720415913,0.3855137726264651,0.13464709474808564,1.10378073260881
0.08820162228347406,1.0630442285730308,-0.9435171318520473,0.525336661409137,0.3892563590018625,0.13741945491744312,1.10261325890439
0.11760216304463207,1.0849301507618856,-0.9338559037446569,0.5199281541994126,0.39303527858704873,0.14024889654717793,1.1014470275139387
0.14700270380579009,1.1072666596499405,-0.9241946756372665,0.5145196505203544,0.39685088410658403,0.1431365948647924,1.100282037343028
0.17640324456694811,1.1300630319024303,-0.9145334475298762,0.509111150484486,0.4007035317092958,0.14608374929108844,1.0991182873076593
0.20580378532810611,1.1533287351722907,-0.9048722194224857,0.5037026542091634,0.40459358100152154,0.1490915839380102,1.0979557763347447
0.23520432608926414,1.1770734320322076,-0.8952109913150954,0.4982941618168375,0.4085213950806743,0.1521613481167157,1.0967945033626227
0.26460486685042217,1.2013069839876194,-0.885549763207705,0.4928856734353344,0.4124873405691347,0.15529431685608622,1.0956344673416105
0.29400540761158017,1.226039455572337,-0.8758885351003145,0.4874771891981523,0.41649178764847106,0.1584917914318866,1.094475667234587
0.3234059483727382,1.251281118528488,-0.866227306992924,0.48206870924478085,0.42053511009399214,0.16175509990679338,1.0933181020176215
0.35280648913389623,1.277042456072513,-0.8565660788855337,0.4766602337210402,0.4246176853096356,0.16508559768151265,1.0921617706806408
0.38220702989505423,1.3033341672489938,-0.8469048507781433,0.47125176277944475,0.428739894363195,0.16848466805721282,1.091006672228146
0.41160757065621223,1.3301671713741157,-0.8372436226707529,0.46584329657959134,0.4329021220218881,0.17195372280950325,1.0898528056799743
0.4410081114173703,1.3575526125706132,-0.8275823945633624,0.4604348352885757,0.43710475678827193,0.17549420277419214,1.0887001700721215
0.4704086521785283,1.3855018643960801,-0.817921166455972,0.4550263790814378,0.44134819093650474,0.1791075784450645,1.0875487644576158
0.4998091929396863,1.4140265345665672,-0.8082599383485816,0.44961792814163964,0.4456328205489615,0.18279535058392254,1.0863985879074618
0.5292097337008443,1.44313846977743,-0.7985987102411912,0.4442094826615778,0.44995904555320393,0.1865590508431378,1.0852496395116467
0.5586102744620023,1.472849760623427,-0.7889374821338009,0.4388010428431344,0.4543272697593101,0.19040024240096726,1.0841019183802276
0.5880108152231603,1.5031727466201126,-0.7792762540264104,0.4333926088982687,0.45873790089756583,0.1943205206098925,1.082955423644495
0.6174113559843184,1.5341200213286124,-0.7696150259190201,0.4279841810496538,0.463191350656522,0.1983215136582427,1.0818101544582281
0.6468118967454763,1.565704437585904,-0.7599537978116295,0.4225757595313622,0.46768803472142245,0.20240488324537131,1.0806661099990458
0.6762124375066344,1.5979391128427816,-0.7502925697042392,0.417167344589605,0.4722283728130028,0.20657232527065597,1.0795232894698596
0.7056129782677925,1.6308374346117165,-0.7406313415968487,0.4117589364835287,0.47681278872666844,0.21082557053660136,1.078381692100448
0.7350135190289504,1.6644130660268786,-0.7309701134894584,0.4063505354860759,0.4814417103720508,0.21516638546632513,1.0772413171491495
0.7644140597901085,1.6986799515186282,-0.7213088853820679,0.4009421418849164,0.486115569812949,0.21959657283571477,1.0761021639046973
0.7938146005512665,1.7336523226048328,-0.7116476572746775,0.39553375598345314,0.49083480330765816,0.22411797252054683,1.074964231688203
0.8232151413124245,1.769344703801416,-0.7019864291672873,0.3901253781019137,0.4955998513496901,0.2287324622588654,1.0738275198553064
