Analysis,Cycles,status,N,CRC_N,Control_N,beta,SE,OR,CI_low,CI_high,P,design_df,PSU_N,strata_N,message,Dropped_cycle,analysis_family,Sex_group,Effect,Female_OR,Female_CI_low,Female_CI_high,Male_OR,Male_CI_low,Male_CI_high,Interaction_OR_Male_vs_Female,Interaction_CI_low,Interaction_CI_high,Interaction_P,Excluded_known_timing_CRC_N,Timing_known_CRC_N,Timing_missing_CRC_N,Exam_age_median,Exam_age_Q1,Exam_age_Q3,Diagnosis_age_median,Diagnosis_age_Q1,Diagnosis_age_Q3,Years_since_diagnosis_median,Years_since_diagnosis_Q1,Years_since_diagnosis_Q3,Exposure,Excluded_fraction,Cutoff_log2,Retained_exposure_n,Normalization,Model_role,Secondary_exposure,Secondary_OR,Secondary_CI_low,Secondary_CI_high,Secondary_P,Complete_case_N,Complete_case_CRC_N,MCOP_BH_FDR,Burden_definition
LOCO_drop_2005-2006,2005-2006;2007-2008;2009-2010;2011-2012;2013-2014;2015-2016;2017-2018,ok,8650,64,8586,0.17961717010998154,0.0770037254821123,1.1967591202504888,1.0270847691079257,1.3944636654934421,0.021804105929388935,94.0,184.0,90.0,Newton-IRLS converged,2005-2006,LOCO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOCO_drop_2007-2008,2005-2006;2007-2008;2009-2010;2011-2012;2013-2014;2015-2016;2017-2018,ok,8460,57,8403,0.23463669118807529,0.07656219039526216,1.2644492997005583,1.0861065777532508,1.4720765569992396,0.002851775936767635,93.0,182.0,89.0,Newton-IRLS converged,2007-2008,LOCO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOCO_drop_2009-2010,2005-2006;2007-2008;2009-2010;2011-2012;2013-2014;2015-2016;2017-2018,ok,8362,54,8308,0.19700945133772976,0.07354006008687757,1.2177555500704949,1.052294971938963,1.4092327904931858,0.008733916646941448,93.0,183.0,90.0,Newton-IRLS converged,2009-2010,LOCO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOCO_drop_2011-2012,2005-2006;2007-2008;2009-2010;2011-2012;2013-2014;2015-2016;2017-2018,ok,8521,60,8461,0.28884044176215107,0.08754414321484796,1.3348787206389714,1.1218400250817322,1.5883737065674008,0.0013793156036251647,92.0,183.0,91.0,Newton-IRLS converged,2011-2012,LOCO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOCO_drop_2013-2014,2005-2006;2007-2008;2009-2010;2011-2012;2013-2014;2015-2016;2017-2018,ok,8452,63,8389,0.23167268024265616,0.07952572781979315,1.2607070069744013,1.0765618419675351,1.4763500762107473,0.004469911151366608,94.0,184.0,90.0,Newton-IRLS converged,2013-2014,LOCO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOCO_drop_2015-2016,2005-2006;2007-2008;2009-2010;2011-2012;2013-2014;2015-2016;2017-2018,ok,8559,61,8498,0.2098502398243912,0.07976501525531196,1.2334933179476826,1.0528227940039123,1.4451679561716715,0.009953381507526964,94.0,184.0,90.0,Newton-IRLS converged,2015-2016,LOCO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOCO_drop_2017-2018,2005-2006;2007-2008;2009-2010;2011-2012;2013-2014;2015-2016;2017-2018,ok,8612,61,8551,0.19617278378889658,0.07971377425382026,1.2167371196226022,1.038626551047657,1.4253912696283233,0.015681273803421714,94.0,184.0,90.0,Newton-IRLS converged,2017-2018,LOCO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Age_ge_40_7_cycle,2005-2006;2007-2008;2009-2010;2011-2012;2013-2014;2015-2016;2017-2018,ok,6178,69,6109,0.2000344070383482,0.07716504016786281,1.221444783734692,1.0482224303526182,1.423292725391127,0.010840487594437996,109.0,214.0,105.0,Newton-IRLS converged,,age_restriction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Female_MCOP_primary,,ok,5065,33,5032,0.1286786405096183,0.09280119271607282,1.1373245753866479,0.946248266252125,1.3669850037366071,0.16839156676385397,109.0,214.0,105.0,Newton-IRLS converged,,sex_specific,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male_MCOP_primary,,ok,4871,37,4834,0.30160480308444937,0.10844068582027325,1.3520268042925943,1.0905464372751728,1.6762023303592706,0.006381118306393032,109.0,214.0,105.0,Newton-IRLS converged,,sex_specific,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
