dataset_id,donor_key,donor_id,group,compartment,n_cells,PPARA,PPARD,PPARG,NR1I2,NR1I3,NR1H2,NR1H3,RELA,STAT3,target_gene_total_counts,PPAR_nuclear_receptor_score,PPAR_nuclear_receptor_score_n_genes,RELA_STAT3_score,RELA_STAT3_score_n_genes,DINP_axis_9_gene_score,DINP_axis_9_gene_score_n_genes
GSE144735,GSE144735::KUL01,KUL01,normal,epithelial,172,46.0,16.0,85.0,7.0,0.0,62.0,23.0,36.0,71.0,346.0,0.1690153868379674,7.0,-0.5834010426990335,2.0,0.0018117358297449944,9.0
GSE144735,GSE144735::KUL01,KUL01,tumor,epithelial,730,217.0,53.0,169.0,32.0,0.0,196.0,66.0,256.0,485.0,1474.0,-0.04957770862251894,7.0,0.45227780840562803,2.0,0.06194573960595817,9.0
GSE144735,GSE144735::KUL19,KUL19,normal,epithelial,287,67.0,25.0,96.0,24.0,1.0,112.0,28.0,68.0,194.0,615.0,0.2645637503134818,7.0,0.29953628813966715,2.0,0.27233542538596744,9.0
GSE144735,GSE144735::KUL19,KUL19,tumor,epithelial,574,64.0,34.0,162.0,28.0,0.0,50.0,25.0,65.0,113.0,541.0,-0.14021441350362746,7.0,-0.5260164561561782,2.0,-0.22594820075974983,9.0
GSE144735,GSE144735::KUL21,KUL21,normal,epithelial,249,25.0,13.0,73.0,6.0,1.0,55.0,16.0,31.0,80.0,300.0,0.2242973247152004,7.0,-0.051931981208737266,2.0,0.1629130345098809,9.0
GSE144735,GSE144735::KUL21,KUL21,tumor,epithelial,759,181.0,76.0,60.0,46.0,2.0,301.0,161.0,248.0,401.0,1476.0,0.5626131862139002,7.0,0.05807528942276474,2.0,0.45049365359364796,9.0
GSE144735,GSE144735::KUL28,KUL28,normal,epithelial,20,4.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,6.0,13.0,-0.9703560730787526,7.0,-0.6506605333692814,2.0,-0.8993126198099812,9.0
GSE144735,GSE144735::KUL28,KUL28,tumor,epithelial,40,12.0,3.0,18.0,4.0,0.0,4.0,7.0,18.0,23.0,89.0,-0.2052562770875773,7.0,-0.0160525806824946,2.0,-0.16321101121978115,9.0
GSE144735,GSE144735::KUL30,KUL30,normal,epithelial,150,136.0,10.0,114.0,7.0,1.0,59.0,42.0,38.0,154.0,561.0,0.49028340858719843,7.0,-0.05570143114674933,2.0,0.3689534442018767,9.0
GSE144735,GSE144735::KUL30,KUL30,tumor,epithelial,68,47.0,8.0,47.0,7.0,0.0,24.0,16.0,22.0,133.0,304.0,-0.14743032303423734,7.0,0.9013886531360192,2.0,0.085640560559153,9.0
GSE144735,GSE144735::KUL31,KUL31,normal,epithelial,266,96.0,9.0,96.0,15.0,0.0,87.0,30.0,47.0,165.0,545.0,0.1395138938314653,7.0,0.17916811002627694,2.0,0.14832594187475678,9.0
GSE144735,GSE144735::KUL31,KUL31,tumor,epithelial,41,15.0,3.0,29.0,11.0,0.0,14.0,2.0,9.0,32.0,115.0,-0.3374521551724978,7.0,-0.006682123867870829,2.0,-0.2639477037714696,9.0
