stringId_A	stringId_B	preferredName_A	preferredName_B	ncbiTaxonId	score	nscore	fscore	pscore	ascore	escore	dscore	tscore
9606.ENSP00000218388	9606.ENSP00000386884	TIMP1	CXCR4	9606	0.452	0	0	0	0.047	0	0	0.449
9606.ENSP00000218388	9606.ENSP00000264657	TIMP1	STAT3	9606	0.772	0	0	0	0.082	0	0.5	0.544
9606.ENSP00000218388	9606.ENSP00000361405	TIMP1	MMP9	9606	0.999	0	0	0	0.075	0.572	0.9	0.999
9606.ENSP00000264657	9606.ENSP00000302846	STAT3	PTGER4	9606	0.425	0	0	0	0.057	0	0	0.415
9606.ENSP00000264657	9606.ENSP00000386884	STAT3	CXCR4	9606	0.775	0	0	0	0.069	0	0	0.768
9606.ENSP00000264657	9606.ENSP00000361405	STAT3	MMP9	9606	0.89	0	0	0	0.061	0	0.5	0.786
9606.ENSP00000302846	9606.ENSP00000386884	PTGER4	CXCR4	9606	0.428	0	0	0	0.13	0	0	0.37
9606.ENSP00000302846	9606.ENSP00000361405	PTGER4	MMP9	9606	0.431	0	0	0	0.124	0	0	0.378
9606.ENSP00000302846	9606.ENSP00000482075	PTGER4	PTGES3	9606	0.638	0	0	0	0.093	0	0	0.617
9606.ENSP00000361405	9606.ENSP00000386884	MMP9	CXCR4	9606	0.844	0	0	0	0.148	0	0	0.824
