gene_symbol,entrez_id,ctd_chemical_name,ctd_chemical_id,organism,ctd_raw_rows,ctd_unique_reference_count,ctd_pubmed_ids,ctd_interaction_types,ctd_interaction_evidence,source,ctd_identity_note,disease_branch,disease_relevance_score,disease_rank,disease_id,disease_name,ensembl_id
CYP1A1,1543,2-naphthol,C028405,Homo sapiens,1,1,16243959,increases^abundance,CYP1A1 protein results in increased abundance of 2-naphthol,CTD chemical-gene interaction,Exact CTD C028405 (2-naphthol; synonyms include 2-hydroxynaphthalene/2-NAP),thyroid,0.0037573951892944687,1311,MONDO_0003240,thyroid gland disorder,ENSG00000140465
CYP2B6,1555,2-naphthol,C028405,Homo sapiens,1,1,16243959,increases^abundance,CYP2B6 protein results in increased abundance of 2-naphthol,CTD chemical-gene interaction,Exact CTD C028405 (2-naphthol; synonyms include 2-hydroxynaphthalene/2-NAP),thyroid,0.0022174791281082107,1723,MONDO_0003240,thyroid gland disorder,ENSG00000197408
THRB,7068,2-naphthol,C028405,Homo sapiens,1,1,18584933,affects^binding|decreases^activity,2-naphthol binds to and results in decreased activity of THRB protein,CTD chemical-gene interaction,Exact CTD C028405 (2-naphthol; synonyms include 2-hydroxynaphthalene/2-NAP),thyroid,0.011997595746015055,746,MONDO_0003240,thyroid gland disorder,ENSG00000151090
