gene_symbol,entrez_id,ctd_chemical_name,ctd_chemical_id,organism,ctd_raw_rows,ctd_unique_reference_count,ctd_pubmed_ids,ctd_interaction_types,ctd_interaction_evidence,source,ctd_identity_note,disease_branch,disease_relevance_score,disease_rank,disease_id,disease_name,ensembl_id
CES1,1066,2-naphthol,C028405,Homo sapiens,1,1,12837533,affects^metabolic processing,CES1 protein affects the metabolism of 2-naphthol,CTD chemical-gene interaction,Exact CTD C028405 (2-naphthol; synonyms include 2-hydroxynaphthalene/2-NAP),hypertension,0.010040252718934398,1814,HP_0000822,Hypertension,ENSG00000198848
CYP1A1,1543,2-naphthol,C028405,Homo sapiens,1,1,16243959,increases^abundance,CYP1A1 protein results in increased abundance of 2-naphthol,CTD chemical-gene interaction,Exact CTD C028405 (2-naphthol; synonyms include 2-hydroxynaphthalene/2-NAP),hypertension,0.032721047162329854,572,HP_0000822,Hypertension,ENSG00000140465
CYP1A2,1544,2-naphthol,C028405,Homo sapiens,3,3,15916432;16243959;32278787,affects^binding; decreases^activity; increases^abundance,2-naphthol binds to CYP1A2 protein || 2-naphthol results in decreased activity of CYP1A2 protein || CYP1A2 protein results in increased abundance of 2-naphthol,CTD chemical-gene interaction,Exact CTD C028405 (2-naphthol; synonyms include 2-hydroxynaphthalene/2-NAP),hypertension,0.03398876205184365,543,HP_0000822,Hypertension,ENSG00000140505
CYP2B6,1555,2-naphthol,C028405,Homo sapiens,1,1,16243959,increases^abundance,CYP2B6 protein results in increased abundance of 2-naphthol,CTD chemical-gene interaction,Exact CTD C028405 (2-naphthol; synonyms include 2-hydroxynaphthalene/2-NAP),hypertension,0.011071665456953976,1664,HP_0000822,Hypertension,ENSG00000197408
CYP2E1,1571,2-naphthol,C028405,Homo sapiens,1,1,16243959,increases^abundance,CYP2E1 protein results in increased abundance of 2-naphthol,CTD chemical-gene interaction,Exact CTD C028405 (2-naphthol; synonyms include 2-hydroxynaphthalene/2-NAP),hypertension,0.009359882418787676,1922,HP_0000822,Hypertension,ENSG00000130649
CYP3A4,1576,2-naphthol,C028405,Homo sapiens,1,1,16243959,increases^abundance,CYP3A4 protein results in increased abundance of 2-naphthol,CTD chemical-gene interaction,Exact CTD C028405 (2-naphthol; synonyms include 2-hydroxynaphthalene/2-NAP),hypertension,0.050329021583208004,331,HP_0000822,Hypertension,ENSG00000160868
THRB,7068,2-naphthol,C028405,Homo sapiens,1,1,18584933,affects^binding|decreases^activity,2-naphthol binds to and results in decreased activity of THRB protein,CTD chemical-gene interaction,Exact CTD C028405 (2-naphthol; synonyms include 2-hydroxynaphthalene/2-NAP),hypertension,0.0036957985468470188,3372,HP_0000822,Hypertension,ENSG00000151090
