gene_symbol,ensembl_id,approved_name,disease_id,disease_name,disease_relevance_score,rank,source,association_scope
TSHR,ENSG00000165409,thyroid stimulating hormone receptor,MONDO_0003240,thyroid gland disorder,0.7055254222897115,1,Open Targets Platform GraphQL,direct (enableIndirect=false)
TG,ENSG00000042832,thyroglobulin,MONDO_0003240,thyroid gland disorder,0.6554797179814813,2,Open Targets Platform GraphQL,direct (enableIndirect=false)
CTLA4,ENSG00000163599,cytotoxic T-lymphocyte associated protein 4,MONDO_0003240,thyroid gland disorder,0.5478942616848343,3,Open Targets Platform GraphQL,direct (enableIndirect=false)
SH2B3,ENSG00000111252,SH2B adaptor protein 3,MONDO_0003240,thyroid gland disorder,0.5443836320193067,4,Open Targets Platform GraphQL,direct (enableIndirect=false)
TLR3,ENSG00000164342,toll like receptor 3,MONDO_0003240,thyroid gland disorder,0.5411976998117564,5,Open Targets Platform GraphQL,direct (enableIndirect=false)
TPO,ENSG00000115705,thyroid peroxidase,MONDO_0003240,thyroid gland disorder,0.5359288509865496,6,Open Targets Platform GraphQL,direct (enableIndirect=false)
TBX21,ENSG00000073861,T-box transcription factor 21,MONDO_0003240,thyroid gland disorder,0.5249186950251701,7,Open Targets Platform GraphQL,direct (enableIndirect=false)
IFIH1,ENSG00000115267,interferon induced with helicase C domain 1,MONDO_0003240,thyroid gland disorder,0.5237291659993784,8,Open Targets Platform GraphQL,direct (enableIndirect=false)
BACH2,ENSG00000112182,BACH transcriptional regulator 2,MONDO_0003240,thyroid gland disorder,0.5183885950347165,9,Open Targets Platform GraphQL,direct (enableIndirect=false)
PTPN22,ENSG00000134242,protein tyrosine phosphatase non-receptor type 22,MONDO_0003240,thyroid gland disorder,0.5158370414073511,10,Open Targets Platform GraphQL,direct (enableIndirect=false)
FCRL3,ENSG00000160856,Fc receptor like 3,MONDO_0003240,thyroid gland disorder,0.49861891931828944,11,Open Targets Platform GraphQL,direct (enableIndirect=false)
PDE10A,ENSG00000112541,phosphodiesterase 10A,MONDO_0003240,thyroid gland disorder,0.49572006002156355,12,Open Targets Platform GraphQL,direct (enableIndirect=false)
C1QTNF6,ENSG00000133466,C1q and TNF related 6,MONDO_0003240,thyroid gland disorder,0.48855467999632435,13,Open Targets Platform GraphQL,direct (enableIndirect=false)
RNASET2,ENSG00000026297,ribonuclease T2,MONDO_0003240,thyroid gland disorder,0.4816202561817513,14,Open Targets Platform GraphQL,direct (enableIndirect=false)
ADCY7,ENSG00000121281,adenylate cyclase 7,MONDO_0003240,thyroid gland disorder,0.4807464385595337,15,Open Targets Platform GraphQL,direct (enableIndirect=false)
VAV3,ENSG00000134215,vav guanine nucleotide exchange factor 3,MONDO_0003240,thyroid gland disorder,0.475248757939139,16,Open Targets Platform GraphQL,direct (enableIndirect=false)
CLNK,ENSG00000109684,cytokine dependent hematopoietic cell linker,MONDO_0003240,thyroid gland disorder,0.4725831002501431,17,Open Targets Platform GraphQL,direct (enableIndirect=false)
LPP,ENSG00000145012,LIM domain containing preferred translocation partner in lipoma,MONDO_0003240,thyroid gland disorder,0.4685045340733496,18,Open Targets Platform GraphQL,direct (enableIndirect=false)
PDE8B,ENSG00000113231,phosphodiesterase 8B,MONDO_0003240,thyroid gland disorder,0.4591247472734326,19,Open Targets Platform GraphQL,direct (enableIndirect=false)
IRF4,ENSG00000137265,interferon regulatory factor 4,MONDO_0003240,thyroid gland disorder,0.4490745214910451,20,Open Targets Platform GraphQL,direct (enableIndirect=false)
FLT3,ENSG00000122025,fms related receptor tyrosine kinase 3,MONDO_0003240,thyroid gland disorder,0.44644708699497515,21,Open Targets Platform GraphQL,direct (enableIndirect=false)
JAK1,ENSG00000162434,Janus kinase 1,MONDO_0003240,thyroid gland disorder,0.4423591329601506,22,Open Targets Platform GraphQL,direct (enableIndirect=false)
IL7R,ENSG00000168685,interleukin 7 receptor,MONDO_0003240,thyroid gland disorder,0.4402243391134126,23,Open Targets Platform GraphQL,direct (enableIndirect=false)
ACAP1,ENSG00000072818,"ArfGAP with coiled-coil, ankyrin repeat and PH domains 1",MONDO_0003240,thyroid gland disorder,0.43866812854690374,24,Open Targets Platform GraphQL,direct (enableIndirect=false)
ARID5B,ENSG00000150347,AT-rich interaction domain 5B,MONDO_0003240,thyroid gland disorder,0.4326258996768517,25,Open Targets Platform GraphQL,direct (enableIndirect=false)
SYN2,ENSG00000157152,synapsin II,MONDO_0003240,thyroid gland disorder,0.4308091023391617,26,Open Targets Platform GraphQL,direct (enableIndirect=false)
NEK6,ENSG00000119408,NIMA related kinase 6,MONDO_0003240,thyroid gland disorder,0.4285663228092222,27,Open Targets Platform GraphQL,direct (enableIndirect=false)
SPATA13,ENSG00000182957,spermatogenesis associated 13,MONDO_0003240,thyroid gland disorder,0.42283126613063254,28,Open Targets Platform GraphQL,direct (enableIndirect=false)
SASH1,ENSG00000111961,SAM and SH3 domain containing 1,MONDO_0003240,thyroid gland disorder,0.4209248538272407,29,Open Targets Platform GraphQL,direct (enableIndirect=false)
NRG1,ENSG00000157168,neuregulin 1,MONDO_0003240,thyroid gland disorder,0.419283371970387,30,Open Targets Platform GraphQL,direct (enableIndirect=false)
NFIA,ENSG00000162599,nuclear factor I A,MONDO_0003240,thyroid gland disorder,0.41909636809257755,31,Open Targets Platform GraphQL,direct (enableIndirect=false)
IL2RA,ENSG00000134460,interleukin 2 receptor subunit alpha,MONDO_0003240,thyroid gland disorder,0.41848433302104526,32,Open Targets Platform GraphQL,direct (enableIndirect=false)
FOXA2,ENSG00000125798,forkhead box A2,MONDO_0003240,thyroid gland disorder,0.41785780085994834,33,Open Targets Platform GraphQL,direct (enableIndirect=false)
SLC1A2,ENSG00000110436,solute carrier family 1 member 2,MONDO_0003240,thyroid gland disorder,0.41784962429272204,34,Open Targets Platform GraphQL,direct (enableIndirect=false)
GLIS3,ENSG00000107249,GLIS family zinc finger 3,MONDO_0003240,thyroid gland disorder,0.41591081266815105,35,Open Targets Platform GraphQL,direct (enableIndirect=false)
CAPZB,ENSG00000077549,capping actin protein of muscle Z-line subunit beta,MONDO_0003240,thyroid gland disorder,0.41351379361544244,36,Open Targets Platform GraphQL,direct (enableIndirect=false)
VEGFC,ENSG00000150630,vascular endothelial growth factor C,MONDO_0003240,thyroid gland disorder,0.41223501455220135,37,Open Targets Platform GraphQL,direct (enableIndirect=false)
RTKN2,ENSG00000182010,rhotekin 2,MONDO_0003240,thyroid gland disorder,0.4106258719051652,38,Open Targets Platform GraphQL,direct (enableIndirect=false)
APOBR,ENSG00000184730,apolipoprotein B receptor,MONDO_0003240,thyroid gland disorder,0.40922204312971305,39,Open Targets Platform GraphQL,direct (enableIndirect=false)
STAT4,ENSG00000138378,signal transducer and activator of transcription 4,MONDO_0003240,thyroid gland disorder,0.4059722850013036,40,Open Targets Platform GraphQL,direct (enableIndirect=false)
TGFB2,ENSG00000092969,transforming growth factor beta 2,MONDO_0003240,thyroid gland disorder,0.40239095012018666,41,Open Targets Platform GraphQL,direct (enableIndirect=false)
BRD7,ENSG00000166164,bromodomain containing 7,MONDO_0003240,thyroid gland disorder,0.4022412468939354,42,Open Targets Platform GraphQL,direct (enableIndirect=false)
RAB20,ENSG00000139832,"RAB20, member RAS oncogene family",MONDO_0003240,thyroid gland disorder,0.3987074146520946,43,Open Targets Platform GraphQL,direct (enableIndirect=false)
PLEKHA1,ENSG00000107679,pleckstrin homology domain containing A1,MONDO_0003240,thyroid gland disorder,0.3962848660856749,44,Open Targets Platform GraphQL,direct (enableIndirect=false)
NFATC1,ENSG00000131196,nuclear factor of activated T cells 1,MONDO_0003240,thyroid gland disorder,0.39619578212011447,45,Open Targets Platform GraphQL,direct (enableIndirect=false)
AGO2,ENSG00000123908,argonaute RISC catalytic component 2,MONDO_0003240,thyroid gland disorder,0.3904640473016085,46,Open Targets Platform GraphQL,direct (enableIndirect=false)
RASGRP1,ENSG00000172575,RAS guanyl releasing protein 1,MONDO_0003240,thyroid gland disorder,0.3902571194360788,47,Open Targets Platform GraphQL,direct (enableIndirect=false)
POU5F1B,ENSG00000212993,POU class 5 homeobox 1B,MONDO_0003240,thyroid gland disorder,0.38976720775449564,48,Open Targets Platform GraphQL,direct (enableIndirect=false)
TRIB2,ENSG00000071575,tribbles pseudokinase 2,MONDO_0003240,thyroid gland disorder,0.38859792923009395,49,Open Targets Platform GraphQL,direct (enableIndirect=false)
ITPK1,ENSG00000100605,inositol-tetrakisphosphate 1-kinase,MONDO_0003240,thyroid gland disorder,0.3871651419794481,50,Open Targets Platform GraphQL,direct (enableIndirect=false)
TAGAP,ENSG00000164691,T cell activation RhoGTPase activating protein,MONDO_0003240,thyroid gland disorder,0.3858873530637692,51,Open Targets Platform GraphQL,direct (enableIndirect=false)
FOXE1,ENSG00000178919,forkhead box E1,MONDO_0003240,thyroid gland disorder,0.3850040484646936,52,Open Targets Platform GraphQL,direct (enableIndirect=false)
MACIR,ENSG00000181751,macrophage immunometabolism regulator,MONDO_0003240,thyroid gland disorder,0.38365317170543756,53,Open Targets Platform GraphQL,direct (enableIndirect=false)
TRAT1,ENSG00000163519,T cell receptor associated transmembrane adaptor 1,MONDO_0003240,thyroid gland disorder,0.38052504036483764,54,Open Targets Platform GraphQL,direct (enableIndirect=false)
PMP22,ENSG00000109099,peripheral myelin protein 22,MONDO_0003240,thyroid gland disorder,0.37331812650137014,55,Open Targets Platform GraphQL,direct (enableIndirect=false)
C12ORF42,ENSG00000179088,chromosome 12 open reading frame 42,MONDO_0003240,thyroid gland disorder,0.3717210215889371,56,Open Targets Platform GraphQL,direct (enableIndirect=false)
ADSS1,ENSG00000185100,adenylosuccinate synthase 1,MONDO_0003240,thyroid gland disorder,0.37151793575946646,57,Open Targets Platform GraphQL,direct (enableIndirect=false)
TM4SF4,ENSG00000169903,transmembrane 4 L six family member 4,MONDO_0003240,thyroid gland disorder,0.3693662345857412,58,Open Targets Platform GraphQL,direct (enableIndirect=false)
CBLB,ENSG00000114423,Cbl proto-oncogene B,MONDO_0003240,thyroid gland disorder,0.36186767320267316,59,Open Targets Platform GraphQL,direct (enableIndirect=false)
RETNLB,ENSG00000163515,resistin like beta,MONDO_0003240,thyroid gland disorder,0.3608468840678699,60,Open Targets Platform GraphQL,direct (enableIndirect=false)
INSR,ENSG00000171105,insulin receptor,MONDO_0003240,thyroid gland disorder,0.35810277102298343,61,Open Targets Platform GraphQL,direct (enableIndirect=false)
MAF,ENSG00000178573,MAF bZIP transcription factor,MONDO_0003240,thyroid gland disorder,0.355227593912902,62,Open Targets Platform GraphQL,direct (enableIndirect=false)
B3GNT2,ENSG00000170340,"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 2",MONDO_0003240,thyroid gland disorder,0.3528633664006918,63,Open Targets Platform GraphQL,direct (enableIndirect=false)
TYK2,ENSG00000105397,tyrosine kinase 2,MONDO_0003240,thyroid gland disorder,0.35200892450608,64,Open Targets Platform GraphQL,direct (enableIndirect=false)
MAGI3,ENSG00000081026,"membrane associated guanylate kinase, WW and PDZ domain containing 3",MONDO_0003240,thyroid gland disorder,0.34714397812881786,65,Open Targets Platform GraphQL,direct (enableIndirect=false)
CD69,ENSG00000110848,CD69 molecule,MONDO_0003240,thyroid gland disorder,0.3464875988237134,66,Open Targets Platform GraphQL,direct (enableIndirect=false)
PTPRC,ENSG00000081237,protein tyrosine phosphatase receptor type C,MONDO_0003240,thyroid gland disorder,0.34371704983491236,67,Open Targets Platform GraphQL,direct (enableIndirect=false)
CLEC16A,ENSG00000038532,C-type lectin domain containing 16A,MONDO_0003240,thyroid gland disorder,0.3421274378444332,68,Open Targets Platform GraphQL,direct (enableIndirect=false)
RPH3A,ENSG00000089169,rabphilin 3A,MONDO_0003240,thyroid gland disorder,0.341578671707205,69,Open Targets Platform GraphQL,direct (enableIndirect=false)
TNFSF14,ENSG00000125735,TNF superfamily member 14,MONDO_0003240,thyroid gland disorder,0.3409420433784231,70,Open Targets Platform GraphQL,direct (enableIndirect=false)
FGD2,ENSG00000146192,"FYVE, RhoGEF and PH domain containing 2",MONDO_0003240,thyroid gland disorder,0.339527013226849,71,Open Targets Platform GraphQL,direct (enableIndirect=false)
ITGA4,ENSG00000115232,integrin subunit alpha 4,MONDO_0003240,thyroid gland disorder,0.3381413984949653,72,Open Targets Platform GraphQL,direct (enableIndirect=false)
CA12,ENSG00000074410,carbonic anhydrase 12,MONDO_0003240,thyroid gland disorder,0.33768550403174635,73,Open Targets Platform GraphQL,direct (enableIndirect=false)
EDARADD,ENSG00000186197,EDAR associated via death domain,MONDO_0003240,thyroid gland disorder,0.33667274116190166,74,Open Targets Platform GraphQL,direct (enableIndirect=false)
SLC48A1,ENSG00000211584,solute carrier family 48 member 1,MONDO_0003240,thyroid gland disorder,0.33461903890994316,75,Open Targets Platform GraphQL,direct (enableIndirect=false)
BHLHE40,ENSG00000134107,basic helix-loop-helix family member e40,MONDO_0003240,thyroid gland disorder,0.33441499550861453,76,Open Targets Platform GraphQL,direct (enableIndirect=false)
SS18,ENSG00000141380,SS18 subunit of BAF chromatin remodeling complex,MONDO_0003240,thyroid gland disorder,0.33357724408091316,77,Open Targets Platform GraphQL,direct (enableIndirect=false)
CEP57,ENSG00000166037,centrosomal protein 57,MONDO_0003240,thyroid gland disorder,0.33086995395053787,78,Open Targets Platform GraphQL,direct (enableIndirect=false)
TNFRSF14,ENSG00000157873,TNF receptor superfamily member 14,MONDO_0003240,thyroid gland disorder,0.33030953836902344,79,Open Targets Platform GraphQL,direct (enableIndirect=false)
FUT2,ENSG00000176920,fucosyltransferase 2 (H blood group),MONDO_0003240,thyroid gland disorder,0.32606905237752065,80,Open Targets Platform GraphQL,direct (enableIndirect=false)
ZNF462,ENSG00000148143,zinc finger protein 462,MONDO_0003240,thyroid gland disorder,0.325315939881031,81,Open Targets Platform GraphQL,direct (enableIndirect=false)
RAPGEF3,ENSG00000079337,Rap guanine nucleotide exchange factor 3,MONDO_0003240,thyroid gland disorder,0.3245740777083813,82,Open Targets Platform GraphQL,direct (enableIndirect=false)
DIO1,ENSG00000211452,iodothyronine deiodinase 1,MONDO_0003240,thyroid gland disorder,0.3239721433008315,83,Open Targets Platform GraphQL,direct (enableIndirect=false)
CX3CR1,ENSG00000168329,C-X3-C motif chemokine receptor 1,MONDO_0003240,thyroid gland disorder,0.32388945094091354,84,Open Targets Platform GraphQL,direct (enableIndirect=false)
C11ORF21,ENSG00000110665,chromosome 11 open reading frame 21,MONDO_0003240,thyroid gland disorder,0.3224947714088745,85,Open Targets Platform GraphQL,direct (enableIndirect=false)
PANX1,ENSG00000110218,pannexin 1,MONDO_0003240,thyroid gland disorder,0.3223081885235389,86,Open Targets Platform GraphQL,direct (enableIndirect=false)
MYL2,ENSG00000111245,myosin light chain 2,MONDO_0003240,thyroid gland disorder,0.32110062660764654,87,Open Targets Platform GraphQL,direct (enableIndirect=false)
NR3C1,ENSG00000113580,nuclear receptor subfamily 3 group C member 1,MONDO_0003240,thyroid gland disorder,0.3208595501903224,88,Open Targets Platform GraphQL,direct (enableIndirect=false)
DET1,ENSG00000140543,DET1 partner of COP1 E3 ubiquitin ligase,MONDO_0003240,thyroid gland disorder,0.3205127467970263,89,Open Targets Platform GraphQL,direct (enableIndirect=false)
TPPP,ENSG00000171368,tubulin polymerization promoting protein,MONDO_0003240,thyroid gland disorder,0.3204036332578541,90,Open Targets Platform GraphQL,direct (enableIndirect=false)
SOX4,ENSG00000124766,SRY-box transcription factor 4,MONDO_0003240,thyroid gland disorder,0.3199546475320124,91,Open Targets Platform GraphQL,direct (enableIndirect=false)
HECTD4,ENSG00000173064,HECT domain E3 ubiquitin protein ligase 4,MONDO_0003240,thyroid gland disorder,0.3183284250903084,92,Open Targets Platform GraphQL,direct (enableIndirect=false)
S1PR4,ENSG00000125910,sphingosine-1-phosphate receptor 4,MONDO_0003240,thyroid gland disorder,0.31748459137843116,93,Open Targets Platform GraphQL,direct (enableIndirect=false)
HIPK1,ENSG00000163349,homeodomain interacting protein kinase 1,MONDO_0003240,thyroid gland disorder,0.31729609199828746,94,Open Targets Platform GraphQL,direct (enableIndirect=false)
TBC1D2,ENSG00000095383,TBC1 domain family member 2,MONDO_0003240,thyroid gland disorder,0.3166382276195786,95,Open Targets Platform GraphQL,direct (enableIndirect=false)
TCF7,ENSG00000081059,transcription factor 7,MONDO_0003240,thyroid gland disorder,0.31653301403719747,96,Open Targets Platform GraphQL,direct (enableIndirect=false)
TANK,ENSG00000136560,TRAF family member associated NFKB activator,MONDO_0003240,thyroid gland disorder,0.3162055623951539,97,Open Targets Platform GraphQL,direct (enableIndirect=false)
TNFSF11,ENSG00000120659,TNF superfamily member 11,MONDO_0003240,thyroid gland disorder,0.3161667880484268,98,Open Targets Platform GraphQL,direct (enableIndirect=false)
CD2,ENSG00000116824,CD2 molecule,MONDO_0003240,thyroid gland disorder,0.31548835276342335,99,Open Targets Platform GraphQL,direct (enableIndirect=false)
NR3C2,ENSG00000151623,nuclear receptor subfamily 3 group C member 2,MONDO_0003240,thyroid gland disorder,0.3143059555631209,100,Open Targets Platform GraphQL,direct (enableIndirect=false)
INPP5B,ENSG00000204084,inositol polyphosphate-5-phosphatase B,MONDO_0003240,thyroid gland disorder,0.31430526845445106,101,Open Targets Platform GraphQL,direct (enableIndirect=false)
CAMK4,ENSG00000152495,calcium/calmodulin dependent protein kinase IV,MONDO_0003240,thyroid gland disorder,0.311801986014473,102,Open Targets Platform GraphQL,direct (enableIndirect=false)
NKX2-3,ENSG00000119919,NK2 homeobox 3,MONDO_0003240,thyroid gland disorder,0.31129747977059125,103,Open Targets Platform GraphQL,direct (enableIndirect=false)
LAMA1,ENSG00000101680,laminin subunit alpha 1,MONDO_0003240,thyroid gland disorder,0.3112913842156679,104,Open Targets Platform GraphQL,direct (enableIndirect=false)
BEND3,ENSG00000178409,BEN domain containing 3,MONDO_0003240,thyroid gland disorder,0.31127567688856517,105,Open Targets Platform GraphQL,direct (enableIndirect=false)
ELMO1,ENSG00000155849,engulfment and cell motility 1,MONDO_0003240,thyroid gland disorder,0.30861027318408374,106,Open Targets Platform GraphQL,direct (enableIndirect=false)
IKZF2,ENSG00000030419,IKAROS family zinc finger 2,MONDO_0003240,thyroid gland disorder,0.3073016117546006,107,Open Targets Platform GraphQL,direct (enableIndirect=false)
PRKCQ,ENSG00000065675,protein kinase C theta,MONDO_0003240,thyroid gland disorder,0.30692076185306805,108,Open Targets Platform GraphQL,direct (enableIndirect=false)
CHRNA9,ENSG00000174343,cholinergic receptor nicotinic alpha 9 subunit,MONDO_0003240,thyroid gland disorder,0.3057147359019044,109,Open Targets Platform GraphQL,direct (enableIndirect=false)
RGL3,ENSG00000205517,ral guanine nucleotide dissociation stimulator like 3,MONDO_0003240,thyroid gland disorder,0.305531435289286,110,Open Targets Platform GraphQL,direct (enableIndirect=false)
ACTR1B,ENSG00000115073,actin related protein 1B,MONDO_0003240,thyroid gland disorder,0.30316498274618475,111,Open Targets Platform GraphQL,direct (enableIndirect=false)
NFKB1,ENSG00000109320,nuclear factor kappa B subunit 1,MONDO_0003240,thyroid gland disorder,0.2991520579797809,112,Open Targets Platform GraphQL,direct (enableIndirect=false)
ZBTB21,ENSG00000173276,zinc finger and BTB domain containing 21,MONDO_0003240,thyroid gland disorder,0.29766614059704005,113,Open Targets Platform GraphQL,direct (enableIndirect=false)
SH3BP2,ENSG00000087266,SH3 domain binding protein 2,MONDO_0003240,thyroid gland disorder,0.29711822134002075,114,Open Targets Platform GraphQL,direct (enableIndirect=false)
TNFRSF1B,ENSG00000028137,TNF receptor superfamily member 1B,MONDO_0003240,thyroid gland disorder,0.29617642310078884,115,Open Targets Platform GraphQL,direct (enableIndirect=false)
FYN,ENSG00000010810,"FYN proto-oncogene, Src family tyrosine kinase",MONDO_0003240,thyroid gland disorder,0.2960985602784155,116,Open Targets Platform GraphQL,direct (enableIndirect=false)
UBASH3A,ENSG00000160185,ubiquitin associated and SH3 domain containing A,MONDO_0003240,thyroid gland disorder,0.2955862811281085,117,Open Targets Platform GraphQL,direct (enableIndirect=false)
PCLO,ENSG00000186472,piccolo presynaptic cytomatrix protein,MONDO_0003240,thyroid gland disorder,0.29493606069995587,118,Open Targets Platform GraphQL,direct (enableIndirect=false)
RAB2A,ENSG00000104388,"RAB2A, member RAS oncogene family",MONDO_0003240,thyroid gland disorder,0.2947275207318625,119,Open Targets Platform GraphQL,direct (enableIndirect=false)
SLC12A2,ENSG00000064651,solute carrier family 12 member 2,MONDO_0003240,thyroid gland disorder,0.2939220587170887,120,Open Targets Platform GraphQL,direct (enableIndirect=false)
