gene_symbol,ensembl_id,approved_name,disease_id,disease_name,disease_relevance_score,rank,source,association_scope
AGTR1,ENSG00000144891,angiotensin II receptor type 1,HP_0000822,Hypertension,0.6297216027077168,1,Open Targets Platform GraphQL,direct (enableIndirect=false)
ACE,ENSG00000159640,angiotensin I converting enzyme,HP_0000822,Hypertension,0.6230542468897323,2,Open Targets Platform GraphQL,direct (enableIndirect=false)
REN,ENSG00000143839,renin,HP_0000822,Hypertension,0.619582353638152,3,Open Targets Platform GraphQL,direct (enableIndirect=false)
CACNA1C,ENSG00000151067,calcium voltage-gated channel subunit alpha1 C,HP_0000822,Hypertension,0.618389864767238,4,Open Targets Platform GraphQL,direct (enableIndirect=false)
SLC12A3,ENSG00000070915,solute carrier family 12 member 3,HP_0000822,Hypertension,0.614857366384646,5,Open Targets Platform GraphQL,direct (enableIndirect=false)
ADRB1,ENSG00000043591,adrenoceptor beta 1,HP_0000822,Hypertension,0.6144271284598578,6,Open Targets Platform GraphQL,direct (enableIndirect=false)
CACNA1D,ENSG00000157388,calcium voltage-gated channel subunit alpha1 D,HP_0000822,Hypertension,0.6086955453117707,7,Open Targets Platform GraphQL,direct (enableIndirect=false)
CACNA1S,ENSG00000081248,calcium voltage-gated channel subunit alpha1 S,HP_0000822,Hypertension,0.6047234893105035,8,Open Targets Platform GraphQL,direct (enableIndirect=false)
CACNA1F,ENSG00000102001,calcium voltage-gated channel subunit alpha1 F,HP_0000822,Hypertension,0.6035993505858376,9,Open Targets Platform GraphQL,direct (enableIndirect=false)
ADRB2,ENSG00000169252,adrenoceptor beta 2,HP_0000822,Hypertension,0.5933509508525646,10,Open Targets Platform GraphQL,direct (enableIndirect=false)
ADRA1B,ENSG00000170214,adrenoceptor alpha 1B,HP_0000822,Hypertension,0.5887719837012922,11,Open Targets Platform GraphQL,direct (enableIndirect=false)
ADRA1D,ENSG00000171873,adrenoceptor alpha 1D,HP_0000822,Hypertension,0.5873539979378535,12,Open Targets Platform GraphQL,direct (enableIndirect=false)
ADRA2B,ENSG00000274286,adrenoceptor alpha 2B,HP_0000822,Hypertension,0.5818416925669059,13,Open Targets Platform GraphQL,direct (enableIndirect=false)
ADRA2A,ENSG00000150594,adrenoceptor alpha 2A,HP_0000822,Hypertension,0.5794380535506134,14,Open Targets Platform GraphQL,direct (enableIndirect=false)
ADRA2C,ENSG00000184160,adrenoceptor alpha 2C,HP_0000822,Hypertension,0.5781404477164324,15,Open Targets Platform GraphQL,direct (enableIndirect=false)
ADRA1A,ENSG00000120907,adrenoceptor alpha 1A,HP_0000822,Hypertension,0.5759652692454312,16,Open Targets Platform GraphQL,direct (enableIndirect=false)
NR3C2,ENSG00000151623,nuclear receptor subfamily 3 group C member 2,HP_0000822,Hypertension,0.5691577150964787,17,Open Targets Platform GraphQL,direct (enableIndirect=false)
HMGCR,ENSG00000113161,3-hydroxy-3-methylglutaryl-CoA reductase,HP_0000822,Hypertension,0.5474630559108093,18,Open Targets Platform GraphQL,direct (enableIndirect=false)
GUCY1A1,ENSG00000164116,guanylate cyclase 1 soluble subunit alpha 1,HP_0000822,Hypertension,0.5395099623175281,19,Open Targets Platform GraphQL,direct (enableIndirect=false)
SLC12A1,ENSG00000074803,solute carrier family 12 member 1,HP_0000822,Hypertension,0.5344766147645876,20,Open Targets Platform GraphQL,direct (enableIndirect=false)
ADRB3,ENSG00000188778,adrenoceptor beta 3,HP_0000822,Hypertension,0.5324360552640445,21,Open Targets Platform GraphQL,direct (enableIndirect=false)
GUCY1B1,ENSG00000061918,guanylate cyclase 1 soluble subunit beta 1,HP_0000822,Hypertension,0.5170366568530379,22,Open Targets Platform GraphQL,direct (enableIndirect=false)
GUCY1A2,ENSG00000152402,guanylate cyclase 1 soluble subunit alpha 2,HP_0000822,Hypertension,0.5158817198071483,23,Open Targets Platform GraphQL,direct (enableIndirect=false)
SLC18A2,ENSG00000165646,solute carrier family 18 member A2,HP_0000822,Hypertension,0.5084990929022305,24,Open Targets Platform GraphQL,direct (enableIndirect=false)
PKD1,ENSG00000008710,"polycystin 1, transient receptor potential channel interacting",HP_0000822,Hypertension,0.4911746454239673,25,Open Targets Platform GraphQL,direct (enableIndirect=false)
GLP1R,ENSG00000112164,glucagon like peptide 1 receptor,HP_0000822,Hypertension,0.4832210665242037,26,Open Targets Platform GraphQL,direct (enableIndirect=false)
KCNJ11,ENSG00000187486,potassium inwardly rectifying channel subfamily J member 11,HP_0000822,Hypertension,0.4775421838579415,27,Open Targets Platform GraphQL,direct (enableIndirect=false)
SLC6A2,ENSG00000103546,solute carrier family 6 member 2,HP_0000822,Hypertension,0.4764527544882849,28,Open Targets Platform GraphQL,direct (enableIndirect=false)
SCNN1B,ENSG00000168447,sodium channel epithelial 1 subunit beta,HP_0000822,Hypertension,0.4395782519329357,29,Open Targets Platform GraphQL,direct (enableIndirect=false)
SCNN1G,ENSG00000166828,sodium channel epithelial 1 subunit gamma,HP_0000822,Hypertension,0.43824594741637724,30,Open Targets Platform GraphQL,direct (enableIndirect=false)
SCNN1A,ENSG00000111319,sodium channel epithelial 1 subunit alpha,HP_0000822,Hypertension,0.437557777175642,31,Open Targets Platform GraphQL,direct (enableIndirect=false)
SLC5A2,ENSG00000140675,solute carrier family 5 member 2,HP_0000822,Hypertension,0.4116753331027351,32,Open Targets Platform GraphQL,direct (enableIndirect=false)
EDNRA,ENSG00000151617,endothelin receptor type A,HP_0000822,Hypertension,0.408780833102417,33,Open Targets Platform GraphQL,direct (enableIndirect=false)
EDNRB,ENSG00000136160,endothelin receptor type B,HP_0000822,Hypertension,0.4018130701566378,34,Open Targets Platform GraphQL,direct (enableIndirect=false)
PDE5A,ENSG00000138735,phosphodiesterase 5A,HP_0000822,Hypertension,0.4004267077035724,35,Open Targets Platform GraphQL,direct (enableIndirect=false)
AVPR1A,ENSG00000166148,arginine vasopressin receptor 1A,HP_0000822,Hypertension,0.39621166311079425,36,Open Targets Platform GraphQL,direct (enableIndirect=false)
ABCC9,ENSG00000069431,ATP binding cassette subfamily C member 9,HP_0000822,Hypertension,0.3911303619867519,37,Open Targets Platform GraphQL,direct (enableIndirect=false)
