contrast,subtype,lineage,n_paired_donors,mean_delta_tumor_minus_normal,median_delta_tumor_minus_normal,sd_delta,mean_delta_95ci_low,mean_delta_95ci_high,paired_t_statistic,paired_t_p,paired_wilcoxon_statistic,paired_wilcoxon_p,direction,paired_t_BH_FDR,paired_wilcoxon_BH_FDR
source tumor-labeled epithelial vs normal epithelial,source_tumor_labeled_epithelial,epithelial,36,0.034943313747051785,0.03600131368028876,0.049555764852775054,0.018176055227363732,0.051710572266739835,4.2307869347832305,0.0001593221390537054,103.0,0.00014762088540010154,up,0.00047796641716111617,0.00036905221350025386
other tumor epithelial vs normal epithelial,other_tumor_epithelial,epithelial,36,-0.008893884892055101,-0.0023473154360169925,0.07153712778389133,-0.033098566605111054,0.015310796821000849,-0.7459526403343653,0.4606770518403464,298.0,0.5920094623870682,down,0.4606770518403464,0.5920094623870682
macrophage tumor vs normal,macrophage,myeloid,35,0.1046309292980085,0.1012485220262315,0.08947067954668987,0.07389667554891163,0.13536518304710538,6.918522678525634,5.671880596545294e-08,23.0,3.725290298461914e-08,up,3.4031283579271767e-07,1.862645149230957e-07
monocyte tumor vs normal,monocyte,myeloid,33,0.04393909177122423,0.0446930111346407,0.0641537680711033,0.021191154750920503,0.06668702879152796,3.9344667180270316,0.00042089020790290257,88.0,0.00031562685035169125,up,0.0008417804158058051,0.0005260447505861521
dendritic tumor vs normal,dendritic,myeloid,34,0.04654427745806583,0.04418482585249789,0.13440149259857853,-0.0003506202572730946,0.09343917517340475,2.019303785925252,0.05163889398702778,119.0,0.001678760047070682,up,0.07745834098054168,0.0020984500588383526
granulocyte tumor vs normal,granulocyte,myeloid,3,0.0711183012505776,0.05401259905386019,0.077114888226863,-0.12044570073118431,0.2626823032323395,1.597363543491199,0.25127360896692186,,,up,0.3015283307603062,
