contrast,subtype,lineage,n_paired_donors,mean_delta_tumor_minus_normal,median_delta_tumor_minus_normal,sd_delta,mean_delta_95ci_low,mean_delta_95ci_high,paired_t_statistic,paired_t_p,paired_wilcoxon_statistic,paired_wilcoxon_p,direction,paired_t_BH_FDR,paired_wilcoxon_BH_FDR
source tumor-labeled epithelial vs normal epithelial,source_tumor_labeled_epithelial,epithelial,36,0.04225220324264632,0.039893344044685364,0.05569322988062031,0.02340832532089362,0.06109608116439902,4.551957571850101,6.159214162835739e-05,89.0,4.721074947156012e-05,up,0.00018477642488507216,0.0001180268736789003
other tumor epithelial vs normal epithelial,other_tumor_epithelial,epithelial,36,-0.004878785978588793,-0.013912811875343323,0.08236544546862555,-0.03274724328854346,0.022989671331365875,-0.35540044377812846,0.7244226186884819,319.0,0.8340569073625375,down,0.7244226186884819,0.8340569073625375
macrophage tumor vs normal,macrophage,myeloid,35,0.07915818616747856,0.07563842833042145,0.07775971457813224,0.052446789636120913,0.10586958269883621,6.022477672313289,8.053012333007496e-07,45.0,9.742798283696175e-07,up,4.831807399804498e-06,4.871399141848087e-06
monocyte tumor vs normal,monocyte,myeloid,33,0.027968711487836008,0.02946607768535614,0.05198179533042686,0.009536768331070901,0.046400654644601115,3.0908516003251028,0.004113510497579615,118.0,0.002915517892688513,up,0.00822702099515923,0.004859196487814188
dendritic tumor vs normal,dendritic,myeloid,34,0.026469384813133406,0.05211154371500015,0.13422874041539287,-0.020365236815951107,0.07330400644221792,1.1498410031554636,0.2584744464328486,163.0,0.02058481192216277,up,0.31016933571941835,0.025731014902703464
granulocyte tumor vs normal,granulocyte,myeloid,3,0.0595064585407575,0.053094059228897095,0.04715561895669485,-0.05763459283049694,0.17664750991201195,2.1857036733148423,0.1604184052148179,,,up,0.24062760782222686,
