contrast,subtype,lineage,donor_id,tumor_score,normal_score,tumor_minus_normal
other tumor epithelial vs normal epithelial,other_tumor_epithelial,epithelial,C109,-0.18496081233024597,-0.028539733961224556,-0.15642108023166656
other tumor epithelial vs normal epithelial,other_tumor_epithelial,epithelial,C110,0.05271361023187637,-0.05186811089515686,0.10458172112703323
other tumor epithelial vs normal epithelial,other_tumor_epithelial,epithelial,C111,-0.01932384818792343,0.009419823996722698,-0.028743673115968704
other tumor epithelial vs normal epithelial,other_tumor_epithelial,epithelial,C112,-0.06897253543138504,0.004723496735095978,-0.07369603216648102
other tumor epithelial vs normal epithelial,other_tumor_epithelial,epithelial,C113,-0.008090161718428135,-0.08012346923351288,0.07203330844640732
other tumor epithelial vs normal epithelial,other_tumor_epithelial,epithelial,C114,-0.03919649496674538,-0.023637674748897552,-0.015558820217847824
other tumor epithelial vs normal epithelial,other_tumor_epithelial,epithelial,C115,-0.03562767431139946,-0.05204218253493309,0.01641450822353363
other tumor epithelial vs normal epithelial,other_tumor_epithelial,epithelial,C116,-0.07952313870191574,-0.03661498427391052,-0.04290815442800522
other tumor epithelial vs normal epithelial,other_tumor_epithelial,epithelial,C119,-0.005285840015858412,0.013579482212662697,-0.018865322694182396
other tumor epithelial vs normal epithelial,other_tumor_epithelial,epithelial,C122,-0.010898550041019917,-0.049851853400468826,0.038953304290771484
other tumor epithelial vs normal epithelial,other_tumor_epithelial,epithelial,C123,0.003661894705146551,-0.06951061636209488,0.07317250967025757
other tumor epithelial vs normal epithelial,other_tumor_epithelial,epithelial,C124,-0.02850889228284359,0.006729772314429283,-0.03523866459727287
other tumor epithelial vs normal epithelial,other_tumor_epithelial,epithelial,C125,-0.05018850043416023,-0.06347064673900604,0.01328214630484581
other tumor epithelial vs normal epithelial,other_tumor_epithelial,epithelial,C126,-0.0647527426481247,-0.02669057436287403,-0.03806217014789581
other tumor epithelial vs normal epithelial,other_tumor_epithelial,epithelial,C129,-0.02023332007229328,-0.10381505638360977,0.08358173817396164
other tumor epithelial vs normal epithelial,other_tumor_epithelial,epithelial,C130,-0.0927094891667366,-0.06905985623598099,-0.023649632930755615
other tumor epithelial vs normal epithelial,other_tumor_epithelial,epithelial,C132,0.09788645058870316,-0.13360433280467987,0.23149079084396362
other tumor epithelial vs normal epithelial,other_tumor_epithelial,epithelial,C133,-0.022622453048825264,0.015241491608321667,-0.037863943725824356
other tumor epithelial vs normal epithelial,other_tumor_epithelial,epithelial,C134,-0.001948866294696927,0.038414064794778824,-0.04036293178796768
other tumor epithelial vs normal epithelial,other_tumor_epithelial,epithelial,C135,-0.13135495781898499,-0.05926750227808952,-0.07208745181560516
other tumor epithelial vs normal epithelial,other_tumor_epithelial,epithelial,C136,-0.20753587782382965,-0.06856828927993774,-0.1389675885438919
other tumor epithelial vs normal epithelial,other_tumor_epithelial,epithelial,C137,-0.27154555916786194,-0.0370958112180233,-0.23444974422454834
other tumor epithelial vs normal epithelial,other_tumor_epithelial,epithelial,C138,-0.036369629204273224,-0.019357694312930107,-0.017011934891343117
other tumor epithelial vs normal epithelial,other_tumor_epithelial,epithelial,C139,-0.016189003363251686,-0.05872717127203941,0.04253816604614258
