gene_set,tissue,tissue_role,n_set_genes_planned,n_set_genes_modelled,n_reference_genes_modelled,mean_female_minus_male_beta,median_female_minus_male_beta,rank_biserial_correlation_vs_rest_828,raw_p,null_hypothesis,method,FDR,fdr_family,fdr_denominator,set_direction
shared-core,Thyroid,thyroid disease-relevant tissue,189,189,473,-0.023218426826943285,-0.024642462774552856,-0.016074364911574213,0.7466421174773527,The gene set's female-minus-male effects are exchangeable with effects of the remaining frozen 828-gene universe in this tissue.,two-sided Mann-Whitney rank shift; gene-level adjusted sex coefficients,0.9080782509859694,five prespecified gene sets x 9 tissues,45,male-shifted
thyroid-specific,Thyroid,thyroid disease-relevant tissue,30,30,632,-0.02442273183639181,-0.02294387834075323,0.012447257383966237,0.9086014132169606,The gene set's female-minus-male effects are exchangeable with effects of the remaining frozen 828-gene universe in this tissue.,two-sided Mann-Whitney rank shift; gene-level adjusted sex coefficients,0.950861944064261,five prespecified gene sets x 9 tissues,45,male-shifted
hypertension-specific,Thyroid,thyroid disease-relevant tissue,251,250,412,-0.023559767653669263,-0.022023083231962413,-0.007592233009708793,0.8699709955875427,The gene set's female-minus-male effects are exchangeable with effects of the remaining frozen 828-gene universe in this tissue.,two-sided Mann-Whitney rank shift; gene-level adjusted sex coefficients,0.950861944064261,five prespecified gene sets x 9 tissues,45,male-shifted
thyroid-branch,Thyroid,thyroid disease-relevant tissue,219,219,443,-0.023383400115908833,-0.024184815712022467,-0.012379273735530938,0.7955149150561966,The gene set's female-minus-male effects are exchangeable with effects of the remaining frozen 828-gene universe in this tissue.,two-sided Mann-Whitney rank shift; gene-level adjusted sex coefficients,0.9420571362507593,five prespecified gene sets x 9 tissues,45,male-shifted
hypertension-branch,Thyroid,thyroid disease-relevant tissue,440,439,223,-0.02341281226357539,-0.023475433392781957,-0.02266668028642349,0.6334697779395144,The gene set's female-minus-male effects are exchangeable with effects of the remaining frozen 828-gene universe in this tissue.,two-sided Mann-Whitney rank shift; gene-level adjusted sex coefficients,0.8671952851951886,five prespecified gene sets x 9 tissues,45,male-shifted
shared-core,Artery - Aorta,hypertension/cardiovascular tissue,189,189,473,-0.008347337439291393,-0.0026620634609565066,-0.050572166851236666,0.30919813126331896,The gene set's female-minus-male effects are exchangeable with effects of the remaining frozen 828-gene universe in this tissue.,two-sided Mann-Whitney rank shift; gene-level adjusted sex coefficients,0.5351506118018983,five prespecified gene sets x 9 tissues,45,male-shifted
thyroid-specific,Artery - Aorta,hypertension/cardiovascular tissue,30,30,632,-0.011337973532250955,-0.006672065033029461,-0.11466244725738395,0.28843561715383004,The gene set's female-minus-male effects are exchangeable with effects of the remaining frozen 828-gene universe in this tissue.,two-sided Mann-Whitney rank shift; gene-level adjusted sex coefficients,0.5351506118018983,five prespecified gene sets x 9 tissues,45,male-shifted
hypertension-specific,Artery - Aorta,hypertension/cardiovascular tissue,251,250,412,-0.004033383486187525,-0.0012260748481753483,-0.04073786407766988,0.3792604288988066,The gene set's female-minus-male effects are exchangeable with effects of the remaining frozen 828-gene universe in this tissue.,two-sided Mann-Whitney rank shift; gene-level adjusted sex coefficients,0.5885075620843551,five prespecified gene sets x 9 tissues,45,male-shifted
thyroid-branch,Artery - Aorta,hypertension/cardiovascular tissue,219,219,443,-0.00875701361640914,-0.0026753837052091445,-0.06900852427925008,0.1482730689608252,The gene set's female-minus-male effects are exchangeable with effects of the remaining frozen 828-gene universe in this tissue.,two-sided Mann-Whitney rank shift; gene-level adjusted sex coefficients,0.4856838042013939,five prespecified gene sets x 9 tissues,45,male-shifted
hypertension-branch,Artery - Aorta,hypertension/cardiovascular tissue,440,439,223,-0.005890643844129737,-0.0020962137384741264,-0.08904256514499931,0.06095016867269906,The gene set's female-minus-male effects are exchangeable with effects of the remaining frozen 828-gene universe in this tissue.,two-sided Mann-Whitney rank shift; gene-level adjusted sex coefficients,0.3754031264453478,five prespecified gene sets x 9 tissues,45,male-shifted
shared-core,Artery - Tibial,hypertension/cardiovascular tissue,189,189,473,-0.025554691269909176,-0.008790613677806165,0.0073716120227749204,0.8823141037826185,The gene set's female-minus-male effects are exchangeable with effects of the remaining frozen 828-gene universe in this tissue.,two-sided Mann-Whitney rank shift; gene-level adjusted sex coefficients,0.950861944064261,five prespecified gene sets x 9 tissues,45,male-shifted
thyroid-specific,Artery - Tibial,hypertension/cardiovascular tissue,30,30,632,-0.03723667945702364,-0.019899477728131647,-0.11487341772151893,0.2875490147080313,The gene set's female-minus-male effects are exchangeable with effects of the remaining frozen 828-gene universe in this tissue.,two-sided Mann-Whitney rank shift; gene-level adjusted sex coefficients,0.5351506118018983,five prespecified gene sets x 9 tissues,45,male-shifted
hypertension-specific,Artery - Tibial,hypertension/cardiovascular tissue,251,250,412,-0.025858657465290015,-0.012729567278484535,-0.06994174757281557,0.1311128827226962,The gene set's female-minus-male effects are exchangeable with effects of the remaining frozen 828-gene universe in this tissue.,two-sided Mann-Whitney rank shift; gene-level adjusted sex coefficients,0.4856838042013939,five prespecified gene sets x 9 tissues,45,male-shifted
thyroid-branch,Artery - Tibial,hypertension/cardiovascular tissue,219,219,443,-0.027154963624308418,-0.00907981355127319,-0.015657049795396727,0.743038478958925,The gene set's female-minus-male effects are exchangeable with effects of the remaining frozen 828-gene universe in this tissue.,two-sided Mann-Whitney rank shift; gene-level adjusted sex coefficients,0.9080782509859694,five prespecified gene sets x 9 tissues,45,male-shifted
