tissue,tissue_role,gtex_release,expression_unit,gct_total_samples,sex_matched_samples,raw_n_male,raw_n_female,model_n_complete,model_n_male,model_n_female,n_center_levels,n_extraction_protocol_levels,n_fine_expression_batch_levels_audited,model_columns,dropped_collinear_columns,exclusion_counts_json,gene_symbols_requested,gene_symbols_found,kidney_availability_note,fine_expression_batch_note
Thyroid,thyroid disease-relevant tissue,GTEx V11,GTEx RNASeQCv2.4.3 gene TPM,684,684,459,225,684,459,225,3,3,217,intercept;female;age_z;rin_z;ischemic_z;center[C1];center[OTHER_OR_MISSING];extraction[RNA isolation from PAXgene tissue via QIAGEN spin column];extraction[RNA isolation from PAXgene-preserved tissue],,{},828,662,not applicable,SMGEBTCH audited but not included because its high cardinality is not stable across small tissues; center and extraction protocol are included as reproducible technical covariates.
Artery - Aorta,hypertension/cardiovascular tissue,GTEx V11,GTEx RNASeQCv2.4.3 gene TPM,472,472,308,164,472,308,164,3,3,188,intercept;female;age_z;rin_z;ischemic_z;center[C1];center[OTHER_OR_MISSING];extraction[RNA isolation from PAXgene tissue via QIAGEN spin column];extraction[RNA isolation from PAXgene-preserved tissue],,{},828,662,not applicable,SMGEBTCH audited but not included because its high cardinality is not stable across small tissues; center and extraction protocol are included as reproducible technical covariates.
Artery - Tibial,hypertension/cardiovascular tissue,GTEx V11,GTEx RNASeQCv2.4.3 gene TPM,691,691,471,220,691,471,220,3,3,219,intercept;female;age_z;rin_z;ischemic_z;center[C1];center[OTHER_OR_MISSING];extraction[RNA isolation from PAXgene tissue via QIAGEN spin column];extraction[RNA isolation from PAXgene-preserved tissue],,{},828,662,not applicable,SMGEBTCH audited but not included because its high cardinality is not stable across small tissues; center and extraction protocol are included as reproducible technical covariates.
Artery - Coronary,hypertension/cardiovascular tissue,GTEx V11,GTEx RNASeQCv2.4.3 gene TPM,268,268,168,100,268,168,100,3,3,145,intercept;female;age_z;rin_z;ischemic_z;center[C1];center[OTHER_OR_MISSING];extraction[RNA isolation from PAXgene tissue via QIAGEN spin column];extraction[RNA isolation from PAXgene-preserved tissue],,{},828,662,not applicable,SMGEBTCH audited but not included because its high cardinality is not stable across small tissues; center and extraction protocol are included as reproducible technical covariates.
Heart - Left Ventricle,hypertension/cardiovascular tissue,GTEx V11,GTEx RNASeQCv2.4.3 gene TPM,452,452,308,144,451,308,143,3,4,203,intercept;female;age_z;rin_z;ischemic_z;center[C1];center[OTHER_OR_MISSING];extraction[RNA Isolation via QIAGEN Spin Column];extraction[RNA isolation from PAXgene tissue via QIAGEN spin column];extraction[RNA isolation from PAXgene-preserved tissue],,"{""missing_model_covariate"": 1}",828,662,not applicable,SMGEBTCH audited but not included because its high cardinality is not stable across small tissues; center and extraction protocol are included as reproducible technical covariates.
Heart - Atrial Appendage,hypertension/cardiovascular tissue,GTEx V11,GTEx RNASeQCv2.4.3 gene TPM,461,461,318,143,461,318,143,2,2,193,intercept;female;age_z;rin_z;ischemic_z;center[C1];extraction[RNA isolation from PAXgene-preserved tissue],,{},828,662,not applicable,SMGEBTCH audited but not included because its high cardinality is not stable across small tissues; center and extraction protocol are included as reproducible technical covariates.
Kidney - Cortex,hypertension/renal tissue,GTEx V11,GTEx RNASeQCv2.4.3 gene TPM,104,104,80,24,104,80,24,2,3,76,intercept;female;age_z;rin_z;ischemic_z;center[C1];extraction[RNA Extraction from PAXgene-derived Lysate Plate Based];extraction[RNA isolation from PAXgene-preserved tissue],,{},828,662,available and analyzed,SMGEBTCH audited but not included because its high cardinality is not stable across small tissues; center and extraction protocol are included as reproducible technical covariates.
Adrenal Gland,hypertension/endocrine tissue,GTEx V11,GTEx RNASeQCv2.4.3 gene TPM,295,295,184,111,295,184,111,2,3,150,intercept;female;age_z;rin_z;ischemic_z;center[C1];extraction[RNA isolation from PAXgene tissue via QIAGEN spin column];extraction[RNA isolation from PAXgene-preserved tissue],,{},828,662,not applicable,SMGEBTCH audited but not included because its high cardinality is not stable across small tissues; center and extraction protocol are included as reproducible technical covariates.
Liver,optional toxicokinetic/metabolism reference only,GTEx V11,GTEx RNASeQCv2.4.3 gene TPM,262,262,184,78,262,184,78,2,3,114,intercept;female;age_z;rin_z;ischemic_z;center[C1];extraction[RNA isolation from PAXgene tissue via QIAGEN spin column];extraction[RNA isolation from PAXgene-preserved tissue],,{},828,662,not applicable,SMGEBTCH audited but not included because its high cardinality is not stable across small tissues; center and extraction protocol are included as reproducible technical covariates.
