gene_symbol,gene_id,branch_membership,tissue,tissue_role,gtex_release,gtex_annotation,expression_unit,preprocessing,model_formula,model_columns_used,n_male,n_female,male_mean_log2_tpm1,male_median_log2_tpm1,female_mean_log2_tpm1,female_median_log2_tpm1,male_median_tpm,female_median_tpm,female_minus_male_beta,female_minus_male_se,t_statistic,residual_df,direction,raw_p,FDR,fdr_family,fdr_denominator,meaningful_abs_effect_ge_0_25,is_expressed_median_tpm_ge_0_1,model_status,exact_2NAP_human_support,exact_2NAP_experimental_support,parent_naphthalene_support,number_of_sources,multi_source_ge2,network_central_top10pct_any,m3_priority_hub_candidate,FDR_shared_primary,fdr_denominator_shared_primary,priority_audit_gene
JUN,ENSG00000177606.9,shared-core;thyroid-branch;hypertension-branch,Artery - Aorta,hypertension/cardiovascular tissue,GTEx V11,GENCODE v47 / GRCh38,GTEx RNASeQCv2.4.3 gene TPM,log2(TPM + 1),log2(TPM+1) ~ female + age_midpoint + RIN + ischemic_time + sequencing_center + RNA_extraction_protocol,intercept;female;age_z;rin_z;ischemic_z;center[C1];center[OTHER_OR_MISSING];extraction[RNA isolation from PAXgene tissue via QIAGEN spin column];extraction[RNA isolation from PAXgene-preserved tissue],308,164,8.248341660527583,8.206435179279392,8.19913525676988,8.12264624816755,294.38149999999996,277.7165,-0.047808545617615855,0.0995579483597156,-0.4802082245093829,463,,0.6313061317063142,,,,,True,OK,True,False,True,2,True,True,True,0.8590813840259524,1701,True
CASP3,ENSG00000164305.20,shared-core;thyroid-branch;hypertension-branch,Artery - Aorta,hypertension/cardiovascular tissue,GTEx V11,GENCODE v47 / GRCh38,GTEx RNASeQCv2.4.3 gene TPM,log2(TPM + 1),log2(TPM+1) ~ female + age_midpoint + RIN + ischemic_time + sequencing_center + RNA_extraction_protocol,intercept;female;age_z;rin_z;ischemic_z;center[C1];center[OTHER_OR_MISSING];extraction[RNA isolation from PAXgene tissue via QIAGEN spin column];extraction[RNA isolation from PAXgene-preserved tissue],308,164,4.305793154649958,4.320278446679049,4.271177644490163,4.266198100320935,18.97755,18.24215,-0.06379374647269626,0.042053640343361155,-1.5169613368029655,463,,0.1299588951762809,,,,,True,OK,True,False,True,3,True,True,True,0.4326028976415926,1701,True
ESR1,ENSG00000091831.25,shared-core;thyroid-branch;hypertension-branch,Artery - Aorta,hypertension/cardiovascular tissue,GTEx V11,GENCODE v47 / GRCh38,GTEx RNASeQCv2.4.3 gene TPM,log2(TPM + 1),log2(TPM+1) ~ female + age_midpoint + RIN + ischemic_time + sequencing_center + RNA_extraction_protocol,intercept;female;age_z;rin_z;ischemic_z;center[C1];center[OTHER_OR_MISSING];extraction[RNA isolation from PAXgene tissue via QIAGEN spin column];extraction[RNA isolation from PAXgene-preserved tissue],308,164,2.0209678317150237,1.9473624116773234,2.0311689280135816,2.000575804671776,2.8567,3.0016,0.046910870709059166,0.04549118728595906,1.0312078780045009,463,,0.30298171002063196,,,,,True,OK,True,False,True,2,True,True,True,0.6468637729273838,1701,True
AR,ENSG00000169083.18,shared-core;thyroid-branch;hypertension-branch,Artery - Aorta,hypertension/cardiovascular tissue,GTEx V11,GENCODE v47 / GRCh38,GTEx RNASeQCv2.4.3 gene TPM,log2(TPM + 1),log2(TPM+1) ~ female + age_midpoint + RIN + ischemic_time + sequencing_center + RNA_extraction_protocol,intercept;female;age_z;rin_z;ischemic_z;center[C1];center[OTHER_OR_MISSING];extraction[RNA isolation from PAXgene tissue via QIAGEN spin column];extraction[RNA isolation from PAXgene-preserved tissue],308,164,3.7880312731181967,3.8181859011678427,3.9352598227731077,3.9217299047338536,13.1055,14.155100000000001,0.1292457796104779,0.04575096430295598,2.824984819000357,463,,0.004932525322141217,,,,,True,OK,True,True,True,3,True,False,False,0.09643937440186448,1701,True
ESR2,ENSG00000140009.19,shared-core;thyroid-branch;hypertension-branch,Artery - Aorta,hypertension/cardiovascular tissue,GTEx V11,GENCODE v47 / GRCh38,GTEx RNASeQCv2.4.3 gene TPM,log2(TPM + 1),log2(TPM+1) ~ female + age_midpoint + RIN + ischemic_time + sequencing_center + RNA_extraction_protocol,intercept;female;age_z;rin_z;ischemic_z;center[C1];center[OTHER_OR_MISSING];extraction[RNA isolation from PAXgene tissue via QIAGEN spin column];extraction[RNA isolation from PAXgene-preserved tissue],308,164,0.34333155503974155,0.319658374367777,0.3292489279674296,0.3068799001756197,0.248035,0.2370295,-0.016438931878900307,0.014636280888865049,-1.1231631863123557,463,,0.2619502413472625,,,,,True,OK,True,False,True,1,False,False,False,0.6069462669645029,1701,True
ESRRA,ENSG00000173153.17,shared-core;thyroid-branch;hypertension-branch,Artery - Aorta,hypertension/cardiovascular tissue,GTEx V11,GENCODE v47 / GRCh38,GTEx RNASeQCv2.4.3 gene TPM,log2(TPM + 1),log2(TPM+1) ~ female + age_midpoint + RIN + ischemic_time + sequencing_center + RNA_extraction_protocol,intercept;female;age_z;rin_z;ischemic_z;center[C1];center[OTHER_OR_MISSING];extraction[RNA isolation from PAXgene tissue via QIAGEN spin column];extraction[RNA isolation from PAXgene-preserved tissue],308,164,4.732449788389193,4.7282654994715845,4.691689001594546,4.681697902171433,25.5066,24.6645,-0.05273736294836805,0.03294303006477884,-1.6008655805087095,463,,0.11008874837696982,,,,,True,OK,True,False,True,1,False,False,False,0.41461356445349334,1701,True
AHR,ENSG00000106546.14,shared-core;thyroid-branch;hypertension-branch,Artery - Aorta,hypertension/cardiovascular tissue,GTEx V11,GENCODE v47 / GRCh38,GTEx RNASeQCv2.4.3 gene TPM,log2(TPM + 1),log2(TPM+1) ~ female + age_midpoint + RIN + ischemic_time + sequencing_center + RNA_extraction_protocol,intercept;female;age_z;rin_z;ischemic_z;center[C1];center[OTHER_OR_MISSING];extraction[RNA isolation from PAXgene tissue via QIAGEN spin column];extraction[RNA isolation from PAXgene-preserved tissue],308,164,4.775470434987773,4.8119988824328885,4.809014727398402,4.7944314627347655,27.0903,26.750300000000003,0.011186596516016917,0.044233114860043915,0.2529009442679301,463,,0.8004570036268029,,,,,True,OK,True,True,True,2,True,False,False,0.9374566596374181,1701,True
THRB,ENSG00000151090.20,shared-core;thyroid-branch;hypertension-branch,Artery - Aorta,hypertension/cardiovascular tissue,GTEx V11,GENCODE v47 / GRCh38,GTEx RNASeQCv2.4.3 gene TPM,log2(TPM + 1),log2(TPM+1) ~ female + age_midpoint + RIN + ischemic_time + sequencing_center + RNA_extraction_protocol,intercept;female;age_z;rin_z;ischemic_z;center[C1];center[OTHER_OR_MISSING];extraction[RNA isolation from PAXgene tissue via QIAGEN spin column];extraction[RNA isolation from PAXgene-preserved tissue],308,164,5.121254812670497,5.118777834459642,5.303320379449504,5.31324016251726,33.7465,38.76165,0.18758761222201079,0.06384669306336227,2.938094413689468,463,,0.0034672113742896912,,,,,True,OK,True,False,True,2,True,False,False,0.07561187881624057,1701,True
TP53,ENSG00000141510.19,shared-core;thyroid-branch;hypertension-branch,Artery - Tibial,hypertension/cardiovascular tissue,GTEx V11,GENCODE v47 / GRCh38,GTEx RNASeQCv2.4.3 gene TPM,log2(TPM + 1),log2(TPM+1) ~ female + age_midpoint + RIN + ischemic_time + sequencing_center + RNA_extraction_protocol,intercept;female;age_z;rin_z;ischemic_z;center[C1];center[OTHER_OR_MISSING];extraction[RNA isolation from PAXgene tissue via QIAGEN spin column];extraction[RNA isolation from PAXgene-preserved tissue],471,220,3.9768540206887115,3.9695833764215966,3.9771916182903815,3.9495815993928343,14.6662,14.450500000000002,0.006199316942537204,0.027960580578435108,0.22171631683923235,682,,0.8246010980357331,,,,,True,OK,True,False,True,2,True,True,True,0.9405543599427058,1701,True
JUN,ENSG00000177606.9,shared-core;thyroid-branch;hypertension-branch,Artery - Tibial,hypertension/cardiovascular tissue,GTEx V11,GENCODE v47 / GRCh38,GTEx RNASeQCv2.4.3 gene TPM,log2(TPM + 1),log2(TPM+1) ~ female + age_midpoint + RIN + ischemic_time + sequencing_center + RNA_extraction_protocol,intercept;female;age_z;rin_z;ischemic_z;center[C1];center[OTHER_OR_MISSING];extraction[RNA isolation from PAXgene tissue via QIAGEN spin column];extraction[RNA isolation from PAXgene-preserved tissue],471,220,8.224757010356113,8.136560545585995,7.975338550556659,7.8619495737615726,280.416,231.719,-0.1540666698127631,0.07546391488383769,-2.041593920086433,682,,0.04157612888506457,,,,,True,OK,True,False,True,2,True,True,True,0.27517896978013556,1701,True
