gene_symbol,gene_id,branch_membership,tissue,tissue_role,gtex_release,gtex_annotation,expression_unit,preprocessing,model_formula,model_columns_used,n_male,n_female,male_mean_log2_tpm1,male_median_log2_tpm1,female_mean_log2_tpm1,female_median_log2_tpm1,male_median_tpm,female_median_tpm,female_minus_male_beta,female_minus_male_se,t_statistic,residual_df,direction,raw_p,FDR,fdr_family,fdr_denominator,meaningful_abs_effect_ge_0_25,is_expressed_median_tpm_ge_0_1,model_status,exact_2NAP_human_support,exact_2NAP_experimental_support,parent_naphthalene_support,number_of_sources,multi_source_ge2,network_central_top10pct_any,m3_priority_hub_candidate,FDR_shared_primary,fdr_denominator_shared_primary,priority_audit_gene
ESR1,ENSG00000091831.25,shared-core;thyroid-branch;hypertension-branch,Artery - Coronary,hypertension/cardiovascular tissue,GTEx V11,GENCODE v47 / GRCh38,GTEx RNASeQCv2.4.3 gene TPM,log2(TPM + 1),log2(TPM+1) ~ female + age_midpoint + RIN + ischemic_time + sequencing_center + RNA_extraction_protocol,intercept;female;age_z;rin_z;ischemic_z;center[C1];center[OTHER_OR_MISSING];extraction[RNA isolation from PAXgene tissue via QIAGEN spin column];extraction[RNA isolation from PAXgene-preserved tissue],168,100,1.9785219228651783,1.91504464767337,1.9734918658019724,1.8500382692108854,2.771255,2.60515,0.06287996808731253,0.0806674058009486,0.7794965942312861,259,,0.43639892915289474,,,,,True,OK,True,False,True,2,True,True,True,0.7418994746564495,1701,True
AR,ENSG00000169083.18,shared-core;thyroid-branch;hypertension-branch,Artery - Coronary,hypertension/cardiovascular tissue,GTEx V11,GENCODE v47 / GRCh38,GTEx RNASeQCv2.4.3 gene TPM,log2(TPM + 1),log2(TPM+1) ~ female + age_midpoint + RIN + ischemic_time + sequencing_center + RNA_extraction_protocol,intercept;female;age_z;rin_z;ischemic_z;center[C1];center[OTHER_OR_MISSING];extraction[RNA isolation from PAXgene tissue via QIAGEN spin column];extraction[RNA isolation from PAXgene-preserved tissue],168,100,3.019095718684766,3.135371304356833,3.2007156441181177,3.2454286216618122,7.787045,8.483615,0.1360503725246311,0.06816515880440328,1.9958931353042282,259,,0.046992691648054315,,,,,True,OK,True,True,True,3,True,False,False,0.28270201662895333,1701,True
ESR2,ENSG00000140009.19,shared-core;thyroid-branch;hypertension-branch,Artery - Coronary,hypertension/cardiovascular tissue,GTEx V11,GENCODE v47 / GRCh38,GTEx RNASeQCv2.4.3 gene TPM,log2(TPM + 1),log2(TPM+1) ~ female + age_midpoint + RIN + ischemic_time + sequencing_center + RNA_extraction_protocol,intercept;female;age_z;rin_z;ischemic_z;center[C1];center[OTHER_OR_MISSING];extraction[RNA isolation from PAXgene tissue via QIAGEN spin column];extraction[RNA isolation from PAXgene-preserved tissue],168,100,0.3930534836519373,0.3156149051369066,0.3865993283465142,0.3275206547954781,0.244542,0.254855,0.009423750620581837,0.03481162318187756,0.2707070156236699,259,,0.7868319852324924,,,,,True,OK,True,False,True,1,False,False,False,0.9307379741866965,1701,True
ESRRA,ENSG00000173153.17,shared-core;thyroid-branch;hypertension-branch,Artery - Coronary,hypertension/cardiovascular tissue,GTEx V11,GENCODE v47 / GRCh38,GTEx RNASeQCv2.4.3 gene TPM,log2(TPM + 1),log2(TPM+1) ~ female + age_midpoint + RIN + ischemic_time + sequencing_center + RNA_extraction_protocol,intercept;female;age_z;rin_z;ischemic_z;center[C1];center[OTHER_OR_MISSING];extraction[RNA isolation from PAXgene tissue via QIAGEN spin column];extraction[RNA isolation from PAXgene-preserved tissue],168,100,4.894933844463933,4.900298671518342,4.923743484731839,4.876039948747338,28.86325,28.365299999999998,0.002675182007692248,0.05314525429872608,0.0503371757834711,259,,0.9598924971026134,,,,,True,OK,True,False,True,1,False,False,False,0.9817226071623708,1701,True
AHR,ENSG00000106546.14,shared-core;thyroid-branch;hypertension-branch,Artery - Coronary,hypertension/cardiovascular tissue,GTEx V11,GENCODE v47 / GRCh38,GTEx RNASeQCv2.4.3 gene TPM,log2(TPM + 1),log2(TPM+1) ~ female + age_midpoint + RIN + ischemic_time + sequencing_center + RNA_extraction_protocol,intercept;female;age_z;rin_z;ischemic_z;center[C1];center[OTHER_OR_MISSING];extraction[RNA isolation from PAXgene tissue via QIAGEN spin column];extraction[RNA isolation from PAXgene-preserved tissue],168,100,4.9284206940967685,4.879233416714797,4.887466717889266,4.853403780913325,28.4305,27.90815,-0.02903627346785037,0.07667441171682299,-0.37869574500406084,259,,0.705224051700423,,,,,True,OK,True,True,True,2,True,False,False,0.8918855850873009,1701,True
THRB,ENSG00000151090.20,shared-core;thyroid-branch;hypertension-branch,Artery - Coronary,hypertension/cardiovascular tissue,GTEx V11,GENCODE v47 / GRCh38,GTEx RNASeQCv2.4.3 gene TPM,log2(TPM + 1),log2(TPM+1) ~ female + age_midpoint + RIN + ischemic_time + sequencing_center + RNA_extraction_protocol,intercept;female;age_z;rin_z;ischemic_z;center[C1];center[OTHER_OR_MISSING];extraction[RNA isolation from PAXgene tissue via QIAGEN spin column];extraction[RNA isolation from PAXgene-preserved tissue],168,100,3.8403887998281725,3.909360472995669,3.966418881696614,3.930823903996418,14.02575,14.251149999999999,0.11078464316758321,0.09820372224254971,1.1281104283803047,259,,0.26031720209680703,,,,,True,OK,True,False,True,2,True,False,False,0.6063447799491373,1701,True
TP53,ENSG00000141510.19,shared-core;thyroid-branch;hypertension-branch,Heart - Left Ventricle,hypertension/cardiovascular tissue,GTEx V11,GENCODE v47 / GRCh38,GTEx RNASeQCv2.4.3 gene TPM,log2(TPM + 1),log2(TPM+1) ~ female + age_midpoint + RIN + ischemic_time + sequencing_center + RNA_extraction_protocol,intercept;female;age_z;rin_z;ischemic_z;center[C1];center[OTHER_OR_MISSING];extraction[RNA Isolation via QIAGEN Spin Column];extraction[RNA isolation from PAXgene tissue via QIAGEN spin column];extraction[RNA isolation from PAXgene-preserved tissue],308,143,1.9116079598533797,1.8679208898761828,1.9687244560110182,1.9308092340160437,2.650065,2.81269,-0.02889752643344095,0.051214545313824085,-0.5642445179658909,441,,0.5728745818711489,,,,,True,OK,True,False,True,2,True,True,True,0.8314502250536043,1701,True
JUN,ENSG00000177606.9,shared-core;thyroid-branch;hypertension-branch,Heart - Left Ventricle,hypertension/cardiovascular tissue,GTEx V11,GENCODE v47 / GRCh38,GTEx RNASeQCv2.4.3 gene TPM,log2(TPM + 1),log2(TPM+1) ~ female + age_midpoint + RIN + ischemic_time + sequencing_center + RNA_extraction_protocol,intercept;female;age_z;rin_z;ischemic_z;center[C1];center[OTHER_OR_MISSING];extraction[RNA Isolation via QIAGEN Spin Column];extraction[RNA isolation from PAXgene tissue via QIAGEN spin column];extraction[RNA isolation from PAXgene-preserved tissue],308,143,5.836926136008115,5.802357142703933,5.862189811434634,5.806192569184015,54.80735,54.9549,-0.01779579238019955,0.10862287197865811,-0.1638309874894121,441,,0.8699392529397034,,,,,True,OK,True,False,True,2,True,True,True,0.95678721519422,1701,True
CASP3,ENSG00000164305.20,shared-core;thyroid-branch;hypertension-branch,Heart - Left Ventricle,hypertension/cardiovascular tissue,GTEx V11,GENCODE v47 / GRCh38,GTEx RNASeQCv2.4.3 gene TPM,log2(TPM + 1),log2(TPM+1) ~ female + age_midpoint + RIN + ischemic_time + sequencing_center + RNA_extraction_protocol,intercept;female;age_z;rin_z;ischemic_z;center[C1];center[OTHER_OR_MISSING];extraction[RNA Isolation via QIAGEN Spin Column];extraction[RNA isolation from PAXgene tissue via QIAGEN spin column];extraction[RNA isolation from PAXgene-preserved tissue],308,143,2.7134512551997934,2.681913325459681,2.8342804041109737,2.7251652721311794,5.417065,5.61236,-0.06624368441764089,0.06884051560889794,-0.9622775749384219,441,,0.3364375171517607,,,,,True,OK,True,False,True,3,True,True,True,0.6703388811128594,1701,True
ESR1,ENSG00000091831.25,shared-core;thyroid-branch;hypertension-branch,Heart - Left Ventricle,hypertension/cardiovascular tissue,GTEx V11,GENCODE v47 / GRCh38,GTEx RNASeQCv2.4.3 gene TPM,log2(TPM + 1),log2(TPM+1) ~ female + age_midpoint + RIN + ischemic_time + sequencing_center + RNA_extraction_protocol,intercept;female;age_z;rin_z;ischemic_z;center[C1];center[OTHER_OR_MISSING];extraction[RNA Isolation via QIAGEN Spin Column];extraction[RNA isolation from PAXgene tissue via QIAGEN spin column];extraction[RNA isolation from PAXgene-preserved tissue],308,143,0.43422101433757826,0.3890821533612475,0.4675466783995493,0.42797940172999793,0.309561,0.345348,0.03297612506156116,0.023692746067574176,1.3918236817087315,441,,0.16467735498146702,,,,,True,OK,True,False,True,2,True,True,True,0.48678060055875944,1701,True
AR,ENSG00000169083.18,shared-core;thyroid-branch;hypertension-branch,Heart - Left Ventricle,hypertension/cardiovascular tissue,GTEx V11,GENCODE v47 / GRCh38,GTEx RNASeQCv2.4.3 gene TPM,log2(TPM + 1),log2(TPM+1) ~ female + age_midpoint + RIN + ischemic_time + sequencing_center + RNA_extraction_protocol,intercept;female;age_z;rin_z;ischemic_z;center[C1];center[OTHER_OR_MISSING];extraction[RNA Isolation via QIAGEN Spin Column];extraction[RNA isolation from PAXgene tissue via QIAGEN spin column];extraction[RNA isolation from PAXgene-preserved tissue],308,143,1.7753378506861393,1.9719765121763189,2.078000357002137,2.3147864194310173,2.92306,3.97531,0.0047686689548445335,0.06009686424304469,0.07934971341531244,441,,0.936790458625049,,,,,True,OK,True,True,True,3,True,False,False,0.9716344939763465,1701,True
ESR2,ENSG00000140009.19,shared-core;thyroid-branch;hypertension-branch,Heart - Left Ventricle,hypertension/cardiovascular tissue,GTEx V11,GENCODE v47 / GRCh38,GTEx RNASeQCv2.4.3 gene TPM,log2(TPM + 1),log2(TPM+1) ~ female + age_midpoint + RIN + ischemic_time + sequencing_center + RNA_extraction_protocol,intercept;female;age_z;rin_z;ischemic_z;center[C1];center[OTHER_OR_MISSING];extraction[RNA Isolation via QIAGEN Spin Column];extraction[RNA isolation from PAXgene tissue via QIAGEN spin column];extraction[RNA isolation from PAXgene-preserved tissue],308,143,0.3303835042030521,0.3011564816133111,0.31952740141973734,0.3082758232383353,0.232134,0.238227,-0.07106662824220525,0.015280838708783405,-4.650702071827788,441,,4.378604327775349e-06,,,,,True,OK,True,False,True,1,False,False,False,0.0009310007451932337,1701,True
ESRRA,ENSG00000173153.17,shared-core;thyroid-branch;hypertension-branch,Heart - Left Ventricle,hypertension/cardiovascular tissue,GTEx V11,GENCODE v47 / GRCh38,GTEx RNASeQCv2.4.3 gene TPM,log2(TPM + 1),log2(TPM+1) ~ female + age_midpoint + RIN + ischemic_time + sequencing_center + RNA_extraction_protocol,intercept;female;age_z;rin_z;ischemic_z;center[C1];center[OTHER_OR_MISSING];extraction[RNA Isolation via QIAGEN Spin Column];extraction[RNA isolation from PAXgene tissue via QIAGEN spin column];extraction[RNA isolation from PAXgene-preserved tissue],308,143,5.735943688033177,6.239586104315708,6.072209723367786,6.442218649728029,74.56184999999999,85.9563,-0.07500469302586096,0.09900901575507737,-0.7575541727573893,441,,0.449122510878783,,,,,True,OK,True,False,True,1,False,False,False,0.746502812372735,1701,True
AHR,ENSG00000106546.14,shared-core;thyroid-branch;hypertension-branch,Heart - Left Ventricle,hypertension/cardiovascular tissue,GTEx V11,GENCODE v47 / GRCh38,GTEx RNASeQCv2.4.3 gene TPM,log2(TPM + 1),log2(TPM+1) ~ female + age_midpoint + RIN + ischemic_time + sequencing_center + RNA_extraction_protocol,intercept;female;age_z;rin_z;ischemic_z;center[C1];center[OTHER_OR_MISSING];extraction[RNA Isolation via QIAGEN Spin Column];extraction[RNA isolation from PAXgene tissue via QIAGEN spin column];extraction[RNA isolation from PAXgene-preserved tissue],308,143,2.2763670021503755,2.2992053566184882,2.4834693954431715,2.4635570685390173,3.921885,4.51575,0.05268141019581675,0.056162620473587735,0.9380155297524243,441,,0.34874986098702127,,,,,True,OK,True,True,True,2,True,False,False,0.6767772676564986,1701,True
THRB,ENSG00000151090.20,shared-core;thyroid-branch;hypertension-branch,Heart - Left Ventricle,hypertension/cardiovascular tissue,GTEx V11,GENCODE v47 / GRCh38,GTEx RNASeQCv2.4.3 gene TPM,log2(TPM + 1),log2(TPM+1) ~ female + age_midpoint + RIN + ischemic_time + sequencing_center + RNA_extraction_protocol,intercept;female;age_z;rin_z;ischemic_z;center[C1];center[OTHER_OR_MISSING];extraction[RNA Isolation via QIAGEN Spin Column];extraction[RNA isolation from PAXgene tissue via QIAGEN spin column];extraction[RNA isolation from PAXgene-preserved tissue],308,143,1.4282822980713126,1.4977909223974657,1.7879121788043084,1.983695933458137,1.8241,2.95505,0.11606122311675143,0.05092010612544108,2.2792808567766136,441,,0.023127372287651403,,,,,True,OK,True,False,True,2,True,False,False,0.22225796757793806,1701,True
TP53,ENSG00000141510.19,shared-core;thyroid-branch;hypertension-branch,Heart - Atrial Appendage,hypertension/cardiovascular tissue,GTEx V11,GENCODE v47 / GRCh38,GTEx RNASeQCv2.4.3 gene TPM,log2(TPM + 1),log2(TPM+1) ~ female + age_midpoint + RIN + ischemic_time + sequencing_center + RNA_extraction_protocol,intercept;female;age_z;rin_z;ischemic_z;center[C1];extraction[RNA isolation from PAXgene-preserved tissue],318,143,2.4209848169217696,2.401721744175471,2.360105688214827,2.3695167363037752,4.2843350000000004,4.16768,-0.07564190310437376,0.04523633029513061,-1.6721494120073683,454,,0.09518384510475869,,,,,True,OK,True,False,True,2,True,True,True,0.3833100819559579,1701,True
JUN,ENSG00000177606.9,shared-core;thyroid-branch;hypertension-branch,Heart - Atrial Appendage,hypertension/cardiovascular tissue,GTEx V11,GENCODE v47 / GRCh38,GTEx RNASeQCv2.4.3 gene TPM,log2(TPM + 1),log2(TPM+1) ~ female + age_midpoint + RIN + ischemic_time + sequencing_center + RNA_extraction_protocol,intercept;female;age_z;rin_z;ischemic_z;center[C1];extraction[RNA isolation from PAXgene-preserved tissue],318,143,7.058417101273044,7.033055019828037,6.768817687253078,6.677423673840014,129.97,101.354,-0.1955750077193286,0.09781712955118989,-1.999394263731485,454,,0.046161193833880315,,,,,True,OK,True,False,True,2,True,True,True,0.2824467291778073,1701,True
CASP3,ENSG00000164305.20,shared-core;thyroid-branch;hypertension-branch,Heart - Atrial Appendage,hypertension/cardiovascular tissue,GTEx V11,GENCODE v47 / GRCh38,GTEx RNASeQCv2.4.3 gene TPM,log2(TPM + 1),log2(TPM+1) ~ female + age_midpoint + RIN + ischemic_time + sequencing_center + RNA_extraction_protocol,intercept;female;age_z;rin_z;ischemic_z;center[C1];extraction[RNA isolation from PAXgene-preserved tissue],318,143,2.818429113363756,2.8202375402425304,2.7812971935893778,2.8112963346563316,6.06279,6.01915,-0.07716515094563256,0.04314484383326143,-1.788513854490859,454,,0.07435980090102633,,,,,True,OK,True,False,True,3,True,True,True,0.3437120144908853,1701,True
ESR1,ENSG00000091831.25,shared-core;thyroid-branch;hypertension-branch,Heart - Atrial Appendage,hypertension/cardiovascular tissue,GTEx V11,GENCODE v47 / GRCh38,GTEx RNASeQCv2.4.3 gene TPM,log2(TPM + 1),log2(TPM+1) ~ female + age_midpoint + RIN + ischemic_time + sequencing_center + RNA_extraction_protocol,intercept;female;age_z;rin_z;ischemic_z;center[C1];extraction[RNA isolation from PAXgene-preserved tissue],318,143,0.8797129608423567,0.8247930550219046,0.8165719795635671,0.7161278717779558,0.7712845,0.642767,-0.01373747614127896,0.03583065333058705,-0.3834001019889828,454,,0.7016025942603442,,,,,True,OK,True,False,True,2,True,True,True,0.889122306223317,1701,True
AR,ENSG00000169083.18,shared-core;thyroid-branch;hypertension-branch,Heart - Atrial Appendage,hypertension/cardiovascular tissue,GTEx V11,GENCODE v47 / GRCh38,GTEx RNASeQCv2.4.3 gene TPM,log2(TPM + 1),log2(TPM+1) ~ female + age_midpoint + RIN + ischemic_time + sequencing_center + RNA_extraction_protocol,intercept;female;age_z;rin_z;ischemic_z;center[C1];extraction[RNA isolation from PAXgene-preserved tissue],318,143,2.0285996523146097,2.0699722536506147,2.054213733096909,2.126087414562981,3.1988,3.36532,-0.03835920857232411,0.05360289520822331,-0.7156182221746739,454,,0.4745949944660256,,,,,True,OK,True,True,True,3,True,False,False,0.7571342656398606,1701,True
ESR2,ENSG00000140009.19,shared-core;thyroid-branch;hypertension-branch,Heart - Atrial Appendage,hypertension/cardiovascular tissue,GTEx V11,GENCODE v47 / GRCh38,GTEx RNASeQCv2.4.3 gene TPM,log2(TPM + 1),log2(TPM+1) ~ female + age_midpoint + RIN + ischemic_time + sequencing_center + RNA_extraction_protocol,intercept;female;age_z;rin_z;ischemic_z;center[C1];extraction[RNA isolation from PAXgene-preserved tissue],318,143,0.24704605143537267,0.23138877393950139,0.22669567086246414,0.20440493620672626,0.1739645,0.152211,-0.02631391042824119,0.011756210126609452,-2.238298749754505,454,,0.025685589275628234,,,,,True,OK,True,False,True,1,False,False,False,0.2287496720305949,1701,True
ESRRA,ENSG00000173153.17,shared-core;thyroid-branch;hypertension-branch,Heart - Atrial Appendage,hypertension/cardiovascular tissue,GTEx V11,GENCODE v47 / GRCh38,GTEx RNASeQCv2.4.3 gene TPM,log2(TPM + 1),log2(TPM+1) ~ female + age_midpoint + RIN + ischemic_time + sequencing_center + RNA_extraction_protocol,intercept;female;age_z;rin_z;ischemic_z;center[C1];extraction[RNA isolation from PAXgene-preserved tissue],318,143,5.963631065558188,6.04610902966781,6.053508346891036,6.091689257154923,65.07849999999999,67.1995,0.014778258702966063,0.05854575478437839,0.2524223789990202,454,,0.8008288436873041,,,,,True,OK,True,False,True,1,False,False,False,0.9374566596374181,1701,True
AHR,ENSG00000106546.14,shared-core;thyroid-branch;hypertension-branch,Heart - Atrial Appendage,hypertension/cardiovascular tissue,GTEx V11,GENCODE v47 / GRCh38,GTEx RNASeQCv2.4.3 gene TPM,log2(TPM + 1),log2(TPM+1) ~ female + age_midpoint + RIN + ischemic_time + sequencing_center + RNA_extraction_protocol,intercept;female;age_z;rin_z;ischemic_z;center[C1];extraction[RNA isolation from PAXgene-preserved tissue],318,143,3.1866963186613027,3.155199699831302,3.092506260806188,3.0768839898612486,7.9086099999999995,7.4379,-0.06933907767876868,0.06436526114056014,-1.0772748599177866,454,,0.28192956829849536,,,,,True,OK,True,True,True,2,True,False,False,0.6285218816195814,1701,True
THRB,ENSG00000151090.20,shared-core;thyroid-branch;hypertension-branch,Heart - Atrial Appendage,hypertension/cardiovascular tissue,GTEx V11,GENCODE v47 / GRCh38,GTEx RNASeQCv2.4.3 gene TPM,log2(TPM + 1),log2(TPM+1) ~ female + age_midpoint + RIN + ischemic_time + sequencing_center + RNA_extraction_protocol,intercept;female;age_z;rin_z;ischemic_z;center[C1];extraction[RNA isolation from PAXgene-preserved tissue],318,143,1.5067128455126482,1.4921913104327729,1.5860516303476853,1.6105347143283697,1.8131599999999999,2.05365,0.040511748487682464,0.040834326351067304,0.9921003260685257,454,,0.3216770461606439,,,,,True,OK,True,False,True,2,True,False,False,0.6635605696071412,1701,True
TP53,ENSG00000141510.19,shared-core;thyroid-branch;hypertension-branch,Kidney - Cortex,hypertension/renal tissue,GTEx V11,GENCODE v47 / GRCh38,GTEx RNASeQCv2.4.3 gene TPM,log2(TPM + 1),log2(TPM+1) ~ female + age_midpoint + RIN + ischemic_time + sequencing_center + RNA_extraction_protocol,intercept;female;age_z;rin_z;ischemic_z;center[C1];extraction[RNA Extraction from PAXgene-derived Lysate Plate Based];extraction[RNA isolation from PAXgene-preserved tissue],80,24,2.59388642199161,2.39598387925368,2.941677191078027,2.811838336317364,4.264275,6.02525,0.2896003844280404,0.15840164033549226,1.8282663223352438,96,,0.07061512091064523,,,,,True,OK,True,False,True,2,True,True,True,0.3374053951376616,1701,True
JUN,ENSG00000177606.9,shared-core;thyroid-branch;hypertension-branch,Kidney - Cortex,hypertension/renal tissue,GTEx V11,GENCODE v47 / GRCh38,GTEx RNASeQCv2.4.3 gene TPM,log2(TPM + 1),log2(TPM+1) ~ female + age_midpoint + RIN + ischemic_time + sequencing_center + RNA_extraction_protocol,intercept;female;age_z;rin_z;ischemic_z;center[C1];extraction[RNA Extraction from PAXgene-derived Lysate Plate Based];extraction[RNA isolation from PAXgene-preserved tissue],80,24,6.32295689033226,6.230596812339319,6.410104201743806,6.375623689326304,74.09605,83.098,0.11783373429120042,0.25782794397044734,0.4570246827268138,96,,0.6486858092390896,,,,,True,OK,True,False,True,2,True,True,True,0.8667228876365809,1701,True
CASP3,ENSG00000164305.20,shared-core;thyroid-branch;hypertension-branch,Kidney - Cortex,hypertension/renal tissue,GTEx V11,GENCODE v47 / GRCh38,GTEx RNASeQCv2.4.3 gene TPM,log2(TPM + 1),log2(TPM+1) ~ female + age_midpoint + RIN + ischemic_time + sequencing_center + RNA_extraction_protocol,intercept;female;age_z;rin_z;ischemic_z;center[C1];extraction[RNA Extraction from PAXgene-derived Lysate Plate Based];extraction[RNA isolation from PAXgene-preserved tissue],80,24,2.8720141244237896,2.7369567315874357,3.073960501001723,3.061044143154591,5.667835,7.345775,0.17002229469276958,0.14434755000431934,1.177867547372172,96,,0.24176108781351607,,,,,True,OK,True,False,True,3,True,True,True,0.5819068790470331,1701,True
ESR1,ENSG00000091831.25,shared-core;thyroid-branch;hypertension-branch,Kidney - Cortex,hypertension/renal tissue,GTEx V11,GENCODE v47 / GRCh38,GTEx RNASeQCv2.4.3 gene TPM,log2(TPM + 1),log2(TPM+1) ~ female + age_midpoint + RIN + ischemic_time + sequencing_center + RNA_extraction_protocol,intercept;female;age_z;rin_z;ischemic_z;center[C1];extraction[RNA Extraction from PAXgene-derived Lysate Plate Based];extraction[RNA isolation from PAXgene-preserved tissue],80,24,0.9037673824219061,0.8174211387817221,1.0858741658878508,1.0183539747129122,0.762273,1.0258245,0.1808590273400424,0.10567995057190772,1.7113844807959162,96,,0.09023935291521205,,,,,True,OK,True,False,True,2,True,True,True,0.37347235841551263,1701,True
AR,ENSG00000169083.18,shared-core;thyroid-branch;hypertension-branch,Kidney - Cortex,hypertension/renal tissue,GTEx V11,GENCODE v47 / GRCh38,GTEx RNASeQCv2.4.3 gene TPM,log2(TPM + 1),log2(TPM+1) ~ female + age_midpoint + RIN + ischemic_time + sequencing_center + RNA_extraction_protocol,intercept;female;age_z;rin_z;ischemic_z;center[C1];extraction[RNA Extraction from PAXgene-derived Lysate Plate Based];extraction[RNA isolation from PAXgene-preserved tissue],80,24,1.5462976913160582,1.4529039188997293,1.6788221095510185,1.6087515277108477,1.7376550000000002,2.050195,0.09466344958057304,0.12558058745290232,0.7538063923779269,96,,0.45281039756998565,,,,,True,OK,True,True,True,3,True,False,False,0.746502812372735,1701,True
ESR2,ENSG00000140009.19,shared-core;thyroid-branch;hypertension-branch,Kidney - Cortex,hypertension/renal tissue,GTEx V11,GENCODE v47 / GRCh38,GTEx RNASeQCv2.4.3 gene TPM,log2(TPM + 1),log2(TPM+1) ~ female + age_midpoint + RIN + ischemic_time + sequencing_center + RNA_extraction_protocol,intercept;female;age_z;rin_z;ischemic_z;center[C1];extraction[RNA Extraction from PAXgene-derived Lysate Plate Based];extraction[RNA isolation from PAXgene-preserved tissue],80,24,0.7188106898944538,0.5731971778926197,0.9903485384276266,0.899949749541207,0.4878255,0.8660215,0.24652604856893606,0.11073602642709035,2.226249726698033,96,,0.028336236841514244,,,,,True,OK,True,False,True,1,False,False,False,0.23007427900591657,1701,True
ESRRA,ENSG00000173153.17,shared-core;thyroid-branch;hypertension-branch,Kidney - Cortex,hypertension/renal tissue,GTEx V11,GENCODE v47 / GRCh38,GTEx RNASeQCv2.4.3 gene TPM,log2(TPM + 1),log2(TPM+1) ~ female + age_midpoint + RIN + ischemic_time + sequencing_center + RNA_extraction_protocol,intercept;female;age_z;rin_z;ischemic_z;center[C1];extraction[RNA Extraction from PAXgene-derived Lysate Plate Based];extraction[RNA isolation from PAXgene-preserved tissue],80,24,5.6482296501058205,5.590136512517514,5.820273814462541,5.945572246482888,47.17385,60.6306,0.14474944276914364,0.13083984727895945,1.106310086563522,96,,0.27135694767690266,,,,,True,OK,True,False,True,1,False,False,False,0.6154375573312152,1701,True
AHR,ENSG00000106546.14,shared-core;thyroid-branch;hypertension-branch,Kidney - Cortex,hypertension/renal tissue,GTEx V11,GENCODE v47 / GRCh38,GTEx RNASeQCv2.4.3 gene TPM,log2(TPM + 1),log2(TPM+1) ~ female + age_midpoint + RIN + ischemic_time + sequencing_center + RNA_extraction_protocol,intercept;female;age_z;rin_z;ischemic_z;center[C1];extraction[RNA Extraction from PAXgene-derived Lysate Plate Based];extraction[RNA isolation from PAXgene-preserved tissue],80,24,2.3997341630845286,2.1504618141749257,2.7607416185192797,2.4871569336412374,3.4397200000000003,4.6136800000000004,0.2979775834341284,0.1992270346945285,1.4956684161414764,96,,0.13802033650073642,,,,,True,OK,True,True,True,2,True,False,False,0.44095675713885507,1701,True
THRB,ENSG00000151090.20,shared-core;thyroid-branch;hypertension-branch,Kidney - Cortex,hypertension/renal tissue,GTEx V11,GENCODE v47 / GRCh38,GTEx RNASeQCv2.4.3 gene TPM,log2(TPM + 1),log2(TPM+1) ~ female + age_midpoint + RIN + ischemic_time + sequencing_center + RNA_extraction_protocol,intercept;female;age_z;rin_z;ischemic_z;center[C1];extraction[RNA Extraction from PAXgene-derived Lysate Plate Based];extraction[RNA isolation from PAXgene-preserved tissue],80,24,1.941538611426352,1.871466113024483,1.9722321793959499,1.9262815617147035,2.659045,2.820895,0.059062644734394015,0.11040504617928447,0.5349632718642534,96,,0.5939122345164052,,,,,True,OK,True,False,True,2,True,False,False,0.8404698094113189,1701,True
TP53,ENSG00000141510.19,shared-core;thyroid-branch;hypertension-branch,Adrenal Gland,hypertension/endocrine tissue,GTEx V11,GENCODE v47 / GRCh38,GTEx RNASeQCv2.4.3 gene TPM,log2(TPM + 1),log2(TPM+1) ~ female + age_midpoint + RIN + ischemic_time + sequencing_center + RNA_extraction_protocol,intercept;female;age_z;rin_z;ischemic_z;center[C1];extraction[RNA isolation from PAXgene tissue via QIAGEN spin column];extraction[RNA isolation from PAXgene-preserved tissue],184,111,3.2827719667517794,3.4144555448173297,3.2558008425973886,3.415933044720687,9.662365000000001,9.67329,-0.08044556418203727,0.05243901985923171,-1.5340783332332841,287,,0.1261119842171076,,,,,True,OK,True,False,True,2,True,True,True,0.4326028976415926,1701,True
JUN,ENSG00000177606.9,shared-core;thyroid-branch;hypertension-branch,Adrenal Gland,hypertension/endocrine tissue,GTEx V11,GENCODE v47 / GRCh38,GTEx RNASeQCv2.4.3 gene TPM,log2(TPM + 1),log2(TPM+1) ~ female + age_midpoint + RIN + ischemic_time + sequencing_center + RNA_extraction_protocol,intercept;female;age_z;rin_z;ischemic_z;center[C1];extraction[RNA isolation from PAXgene tissue via QIAGEN spin column];extraction[RNA isolation from PAXgene-preserved tissue],184,111,6.244305973308248,6.090842303261935,6.11474113832729,5.9450176955614165,67.16,60.6068,-0.09768835440075024,0.11516649481247171,-0.8482358915222563,287,,0.3970134919321465,,,,,True,OK,True,False,True,2,True,True,True,0.7184254784857247,1701,True
CASP3,ENSG00000164305.20,shared-core;thyroid-branch;hypertension-branch,Adrenal Gland,hypertension/endocrine tissue,GTEx V11,GENCODE v47 / GRCh38,GTEx RNASeQCv2.4.3 gene TPM,log2(TPM + 1),log2(TPM+1) ~ female + age_midpoint + RIN + ischemic_time + sequencing_center + RNA_extraction_protocol,intercept;female;age_z;rin_z;ischemic_z;center[C1];extraction[RNA isolation from PAXgene tissue via QIAGEN spin column];extraction[RNA isolation from PAXgene-preserved tissue],184,111,3.91790078684486,3.959528226593143,3.9256625886861922,3.912745658200309,14.5574,14.061,-0.03534748203224116,0.047226105856162555,-0.7484733579325735,287,,0.4547876139247678,,,,,True,OK,True,False,True,3,True,True,True,0.7476634991089717,1701,True
