gene_symbol,gene_id,branch_membership,tissue,tissue_role,gtex_release,gtex_annotation,expression_unit,preprocessing,model_formula,model_columns_used,n_male,n_female,male_mean_log2_tpm1,male_median_log2_tpm1,female_mean_log2_tpm1,female_median_log2_tpm1,male_median_tpm,female_median_tpm,female_minus_male_beta,female_minus_male_se,t_statistic,residual_df,direction,raw_p,FDR,fdr_family,fdr_denominator,meaningful_abs_effect_ge_0_25,is_expressed_median_tpm_ge_0_1,model_status,exact_2NAP_human_support,exact_2NAP_experimental_support,parent_naphthalene_support,number_of_sources,multi_source_ge2,network_central_top10pct_any,m3_priority_hub_candidate
ABCB1,ENSG00000085563.15,shared-core;thyroid-branch;hypertension-branch,Thyroid,thyroid disease-relevant tissue,GTEx V11,GENCODE v47 / GRCh38,GTEx RNASeQCv2.4.3 gene TPM,log2(TPM + 1),log2(TPM+1) ~ female + age_midpoint + RIN + ischemic_time + sequencing_center + RNA_extraction_protocol,intercept;female;age_z;rin_z;ischemic_z;center[C1];center[OTHER_OR_MISSING];extraction[RNA isolation from PAXgene tissue via QIAGEN spin column];extraction[RNA isolation from PAXgene-preserved tissue],459,225,2.7994947799880463,2.8024682852557703,2.7099460636139865,2.7024203989101854,5.97633,5.50893,-0.07096517632262715,0.048702477659776644,-1.457116346695381,675,male-biased,0.14554929877729825,0.4567965503904549,thyroid_branch: 219 genes x 9 prespecified tissues,1971,False,True,OK,False,False,True,2,True,False,False
ABCB6,ENSG00000115657.14,shared-core;thyroid-branch;hypertension-branch,Thyroid,thyroid disease-relevant tissue,GTEx V11,GENCODE v47 / GRCh38,GTEx RNASeQCv2.4.3 gene TPM,log2(TPM + 1),log2(TPM+1) ~ female + age_midpoint + RIN + ischemic_time + sequencing_center + RNA_extraction_protocol,intercept;female;age_z;rin_z;ischemic_z;center[C1];center[OTHER_OR_MISSING];extraction[RNA isolation from PAXgene tissue via QIAGEN spin column];extraction[RNA isolation from PAXgene-preserved tissue],459,225,5.682645468932845,5.63832295577856,5.694302333908722,5.671335837369975,48.8086,49.9615,-0.038491465259612466,0.04131028111438336,-0.9317647864228781,675,male-biased,0.3517912356917424,0.6777913250717735,thyroid_branch: 219 genes x 9 prespecified tissues,1971,False,True,OK,False,False,True,1,False,False,False
ABL1,ENSG00000097007.20,shared-core;thyroid-branch;hypertension-branch,Thyroid,thyroid disease-relevant tissue,GTEx V11,GENCODE v47 / GRCh38,GTEx RNASeQCv2.4.3 gene TPM,log2(TPM + 1),log2(TPM+1) ~ female + age_midpoint + RIN + ischemic_time + sequencing_center + RNA_extraction_protocol,intercept;female;age_z;rin_z;ischemic_z;center[C1];center[OTHER_OR_MISSING];extraction[RNA isolation from PAXgene tissue via QIAGEN spin column];extraction[RNA isolation from PAXgene-preserved tissue],459,225,6.600852322872636,6.59873887354723,6.492476810481759,6.473018936370669,95.9211,87.8327,-0.1078203761829507,0.031642322726914064,-3.4074735003964087,675,male-biased,0.0006946029659082158,0.026188336951605457,thyroid_branch: 219 genes x 9 prespecified tissues,1971,False,True,OK,False,False,True,1,False,False,False
ACHE,ENSG00000087085.16,shared-core;thyroid-branch;hypertension-branch,Thyroid,thyroid disease-relevant tissue,GTEx V11,GENCODE v47 / GRCh38,GTEx RNASeQCv2.4.3 gene TPM,log2(TPM + 1),log2(TPM+1) ~ female + age_midpoint + RIN + ischemic_time + sequencing_center + RNA_extraction_protocol,intercept;female;age_z;rin_z;ischemic_z;center[C1];center[OTHER_OR_MISSING];extraction[RNA isolation from PAXgene tissue via QIAGEN spin column];extraction[RNA isolation from PAXgene-preserved tissue],459,225,2.06379427254081,1.9624416727940492,2.251131599389617,2.165590411178421,2.89721,3.4865,0.23193410465066167,0.05983762077711341,3.8760582663301917,675,female-biased,0.00011652608048942074,0.007464179001693867,thyroid_branch: 219 genes x 9 prespecified tissues,1971,False,True,OK,True,False,True,1,False,False,False
ACTA1,ENSG00000143632.15,shared-core;thyroid-branch;hypertension-branch,Thyroid,thyroid disease-relevant tissue,GTEx V11,GENCODE v47 / GRCh38,GTEx RNASeQCv2.4.3 gene TPM,log2(TPM + 1),log2(TPM+1) ~ female + age_midpoint + RIN + ischemic_time + sequencing_center + RNA_extraction_protocol,intercept;female;age_z;rin_z;ischemic_z;center[C1];center[OTHER_OR_MISSING];extraction[RNA isolation from PAXgene tissue via QIAGEN spin column];extraction[RNA isolation from PAXgene-preserved tissue],459,225,2.051106169019613,1.8463970327907222,2.0351078172755837,1.8267538819368305,2.59601,2.54738,-0.031149571410463935,0.10780850159281455,-0.28893427652035986,675,male-biased,0.7727203851991179,0.924169829628314,thyroid_branch: 219 genes x 9 prespecified tissues,1971,False,True,OK,False,False,True,1,False,False,False
ACTR1B,ENSG00000115073.8,thyroid-branch,Thyroid,thyroid disease-relevant tissue,GTEx V11,GENCODE v47 / GRCh38,GTEx RNASeQCv2.4.3 gene TPM,log2(TPM + 1),log2(TPM+1) ~ female + age_midpoint + RIN + ischemic_time + sequencing_center + RNA_extraction_protocol,intercept;female;age_z;rin_z;ischemic_z;center[C1];center[OTHER_OR_MISSING];extraction[RNA isolation from PAXgene tissue via QIAGEN spin column];extraction[RNA isolation from PAXgene-preserved tissue],459,225,7.036741464630261,7.04982677275729,7.026161768979435,7.03643739553011,131.498,130.274,-0.013617558817433803,0.022033176635350822,-0.6180479121465082,675,male-biased,0.5367522257598273,0.8063556684242528,thyroid_branch: 219 genes x 9 prespecified tissues,1971,False,True,OK,False,False,True,1,False,False,False
ADA,ENSG00000196839.14,shared-core;thyroid-branch;hypertension-branch,Thyroid,thyroid disease-relevant tissue,GTEx V11,GENCODE v47 / GRCh38,GTEx RNASeQCv2.4.3 gene TPM,log2(TPM + 1),log2(TPM+1) ~ female + age_midpoint + RIN + ischemic_time + sequencing_center + RNA_extraction_protocol,intercept;female;age_z;rin_z;ischemic_z;center[C1];center[OTHER_OR_MISSING];extraction[RNA isolation from PAXgene tissue via QIAGEN spin column];extraction[RNA isolation from PAXgene-preserved tissue],459,225,3.168710012924498,3.1739269319998087,3.1007565130220436,3.1140921203768337,8.025,7.65835,-0.04142630054183762,0.04025871127537881,-1.029002152067716,675,male-biased,0.3038472396055142,0.6425782288223911,thyroid_branch: 219 genes x 9 prespecified tissues,1971,False,True,OK,False,False,True,1,False,False,False
ADAM17,ENSG00000151694.15,shared-core;thyroid-branch;hypertension-branch,Thyroid,thyroid disease-relevant tissue,GTEx V11,GENCODE v47 / GRCh38,GTEx RNASeQCv2.4.3 gene TPM,log2(TPM + 1),log2(TPM+1) ~ female + age_midpoint + RIN + ischemic_time + sequencing_center + RNA_extraction_protocol,intercept;female;age_z;rin_z;ischemic_z;center[C1];center[OTHER_OR_MISSING];extraction[RNA isolation from PAXgene tissue via QIAGEN spin column];extraction[RNA isolation from PAXgene-preserved tissue],459,225,3.203933654246314,3.214154342987729,3.169483920093149,3.1768046544349855,8.28019,8.04302,-0.039341016142465865,0.022167702771481942,-1.774699730865972,675,male-biased,0.076398109849794,0.3493751148815406,thyroid_branch: 219 genes x 9 prespecified tissues,1971,False,True,OK,False,False,True,1,False,False,False
ADRA2C,ENSG00000184160.8,shared-core;thyroid-branch;hypertension-branch,Thyroid,thyroid disease-relevant tissue,GTEx V11,GENCODE v47 / GRCh38,GTEx RNASeQCv2.4.3 gene TPM,log2(TPM + 1),log2(TPM+1) ~ female + age_midpoint + RIN + ischemic_time + sequencing_center + RNA_extraction_protocol,intercept;female;age_z;rin_z;ischemic_z;center[C1];center[OTHER_OR_MISSING];extraction[RNA isolation from PAXgene tissue via QIAGEN spin column];extraction[RNA isolation from PAXgene-preserved tissue],459,225,1.8534540394634866,1.6943854696849343,1.8689687619629927,1.8349740883434402,2.23639,2.56765,-0.030423389589576806,0.0637764641970645,-0.47703161303472097,675,male-biased,0.6334940131188034,0.8575156096573083,thyroid_branch: 219 genes x 9 prespecified tissues,1971,False,True,OK,False,False,True,1,False,False,False
AHR,ENSG00000106546.14,shared-core;thyroid-branch;hypertension-branch,Thyroid,thyroid disease-relevant tissue,GTEx V11,GENCODE v47 / GRCh38,GTEx RNASeQCv2.4.3 gene TPM,log2(TPM + 1),log2(TPM+1) ~ female + age_midpoint + RIN + ischemic_time + sequencing_center + RNA_extraction_protocol,intercept;female;age_z;rin_z;ischemic_z;center[C1];center[OTHER_OR_MISSING];extraction[RNA isolation from PAXgene tissue via QIAGEN spin column];extraction[RNA isolation from PAXgene-preserved tissue],459,225,4.78289332267552,4.798434214396446,4.7368584973315535,4.740673960368384,26.8274,25.7353,-0.036784763378008865,0.03811881357401387,-0.9650028405680903,675,male-biased,0.3348889843637131,0.6686870603932713,thyroid_branch: 219 genes x 9 prespecified tissues,1971,False,True,OK,True,True,True,2,True,False,False
AHSG,ENSG00000145192.13,shared-core;thyroid-branch;hypertension-branch,Thyroid,thyroid disease-relevant tissue,GTEx V11,GENCODE v47 / GRCh38,GTEx RNASeQCv2.4.3 gene TPM,log2(TPM + 1),log2(TPM+1) ~ female + age_midpoint + RIN + ischemic_time + sequencing_center + RNA_extraction_protocol,intercept;female;age_z;rin_z;ischemic_z;center[C1];center[OTHER_OR_MISSING];extraction[RNA isolation from PAXgene tissue via QIAGEN spin column];extraction[RNA isolation from PAXgene-preserved tissue],459,225,0.16936383313407455,0.06353469505332096,0.1931048799079535,0.0691081956303499,0.045023,0.049068,0.03837784618408849,0.027636334780047525,1.3886735158453776,675,female-biased,0.16539008956781204,0.4896303192169888,thyroid_branch: 219 genes x 9 prespecified tissues,1971,False,False,OK,False,False,True,1,False,False,False
AKT1,ENSG00000142208.19,shared-core;thyroid-branch;hypertension-branch,Thyroid,thyroid disease-relevant tissue,GTEx V11,GENCODE v47 / GRCh38,GTEx RNASeQCv2.4.3 gene TPM,log2(TPM + 1),log2(TPM+1) ~ female + age_midpoint + RIN + ischemic_time + sequencing_center + RNA_extraction_protocol,intercept;female;age_z;rin_z;ischemic_z;center[C1];center[OTHER_OR_MISSING];extraction[RNA isolation from PAXgene tissue via QIAGEN spin column];extraction[RNA isolation from PAXgene-preserved tissue],459,225,6.100170450265843,6.104762275941753,5.988103119753883,5.97830318700931,67.8203,62.0447,-0.10297103371820227,0.025202377581484716,-4.08576664583628,675,male-biased,4.92121468687437e-05,0.004041547561595576,thyroid_branch: 219 genes x 9 prespecified tissues,1971,False,True,OK,False,False,True,1,False,True,False
ALB,ENSG00000163631.19,shared-core;thyroid-branch;hypertension-branch,Thyroid,thyroid disease-relevant tissue,GTEx V11,GENCODE v47 / GRCh38,GTEx RNASeQCv2.4.3 gene TPM,log2(TPM + 1),log2(TPM+1) ~ female + age_midpoint + RIN + ischemic_time + sequencing_center + RNA_extraction_protocol,intercept;female;age_z;rin_z;ischemic_z;center[C1];center[OTHER_OR_MISSING];extraction[RNA isolation from PAXgene tissue via QIAGEN spin column];extraction[RNA isolation from PAXgene-preserved tissue],459,225,2.1772134802392933,2.0561222083667205,2.0591501158250214,1.886768632259748,3.15867,2.69806,-0.024642462774552856,0.08451115510005582,-0.2915882849474457,675,male-biased,0.7706910189783573,0.9235421482526911,thyroid_branch: 219 genes x 9 prespecified tissues,1971,False,True,OK,False,False,True,3,True,True,False
ALDH1A1,ENSG00000165092.13,shared-core;thyroid-branch;hypertension-branch,Thyroid,thyroid disease-relevant tissue,GTEx V11,GENCODE v47 / GRCh38,GTEx RNASeQCv2.4.3 gene TPM,log2(TPM + 1),log2(TPM+1) ~ female + age_midpoint + RIN + ischemic_time + sequencing_center + RNA_extraction_protocol,intercept;female;age_z;rin_z;ischemic_z;center[C1];center[OTHER_OR_MISSING];extraction[RNA isolation from PAXgene tissue via QIAGEN spin column];extraction[RNA isolation from PAXgene-preserved tissue],459,225,7.848117507356461,7.889716891615078,7.791445288146633,7.822717403232389,236.16,225.398,-0.0452879984601746,0.0455698017949487,-0.9938160070117897,675,male-biased,0.3206685718324271,0.6600916410232834,thyroid_branch: 219 genes x 9 prespecified tissues,1971,False,True,OK,False,False,True,1,False,False,False
ALPL,ENSG00000162551.14,shared-core;thyroid-branch;hypertension-branch,Thyroid,thyroid disease-relevant tissue,GTEx V11,GENCODE v47 / GRCh38,GTEx RNASeQCv2.4.3 gene TPM,log2(TPM + 1),log2(TPM+1) ~ female + age_midpoint + RIN + ischemic_time + sequencing_center + RNA_extraction_protocol,intercept;female;age_z;rin_z;ischemic_z;center[C1];center[OTHER_OR_MISSING];extraction[RNA isolation from PAXgene tissue via QIAGEN spin column];extraction[RNA isolation from PAXgene-preserved tissue],459,225,4.238267738039195,4.302501844112321,4.22042806781521,4.1632491373325395,18.7325,16.9169,-0.036860425314969594,0.06589216842913599,-0.5594052554911938,675,male-biased,0.5760707368215897,0.835524019292463,thyroid_branch: 219 genes x 9 prespecified tissues,1971,False,True,OK,False,False,True,1,False,False,False
APOD,ENSG00000189058.9,shared-core;thyroid-branch;hypertension-branch,Thyroid,thyroid disease-relevant tissue,GTEx V11,GENCODE v47 / GRCh38,GTEx RNASeQCv2.4.3 gene TPM,log2(TPM + 1),log2(TPM+1) ~ female + age_midpoint + RIN + ischemic_time + sequencing_center + RNA_extraction_protocol,intercept;female;age_z;rin_z;ischemic_z;center[C1];center[OTHER_OR_MISSING];extraction[RNA isolation from PAXgene tissue via QIAGEN spin column];extraction[RNA isolation from PAXgene-preserved tissue],459,225,10.443775562337674,10.510398256429463,10.330126980310151,10.540902952010635,1457.63,1488.8,-0.1606446298862349,0.08848135507649205,-1.8155760583385931,675,male-biased,0.06987901151586601,0.3386433170678388,thyroid_branch: 219 genes x 9 prespecified tissues,1971,False,True,OK,False,False,True,1,False,False,False
APP,ENSG00000142192.22,shared-core;thyroid-branch;hypertension-branch,Thyroid,thyroid disease-relevant tissue,GTEx V11,GENCODE v47 / GRCh38,GTEx RNASeQCv2.4.3 gene TPM,log2(TPM + 1),log2(TPM+1) ~ female + age_midpoint + RIN + ischemic_time + sequencing_center + RNA_extraction_protocol,intercept;female;age_z;rin_z;ischemic_z;center[C1];center[OTHER_OR_MISSING];extraction[RNA isolation from PAXgene tissue via QIAGEN spin column];extraction[RNA isolation from PAXgene-preserved tissue],459,225,8.954292046129805,8.997684759200936,8.829010180731169,8.900024486994097,510.179,476.721,-0.11975086889418468,0.03729380788192008,-3.2110121142185517,675,male-biased,0.0013854393703733475,0.041688636217005255,thyroid_branch: 219 genes x 9 prespecified tissues,1971,False,True,OK,False,False,True,1,False,True,False
AR,ENSG00000169083.18,shared-core;thyroid-branch;hypertension-branch,Thyroid,thyroid disease-relevant tissue,GTEx V11,GENCODE v47 / GRCh38,GTEx RNASeQCv2.4.3 gene TPM,log2(TPM + 1),log2(TPM+1) ~ female + age_midpoint + RIN + ischemic_time + sequencing_center + RNA_extraction_protocol,intercept;female;age_z;rin_z;ischemic_z;center[C1];center[OTHER_OR_MISSING];extraction[RNA isolation from PAXgene tissue via QIAGEN spin column];extraction[RNA isolation from PAXgene-preserved tissue],459,225,2.4423591955749258,2.4917145909573852,2.485813854181527,2.5376340232414702,4.62446,4.80636,0.017924953669486477,0.04364489864338209,0.4106998578676835,675,female-biased,0.6814229702527497,0.8772597481176809,thyroid_branch: 219 genes x 9 prespecified tissues,1971,False,True,OK,True,True,True,3,True,False,False
ARG2,ENSG00000081181.8,shared-core;thyroid-branch;hypertension-branch,Thyroid,thyroid disease-relevant tissue,GTEx V11,GENCODE v47 / GRCh38,GTEx RNASeQCv2.4.3 gene TPM,log2(TPM + 1),log2(TPM+1) ~ female + age_midpoint + RIN + ischemic_time + sequencing_center + RNA_extraction_protocol,intercept;female;age_z;rin_z;ischemic_z;center[C1];center[OTHER_OR_MISSING];extraction[RNA isolation from PAXgene tissue via QIAGEN spin column];extraction[RNA isolation from PAXgene-preserved tissue],459,225,5.55003496293485,5.571971021808982,5.774189716116462,5.7028098936936935,46.5697,51.0855,0.16102059269333913,0.07927892229769216,2.031064348840505,675,female-biased,0.042639835105339675,0.28014371664208165,thyroid_branch: 219 genes x 9 prespecified tissues,1971,False,True,OK,False,False,True,1,False,False,False
