gene_symbol,independent_datasets_measured,independent_datasets_significant_fdr_lt_0_05,independent_datasets_tumor_high,independent_datasets_normal_high,direction_concordance_fraction,consensus_direction,significant_datasets,significant_directions,sensitivity_contrasts_significant_fdr_lt_0_05
ACACA,4,3,4,0,1.0,tumor_high,GSE10950; GSE74602; TCGA-COAD,GSE10950:tumor_high; GSE74602:tumor_high; TCGA-COAD:tumor_high,2
ACLY,4,3,4,0,1.0,tumor_high,GSE10950; GSE74602; TCGA-COAD,GSE10950:tumor_high; GSE74602:tumor_high; TCGA-COAD:tumor_high,2
ACSL4,4,3,4,0,1.0,tumor_high,GSE10950; GSE74602; TCGA-COAD,GSE10950:tumor_high; GSE74602:tumor_high; TCGA-COAD:tumor_high,2
AGTR1,4,3,0,4,1.0,normal_high,GSE10950; GSE74602; TCGA-COAD,GSE10950:normal_high; GSE74602:normal_high; TCGA-COAD:normal_high,2
ANGPT2,4,3,4,0,1.0,tumor_high,GSE10950; GSE74602; TCGA-COAD,GSE10950:tumor_high; GSE74602:tumor_high; TCGA-COAD:tumor_high,2
BMP2,4,3,0,4,1.0,normal_high,GSE10950; GSE74602; TCGA-COAD,GSE10950:normal_high; GSE74602:normal_high; TCGA-COAD:normal_high,2
CCR7,4,3,0,4,1.0,normal_high,GSE10950; GSE74602; TCGA-COAD,GSE10950:normal_high; GSE74602:normal_high; TCGA-COAD:normal_high,1
CD36,4,3,0,4,1.0,normal_high,GSE10950; GSE74602; TCGA-COAD,GSE10950:normal_high; GSE74602:normal_high; TCGA-COAD:normal_high,2
CEBPB,4,3,4,0,1.0,tumor_high,GSE10950; GSE74602; TCGA-COAD,GSE10950:tumor_high; GSE74602:tumor_high; TCGA-COAD:tumor_high,2
CNR1,4,3,0,4,1.0,normal_high,GSE10950; GSE74602; TCGA-COAD,GSE10950:normal_high; GSE74602:normal_high; TCGA-COAD:normal_high,2
COPS5,4,3,4,0,1.0,tumor_high,GSE10950; GSE74602; TCGA-COAD,GSE10950:tumor_high; GSE74602:tumor_high; TCGA-COAD:tumor_high,2
CYP3A4,4,3,0,4,1.0,normal_high,GSE10950; GSE74602; TCGA-COAD,GSE10950:normal_high; GSE74602:normal_high; TCGA-COAD:normal_high,2
DUSP1,4,3,0,4,1.0,normal_high,GSE10950; GSE74602; TCGA-COAD,GSE10950:normal_high; GSE74602:normal_high; TCGA-COAD:normal_high,2
EPAS1,4,3,0,4,1.0,normal_high,GSE10950; GSE74602; TCGA-COAD,GSE10950:normal_high; GSE74602:normal_high; TCGA-COAD:normal_high,2
ESR1,4,3,0,4,1.0,normal_high,GSE10950; GSE74602; TCGA-COAD,GSE10950:normal_high; GSE74602:normal_high; TCGA-COAD:normal_high,2
