cross_rank,gene_symbol,protein_name,source_databases,DINP_evidence_grade,DINP_evidence_partition,DINP_database_source,DINP_evidence_type,DINP_independent_source_count,candidate_tier,cross_support_flag,ppi_pathway_candidate,cross_rank_score,ppi_hub_score,pathway_component_score,transcriptomic_component_score,ppi_component_rank,pathway_component_rank,transcriptomic_component_rank,hub_rank,hub_tier,mapping_status,in_network,degree,weighted_degree,betweenness_centrality,closeness_centrality,eigenvector_centrality,pagerank,representative_term_count,representative_description_count,GO_BP_term_count,GO_CC_term_count,GO_MF_term_count,KEGG_term_count,pathway_min_fdr,independent_datasets_measured,independent_datasets_significant_fdr_lt_0_05,independent_datasets_tumor_high,independent_datasets_normal_high,direction_concordance_fraction,consensus_direction,significant_datasets,significant_directions,sensitivity_contrasts_significant_fdr_lt_0_05,primary_dataset_replication_fraction
1,IL1B,interleukin 1 beta,GeneCards,B,experimental_or_curated,CTD,CTD curated DINP chemical–gene interaction (DINP-only row filter),1,Tier 1: cross-supported,True,True,0.8737094376549739,0.9479166666666666,0.9381443298969072,0.75,6,7,1,6.0,top20,mapped,yes,29,25.309,0.0273635148179641,0.4519887505022097,0.2674466215446989,0.0296263599719127,26,26.0,11,3,1,11,6.120000000000001e-36,4,3,4,0,1.0,tumor_high,GSE10950; GSE74602; TCGA-COAD,GSE10950:tumor_high; GSE74602:tumor_high; TCGA-COAD:tumor_high,2,0.75
2,IL1A,interleukin 1 alpha,GeneCards;TTD,B,experimental_or_curated,CTD,CTD curated DINP chemical–gene interaction (DINP-only row filter),1,Tier 1: cross-supported,True,True,0.8281522762691048,0.8541666666666666,0.8865979381443299,0.75,15,11,1,15.0,top20,mapped,yes,16,14.307,0.0019590894604766,0.363254762673555,0.1767048063259517,0.01680589999685,21,21.0,8,2,1,10,6.120000000000001e-36,4,3,4,0,1.0,tumor_high,GSE10950; GSE74602; TCGA-COAD,GSE10950:tumor_high; GSE74602:tumor_high; TCGA-COAD:tumor_high,2,0.75
3,CD36,CD36 molecule (CD36 blood group),GeneCards,B,experimental_or_curated,CTD,CTD curated DINP chemical–gene interaction (DINP-only row filter),1,Tier 2: replicated + pathway,False,False,0.7779631671515943,0.7708333333333334,0.8144329896907216,0.75,23,18,1,23.0,ranked_all,mapped,yes,13,10.708,0.0173912307887796,0.3700657894736842,0.0955163790417191,0.0152641753001166,17,17.0,7,4,2,4,6.120000000000001e-36,4,3,0,4,1.0,normal_high,GSE10950; GSE74602; TCGA-COAD,GSE10950:normal_high; GSE74602:normal_high; TCGA-COAD:normal_high,2,0.75
4,STAT3,signal transducer and activator of transcription 3,GeneCards;TTD,A,experimental_or_curated,CTD | PubMed/primary literature,CTD curated DINP chemical–gene interaction (DINP-only row filter) | Primary experimental DINP exposure study,2,Tier 1: cross-supported,True,True,0.770227225469764,0.9583333333333334,0.9536082474226804,0.5,5,5,43,5.0,top20,mapped,yes,29,25.661,0.0347603087105985,0.4589963280293758,0.2644820899815417,0.030558122556246,28,28.0,12,2,2,12,6.120000000000001e-36,4,2,0,4,1.0,normal_high,GSE10950; TCGA-COAD,GSE10950:normal_high; TCGA-COAD:normal_high,1,0.5
5,ESR1,estrogen receptor 1,GeneCards,B,experimental_or_curated,CTD,CTD curated DINP chemical–gene interaction (DINP-only row filter),1,Tier 1: cross-supported,True,True,0.7593568170781089,0.8645833333333334,0.6752577319587629,0.75,14,29,1,14.0,top20,mapped,yes,17,14.474,0.0198675000208576,0.4199328107502799,0.1440333919892006,0.0191354361611804,14,14.0,7,3,2,2,6.120000000000001e-36,4,3,0,4,1.0,normal_high,GSE10950; GSE74602; TCGA-COAD,GSE10950:normal_high; GSE74602:normal_high; TCGA-COAD:normal_high,2,0.75
6,RXRA,retinoid X receptor alpha,GeneCards,B,experimental_or_curated_plus_prediction,CTD | T3DB,CTD chemical–gene interaction sourced to an explicitly in-silico DINP/phthalate binding paper | CTD curated DINP chemical–gene interaction (DINP-only row filter) | T3DB target annotation sourced to an explicitly in-silico phthalate binding paper,2,Tier 2: replicated + pathway,False,False,0.7313810468993645,0.6979166666666667,0.7474226804123711,0.75,30,23,1,30.0,ranked_all,mapped,yes,10,8.823,0.0252579942354779,0.3345227475468332,0.0528892530444225,0.0146442227122488,15,15.0,2,3,2,8,6.120000000000001e-36,4,3,0,4,1.0,normal_high,GSE10950; GSE74602; TCGA-COAD,GSE10950:normal_high; GSE74602:normal_high; TCGA-COAD:normal_high,2,0.75
7,IL6,interleukin 6,GeneCards,B,experimental_or_curated,CTD,CTD curated DINP chemical–gene interaction (DINP-only row filter),1,Tier 1: cross-supported,True,True,0.7148755559881849,1.0,0.9742268041237113,0.375,1,3,52,1.0,top20,mapped,yes,38,32.821,0.0897487910364966,0.493421052631579,0.3022117062484288,0.0410686529853214,33,33.0,13,2,1,17,6.120000000000001e-36,4,2,3,1,0.75,tumor_high,GSE74602; TCGA-COAD,GSE74602:tumor_high; TCGA-COAD:tumor_high,0,0.5
8,NOS3,nitric oxide synthase 3,GeneCards,B,experimental_or_curated,CTD,CTD curated DINP chemical–gene interaction (DINP-only row filter),1,Tier 2: replicated + pathway,False,False,0.7114974757847699,0.5416666666666667,0.8865979381443299,0.75,45,11,1,45.0,ranked_all,mapped,yes,7,5.574,0.0100406235628717,0.3588516746411483,0.0555244275927735,0.0091482557664751,21,21.0,9,3,2,7,6.120000000000001e-36,4,3,4,0,1.0,tumor_high,GSE10950; GSE74602; TCGA-COAD,GSE10950:tumor_high; GSE74602:tumor_high; TCGA-COAD:tumor_high,2,0.75
9,TP53,tumor protein p53,GeneCards;OMIM;TTD,B,experimental_or_curated,CTD,CTD curated DINP chemical–gene interaction (DINP-only row filter),1,Tier 1: cross-supported,True,True,0.7098762626653397,0.9791666666666666,0.9742268041237113,0.375,3,3,52,3.0,top20,mapped,yes,32,28.11,0.0982916576048899,0.4736842105263157,0.2152606752065153,0.0393693502557739,33,33.0,9,5,2,17,6.120000000000001e-36,4,2,3,1,0.75,tumor_high,GSE10950; TCGA-COAD,GSE10950:tumor_high; TCGA-COAD:tumor_high,1,0.5
10,PPARA,peroxisome proliferator activated receptor alpha,GeneCards,A,experimental_or_curated_plus_prediction,CTD | T3DB | PubMed/primary literature,CTD chemical–gene interaction sourced to an explicitly in-silico DINP/phthalate binding paper | CTD curated DINP chemical–gene interaction (DINP-only row filter) | T3DB target annotation sourced to an explicitly in-silico phthalate binding paper | Primary experimental DINP exposure study,3,Tier 1: cross-supported,True,True,0.7078928540838925,0.84375,0.7474226804123711,0.5625,16,23,41,16.0,top20,mapped,yes,16,13.394,0.0323095695071905,0.4027926960257788,0.0963875509488853,0.0198054093009898,15,15.0,8,0,2,5,6.120000000000001e-36,4,3,1,3,0.75,normal_high,GSE10950; GSE74602; TCGA-COAD,GSE10950:tumor_high; GSE74602:normal_high; TCGA-COAD:normal_high,1,0.75
