gene_symbol,pdb_id,seed,output_pdbqt,log_file,mode,affinity_kcal_mol,rmsd_lb_A,rmsd_ub_A
PPARG,4XLD,20260909,C:\Users\21634\Documents\Codex\2026-09-08\codex-dinp-target-mining-crc-mr\analysis\dinp_crc_docking_target_selection\docking_runs\PPARG_4XLD_DINP_seed20260909.pdbqt,C:\Users\21634\Documents\Codex\2026-09-08\codex-dinp-target-mining-crc-mr\analysis\dinp_crc_docking_target_selection\docking_runs\PPARG_4XLD_DINP_seed20260909.log,13,-7.276,1.78,10.2
PPARG,4XLD,20260909,C:\Users\21634\Documents\Codex\2026-09-08\codex-dinp-target-mining-crc-mr\analysis\dinp_crc_docking_target_selection\docking_runs\PPARG_4XLD_DINP_seed20260909.pdbqt,C:\Users\21634\Documents\Codex\2026-09-08\codex-dinp-target-mining-crc-mr\analysis\dinp_crc_docking_target_selection\docking_runs\PPARG_4XLD_DINP_seed20260909.log,14,-7.27,2.74,9.721
PPARG,4XLD,20260909,C:\Users\21634\Documents\Codex\2026-09-08\codex-dinp-target-mining-crc-mr\analysis\dinp_crc_docking_target_selection\docking_runs\PPARG_4XLD_DINP_seed20260909.pdbqt,C:\Users\21634\Documents\Codex\2026-09-08\codex-dinp-target-mining-crc-mr\analysis\dinp_crc_docking_target_selection\docking_runs\PPARG_4XLD_DINP_seed20260909.log,15,-7.254,4.918,8.862
PPARG,4XLD,20260909,C:\Users\21634\Documents\Codex\2026-09-08\codex-dinp-target-mining-crc-mr\analysis\dinp_crc_docking_target_selection\docking_runs\PPARG_4XLD_DINP_seed20260909.pdbqt,C:\Users\21634\Documents\Codex\2026-09-08\codex-dinp-target-mining-crc-mr\analysis\dinp_crc_docking_target_selection\docking_runs\PPARG_4XLD_DINP_seed20260909.log,16,-7.245,2.94,4.806
PPARG,4XLD,20260909,C:\Users\21634\Documents\Codex\2026-09-08\codex-dinp-target-mining-crc-mr\analysis\dinp_crc_docking_target_selection\docking_runs\PPARG_4XLD_DINP_seed20260909.pdbqt,C:\Users\21634\Documents\Codex\2026-09-08\codex-dinp-target-mining-crc-mr\analysis\dinp_crc_docking_target_selection\docking_runs\PPARG_4XLD_DINP_seed20260909.log,17,-7.214,1.823,4.817
PPARG,4XLD,20260909,C:\Users\21634\Documents\Codex\2026-09-08\codex-dinp-target-mining-crc-mr\analysis\dinp_crc_docking_target_selection\docking_runs\PPARG_4XLD_DINP_seed20260909.pdbqt,C:\Users\21634\Documents\Codex\2026-09-08\codex-dinp-target-mining-crc-mr\analysis\dinp_crc_docking_target_selection\docking_runs\PPARG_4XLD_DINP_seed20260909.log,18,-7.196,2.683,4.561
PPARG,4XLD,20260909,C:\Users\21634\Documents\Codex\2026-09-08\codex-dinp-target-mining-crc-mr\analysis\dinp_crc_docking_target_selection\docking_runs\PPARG_4XLD_DINP_seed20260909.pdbqt,C:\Users\21634\Documents\Codex\2026-09-08\codex-dinp-target-mining-crc-mr\analysis\dinp_crc_docking_target_selection\docking_runs\PPARG_4XLD_DINP_seed20260909.log,19,-7.115,4.359,9.414
PPARG,4XLD,20260909,C:\Users\21634\Documents\Codex\2026-09-08\codex-dinp-target-mining-crc-mr\analysis\dinp_crc_docking_target_selection\docking_runs\PPARG_4XLD_DINP_seed20260909.pdbqt,C:\Users\21634\Documents\Codex\2026-09-08\codex-dinp-target-mining-crc-mr\analysis\dinp_crc_docking_target_selection\docking_runs\PPARG_4XLD_DINP_seed20260909.log,20,-7.054,1.798,10.22
PPARG,4XLD,20260910,C:\Users\21634\Documents\Codex\2026-09-08\codex-dinp-target-mining-crc-mr\analysis\dinp_crc_docking_target_selection\docking_runs\PPARG_4XLD_DINP_seed20260910.pdbqt,C:\Users\21634\Documents\Codex\2026-09-08\codex-dinp-target-mining-crc-mr\analysis\dinp_crc_docking_target_selection\docking_runs\PPARG_4XLD_DINP_seed20260910.log,1,-7.837,0.0,0.0
PPARG,4XLD,20260910,C:\Users\21634\Documents\Codex\2026-09-08\codex-dinp-target-mining-crc-mr\analysis\dinp_crc_docking_target_selection\docking_runs\PPARG_4XLD_DINP_seed20260910.pdbqt,C:\Users\21634\Documents\Codex\2026-09-08\codex-dinp-target-mining-crc-mr\analysis\dinp_crc_docking_target_selection\docking_runs\PPARG_4XLD_DINP_seed20260910.log,2,-7.739,0.7277,9.895
