gene_symbol,pdb_id,seed,status,best_affinity_kcal_mol
PPARG,4XLD,20260909,ok,-7.889
PPARG,4XLD,20260910,ok,-7.837
PPARG,4XLD,20260911,ok,-7.823
PPARA,6KB1,20260909,ok,-7.651
RXRA,1FBY,20260909,ok,-5.414
NR1I2,8CH8,20260909,ok,-6.779
ESR1,1XPC,20260909,ok,-8.059
