source,background,theme_id,theme_label,term_id,term_name,adjusted_p,intersection_size,intersection_genes,alignment_basis
GO:BP,gelsemium_crc1893,other,Other / mixed biological processes,GO:0000122,negative regulation of transcription by RNA polymerase II,0.012901957365247577,13,DKK1;ESR1;HSPA1A;NR1I2;NR3C1;PPARA;PPARD;PPARG;RELA;RXRA;SIRT1;SQSTM1;STAT3,GO-DAG-cleaned representative
GO:BP,gelsemium_crc1893,lipid_eicosanoid,Lipid / fatty-acid / eicosanoid metabolism,GO:0001516,prostaglandin biosynthetic process,0.0006086217165745288,4,PTGES2;PTGS1;PTGS2;SIRT1,GO-DAG-cleaned representative
GO:BP,gelsemium_crc1893,other,Other / mixed biological processes,GO:0001542,ovulation from ovarian follicle,0.00910190374387419,3,MMP2;PGR;SIRT1,GO-DAG-cleaned representative
GO:BP,gelsemium_crc1893,other,Other / mixed biological processes,GO:0001666,response to hypoxia,0.02207168582192469,9,BECN1;CA9;CXCR4;MMP2;PPARA;PPARD;PPARG;PTGS2;SIRT1,GO-DAG-cleaned representative
GO:BP,gelsemium_crc1893,other,Other / mixed biological processes,GO:0001706,endoderm formation,0.039231209706835315,4,DKK1;DUSP1;MMP2;MMP9,GO-DAG-cleaned representative
GO:BP,gelsemium_crc1893,inflammation_immune,Inflammation / immune / stimulus response,GO:0002246,wound healing involved in inflammatory response,0.011842662689889519,3,IL1A;PPARG;TIMP1,GO-DAG-cleaned representative
GO:BP,gelsemium_crc1893,inflammation_immune,Inflammation / immune / stimulus response,GO:0002248,connective tissue replacement involved in inflammatory response wound healing,0.00593336364543644,3,IL1A;PPARG;TIMP1,GO-DAG-cleaned representative
GO:BP,gelsemium_crc1893,inflammation_immune,Inflammation / immune / stimulus response,GO:0002526,acute inflammatory response,0.02186700910613897,5,CRP;F3;IL1A;PPARG;PTGS2,GO-DAG-cleaned representative
GO:BP,gelsemium_crc1893,general_metabolism,General metabolism / biosynthesis,GO:0006082,organic acid metabolic process,0.00014798354216738645,13,AKR1C3;CYP1A2;CYP2C9;CYP3A4;HPGD;PPARA;PPARD;PPARG;PTGES2;PTGS1;PTGS2;SIRT1;STAT3,GO-DAG-cleaned representative
GO:BP,gelsemium_crc1893,other,Other / mixed biological processes,GO:0006111,regulation of gluconeogenesis,0.030721322189299696,3,NR3C1;PPARA;SIRT1,GO-DAG-cleaned representative
GO:BP,gelsemium_crc1893,lipid_eicosanoid,Lipid / fatty-acid / eicosanoid metabolism,GO:0006631,fatty acid metabolic process,3.0275917913012574e-06,12,AKR1C3;CYP1A2;CYP2C9;CYP3A4;HPGD;PPARA;PPARD;PPARG;PTGES2;PTGS1;PTGS2;SIRT1,GO-DAG-cleaned representative
