Class,Cell_type,Cell_subtype,n_cells,total_library_umi,total_umi,detected_cells,mean_umi_per_cell,median_umi_per_cell,mean_log1p_umi,mean_cpm_per_cell,median_cpm_per_cell,mean_log1p_cpm,gene_symbol,detection_rate,pseudobulk_cpm,log1p_pseudobulk_cpm,target_umi_fraction_within_class
Normal,B cells,CD19+CD20+ B,1684,6340116,11,11,0.006532066508313539,0.0,0.004527683483467576,1.878191861463064,0.0,0.03679709395889646,CD36,0.006532066508313539,1.7349840286833869,1.0061255962530136,0.00219210840972499
Normal,B cells,CD19+CD20+ B,1684,6340116,269,232,0.15973871733966746,0.0,0.10391203897880921,44.63289947742076,0.0,0.7816921972976454,CEBPB,0.1377672209026128,42.42824579234828,3.7711100541202898,0.015203752896625785
Normal,B cells,IgA+ Plasma,3366,52505790,49,48,0.014557338086749852,0.0,0.010004910806591069,1.1282039399315151,0.0,0.0580451180674654,CD36,0.0142602495543672,0.9332304113508244,0.6591923919590097,0.009764846552411319
Normal,B cells,IgA+ Plasma,3366,52505790,2333,1258,0.6931075460487225,0.0,0.3585263669074674,53.10213827830884,0.0,1.7211495478766192,CEBPB,0.37373737373737376,44.43319489145864,3.816243002886491,0.13186005764991804
Normal,B cells,IgG+ Plasma,94,1531751,1,1,0.010638297872340425,0.0,0.0073739061761696305,0.47870664952258585,0.0,0.040729863382668687,CD36,0.010638297872340425,0.6528476234061541,0.5024996327424228,0.00019928258270227183
Normal,B cells,IgG+ Plasma,94,1531751,35,23,0.3723404255319149,0.0,0.20897539496799186,23.145066461516976,0.0,1.077736644562005,CEBPB,0.24468085106382978,22.849666819215393,3.1717702473925526,0.0019781834623862544
Normal,B cells,Unknown,64,194585,1,1,0.015625,0.0,0.010830424696249145,4.324660946581788,0.0,0.0879191143064179,CD36,0.015625,5.139142277153943,1.8146850381262951,0.00019928258270227183
Normal,B cells,Unknown,64,194585,1,1,0.015625,0.0,0.010830424696249145,6.543132328308208,0.0,0.09437006619860769,CEBPB,0.015625,5.139142277153943,1.8146850381262951,5.651952749675013e-05
Normal,Epithelial cells,Goblet cells,139,890807,3,3,0.02158273381294964,0.0,0.01496001109122184,2.601971004567133,0.0,0.09974968531554779,CD36,0.02158273381294964,3.367732853468821,1.474244076652118,0.0005978477481068154
Normal,Epithelial cells,Goblet cells,139,890807,80,49,0.5755395683453237,0.0,0.3228060996835446,90.95140185669295,0.0,1.8752571257028785,CEBPB,0.35251798561151076,89.80620942583522,4.508727669016133,0.00452156219974001
Normal,Epithelial cells,Intermediate,181,342223,2,2,0.011049723756906077,0.0,0.007659084868065694,5.863730400126952,0.0,0.06618162253315692,CD36,0.011049723756906077,5.844142562013658,1.9233931860312443,0.00039856516540454366
Normal,Epithelial cells,Intermediate,181,342223,33,22,0.18232044198895028,0.0,0.1049246516074671,101.2732957385269,0.0,0.7940057472646697,CEBPB,0.12154696132596685,96.42835227322536,4.579117259390571,0.0018651444073927543
Normal,Epithelial cells,Mature Enterocytes type 1,213,701338,0,0,0.0,0.0,0.0,0.0,0.0,0.0,CD36,0.0,0.0,0.0,0.0
Normal,Epithelial cells,Mature Enterocytes type 1,213,701338,34,22,0.1596244131455399,0.0,0.09142623516523868,38.59991036667865,0.0,0.5983602167649327,CEBPB,0.10328638497652583,48.478764875138666,3.90154358510963,0.0019216639348895042
Normal,Epithelial cells,Mature Enterocytes type 2,131,405795,1,1,0.007633587786259542,0.0,0.0052911998516026355,3.207389826159471,0.0,0.046130014989194695,CD36,0.007633587786259542,2.464298475831393,1.2425101520665383,0.00019928258270227183
Normal,Epithelial cells,Mature Enterocytes type 2,131,405795,11,11,0.08396946564885496,0.0,0.058203198367628994,24.034708594363853,0.0,0.46096005587077915,CEBPB,0.08396946564885496,27.10728323414532,3.3360287325830553,0.0006217148024642514
Normal,Epithelial cells,Stem-like/TA,406,8089887,11,10,0.027093596059113302,0.0,0.018071273186471965,1.337737286263306,0.0,0.0943285076228631,CD36,0.024630541871921183,1.3597223298669068,0.8585439552793538,0.00219210840972499
Normal,Epithelial cells,Stem-like/TA,406,8089887,612,248,1.5073891625615763,1.0,0.680021439924707,71.66046373801892,46.3410218061896,2.7583182941997655,CEBPB,0.6108374384236454,75.65000598895881,4.339249683451659,0.03458995082801108
Normal,Mast cells,Mast cells,184,398189,1,1,0.005434782608695652,0.0,0.0037671042421736156,4.034730964139311,0.0,0.03593055149545249,CD36,0.005434782608695652,2.511370228710487,1.2560063398498893,0.00019928258270227183
Normal,Mast cells,Mast cells,184,398189,32,22,0.17391304347826086,0.0,0.10043769737600844,83.15663455631002,0.0,0.7501060968321396,CEBPB,0.11956521739130435,80.36384731873558,4.39893103821736,0.0018086248798960041
Normal,Myeloids,Pro-inflammatory,74,372649,51,29,0.6891891891891891,0.0,0.37381725965729784,120.77885662550213,0.0,2.193568944318288,CD36,0.3918918918918919,136.85800847446257,4.926224231353325,0.010163411717815863
