Patient,Class,Sample,Cell_type,n_cells,total_library_umi,total_umi,detected_cells,gene_symbol,mean_umi_per_cell,log1p_mean_umi_per_cell,pseudobulk_cpm,log1p_pseudobulk_cpm,detection_rate,passes_min_cells
SMC01,Normal,SMC01-N,B cells,788,10696387,16,15,CD36,0.02030456852791878,0.02010117932108724,1.4958321908135896,0.9146222170025043,0.01903553299492386,True
SMC01,Normal,SMC01-N,B cells,788,10696387,382,237,CEBPB,0.4847715736040609,0.39526093793392264,35.71299355567445,3.6031307402389188,0.30076142131979694,True
SMC01,Normal,SMC01-N,Epithelial cells,159,2024254,4,4,CD36,0.025157232704402517,0.02484599858653081,1.9760366041020543,1.090592416660679,0.025157232704402517,True
SMC01,Normal,SMC01-N,Epithelial cells,159,2024254,143,68,CEBPB,0.89937106918239,0.6415228151546382,70.64330859664844,4.271699759775554,0.4276729559748428,True
SMC01,Normal,SMC01-N,Mast cells,82,152733,0,0,CD36,0.0,0.0,0.0,0.0,0.0,True
SMC01,Normal,SMC01-N,Mast cells,82,152733,7,7,CEBPB,0.08536585365853659,0.08191712246788672,45.83161464778404,3.8465585015202213,0.08536585365853659,True
SMC01,Normal,SMC01-N,Myeloids,67,515684,50,27,CD36,0.746268656716418,0.5574813154067901,96.95860255505309,4.58454496651726,0.40298507462686567,True
SMC01,Normal,SMC01-N,Myeloids,67,515684,258,55,CEBPB,3.8507462686567164,1.5791325629387714,500.30638918407396,6.217217469418786,0.8208955223880597,True
SMC01,Normal,SMC01-N,Stromal cells,440,2602060,640,80,CD36,1.4545454545454546,0.8979415932059586,245.95897096915522,5.509222213393659,0.18181818181818182,True
SMC01,Normal,SMC01-N,Stromal cells,440,2602060,1231,249,CEBPB,2.797727272727273,1.334402801683087,473.0867082234845,6.161390233707183,0.5659090909090909,True
SMC01,Normal,SMC01-N,T cells,899,2444664,3,3,CD36,0.0033370411568409346,0.003331485591003384,1.2271625057676638,0.8007283563214236,0.0033370411568409346,True
SMC01,Normal,SMC01-N,T cells,899,2444664,176,144,CEBPB,0.19577308120133483,0.17879290609014292,71.99353367170295,4.2903708573852795,0.16017797552836485,True
SMC01,Tumor,SMC01-T,B cells,129,1008553,0,0,CD36,0.0,0.0,0.0,0.0,0.0,True
SMC01,Tumor,SMC01-T,B cells,129,1008553,41,26,CEBPB,0.3178294573643411,0.2759860326885896,40.6523008706533,3.7293566100798903,0.20155038759689922,True
SMC01,Tumor,SMC01-T,Epithelial cells,1093,22967787,1,1,CD36,0.0009149130832570906,0.0009144948053879544,0.0435392404152825,0.042618051442632185,0.0009149130832570906,True
SMC01,Tumor,SMC01-T,Epithelial cells,1093,22967787,7159,951,CEBPB,6.5498627630375115,2.021529386014604,311.6974221330074,5.745236020531533,0.8700823421774931,True
SMC01,Tumor,SMC01-T,Myeloids,171,1050982,64,44,CD36,0.3742690058479532,0.3179219576414991,60.895429227141854,4.1254463357225015,0.2573099415204678,True
SMC01,Tumor,SMC01-T,Myeloids,171,1050982,460,111,CEBPB,2.690058479532164,1.3056423060385534,437.6858975700821,6.083783661701708,0.6491228070175439,True
SMC01,Tumor,SMC01-T,Stromal cells,154,1404139,60,13,CD36,0.38961038961038963,0.3290234126082223,42.730812262888506,3.7780529397524054,0.08441558441558442,True
SMC01,Tumor,SMC01-T,Stromal cells,154,1404139,984,115,CEBPB,6.3896103896103895,2.000075012272647,700.7853211113714,6.553627546873619,0.7467532467532467,True
SMC01,Tumor,SMC01-T,T cells,1244,3038843,0,0,CD36,0.0,0.0,0.0,0.0,0.0,True
