background,source,term_id,term_name,term_size_api,term_size_local,intersection_size_api,intersection_size_local,query_size_api,query_size_local,effective_domain_api,effective_domain_local,local_raw_p_custom_domain,local_raw_p_annotated_domain,gprofiler_p_value_adjusted,historical_runner_raw_p,gprofiler_p_value_reconstructed_bh,local_annotated_domain_bh_fdr,api_adjusted_p_abs_diff,audit_focus
sensitivity_dinp93,REAC,REAC:R-HSA-1280218,Adaptive Immune System,2,2,2,2,18,18,100,100,0.030909090909092683,0.043037974683545636,0.2690625000000001,0.030909090909092683,0.26906250000000437,0.32613636363636583,4.274358644806853e-15,False
sensitivity_dinp93,REAC,REAC:R-HSA-1169091,Activation of NF-kappaB in B cells,1,1,1,1,18,18,100,100,0.18000000000000294,0.21250000000000144,0.2690625000000001,0.18000000000000294,0.26906250000000437,0.32613636363636583,4.274358644806853e-15,False
sensitivity_dinp93,REAC,REAC:R-HSA-1592389,Activation of Matrix Metalloproteinases,4,4,3,3,18,18,100,100,0.017844423617619544,0.02859166150305452,0.2690625000000001,0.017844423617619544,0.26906250000000437,0.32613636363636583,4.274358644806853e-15,False
sensitivity_dinp93,REAC,REAC:R-HSA-5607764,CLEC7A (Dectin-1) signaling,1,1,1,1,18,18,100,100,0.18000000000000294,0.21250000000000144,0.2690625000000001,0.18000000000000294,0.26906250000000437,0.32613636363636583,4.274358644806853e-15,False
sensitivity_dinp93,REAC,REAC:R-HSA-5621575,CD209 (DC-SIGN) signaling,1,1,1,1,18,18,100,100,0.18000000000000294,0.21250000000000144,0.2690625000000001,0.18000000000000294,0.26906250000000437,0.32613636363636583,4.274358644806853e-15,False
sensitivity_dinp93,REAC,REAC:R-HSA-5621481,C-type lectin receptors (CLRs),1,1,1,1,18,18,100,100,0.18000000000000294,0.21250000000000144,0.2690625000000001,0.18000000000000294,0.26906250000000437,0.32613636363636583,4.274358644806853e-15,False
sensitivity_dinp93,REAC,REAC:R-HSA-9018678,Biosynthesis of specialized proresolving mediators (SPMs),5,5,3,3,18,18,100,100,0.03944111852800824,0.061737396514210285,0.2690625000000001,0.03944111852800824,0.26906250000000437,0.32613636363636583,4.274358644806853e-15,False
sensitivity_dinp93,REAC,REAC:R-HSA-9018681,Biosynthesis of protectins,1,1,1,1,18,18,100,100,0.18000000000000294,0.21250000000000144,0.2690625000000001,0.18000000000000294,0.26906250000000437,0.32613636363636583,4.274358644806853e-15,False
sensitivity_dinp93,REAC,REAC:R-HSA-9754706,Atorvastatin ADME,1,1,1,1,18,18,100,100,0.18000000000000294,0.21250000000000144,0.2690625000000001,0.18000000000000294,0.26906250000000437,0.32613636363636583,4.274358644806853e-15,False
sensitivity_dinp93,REAC,REAC:R-HSA-390471,Association of TriC/CCT with target proteins during biosynthesis,1,1,1,1,18,18,100,100,0.18000000000000294,0.21250000000000144,0.2690625000000001,0.18000000000000294,0.26906250000000437,0.32613636363636583,4.274358644806853e-15,False
sensitivity_dinp93,REAC,REAC:R-HSA-2022090,Assembly of collagen fibrils and other multimeric structures,1,1,1,1,18,18,100,100,0.18000000000000294,0.21250000000000144,0.2690625000000001,0.18000000000000294,0.26906250000000437,0.32613636363636583,4.274358644806853e-15,False
sensitivity_dinp93,REAC,REAC:R-HSA-211957,Aromatic amines can be N-hydroxylated or N-dealkylated by CYP1A2,1,1,1,1,18,18,100,100,0.18000000000000294,0.21250000000000144,0.2690625000000001,0.18000000000000294,0.26906250000000437,0.32613636363636583,4.274358644806853e-15,False
sensitivity_dinp93,REAC,REAC:R-HSA-6783589,Interleukin-6 family signaling,1,1,1,1,18,18,100,100,0.18000000000000294,0.21250000000000144,0.2690625000000001,0.18000000000000294,0.26906250000000437,0.32613636363636583,4.274358644806853e-15,False
sensitivity_dinp93,REAC,REAC:R-HSA-9008059,Interleukin-37 signaling,1,1,1,1,18,18,100,100,0.18000000000000294,0.21250000000000144,0.2690625000000001,0.18000000000000294,0.26906250000000437,0.32613636363636583,4.274358644806853e-15,False
sensitivity_dinp93,REAC,REAC:R-HSA-8984722,Interleukin-35 Signalling,1,1,1,1,18,18,100,100,0.18000000000000294,0.21250000000000144,0.2690625000000001,0.18000000000000294,0.26906250000000437,0.32613636363636583,4.274358644806853e-15,False
sensitivity_dinp93,REAC,REAC:R-HSA-9020956,Interleukin-27 signaling,1,1,1,1,18,18,100,100,0.18000000000000294,0.21250000000000144,0.2690625000000001,0.18000000000000294,0.26906250000000437,0.32613636363636583,4.274358644806853e-15,False
sensitivity_dinp93,REAC,REAC:R-HSA-9020933,Interleukin-23 signaling,1,1,1,1,18,18,100,100,0.18000000000000294,0.21250000000000144,0.2690625000000001,0.18000000000000294,0.26906250000000437,0.32613636363636583,4.274358644806853e-15,False
sensitivity_dinp93,REAC,REAC:R-HSA-9020958,Interleukin-21 signaling,1,1,1,1,18,18,100,100,0.18000000000000294,0.21250000000000144,0.2690625000000001,0.18000000000000294,0.26906250000000437,0.32613636363636583,4.274358644806853e-15,False
sensitivity_dinp93,REAC,REAC:R-HSA-8854691,Interleukin-20 family signaling,1,1,1,1,18,18,100,100,0.18000000000000294,0.21250000000000144,0.2690625000000001,0.18000000000000294,0.26906250000000437,0.32613636363636583,4.274358644806853e-15,False
sensitivity_dinp93,REAC,REAC:R-HSA-1169408,ISG15 antiviral mechanism,1,1,1,1,18,18,100,100,0.18000000000000294,0.21250000000000144,0.2690625000000001,0.18000000000000294,0.26906250000000437,0.32613636363636583,4.274358644806853e-15,False
