background,source,term_id,term_name,term_size_api,term_size_local,intersection_size_api,intersection_size_local,query_size_api,query_size_local,effective_domain_api,effective_domain_local,local_raw_p_custom_domain,local_raw_p_annotated_domain,gprofiler_p_value_adjusted,historical_runner_raw_p,gprofiler_p_value_reconstructed_bh,local_annotated_domain_bh_fdr,api_adjusted_p_abs_diff,audit_focus
primary_genecards881,GO:BP,GO:0006954,inflammatory response,70,70,11,11,18,18,868,868,8.800614013110361e-09,7.317484682889256e-07,1.7645231096251396e-05,8.800614013110361e-09,1.7645231096286274e-05,0.0014671556789192957,3.487742863614307e-17,True
primary_genecards881,GO:BP,GO:0006952,defense response,103,103,12,12,18,18,868,868,4.3147612993434286e-08,4.968522839523767e-06,4.32554820258232e-05,4.3147612993434286e-08,4.325548202591787e-05,0.004980944146622577,9.467117844871864e-17,True
primary_genecards881,GO:BP,GO:0070887,cellular response to chemical stimulus,201,201,15,15,18,18,868,868,8.019632318206417e-08,3.082431002135449e-05,5.3597875993212425e-05,8.019632318206417e-08,5.359787599334622e-05,0.007725342699101969,1.3379732434828928e-16,True
primary_genecards881,GO:BP,GO:0042221,response to chemical,255,255,16,16,18,18,868,868,1.8135818590673962e-07,0.0001091444090573735,9.090579068551938e-05,1.8135818590673962e-07,9.090579068575324e-05,0.009254502157161762,2.338624086051233e-16,True
primary_genecards881,GO:BP,GO:0042127,regulation of cell population proliferation,191,191,14,14,18,18,868,868,5.511379251937253e-07,0.00012393914647672774,0.00014205374429579172,5.511379251937253e-07,0.00014205374429610715,0.009939919547433564,3.154215170303454e-16,True
primary_genecards881,GO:BP,GO:0006631,fatty acid metabolic process,29,29,7,7,18,18,868,868,5.383191724597705e-07,9.151237612060932e-06,0.00014205374429579172,5.383191724597705e-07,0.00014205374429610715,0.0061160771373940555,3.154215170303454e-16,True
primary_genecards881,GO:BP,GO:0050896,response to stimulus,386,386,18,18,18,18,868,868,3.693885041897956e-07,0.0008123452043671425,0.00014205374429579172,3.693885041897956e-07,0.00014205374429610715,0.025653314271227058,3.154215170303454e-16,True
primary_genecards881,GO:BP,GO:0050727,regulation of inflammatory response,43,43,8,8,18,18,868,868,5.667979822288564e-07,1.3797385066140502e-05,0.00014205374429579172,5.667979822288564e-07,0.00014205374429610715,0.006457763098596157,3.154215170303454e-16,True
primary_genecards881,GO:BP,GO:0032787,monocarboxylic acid metabolic process,44,44,8,8,18,18,868,868,6.853580496263449e-07,1.6582697969173565e-05,0.00015268254327759247,6.853580496263449e-07,0.00015268254327786905,0.006457763098596157,2.765799742010522e-16,True
primary_genecards881,GO:BP,GO:0006629,lipid metabolic process,64,64,9,9,18,18,868,868,1.0606173574129104e-06,3.593666349009425e-05,0.00021265378016093015,1.0606173574129104e-06,0.00021265378016128853,0.008005890033070997,3.583830281150835e-16,True
primary_genecards881,GO:BP,GO:0031347,regulation of defense response,65,65,9,9,18,18,868,868,1.2188232989413118e-06,4.1056514847649994e-05,0.00022215824676109872,1.2188232989413118e-06,0.00022215824676157547,0.008231831226953824,4.767508002961884e-16,True
primary_genecards881,GO:BP,GO:0008283,cell population proliferation,209,209,14,14,18,18,868,868,1.839573985715244e-06,0.00038315866153353637,0.0003073621534458426,1.839573985715244e-06,0.0003073621534465887,0.01829126467558906,7.460937249958999e-16,True
primary_genecards881,GO:BP,GO:0032101,regulation of response to external stimulus,92,92,10,10,18,18,868,868,2.399558446832236e-06,0.00011077708317799616,0.0003365343494632557,2.399558446832236e-06,0.00033653434946412256,0.009254502157161762,8.668738470107851e-16,True
primary_genecards881,GO:BP,GO:0051239,regulation of multicellular organismal process,214,214,14,14,18,18,868,868,2.517713337636827e-06,0.0005128873833292291,0.0003365343494632557,2.517713337636827e-06,0.00033653434946412256,0.020772203605098828,8.668738470107851e-16,True
primary_genecards881,GO:BP,GO:0007566,embryo implantation,13,13,5,5,18,18,868,868,2.45508051931942e-06,1.9324976853654336e-05,0.0003365343494632557,2.45508051931942e-06,0.00033653434946412256,0.006457763098596157,8.668738470107851e-16,True
primary_genecards881,GO:BP,GO:0019752,carboxylic acid metabolic process,54,54,8,8,18,18,868,868,3.6120339699469775e-06,8.219397000543477e-05,0.00041917165237047007,3.6120339699469775e-06,0.00041917165237103065,0.009254502157161762,5.605867332836301e-16,True
primary_genecards881,GO:BP,GO:0008610,lipid biosynthetic process,38,38,7,7,18,18,868,868,3.9249603755802765e-06,6.299952168363555e-05,0.00041917165237047007,3.9249603755802765e-06,0.00041917165237103065,0.009183763008135632,5.605867332836301e-16,True
primary_genecards881,GO:BP,GO:0006633,fatty acid biosynthetic process,14,14,5,5,18,18,868,868,3.770833695609017e-06,2.947927477718061e-05,0.00041917165237047007,3.770833695609017e-06,0.00041917165237103065,0.007725342699101969,5.605867332836301e-16,True
primary_genecards881,GO:BP,GO:0043436,oxoacid metabolic process,55,55,8,8,18,18,868,868,4.181263365297064e-06,9.455756012836486e-05,0.00041917165237047007,4.181263365297064e-06,0.00041917165237103065,0.009254502157161762,5.605867332836301e-16,True
primary_genecards881,GO:BP,GO:0006082,organic acid metabolic process,55,55,8,8,18,18,868,868,4.181263365297064e-06,9.455756012836486e-05,0.00041917165237047007,4.181263365297064e-06,0.00041917165237103065,0.009254502157161762,5.605867332836301e-16,True
primary_genecards881,GO:BP,GO:0007565,female pregnancy,25,25,6,6,18,18,868,868,4.475971311194126e-06,5.026639024055652e-05,0.0004273486894726343,4.475971311194126e-06,0.0004273486894735344,0.009162192039301438,9.001046435974658e-16,True
primary_genecards881,GO:BP,GO:0044706,multi-multicellular organism process,26,26,6,6,18,18,868,868,5.748323670285785e-06,6.412602599196951e-05,0.00046174525545537886,5.748323670285785e-06,0.0004617452554563653,0.009183763008135632,9.864613466359362e-16,True
primary_genecards881,GO:BP,GO:0030522,intracellular receptor signaling pathway,40,40,7,7,18,18,868,868,5.6658373712018905e-06,8.977575688963133e-05,0.00046174525545537886,5.6658373712018905e-06,0.0004617452554563653,0.009254502157161762,9.864613466359362e-16,True
primary_genecards881,GO:BP,GO:0044703,multi-organism reproductive process,26,26,6,6,18,18,868,868,5.748323670285785e-06,6.412602599196951e-05,0.00046174525545537886,5.748323670285785e-06,0.0004617452554563653,0.009183763008135632,9.864613466359362e-16,True
primary_genecards881,GO:BP,GO:0009605,response to external stimulus,157,157,12,12,18,18,868,868,5.757422137859917e-06,0.0005084816965291704,0.00046174525545537886,5.757422137859917e-06,0.0004617452554563653,0.020772203605098828,9.864613466359362e-16,True
primary_genecards881,GO:BP,GO:0032501,multicellular organismal process,320,320,16,16,18,18,868,868,6.170834815467935e-06,0.003022399643810211,0.0004758663001917022,6.170834815467935e-06,0.00047586630019281573,0.04697099329325653,1.1135298412512373e-15,True
primary_genecards881,GO:BP,GO:0065008,regulation of biological quality,159,159,12,12,18,18,868,868,6.636936135701492e-06,0.0005799127539874098,0.0004928539611873023,6.636936135701492e-06,0.0004928539611882034,0.022798530818524638,9.010804255527027e-16,True
primary_genecards881,GO:BP,GO:0048584,positive regulation of response to stimulus,194,194,13,13,18,18,868,868,7.231652532289617e-06,0.0009100897110873727,0.000517837975971729,7.231652532289617e-06,0.0005178379759728816,0.025653314271227058,1.1525069093520912e-15,True
primary_genecards881,GO:BP,GO:0006950,response to stress,276,276,15,15,18,18,868,868,7.797904766846196e-06,0.002257223024619692,0.0005391310019821907,7.797904766846196e-06,0.0005391310019836767,0.04434839775456208,1.4860074976086324e-15,True
primary_genecards881,GO:BP,GO:0009056,catabolic process,136,136,11,11,18,18,868,868,1.145549336276332e-05,0.000675060461313078,0.0007409117481384247,1.145549336276332e-05,0.0007409117481400148,0.025064744906161507,1.5900909061672408e-15,True
primary_genecards881,GO:BP,GO:0072330,monocarboxylic acid biosynthetic process,17,17,5,5,18,18,868,868,1.1219186748035432e-05,8.591955706425867e-05,0.0007409117481384247,1.1219186748035432e-05,0.0007409117481400148,0.009254502157161762,1.5900909061672408e-15,True
primary_genecards881,GO:BP,GO:2000628,regulation of miRNA metabolic process,30,30,6,6,18,18,868,868,1.4118982331967598e-05,0.00015333922860928315,0.000884642486735515,1.4118982331967598e-05,0.0008846424867373448,0.011824813590831259,1.829808006503786e-15,True
primary_genecards881,GO:BP,GO:0010586,miRNA metabolic process,31,31,6,6,18,18,868,868,1.729480246274418e-05,0.00018656972624278817,0.0010507902708404124,1.729480246274418e-05,0.0010507902708424871,0.011974007992973112,2.0747292772682613e-15,True
primary_genecards881,GO:BP,GO:0008015,blood circulation,32,32,6,6,18,18,868,868,2.1027069710476446e-05,0.00022530696490537702,0.0012399786696875065,2.1027069710476446e-05,0.0012399786696913316,0.012906870418150885,3.82506526452886e-15,True
primary_genecards881,GO:BP,GO:0048731,system development,253,253,14,14,18,18,868,868,2.246208424968368e-05,0.0037891104904558015,0.0012867565405856503,2.246208424968368e-05,0.0012867565405890221,0.051332206306512716,3.3718687564299188e-15,True
primary_genecards881,GO:BP,GO:0065007,biological regulation,484,484,18,18,18,18,868,868,2.354835529062054e-05,0.05178665084076452,0.0013115125654879062,2.354835529062054e-05,0.001311512565491505,0.178763640624657,3.5989006913483834e-15,True
primary_genecards881,GO:BP,GO:0048513,animal organ development,216,216,13,13,18,18,868,868,2.6242143327834102e-05,0.0029371670318766767,0.0013829459805335335,2.6242143327834102e-05,0.0013829459805366057,0.046370235424509736,3.0721952759549254e-15,True
primary_genecards881,GO:BP,GO:0009966,regulation of signal transduction,218,218,13,13,18,18,868,868,2.9275489094208723e-05,0.003240429118477158,0.0013829459805335335,2.9275489094208723e-05,0.0013829459805366057,0.04848552524288584,3.0721952759549254e-15,True
primary_genecards881,GO:BP,GO:0016053,organic acid biosynthetic process,20,20,5,5,18,18,868,868,2.7055891649281988e-05,0.00020295658792118175,0.0013829459805335335,2.7055891649281988e-05,0.0013829459805366057,0.011974007992973112,3.0721952759549254e-15,True
primary_genecards881,GO:BP,GO:0046457,prostanoid biosynthetic process,4,4,3,3,18,18,868,868,2.9659190605024462e-05,0.00010474628264646964,0.0013829459805335335,2.9659190605024462e-05,0.0013829459805366057,0.009254502157161762,3.0721952759549254e-15,True
primary_genecards881,GO:BP,GO:0046394,carboxylic acid biosynthetic process,20,20,5,5,18,18,868,868,2.7055891649281988e-05,0.00020295658792118175,0.0013829459805335335,2.7055891649281988e-05,0.0013829459805366057,0.011974007992973112,3.0721952759549254e-15,True
primary_genecards881,GO:BP,GO:0071492,cellular response to UV-A,4,4,3,3,18,18,868,868,2.9659190605024462e-05,0.00010474628264646964,0.0013829459805335335,2.9659190605024462e-05,0.0013829459805366057,0.009254502157161762,3.0721952759549254e-15,True
primary_genecards881,GO:BP,GO:0001516,prostaglandin biosynthetic process,4,4,3,3,18,18,868,868,2.9659190605024462e-05,0.00010474628264646964,0.0013829459805335335,2.9659190605024462e-05,0.0013829459805366057,0.009254502157161762,3.0721952759549254e-15,True
primary_genecards881,GO:BP,GO:0001676,long-chain fatty acid metabolic process,11,11,4,4,18,18,868,868,3.923364619439833e-05,0.00020305050960652658,0.0015424207964609494,3.923364619439833e-05,0.001542420796466052,0.011974007992973112,5.102689104585778e-15,True
primary_genecards881,GO:BP,GO:0120254,olefinic compound metabolic process,11,11,4,4,18,18,868,868,3.923364619439833e-05,0.00020305050960652658,0.0015424207964609494,3.923364619439833e-05,0.001542420796466052,0.011974007992973112,5.102689104585778e-15,True
primary_genecards881,GO:BP,GO:0170062,nutrient storage,11,11,4,4,18,18,868,868,3.923364619439833e-05,0.00020305050960652658,0.0015424207964609494,3.923364619439833e-05,0.001542420796466052,0.011974007992973112,5.102689104585778e-15,True
primary_genecards881,GO:BP,GO:0001666,response to hypoxia,52,52,7,7,18,18,868,868,3.536614533386815e-05,0.000518010064965058,0.0015424207964609494,3.536614533386815e-05,0.001542420796466052,0.020772203605098828,5.102689104585778e-15,True
primary_genecards881,GO:BP,GO:0032502,developmental process,307,307,15,15,18,18,868,868,3.460364852798896e-05,0.008651825660702613,0.0015424207964609494,3.460364852798896e-05,0.001542420796466052,0.08621745368587899,5.102689104585778e-15,True
primary_genecards881,GO:BP,GO:0010883,regulation of lipid storage,11,11,4,4,18,18,868,868,3.923364619439833e-05,0.00020305050960652658,0.0015424207964609494,3.923364619439833e-05,0.001542420796466052,0.011974007992973112,5.102689104585778e-15,True
primary_genecards881,GO:BP,GO:0019915,lipid storage,11,11,4,4,18,18,868,868,3.923364619439833e-05,0.00020305050960652658,0.0015424207964609494,3.923364619439833e-05,0.001542420796466052,0.011974007992973112,5.102689104585778e-15,True
primary_genecards881,GO:BP,GO:0048583,regulation of response to stimulus,263,263,14,14,18,18,868,868,3.6943064154513037e-05,0.005908726409791632,0.0015424207964609494,3.6943064154513037e-05,0.001542420796466052,0.06504489773249587,5.102689104585778e-15,True
primary_genecards881,GO:BP,GO:0051716,cellular response to stimulus,362,362,16,16,18,18,868,868,4.018044701458566e-05,0.01654520402405856,0.0015492653127709905,4.018044701458566e-05,0.0015492653127739278,0.12355540874867173,2.9373205256977286e-15,True
primary_genecards881,GO:BP,GO:0009755,hormone-mediated signaling pathway,22,22,5,5,18,18,868,868,4.4797721687254375e-05,0.0003314225158771638,0.001694706263825866,4.4797721687254375e-05,0.0016947062638291513,0.016207369373993013,3.2853494230655755e-15,True
primary_genecards881,GO:BP,GO:0033993,response to lipid,99,99,9,9,18,18,868,868,4.669190888493498e-05,0.0012777980414074629,0.0017336532835935342,4.669190888493498e-05,0.001733653283598049,0.033031626933301306,4.5148346866641376e-15,True
primary_genecards881,GO:BP,GO:0036293,response to decreased oxygen levels,55,55,7,7,18,18,868,868,5.179493049755935e-05,0.0007436460415858263,0.0018881606481342933,5.179493049755935e-05,0.0018881606481383,0.025653314271227058,4.00677754863743e-15,True
primary_genecards881,GO:BP,GO:0033559,unsaturated fatty acid metabolic process,12,12,4,4,18,18,868,868,5.80854139895208e-05,0.0002985123769044622,0.0019245642178086606,5.80854139895208e-05,0.001924564217812653,0.014962932892336167,3.9924660799606215e-15,True
primary_genecards881,GO:BP,GO:1902894,negative regulation of miRNA transcription,12,12,4,4,18,18,868,868,5.80854139895208e-05,0.0002985123769044622,0.0019245642178086606,5.80854139895208e-05,0.001924564217812653,0.014962932892336167,3.9924660799606215e-15,True
primary_genecards881,GO:BP,GO:0007275,multicellular organism development,273,273,14,14,18,18,868,868,5.942697816421088e-05,0.0089918538336928,0.0019245642178086606,5.942697816421088e-05,0.001924564217812653,0.08626156428973236,3.9924660799606215e-15,True
primary_genecards881,GO:BP,GO:1902532,negative regulation of intracellular signal transduction,77,77,8,8,18,18,868,868,5.6777471774516265e-05,0.001115723169874896,0.0019245642178086606,5.6777471774516265e-05,0.001924564217812653,0.029434538889462715,3.9924660799606215e-15,True
primary_genecards881,GO:BP,GO:0003013,circulatory system process,38,38,6,6,18,18,868,868,5.951270897974288e-05,0.0006122295620617368,0.0019245642178086606,5.951270897974288e-05,0.001924564217812653,0.02360615907564966,3.9924660799606215e-15,True
primary_genecards881,GO:BP,GO:0023051,regulation of signaling,231,231,13,13,18,18,868,868,5.794752346817274e-05,0.005954667497533555,0.0019245642178086606,5.794752346817274e-05,0.001924564217812653,0.06504489773249587,3.9924660799606215e-15,True
primary_genecards881,GO:BP,GO:2000629,negative regulation of miRNA metabolic process,12,12,4,4,18,18,868,868,5.80854139895208e-05,0.0002985123769044622,0.0019245642178086606,5.80854139895208e-05,0.001924564217812653,0.014962932892336167,3.9924660799606215e-15,True
primary_genecards881,GO:BP,GO:0009628,response to abiotic stimulus,130,130,10,10,18,18,868,868,6.189907725626945e-05,0.002276254497587723,0.0019391820296640883,6.189907725626945e-05,0.0019391820296690665,0.04434839775456208,4.978222695184442e-15,True
primary_genecards881,GO:BP,GO:0010646,regulation of cell communication,232,232,13,13,18,18,868,868,6.0954486083818154e-05,0.006227031101777927,0.0019391820296640883,6.0954486083818154e-05,0.0019391820296690665,0.06702491294485732,4.978222695184442e-15,True
primary_genecards881,GO:BP,GO:0042981,regulation of apoptotic process,162,162,11,11,18,18,868,868,6.694143800965549e-05,0.0033782591521077762,0.0019903634087917064,6.694143800965549e-05,0.0019903634087949096,0.05017340444426734,3.2031668983911743e-15,True
primary_genecards881,GO:BP,GO:0070482,response to oxygen levels,57,57,7,7,18,18,868,868,6.59181575523455e-05,0.0009338409013566926,0.0019903634087917064,6.59181575523455e-05,0.0019903634087949096,0.025653314271227058,3.2031668983911743e-15,True
primary_genecards881,GO:BP,GO:0008202,steroid metabolic process,24,24,5,5,18,18,868,868,7.048169677029355e-05,0.0005142443501659777,0.0019903634087917064,7.048169677029355e-05,0.0019903634087949096,0.020772203605098828,3.2031668983911743e-15,True
primary_genecards881,GO:BP,GO:0080134,regulation of response to stress,131,131,10,10,18,18,868,868,6.637077003132885e-05,0.00242533304277656,0.0019903634087917064,6.637077003132885e-05,0.0019903634087949096,0.04434839775456208,3.2031668983911743e-15,True
primary_genecards881,GO:BP,GO:0043207,response to external biotic stimulus,104,104,9,9,18,18,868,868,7.035999196735612e-05,0.0018646996100111551,0.0019903634087917064,7.035999196735612e-05,0.0019903634087949096,0.04309649958059962,3.2031668983911743e-15,True
primary_genecards881,GO:BP,GO:0048522,positive regulation of cellular process,323,323,15,15,18,18,868,868,6.976571555069775e-05,0.016033035496573516,0.0019903634087917064,6.976571555069775e-05,0.0019903634087949096,0.12162833125566376,3.2031668983911743e-15,True
primary_genecards881,GO:BP,GO:0051707,response to other organism,104,104,9,9,18,18,868,868,7.035999196735612e-05,0.0018646996100111551,0.0019903634087917064,7.035999196735612e-05,0.0019903634087949096,0.04309649958059962,3.2031668983911743e-15,True
primary_genecards881,GO:BP,GO:0046456,icosanoid biosynthetic process,5,5,3,3,18,18,868,868,7.318358238185233e-05,0.00025666049556695767,0.0020100422284254154,7.318358238185233e-05,0.0020100422284330672,0.01390822415166892,7.651865252533696e-15,True
primary_genecards881,GO:BP,GO:0006636,unsaturated fatty acid biosynthetic process,5,5,3,3,18,18,868,868,7.318358238185233e-05,0.00025666049556695767,0.0020100422284254154,7.318358238185233e-05,0.0020100422284330672,0.01390822415166892,7.651865252533696e-15,True
primary_genecards881,GO:BP,GO:0048518,positive regulation of biological process,325,325,15,15,18,18,868,868,7.593360603168677e-05,0.017259507227395107,0.002057390271530394,7.593360603168677e-05,0.0020573902715342158,0.12503990047342028,3.821595817576906e-15,True
primary_genecards881,GO:BP,GO:0062197,cellular response to chemical stress,40,40,6,6,18,18,868,868,8.073361580081107e-05,0.0008192546853414088,0.0021582786624018318,8.073361580081107e-05,0.0021582786624083495,0.025653314271227058,6.5177897801138585e-15,True
primary_genecards881,GO:BP,GO:0006690,icosanoid metabolic process,13,13,4,4,18,18,868,868,8.281000664291803e-05,0.00042259566581610435,0.002184658727875959,8.281000664291803e-05,0.0021846587278822453,0.019704751394448588,6.286204196070955e-15,True
primary_genecards881,GO:BP,GO:0006915,apoptotic process,201,201,12,12,18,18,868,868,8.700549646283999e-05,0.0059692075724584745,0.0022364874411226338,8.700549646283999e-05,0.0022364874411281302,0.06504489773249587,5.496471333632513e-15,True
primary_genecards881,GO:BP,GO:0036294,cellular response to decreased oxygen levels,25,25,5,5,18,18,868,868,8.698312813515535e-05,0.0006302388401473094,0.0022364874411226338,8.698312813515535e-05,0.0022364874411281302,0.023842054235761422,5.496471333632513e-15,True
primary_genecards881,GO:BP,GO:0043067,regulation of programmed cell death,167,167,11,11,18,18,868,868,9.040744878427586e-05,0.004422175822201943,0.002294518162178682,9.040744878427586e-05,0.002294518162183204,0.058331990286282207,4.521990421002542e-15,True
primary_genecards881,GO:BP,GO:0044238,primary metabolic process,384,384,16,16,18,18,868,868,9.720823004438414e-05,0.035905953212637134,0.0024362812654813203,9.720823004438414e-05,0.002436281265487378,0.14954946953939122,6.05765437811101e-15,True
primary_genecards881,GO:BP,GO:0071453,cellular response to oxygen levels,26,26,5,5,18,18,868,868,0.00010632474824575143,0.0007650276054218729,0.002568447231715084,0.00010632474824575143,0.002568447231719658,0.025653314271227058,4.574032125281846e-15,True
primary_genecards881,GO:BP,GO:1902893,regulation of miRNA transcription,26,26,5,5,18,18,868,868,0.00010632474824575143,0.0007650276054218729,0.002568447231715084,0.00010632474824575143,0.002568447231719658,0.025653314271227058,4.574032125281846e-15,True
primary_genecards881,GO:BP,GO:0061614,miRNA transcription,26,26,5,5,18,18,868,868,0.00010632474824575143,0.0007650276054218729,0.002568447231715084,0.00010632474824575143,0.002568447231719658,0.025653314271227058,4.574032125281846e-15,True
primary_genecards881,GO:BP,GO:0044281,small molecule metabolic process,84,84,8,8,18,18,868,868,0.00010882931153255184,0.00204197878312068,0.002597652019313589,0.00010882931153255184,0.002597652019318648,0.04309649958059962,5.058887336817364e-15,True
primary_genecards881,GO:BP,GO:1902531,regulation of intracellular signal transduction,171,171,11,11,18,18,868,868,0.00011408639610773277,0.005440799339788254,0.0026910967552412797,0.00011408639610773277,0.0026910967552471084,0.061261340432679876,5.828670879282072e-15,True
primary_genecards881,GO:BP,GO:0009607,response to biotic stimulus,111,111,9,9,18,18,868,868,0.00012027862041439628,0.0030455008120315956,0.0027719383210396153,0.00012027862041439628,0.00277193832104442,0.04697099329325653,4.8047503475867614e-15,True
primary_genecards881,GO:BP,GO:0043066,negative regulation of apoptotic process,111,111,9,9,18,18,868,868,0.00012027862041439628,0.0030455008120315956,0.0027719383210396153,0.00012027862041439628,0.00277193832104442,0.04697099329325653,4.8047503475867614e-15,True
primary_genecards881,GO:BP,GO:0008219,cell death,208,208,12,12,18,18,868,868,0.00012540053009616156,0.008235645125487589,0.0028250344139590577,0.00012540053009616156,0.0028250344139640893,0.08339630543738695,5.031565442070729e-15,True
primary_genecards881,GO:BP,GO:0012501,programmed cell death,208,208,12,12,18,18,868,868,0.00012540053009616156,0.008235645125487589,0.0028250344139590577,0.00012540053009616156,0.0028250344139640893,0.08339630543738695,5.031565442070729e-15,True
primary_genecards881,GO:BP,GO:1901700,response to oxygen-containing compound,173,173,11,11,18,18,868,868,0.0001278412584978645,0.006019323690913116,0.0028322779768614457,0.0001278412584978645,0.002832277976868585,0.06523645405557187,7.13925446538255e-15,True
primary_genecards881,GO:BP,GO:2001233,regulation of apoptotic signaling pathway,63,63,7,7,18,18,868,868,0.00012854727974815025,0.001748846933299587,0.0028322779768614457,0.00012854727974815025,0.002832277976868585,0.042761440259337466,7.13925446538255e-15,True
primary_genecards881,GO:BP,GO:0008203,cholesterol metabolic process,6,6,3,3,18,18,868,868,0.00014446338969494152,0.0005031170644010705,0.003081373365289644,0.00014446338969494152,0.003081373365301678,0.020772203605098828,1.2033776752851111e-14,True
primary_genecards881,GO:BP,GO:0006692,prostanoid metabolic process,6,6,3,3,18,18,868,868,0.00014446338969494152,0.0005031170644010705,0.003081373365289644,0.00014446338969494152,0.003081373365301678,0.020772203605098828,1.2033776752851111e-14,True
primary_genecards881,GO:BP,GO:0006693,prostaglandin metabolic process,6,6,3,3,18,18,868,868,0.00014446338969494152,0.0005031170644010705,0.003081373365289644,0.00014446338969494152,0.003081373365301678,0.020772203605098828,1.2033776752851111e-14,True
primary_genecards881,GO:BP,GO:0044419,biological process involved in interspecies interaction between organisms,114,114,9,9,18,18,868,868,0.0001495030494155173,0.0037112526732386757,0.003155301200814973,0.0001495030494155173,0.0031553012008222335,0.0512056809935114,7.260685108700926e-15,True
primary_genecards881,GO:BP,GO:0030334,regulation of cell migration,115,115,9,9,18,18,868,868,0.00016049913655316508,0.003957873963495796,0.0033520913415445077,0.00016049913655316508,0.003352091341553083,0.053258639575899804,8.575171822622352e-15,True
primary_genecards881,GO:BP,GO:0048856,anatomical structure development,297,297,14,14,18,18,868,868,0.0001714091961821127,0.022477450737898863,0.003543045756127131,0.0001714091961821127,0.0035430457561354224,0.1368550468682495,8.291544534300144e-15,True
primary_genecards881,GO:BP,GO:0043069,negative regulation of programmed cell death,117,117,9,9,18,18,868,868,0.00018456793607824067,0.004491186315839263,0.0037409963447937243,0.00018456793607824067,0.0037409963448006905,0.05885508864874329,6.966215798653863e-15,True
primary_genecards881,GO:BP,GO:0010876,lipid localization,29,29,5,5,18,18,868,868,0.00018471752525449795,0.0013014955250527694,0.0037409963447937243,0.00018471752525449795,0.0037409963448006905,0.033031626933301306,6.966215798653863e-15,True
primary_genecards881,GO:BP,GO:2000145,regulation of cell motility,118,118,9,9,18,18,868,868,0.00019770985349338067,0.004778921150758479,0.003964082562530716,0.00019770985349338067,0.003964082562542283,0.061261340432679876,1.1566268776075361e-14,True
primary_genecards881,GO:BP,GO:0019217,regulation of fatty acid metabolic process,16,16,4,4,18,18,868,868,0.0002026652773391581,0.0010126179487853363,0.004023206743206271,0.0002026652773391581,0.004023206743217941,0.027070653164194654,1.1669484822895981e-14,True
primary_genecards881,GO:BP,GO:0040012,regulation of locomotion,119,119,9,9,18,18,868,868,0.00021163837440163802,0.005081422623243226,0.004119756705575278,0.00021163837440163802,0.004119756705585284,0.061261340432679876,1.0005885009434223e-14,True
primary_genecards881,GO:BP,GO:0008284,positive regulation of cell population proliferation,119,119,9,9,18,18,868,868,0.00021163837440163802,0.005081422623243226,0.004119756705575278,0.00021163837440163802,0.004119756705585284,0.061261340432679876,1.0005885009434223e-14,True
primary_genecards881,GO:BP,GO:0009967,positive regulation of signal transduction,150,150,10,10,18,18,868,868,0.00022357203196586976,0.007221594406499058,0.004310210808562695,0.00022357203196586976,0.004310210808572778,0.0754130040887011,1.0083080204115191e-14,True
primary_genecards881,GO:BP,GO:0019369,arachidonate metabolic process,7,7,3,3,18,18,868,868,0.0002495225488494288,0.0008629524100163465,0.0045898413801962355,0.0002495225488494288,0.00458984138021197,0.025653314271227058,1.573480928884763e-14,True
primary_genecards881,GO:BP,GO:0016125,sterol metabolic process,7,7,3,3,18,18,868,868,0.0002495225488494288,0.0008629524100163465,0.0045898413801962355,0.0002495225488494288,0.00458984138021197,0.025653314271227058,1.573480928884763e-14,True
primary_genecards881,GO:BP,GO:0010888,negative regulation of lipid storage,7,7,3,3,18,18,868,868,0.0002495225488494288,0.0008629524100163465,0.0045898413801962355,0.0002495225488494288,0.00458984138021197,0.025653314271227058,1.573480928884763e-14,True
primary_genecards881,GO:BP,GO:0097190,apoptotic signaling pathway,94,94,8,8,18,18,868,868,0.00024843676730202947,0.004357870742382582,0.0045898413801962355,0.00024843676730202947,0.00458984138021197,0.05786444263892104,1.573480928884763e-14,True
primary_genecards881,GO:BP,GO:0070141,response to UV-A,7,7,3,3,18,18,868,868,0.0002495225488494288,0.0008629524100163465,0.0045898413801962355,0.0002495225488494288,0.00458984138021197,0.025653314271227058,1.573480928884763e-14,True
primary_genecards881,GO:BP,GO:0009987,cellular process,552,552,18,18,18,18,868,868,0.0002611874111675908,0.5743934597218653,0.004666250744340815,0.0002611874111675908,0.004666250744350558,0.626609325314314,9.743074402823737e-15,True
primary_genecards881,GO:BP,GO:0006979,response to oxidative stress,49,49,6,6,18,18,868,868,0.0002631735860720301,0.002509646873052297,0.004666250744340815,0.0002631735860720301,0.004666250744350558,0.04434839775456208,9.743074402823737e-15,True
primary_genecards881,GO:BP,GO:0050794,regulation of cellular process,474,474,17,17,18,18,868,868,0.00026531300990322373,0.16748860985544647,0.004666250744340815,0.00026531300990322373,0.004666250744350558,0.29403622236108506,9.743074402823737e-15,True
primary_genecards881,GO:BP,GO:0032963,collagen metabolic process,17,17,4,4,18,18,868,868,0.0002615717667519878,0.0012977559154690415,0.004666250744340815,0.0002615717667519878,0.004666250744350558,0.033031626933301306,9.743074402823737e-15,True
primary_genecards881,GO:BP,GO:0035556,intracellular signal transduction,223,223,12,12,18,18,868,868,0.00026136982624517597,0.015575725174802102,0.004666250744340815,0.00026136982624517597,0.004666250744350558,0.12057655975088113,9.743074402823737e-15,True
