biological_priority_rank,gene_symbol,GO_representative_count,Reactome_term_count,aligned_term_count,GO_theme_count,Reactome_theme_count,shared_theme_count,shared_theme_labels,source_status,biological_role,GO_recurrence_fraction,Reactome_recurrence_fraction,macrophage_driver_rank,macrophage_paired_t_BH_FDR,macrophage_cohen_dz,macrophage_detection_fraction,network_priority_rank,candidate_role,docking_protein_eligible,best_pdb_id,pdb_structure_count,known_measured_target_evidence
1,PPARD,35,3,38,9,2,2,Lipid / fatty-acid / eicosanoid metabolism; Signaling / receptor / hormone response,GO+Reactome_same_theme,direct lipid/eicosanoid pathway context; nuclear-receptor pathway context,0.8140,0.5000,,,,,,,,,,
2,PPARG,32,2,34,9,2,2,Lipid / fatty-acid / eicosanoid metabolism; Signaling / receptor / hormone response,GO+Reactome_same_theme,direct lipid/eicosanoid pathway context; nuclear-receptor pathway context,0.7442,0.3333,,,,,,,,,,
3,PTGS2,32,4,36,8,1,1,Lipid / fatty-acid / eicosanoid metabolism,GO+Reactome_same_theme,direct lipid/eicosanoid pathway context,0.7442,0.6667,,,,,,,,,,
4,CYP1A2,13,4,17,4,1,1,Lipid / fatty-acid / eicosanoid metabolism,GO+Reactome_same_theme,direct lipid/eicosanoid pathway context,0.3023,0.6667,,,,,,,,,,
5,CYP3A4,10,3,13,3,1,1,Lipid / fatty-acid / eicosanoid metabolism,GO+Reactome_same_theme,direct lipid/eicosanoid pathway context,0.2326,0.5000,,,,,,,,,,
6,PTGS1,12,2,14,4,1,1,Lipid / fatty-acid / eicosanoid metabolism,GO+Reactome_same_theme,direct lipid/eicosanoid pathway context,0.2791,0.3333,,,,,,,,,,
7,ESR1,24,1,25,8,1,1,Signaling / receptor / hormone response,GO+Reactome_same_theme,nuclear-receptor pathway context,0.5581,0.1667,,,,,,,,,,
8,MMP9,24,1,25,8,1,1,Matrix remodeling / cell migration,GO+Reactome_same_theme,matrix-remodeling pathway context,0.5581,0.1667,2.0,1.248097192472699e-05,1.0176236323672705,0.47892074198988194,1,network bridge candidate,True,1l6j,59,True
9,MMP2,23,1,24,8,1,1,Matrix remodeling / cell migration,GO+Reactome_same_theme,matrix-remodeling pathway context,0.5349,0.1667,,,,,,,,,,
10,TIMP1,18,1,19,6,1,1,Matrix remodeling / cell migration,GO+Reactome_same_theme,matrix-remodeling pathway context,0.4186,0.1667,3.0,0.0003294953076373999,0.7782820300422876,0.6938764755480608,3,supporting/context,True,9soq,19,False
