metric,value,unit
frozen_crc_tests,29,tests
event_expansion_tests_meeting_mde_1_20_at_2x,9,tests
event_expansion_tests_meeting_mde_1_20_at_4x,20,tests
event_expansion_tests_meeting_mde_1_20_at_8x,24,tests
event_expansion_tests_not_meeting_mde_1_20_at_8x,5,tests
retention_70pct_tests_meeting_mde_1_20,2,tests
retention_85pct_tests_meeting_mde_1_20,7,tests
current_tests_meeting_mde_1_20,1,tests
