source_file,sha256,rows,columns,purpose
analysis/disease_agnostic_environmental_framework/step01_environmental_universe/environmental_universe.csv,ad0c1d65129ea78d17fd964f5a9e85908344cfd4a40e35b9628004d53c679dc1,2042,15,Step 1 canonical disease-agnostic universe
analysis/disease_agnostic_environmental_framework/step01_environmental_universe/ctd_classification_ledger.csv,e865ea4f5539b62a4ce9061ba32b70fabe51ca5382f1f87a48f6ef67c93729bf,179672,15,Step 1 raw CTD classification rows
analysis/disease_agnostic_environmental_framework/step02_biomarker_mapping/chemical_biomarker_mapping.csv,9114121e5d3e49d69739cec48c77f6709dce531e4c0a4d97b3c3e59fc63bb25d,2046,20,Step 2 mapping ledger
analysis/disease_agnostic_environmental_framework/step03_actionability/actionability_ledger.csv,c2480d968b4731ccf3676a54b9647b6c6cf67ca6f7eef9ec19e54a78ca3a9225,2046,16,Step 3 actionability ledger
analysis/disease_agnostic_environmental_framework/step03_actionability/exclusion_ledger.csv,51d7bc76bb9a2a25f2319b50319251bba3903497f83b59fb695ea96f6fb0eb45,1635,16,Step 3 exclusions
analysis/disease_agnostic_environmental_framework/step04_testset_freeze/unique_biomarker_test_set.csv,6b284b23d69f74991fc28978c85c1e39d10f096e2fd4d42290046df8224c3a9e,29,12,Step 4 frozen test set
analysis/disease_agnostic_environmental_framework/hypothesis_unit_audit/step4_test_chemical_membership.csv,5b5d45db031b77a90e3c3b369d38df50fdc24811e18fcc87329299d852d25c0a,411,9,Step 4 chemical membership
analysis/disease_agnostic_environmental_framework/hypothesis_unit_audit/step4_test_hypothesis_mapping.csv,0d49b306818f2ba8abcb80fe120d0086bf8f6798c1b409a495e909e86f0c923c,29,24,Step 4 hypothesis-unit mapping audit
analysis/disease_agnostic_environmental_framework/step05_t2d_screen/t2d_primary_29_tests.csv,a3764979386bfc903c19f2f382d02ebf93d9e1e67e77e5cefa642dc187c2f1a3,29,40,Step 5 canonical T2D screen
analysis/disease_agnostic_environmental_framework/step06_t2d_robustness/t2d_robustness_results.csv,3ae5786d0c9dc31bbd972ebf061499c382fbf1276f8c62a2d371fe767f92f88d,14,62,Step 6 canonical T2D robustness
analysis/disease_agnostic_environmental_framework/step06_t2d_robustness/t2d_exposure_clusters.csv,73d229a0c79b7d27bc93e335173f50cad998743218548e350e39d1d167c78c3b,14,4,Step 6 T2D exposure clusters
analysis/disease_agnostic_environmental_framework/step07_genecard_convergence/t2d_genecards_primary_gene_audit.csv,6f4c2526b7d0d79de9a39bd0b6c4e88768d853ccdd281a5a1dc965fc1e608289,20554,9,Step 7 primary GeneCards input
analysis/disease_agnostic_environmental_framework/step07_genecard_convergence/t2d_cluster_enrichment_primary.csv,b61542e0372706bd23b144c85d29b5cf7fe012ae5c1a11864953fce757a69172,11,12,Step 7 cluster enrichment
analysis/disease_agnostic_environmental_framework/step07_genecard_convergence/t2d_step7_joint_prioritization.csv,834a7ff1b745b3acb0c6c07abde5bd236a7886ee26dbb0b662f3059e514f18b7,11,13,Step 7 joint prioritization
analysis/disease_agnostic_environmental_framework/step08_t2d_convergence/t2d_step8_pathway_ora_all.csv,d6ab7c5db0586e559447e32098f6f44346698a3caf6ef18901ba31fc2a54b27c,31623,14,Step 8 pathway tests
analysis/disease_agnostic_environmental_framework/step08_t2d_convergence/t2d_step8_pathway_ora_significant.csv,f46d71aa057ad0d0c15eae2001def7782eada50a38d73481ac300a4c9ad0bc13,1647,14,Step 8 significant pathway terms
analysis/disease_agnostic_environmental_framework/step08_t2d_convergence/t2d_step8_module_summary.csv,824c899fc146a8109c7027a79e48b124f1a6dd6fa81932f9ed9078e2b77ddfb3,321,15,Step 8 redundancy-reduced modules
analysis/disease_agnostic_environmental_framework/step08_t2d_convergence/t2d_step8_module_representatives.csv,32b7d2fd2a8dd2091fcb7d73d0bdada2a2c5a70e776b261b195cfbbd477a56bf,32,15,Step 8 pathway representatives
analysis/disease_agnostic_environmental_framework/step08_t2d_convergence/t2d_step8c_network_summary.csv,a93652d18f0ce5c05ad36ccc0e0dc693debe0aeff31f5f560daad9677e2b9e63,4,17,Step 8C network summary
analysis/disease_agnostic_environmental_framework/step08_t2d_convergence/t2d_step8c_network_modules.csv,268596665a5c5fd17a14c0819dad52da76f6978f40b4ce42e8b4e059e6838ab7,97,8,Step 8C network modules
analysis/disease_agnostic_environmental_framework/step08_t2d_convergence/t2d_step8e_final_classification.csv,5155656f004375d3d57e5efcae242dda3ff998c33f9ae8a47fd09b5a3a828b32,4,7,Step 8E integrated classifications
analysis/disease_agnostic_environmental_framework/step05_crc_screen_rebuilt/assay_specific_outcome_frame_qc.csv,4ada2307c2910fcc62dfac28608d04eaa3d2aefc964128eb30cc3a650d5a385c,10,7,Step 5 rebuilt CRC outcome QC
analysis/disease_agnostic_environmental_framework/step05_crc_screen_rebuilt/full_29_test_crc_screen_rebuilt.csv,168a9dbbc9eabddda3fc69246f11e8a7d81f65ff186229273ef0ab573ec2c827,29,36,Step 5 canonical assay-specific CRC screen
analysis/disease_agnostic_environmental_framework/step09_negative_branch/step9a_readiness_overview.csv,622eb838875d5c2c8a865e4683d4d12ba359c82d07d643057539673a5d9e6e24,2,32,Step 9A readiness overview
analysis/disease_agnostic_environmental_framework/step09_negative_branch/step9b_crc_failure_attribution_29_tests.csv,a41d4a13a6bc93967b70fbb84b5e02f4cf99bf60b339b8caaf7f4a728dfcc9a5,29,48,Step 9B CRC failure attribution
analysis/disease_agnostic_environmental_framework/step05_crc_screen/CRC_case_control_ledger.csv,ceee7acb50adbba88aa0cf4f409ad03b11dda542bfdf0f25f1ad9dab0547206b,17382,16,Legacy CRC diagnosis-age ledger
analysis/disease_agnostic_environmental_framework/step05_crc_screen/full_29_test_crc_screen.csv,415a383a1b0c365c9012c62b2ff6ac0d8e776c07b220387d90b12283f660a6a6,29,33,Superseded provisional CRC screen
outputs/environmental_crc_267_actionability_matrix_v2.csv,32cf565641ee601f32c265003a2d1e175922e447f0ffd9763b22ab91d51fe3a8,267,85,Superseded CRC-specific 267-row matrix
