outcome,outcome_type,nhanes_cycle_n_in_outcome_qc,outcome_frame_rows_total,eligible_outcome_rows_total,outcome_case_n_total,outcome_control_n_total,outcome_case_fraction,frozen_tests,estimable_tests,fit_warning_n,analytic_n_min,analytic_n_median,analytic_n_max,analytic_case_n_min,analytic_case_n_median,analytic_case_n_max,analytic_case_fraction_median,cycle_coverage_min,cycle_coverage_median,cycle_coverage_max,cycles_with_complete_cases_min,cycles_with_complete_cases_median,cycles_with_complete_cases_max,nominal_p_lt_0_05_n,bh_fdr_lt_0_05_n,bh_fdr_denominator,temporality_assessment,diagnosis_date_available,stage_site_treatment_recurrence_available,prediagnostic_biospecimen,follow_up
T2D,cross-sectional T2D case-control screen,10,55081,49181,7772,41409,0.15802850694373843,29,29,0,4406.0,12994.0,14343.0,712.0,1940.0,2120.0,0.14780729275604826,3,9.0,10,3,9.0,10,14,14,29,"Limited: cross-sectional disease classification, with objective HbA1c component",No,Not applicable; Not applicable; No incident-treatment timeline; Not applicable,No; same-visit biomarker and disease classification,No incident follow-up
CRC,prevalent CRC case-control screen,10,96811,50275,420,49855,0.00835405271009448,29,29,1,4275.0,12603.0,13865.0,30.0,97.0,104.0,0.007324679092029879,3,9.0,10,3,9.0,10,5,0,29,Limited: cross-sectional/prevalent outcome,No,No; No beyond colon/rectum classification; No; No,No; current survey biomarker with prevalent outcome,No incident follow-up
