GeneCards_Rank,GeneSymbol,GeneName,GeneType,RelevanceScore,KnowledgeScore,gene_symbol
687,TNFSF10,TNF Superfamily Member 10,Protein Coding,13.7,88,TNFSF10
688,JAK2,Janus Kinase 2,Protein Coding,13.6,100,JAK2
689,MSH5,MutS Homolog 5,Protein Coding,13.6,80,MSH5
690,LEF1,Lymphoid Enhancer Binding Factor 1,Protein Coding,13.5,91,LEF1
691,MT-CYB,Mitochondrially Encoded Cytochrome B,Protein Coding,13.5,87,MT-CYB
692,CASP9,Caspase 9,Protein Coding,13.5,94,CASP9
693,RELA,"RELA Proto-Oncogene, NF-KB Subunit",Protein Coding,13.4,100,RELA
694,KLF4,KLF Transcription Factor 4,Protein Coding,13.4,90,KLF4
695,UMPS,Uridine Monophosphate Synthetase,Protein Coding,13.4,97,UMPS
696,CCNL2,Cyclin L2,Protein Coding,13.4,71,CCNL2
697,EXO1,Exonuclease 1,Protein Coding,13.4,91,EXO1
698,RUNX3,RUNX Family Transcription Factor 3,Protein Coding,13.4,84,RUNX3
699,CCND2,Cyclin D2,Protein Coding,13.3,97,CCND2
700,LINC01672,Long Intergenic Non-Protein Coding RNA 1672,RNA Gene,13.3,52,LINC01672
701,IFNA2,Interferon Alpha 2,Protein Coding,13.2,74,IFNA2
702,MUC12,"Mucin 12, Cell Surface Associated",Protein Coding,13.2,68,MUC12
703,PLAU,"Plasminogen Activator, Urokinase",Protein Coding,13.1,99,PLAU
704,APEX1,Apurinic/Apyrimidinic Endodeoxyribonuclease 1,Protein Coding,13.1,90,APEX1
705,CYP3A4,Cytochrome P450 Family 3 Subfamily A Member 4,Protein Coding,13.1,92,CYP3A4
706,LOC130009266,ATAC-STARR-Seq Lymphoblastoid Silent Region 5123,Functional Element,13.0,58,LOC130009266
707,ABCC1,ATP Binding Cassette Subfamily C Member 1 (ABCC1 Blood Group),Protein Coding,13.0,98,ABCC1
708,MT-ND4L,Mitochondrially Encoded NADH:Ubiquinone Oxidoreductase Core Subunit 4L,Protein Coding,12.9,66,MT-ND4L
709,TGFBR1,Transforming Growth Factor Beta Receptor 1,Protein Coding,12.9,100,TGFBR1
710,DHFR,Dihydrofolate Reductase,Protein Coding,12.9,99,DHFR
711,B2M,Beta-2-Microglobulin,Protein Coding,12.8,95,B2M
712,BCL2L1,BCL2 Like 1,Protein Coding,12.8,92,BCL2L1
713,SDHB,Succinate Dehydrogenase Complex Iron Sulfur Subunit B,Protein Coding,12.7,100,SDHB
714,GDF15,Growth Differentiation Factor 15,Protein Coding,12.7,76,GDF15
715,E2F1,E2F Transcription Factor 1,Protein Coding,12.6,90,E2F1
716,GUCY2C,Guanylate Cyclase 2C,Protein Coding,12.6,89,GUCY2C
717,AREG,Amphiregulin,Protein Coding,12.6,83,AREG
718,MRE11,MRE11 Double Strand Break Repair Nuclease,Protein Coding,12.5,100,MRE11
719,CXCL12,C-X-C Motif Chemokine Ligand 12,Protein Coding,12.5,92,CXCL12
720,DKK1,Dickkopf Wnt Signaling Pathway Inhibitor 1,Protein Coding,12.5,86,DKK1
721,CDK8,Cyclin Dependent Kinase 8,Protein Coding,12.4,97,CDK8
722,ITGB1,Integrin Subunit Beta 1,Protein Coding,12.4,94,ITGB1
723,GNAS,GNAS Complex Locus,Protein Coding,12.4,100,GNAS
724,IGF1,Insulin Like Growth Factor 1,Protein Coding,12.3,100,IGF1
725,NAT1,N-Acetyltransferase 1,Protein Coding,12.3,74,NAT1
726,IDH1,Isocitrate Dehydrogenase (NADP(+)) 1,Protein Coding,12.3,100,IDH1
727,VIM,Vimentin,Protein Coding,12.2,98,VIM
728,XRCC3,X-Ray Repair Cross Complementing 3,Protein Coding,12.2,86,XRCC3
729,OGG1,8-Oxoguanine DNA Glycosylase,Protein Coding,12.1,87,OGG1
730,CYP24A1,Cytochrome P450 Family 24 Subfamily A Member 1,Protein Coding,12.0,93,CYP24A1
731,NOD2,Nucleotide Binding Oligomerization Domain Containing 2,Protein Coding,12.0,100,NOD2
732,TSC2,TSC Complex Subunit 2,Protein Coding,12.0,100,TSC2
733,PTK2,Protein Tyrosine Kinase 2,Protein Coding,12.0,96,PTK2
734,BECN1,Beclin 1,Protein Coding,11.9,86,BECN1
735,NQO1,NAD(P)H Quinone Dehydrogenase 1,Protein Coding,11.9,100,NQO1
736,TOP1,DNA Topoisomerase I,Protein Coding,11.9,88,TOP1
737,MAPK14,Mitogen-Activated Protein Kinase 14,Protein Coding,11.9,93,MAPK14
738,MMP1,Matrix Metallopeptidase 1,Protein Coding,11.9,92,MMP1
739,IGF2BP2,Insulin Like Growth Factor 2 MRNA Binding Protein 2,Protein Coding,11.9,82,IGF2BP2
740,PCNA,Proliferating Cell Nuclear Antigen,Protein Coding,11.9,91,PCNA
741,CTSB,Cathepsin B,Protein Coding,11.9,100,CTSB
742,XRCC2,X-Ray Repair Cross Complementing 2,Protein Coding,11.9,89,XRCC2
743,LOC130002222,ATAC-STARR-Seq Lymphoblastoid Silent Region 20123,Functional Element,11.9,46,LOC130002222
744,FOXM1,Forkhead Box M1,Protein Coding,11.8,90,FOXM1
745,NME1,NME/NM23 Nucleoside Diphosphate Kinase 1,Protein Coding,11.8,91,NME1
746,GNE,Glucosamine (UDP-N-Acetyl)-2-Epimerase/N-Acetylmannosamine Kinase,Protein Coding,11.8,92,GNE
747,TWIST1,Twist Family BHLH Transcription Factor 1,Protein Coding,11.8,97,TWIST1
748,PPARGC1A,PPARG Coactivator 1 Alpha,Protein Coding,11.8,94,PPARGC1A
749,IL17A,Interleukin 17A,Protein Coding,11.7,82,IL17A
750,MIR211,MicroRNA 211,RNA Gene,11.7,58,MIR211
751,PTCH1,Patched 1,Protein Coding,11.6,100,PTCH1
752,CDKN1B,Cyclin Dependent Kinase Inhibitor 1B,Protein Coding,11.6,100,CDKN1B
753,XIAP,X-Linked Inhibitor Of Apoptosis,Protein Coding,11.6,100,XIAP
754,NOS2,Nitric Oxide Synthase 2,Protein Coding,11.5,97,NOS2
755,UGT1A7,UDP Glucuronosyltransferase Family 1 Member A7,Protein Coding,11.5,92,UGT1A7
756,AKT3,AKT Serine/Threonine Kinase 3,Protein Coding,11.5,100,AKT3
757,GPA33,Glycoprotein A33,Protein Coding,11.5,63,GPA33
758,CFTR-AS1,CFTR Antisense RNA 1,RNA Gene,11.5,61,CFTR-AS1
759,SPP1,Secreted Phosphoprotein 1,Protein Coding,11.5,86,SPP1
760,NRG1,Neuregulin 1,Protein Coding,11.5,96,NRG1
761,IDO1,"Indoleamine 2,3-Dioxygenase 1",Protein Coding,11.5,83,IDO1
762,CD276,CD276 Molecule,Protein Coding,11.4,78,CD276
763,ALOX15,Arachidonate 15-Lipoxygenase,Protein Coding,11.4,88,ALOX15
764,SOX2,SRY-Box Transcription Factor 2,Protein Coding,11.4,95,SOX2
765,RAC1,Rac Family Small GTPase 1,Protein Coding,11.4,97,RAC1
766,ATR,ATR Checkpoint Kinase,Protein Coding,11.4,100,ATR
767,CHEK1,Checkpoint Kinase 1,Protein Coding,11.4,98,CHEK1
768,HMGB1,High Mobility Group Box 1,Protein Coding,11.3,94,HMGB1
769,IL10,Interleukin 10,Protein Coding,11.3,100,IL10
770,FTO,FTO Alpha-Ketoglutarate Dependent Dioxygenase,Protein Coding,11.3,94,FTO
771,SERPINE1,Serpin Family E Member 1,Protein Coding,11.2,99,SERPINE1
772,RABL3,"RAB, Member Of RAS Oncogene Family Like 3",Protein Coding,11.2,69,RABL3
773,TET2,Tet Methylcytosine Dioxygenase 2,Protein Coding,11.2,91,TET2
774,MIR373,MicroRNA 373,RNA Gene,11.2,58,MIR373
775,FCGR3A,Fc Gamma Receptor IIIa,Protein Coding,11.2,90,FCGR3A
776,PGF,Placental Growth Factor,Protein Coding,11.1,79,PGF
