GeneCards_Rank,GeneSymbol,GeneName,GeneType,RelevanceScore,KnowledgeScore,gene_symbol
922,BCL2L11,BCL2 Like 11,Protein Coding,9.5,90,BCL2L11
923,ZEB2,Zinc Finger E-Box Binding Homeobox 2,Protein Coding,9.5,100,ZEB2
924,DNMT3B,DNA Methyltransferase 3 Beta,Protein Coding,9.5,100,DNMT3B
925,TIGIT,T Cell Immunoreceptor With Ig And ITIM Domains,Protein Coding,9.5,75,TIGIT
926,FASN,Fatty Acid Synthase,Protein Coding,9.4,100,FASN
927,PRKCA,Protein Kinase C Alpha,Protein Coding,9.4,95,PRKCA
928,SPARC,Secreted Protein Acidic And Cysteine Rich,Protein Coding,9.4,98,SPARC
929,WEE1,WEE1 G2 Checkpoint Kinase,Protein Coding,9.4,90,WEE1
930,ADAM17,ADAM Metallopeptidase Domain 17,Protein Coding,9.4,100,ADAM17
931,IL33,Interleukin 33,Protein Coding,9.4,84,IL33
932,FEN1,Flap Structure-Specific Endonuclease 1,Protein Coding,9.4,89,FEN1
933,MIR142,MicroRNA 142,RNA Gene,9.4,64,MIR142
934,WNT6,Wnt Family Member 6,Protein Coding,9.4,73,WNT6
935,PLK1,Polo Like Kinase 1,Protein Coding,9.4,89,PLK1
936,CLDN3,Claudin 3,Protein Coding,9.4,69,CLDN3
937,SNAI2,Snail Family Transcriptional Repressor 2,Protein Coding,9.3,87,SNAI2
938,EPHA2,EPH Receptor A2,Protein Coding,9.3,100,EPHA2
939,SHMT1,Serine Hydroxymethyltransferase 1,Protein Coding,9.3,91,SHMT1
940,HGF,Hepatocyte Growth Factor,Protein Coding,9.3,100,HGF
941,BAK1,BCL2 Antagonist/Killer 1,Protein Coding,9.3,85,BAK1
942,DPP4,Dipeptidyl Peptidase 4,Protein Coding,9.3,88,DPP4
943,EIF5A,Eukaryotic Translation Initiation Factor 5A,Protein Coding,9.3,84,EIF5A
944,CDK6,Cyclin Dependent Kinase 6,Protein Coding,9.3,93,CDK6
945,ALKBH5,"AlkB Homolog 5, RNA Demethylase",Protein Coding,9.3,66,ALKBH5
946,MIR494,MicroRNA 494,RNA Gene,9.3,59,MIR494
947,TRIM28,Tripartite Motif Containing 28,Protein Coding,9.2,99,TRIM28
948,FSCN1,Fascin Actin-Bundling Protein 1,Protein Coding,9.2,79,FSCN1
949,NDRG1,N-Myc Downstream Regulated 1,Protein Coding,9.2,97,NDRG1
950,MDM4,MDM4 Regulator Of P53,Protein Coding,9.2,93,MDM4
951,CCNB1,Cyclin B1,Protein Coding,9.2,89,CCNB1
952,ANTXR1,ANTXR Cell Adhesion Molecule 1,Protein Coding,9.2,90,ANTXR1
953,HDAC3,Histone Deacetylase 3,Protein Coding,9.2,93,HDAC3
954,HSPB1,Heat Shock Protein Family B (Small) Member 1,Protein Coding,9.2,100,HSPB1
955,LINC02605,Long Intergenic Non-Protein Coding RNA 2605,RNA Gene,9.2,50,LINC02605
956,SDHD,Succinate Dehydrogenase Complex Subunit D,Protein Coding,9.2,93,SDHD
957,TCF7,Transcription Factor 7,Protein Coding,9.2,87,TCF7
958,LDHA,Lactate Dehydrogenase A,Protein Coding,9.2,100,LDHA
959,CDH2,Cadherin 2,Protein Coding,9.2,100,CDH2
960,ANGPT2,Angiopoietin 2,Protein Coding,9.2,93,ANGPT2
961,MTR,5-Methyltetrahydrofolate-Homocysteine Methyltransferase,Protein Coding,9.2,100,MTR
962,BMP3,Bone Morphogenetic Protein 3,Protein Coding,9.2,70,BMP3
963,LATS2,Large Tumor Suppressor Kinase 2,Protein Coding,9.2,88,LATS2
964,WNT2,Wnt Family Member 2,Protein Coding,9.1,78,WNT2
965,SETD2,"SET Domain Containing 2, Histone Lysine Methyltransferase",Protein Coding,9.1,98,SETD2
966,FOSL1,"FOS Like 1, AP-1 Transcription Factor Subunit",Protein Coding,9.1,83,FOSL1
967,MIR210,MicroRNA 210,RNA Gene,9.1,67,MIR210
968,ASCL2,Achaete-Scute Family BHLH Transcription Factor 2,Protein Coding,9.1,61,ASCL2
969,FOXQ1,Forkhead Box Q1,Protein Coding,9.1,68,FOXQ1
970,FZD7,Frizzled Class Receptor 7,Protein Coding,9.1,83,FZD7
971,PRKDC,"Protein Kinase, DNA-Activated, Catalytic Subunit",Protein Coding,9.0,100,PRKDC
972,SDC1,Syndecan 1,Protein Coding,9.0,84,SDC1
973,SOX4,SRY-Box Transcription Factor 4,Protein Coding,9.0,86,SOX4
974,CD24,CD24 Molecule,Protein Coding,9.0,70,CD24
975,MMP13,Matrix Metallopeptidase 13,Protein Coding,9.0,97,MMP13
976,CXCL10,C-X-C Motif Chemokine Ligand 10,Protein Coding,9.0,84,CXCL10
977,CCNA2,Cyclin A2,Protein Coding,9.0,87,CCNA2
978,NPM1,Nucleophosmin 1,Protein Coding,9.0,97,NPM1
979,CTSD,Cathepsin D,Protein Coding,9.0,100,CTSD
980,MIR199A1,MicroRNA 199a-1,RNA Gene,9.0,69,MIR199A1
981,NANOG,Nanog Homeobox,Protein Coding,9.0,76,NANOG
982,KLF5,KLF Transcription Factor 5,Protein Coding,9.0,83,KLF5
983,GRB2,Growth Factor Receptor Bound Protein 2,Protein Coding,9.0,91,GRB2
984,HLTF,Helicase Like Transcription Factor,Protein Coding,9.0,82,HLTF
985,OLFM4,Olfactomedin 4,Protein Coding,9.0,62,OLFM4
986,LRP6,LDL Receptor Related Protein 6,Protein Coding,9.0,100,LRP6
987,ANXA1,Annexin A1,Protein Coding,9.0,90,ANXA1
988,NOTCH3,Notch Receptor 3,Protein Coding,8.9,100,NOTCH3
989,MUC16,"Mucin 16, Cell Surface Associated",Protein Coding,8.9,88,MUC16
990,ALDH1A1,Aldehyde Dehydrogenase 1 Family Member A1,Protein Coding,8.9,87,ALDH1A1
991,MIR485,MicroRNA 485,RNA Gene,8.9,59,MIR485
992,CXCL1,C-X-C Motif Chemokine Ligand 1,Protein Coding,8.8,82,CXCL1
993,TRAF6,TNF Receptor Associated Factor 6,Protein Coding,8.8,87,TRAF6
994,WNT10A,Wnt Family Member 10A,Protein Coding,8.8,87,WNT10A
995,XRCC6,X-Ray Repair Cross Complementing 6,Protein Coding,8.8,88,XRCC6
996,WT1,WT1 Transcription Factor,Protein Coding,8.8,100,WT1
997,CREB1,CAMP Responsive Element Binding Protein 1,Protein Coding,8.8,93,CREB1
998,CLDN7,Claudin 7,Protein Coding,8.8,73,CLDN7
999,RECK,Reversion Inducing Cysteine Rich Protein With Kazal Motifs,Protein Coding,8.8,71,RECK
1000,DLL4,Delta Like Canonical Notch Ligand 4,Protein Coding,8.8,91,DLL4
1001,PTPN13,Protein Tyrosine Phosphatase Non-Receptor Type 13,Protein Coding,8.8,94,PTPN13
1002,TSC1,TSC Complex Subunit 1,Protein Coding,8.8,100,TSC1
1003,MAD2L1,Mitotic Arrest Deficient 2 Like 1,Protein Coding,8.8,81,MAD2L1
1004,IFNG,Interferon Gamma,Protein Coding,8.7,89,IFNG
1005,NOTCH2,Notch Receptor 2,Protein Coding,8.7,100,NOTCH2
1006,YBX1,Y-Box Binding Protein 1,Protein Coding,8.7,87,YBX1
1007,LOX,Lysyl Oxidase,Protein Coding,8.7,90,LOX
1008,TNS4,Tensin 4,Protein Coding,8.7,68,TNS4
1009,EGR1,Early Growth Response 1,Protein Coding,8.7,84,EGR1
1010,CLU,Clusterin,Protein Coding,8.7,92,CLU
1011,FADD,Fas Associated Via Death Domain,Protein Coding,8.7,96,FADD
1012,CA9,Carbonic Anhydrase 9,Protein Coding,8.7,82,CA9
1013,ALOX5,Arachidonate 5-Lipoxygenase,Protein Coding,8.7,92,ALOX5
1014,KLRK1,Killer Cell Lectin Like Receptor K1,Protein Coding,8.7,76,KLRK1
1015,SELE,Selectin E,Protein Coding,8.7,88,SELE
1016,PAK1,P21 (RAC1) Activated Kinase 1,Protein Coding,8.7,99,PAK1
1017,HNRNPK,Heterogeneous Nuclear Ribonucleoprotein K,Protein Coding,8.7,100,HNRNPK
1018,ITGB4,Integrin Subunit Beta 4,Protein Coding,8.7,100,ITGB4
1019,ENO1,Enolase 1,Protein Coding,8.7,92,ENO1
1020,SQSTM1,Sequestosome 1,Protein Coding,8.7,100,SQSTM1
1021,MIR214,MicroRNA 214,RNA Gene,8.6,66,MIR214
1022,CYP27B1,Cytochrome P450 Family 27 Subfamily B Member 1,Protein Coding,8.6,92,CYP27B1
1023,ANXA2,Annexin A2,Protein Coding,8.6,90,ANXA2
1024,IGF2BP1,Insulin Like Growth Factor 2 MRNA Binding Protein 1,Protein Coding,8.6,82,IGF2BP1
1025,PXN,Paxillin,Protein Coding,8.6,92,PXN
1026,E2F4,E2F Transcription Factor 4,Protein Coding,8.6,86,E2F4
1027,IL6R,Interleukin 6 Receptor,Protein Coding,8.6,100,IL6R
1028,HSP90AB1,Heat Shock Protein 90 Alpha Family Class B Member 1,Protein Coding,8.6,92,HSP90AB1
1029,BIRC3,Baculoviral IAP Repeat Containing 3,Protein Coding,8.6,91,BIRC3
1030,HES1,Hes Family BHLH Transcription Factor 1,Protein Coding,8.6,82,HES1
1031,HMGA2,High Mobility Group AT-Hook 2,Protein Coding,8.6,84,HMGA2
1032,EPHX1,Epoxide Hydrolase 1,Protein Coding,8.6,86,EPHX1
1033,BSG,Basigin (Ok Blood Group),Protein Coding,8.6,90,BSG
1034,MIR375,MicroRNA 375,RNA Gene,8.5,65,MIR375
1035,KDM4B,Lysine Demethylase 4B,Protein Coding,8.5,92,KDM4B
1036,CASP7,Caspase 7,Protein Coding,8.5,92,CASP7
1037,CCNE1,Cyclin E1,Protein Coding,8.5,92,CCNE1
1038,JUP,Junction Plakoglobin,Protein Coding,8.5,100,JUP
1039,PDPN,Podoplanin,Protein Coding,8.5,71,PDPN
1040,CD47,CD47 Molecule,Protein Coding,8.5,86,CD47
1041,STUB1,STIP1 Homology And U-Box Containing Protein 1,Protein Coding,8.5,97,STUB1
1042,BID,BH3 Interacting Domain Death Agonist,Protein Coding,8.5,82,BID
1043,TFF3,Trefoil Factor 3,Protein Coding,8.5,67,TFF3
1044,SREBF1,Sterol Regulatory Element Binding Transcription Factor 1,Protein Coding,8.4,100,SREBF1
1045,APAF1,Apoptotic Peptidase Activating Factor 1,Protein Coding,8.4,94,APAF1
1046,BAD,BCL2 Associated Agonist Of Cell Death,Protein Coding,8.4,85,BAD
1047,IL4,Interleukin 4,Protein Coding,8.4,87,IL4
1048,EPAS1,Endothelial PAS Domain Protein 1,Protein Coding,8.4,100,EPAS1
1049,MIR455,MicroRNA 455,RNA Gene,8.4,62,MIR455
1050,NR1H4,Nuclear Receptor Subfamily 1 Group H Member 4,Protein Coding,8.4,100,NR1H4
1051,TGFB2,Transforming Growth Factor Beta 2,Protein Coding,8.4,100,TGFB2
1052,DVL2,Dishevelled Segment Polarity Protein 2,Protein Coding,8.4,93,DVL2
1053,DKK4,Dickkopf Wnt Signaling Pathway Inhibitor 4,Protein Coding,8.3,66,DKK4
1054,MSI1,Musashi RNA Binding Protein 1,Protein Coding,8.3,72,MSI1
1055,SOCS3,Suppressor Of Cytokine Signaling 3,Protein Coding,8.3,85,SOCS3
1056,DVL1,Dishevelled Segment Polarity Protein 1,Protein Coding,8.3,100,DVL1
1057,CSK,C-Terminal Src Kinase,Protein Coding,8.3,91,CSK
1058,EIF4E,Eukaryotic Translation Initiation Factor 4E,Protein Coding,8.3,90,EIF4E
1059,SMARCB1,SWI/SNF Related BAF Chromatin Remodeling Complex Subunit B1,Protein Coding,8.3,100,SMARCB1
1060,HDAC6,Histone Deacetylase 6,Protein Coding,8.3,98,HDAC6
1061,GLB1,Galactosidase Beta 1,Protein Coding,8.3,100,GLB1
1062,HOXB8,Homeobox B8,Protein Coding,8.3,67,HOXB8
1063,TK1,Thymidine Kinase 1,Protein Coding,8.3,85,TK1
1064,GATA6,GATA Binding Protein 6,Protein Coding,8.3,95,GATA6
1065,PBK,PDZ Binding Kinase,Protein Coding,8.3,80,PBK
1066,CSNK2A1,Casein Kinase 2 Alpha 1,Protein Coding,8.3,100,CSNK2A1
1067,CFLAR,CASP8 And FADD Like Apoptosis Regulator,Protein Coding,8.3,90,CFLAR
1068,BRD4,Bromodomain Containing 4,Protein Coding,8.2,100,BRD4
1069,HSP90AA1,Heat Shock Protein 90 Alpha Family Class A Member 1,Protein Coding,8.2,92,HSP90AA1
1070,ST6GAL1,"ST6 Beta-Galactoside Alpha-2,6-Sialyltransferase 1",Protein Coding,8.2,80,ST6GAL1
1071,CTNNBIP1,Catenin Beta Interacting Protein 1,Protein Coding,8.2,69,CTNNBIP1
1072,SNORD15A,"Small Nucleolar RNA, C/D Box 15A",RNA Gene,8.2,55,SNORD15A
1073,LAMC2,Laminin Subunit Gamma 2,Protein Coding,8.2,96,LAMC2
1074,AGER,Advanced Glycosylation End-Product Specific Receptor,Protein Coding,8.2,94,AGER
1075,TP73,Tumor Protein P73,Protein Coding,8.2,99,TP73
1076,TBK1,TANK Binding Kinase 1,Protein Coding,8.2,100,TBK1
1077,LOC126862571,BRD4-Independent Group 4 Enhancer GRCh37_chr17:41243136-41244335,Functional Element,8.2,60,LOC126862571
1078,LOC126860305,MED14-Independent Group 3 Enhancer GRCh37_chr8:12947375-12948574,Functional Element,8.1,47,LOC126860305
1079,RCC2,Regulator Of Chromosome Condensation 2,Protein Coding,8.1,74,RCC2
1080,CAV1,Caveolin 1,Protein Coding,8.1,97,CAV1
1081,ITGA6,Integrin Subunit Alpha 6,Protein Coding,8.1,100,ITGA6
1082,LOC126806659,BRD4-Independent Group 4 Enhancer GRCh37_chr3:41274918-41276117,Functional Element,8.1,58,LOC126806659
1083,MAPK9,Mitogen-Activated Protein Kinase 9,Protein Coding,8.1,92,MAPK9
1084,MIR423,MicroRNA 423,RNA Gene,8.1,56,MIR423
1085,CEBPB,CCAAT Enhancer Binding Protein Beta,Protein Coding,8.1,88,CEBPB
1086,AURKB,Aurora Kinase B,Protein Coding,8.1,93,AURKB
1087,PRKCB,Protein Kinase C Beta,Protein Coding,8.1,94,PRKCB
1088,MAP2K3,Mitogen-Activated Protein Kinase Kinase 3,Protein Coding,8.1,96,MAP2K3
1089,CASP2,Caspase 2,Protein Coding,8.1,90,CASP2
1090,THBS2,Thrombospondin 2,Protein Coding,8.1,88,THBS2
1091,TIAM1,TIAM Rac1 Associated GEF 1,Protein Coding,8.1,96,TIAM1
1092,RUVBL1,RuvB Like AAA ATPase 1,Protein Coding,8.1,94,RUVBL1
1093,SLC1A5,Solute Carrier Family 1 Member 5,Protein Coding,8.1,89,SLC1A5
1094,SULT1A1,Sulfotransferase Family 1A Member 1,Protein Coding,8.1,79,SULT1A1
1095,MUC4,"Mucin 4, Cell Surface Associated",Protein Coding,8.1,86,MUC4
1096,MIR124-1,MicroRNA 124-1,RNA Gene,8.1,55,MIR124-1
1097,HPGD,15-Hydroxyprostaglandin Dehydrogenase,Protein Coding,8.1,95,HPGD
1098,HNRNPA1,Heterogeneous Nuclear Ribonucleoprotein A1,Protein Coding,8.1,99,HNRNPA1
1099,USP7,Ubiquitin Specific Peptidase 7,Protein Coding,8.1,100,USP7
1100,CLDN2,Claudin 2,Protein Coding,8.1,68,CLDN2
1101,HSPA8,Heat Shock Protein Family A (Hsp70) Member 8,Protein Coding,8.0,93,HSPA8
1102,MIR22,MicroRNA 22,RNA Gene,8.0,62,MIR22
1103,DKC1,Dyskerin Pseudouridine Synthase 1,Protein Coding,8.0,97,DKC1
1104,ROCK1,Rho Associated Coiled-Coil Containing Protein Kinase 1,Protein Coding,8.0,91,ROCK1
1105,PTGER4,Prostaglandin E Receptor 4,Protein Coding,8.0,86,PTGER4
1106,IGF2BP3,Insulin Like Growth Factor 2 MRNA Binding Protein 3,Protein Coding,8.0,74,IGF2BP3
1107,ITGA2,Integrin Subunit Alpha 2,Protein Coding,8.0,100,ITGA2
1108,PRKCD,Protein Kinase C Delta,Protein Coding,8.0,100,PRKCD
1109,EIF5A2,Eukaryotic Translation Initiation Factor 5A2,Protein Coding,8.0,70,EIF5A2
1110,CDH17,Cadherin 17,Protein Coding,8.0,82,CDH17
1111,HNF1A,HNF1 Homeobox A,Protein Coding,8.0,99,HNF1A
1112,GAPDH,Glyceraldehyde-3-Phosphate Dehydrogenase,Protein Coding,8.0,92,GAPDH
1113,CDC42,Cell Division Cycle 42,Protein Coding,8.0,99,CDC42
1114,FPGS,Folylpolyglutamate Synthase,Protein Coding,8.0,76,FPGS
1115,CASP1,Caspase 1,Protein Coding,7.9,92,CASP1
1116,MMP14,Matrix Metallopeptidase 14,Protein Coding,7.9,100,MMP14
1117,PTTG1,"PTTG1 Regulator Of Sister Chromatid Separation, Securin",Protein Coding,7.9,75,PTTG1
1118,MIR185,MicroRNA 185,RNA Gene,7.9,66,MIR185
1119,MIR144,MicroRNA 144,RNA Gene,7.9,62,MIR144
1120,TIMP2,TIMP Metallopeptidase Inhibitor 2,Protein Coding,7.9,79,TIMP2
1121,PUF60,Poly(U) Binding Splicing Factor 60,Protein Coding,7.9,91,PUF60
1122,NRP1,Neuropilin 1,Protein Coding,7.9,100,NRP1
1123,MIR424,MicroRNA 424,RNA Gene,7.9,63,MIR424
1124,RIPK3,Receptor Interacting Serine/Threonine Kinase 3,Protein Coding,7.9,88,RIPK3
1125,DIABLO,Diablo IAP-Binding Mitochondrial Protein,Protein Coding,7.9,93,DIABLO
1126,CDC25C,Cell Division Cycle 25C,Protein Coding,7.9,90,CDC25C
1127,ATG5,Autophagy Related 5,Protein Coding,7.9,88,ATG5
1128,ITGAV,Integrin Subunit Alpha V,Protein Coding,7.9,95,ITGAV
1129,CEACAM6,CEA Cell Adhesion Molecule 6,Protein Coding,7.9,74,CEACAM6
1130,GZMB,Granzyme B,Protein Coding,7.9,90,GZMB
1131,HOXB6,Homeobox B6,Protein Coding,7.8,68,HOXB6
1132,ICAM1,Intercellular Adhesion Molecule 1,Protein Coding,7.8,95,ICAM1
1133,MIR378A,MicroRNA 378a,RNA Gene,7.8,62,MIR378A
1134,HK2,Hexokinase 2,Protein Coding,7.8,86,HK2
1135,GC,GC Vitamin D Binding Protein,Protein Coding,7.8,82,GC
1136,CSNK1E,Casein Kinase 1 Epsilon,Protein Coding,7.8,90,CSNK1E
1137,THBS1,Thrombospondin 1,Protein Coding,7.8,95,THBS1
1138,ETV4,ETS Variant Transcription Factor 4,Protein Coding,7.8,81,ETV4
1139,CXCL5,C-X-C Motif Chemokine Ligand 5,Protein Coding,7.8,73,CXCL5
1140,TCF3,Transcription Factor 3,Protein Coding,7.8,100,TCF3
1141,EIF4EBP1,Eukaryotic Translation Initiation Factor 4E Binding Protein 1,Protein Coding,7.8,77,EIF4EBP1
1142,SOCS1,Suppressor Of Cytokine Signaling 1,Protein Coding,7.8,89,SOCS1
1143,IGFBP2,Insulin Like Growth Factor Binding Protein 2,Protein Coding,7.8,75,IGFBP2
1144,FOS,"Fos Proto-Oncogene, AP-1 Transcription Factor Subunit",Protein Coding,7.8,93,FOS
1145,YES1,"YES Proto-Oncogene 1, Src Family Tyrosine Kinase",Protein Coding,7.8,91,YES1
1146,TCF7L1,Transcription Factor 7 Like 1,Protein Coding,7.8,80,TCF7L1
1147,ACTB,Actin Beta,Protein Coding,7.7,100,ACTB
1148,CLDN4,Claudin 4,Protein Coding,7.7,71,CLDN4
1149,LGALS1,Galectin 1,Protein Coding,7.7,80,LGALS1
1150,SYNE1,Spectrin Repeat Containing Nuclear Envelope Protein 1,Protein Coding,7.7,93,SYNE1
1151,NR4A1,Nuclear Receptor Subfamily 4 Group A Member 1,Protein Coding,7.7,92,NR4A1
1152,HMGCR,3-Hydroxy-3-Methylglutaryl-CoA Reductase,Protein Coding,7.7,98,HMGCR
1153,ID1,Inhibitor Of DNA Binding 1,Protein Coding,7.7,79,ID1
1154,MIR216A,MicroRNA 216a,RNA Gene,7.7,56,MIR216A
1155,SLC5A8,Solute Carrier Family 5 Member 8,Protein Coding,7.7,76,SLC5A8
1156,CCR5,C-C Motif Chemokine Receptor 5,Protein Coding,7.6,93,CCR5
1157,MIR9-2,MicroRNA 9-2,RNA Gene,7.6,57,MIR9-2
1158,YTHDF2,YTH N6-Methyladenosine RNA Binding Protein F2,Protein Coding,7.6,68,YTHDF2
1159,FYN,"FYN Proto-Oncogene, Src Family Tyrosine Kinase",Protein Coding,7.6,95,FYN
1160,DKK2,Dickkopf Wnt Signaling Pathway Inhibitor 2,Protein Coding,7.6,71,DKK2
1161,MIR338,MicroRNA 338,RNA Gene,7.6,59,MIR338
1162,POSTN,Periostin,Protein Coding,7.6,76,POSTN
1163,CASR,Calcium Sensing Receptor,Protein Coding,7.6,99,CASR
1164,MIR204,MicroRNA 204,RNA Gene,7.6,65,MIR204
1165,IDH2,Isocitrate Dehydrogenase (NADP(+)) 2,Protein Coding,7.6,99,IDH2
1166,HNRNPA2B1,Heterogeneous Nuclear Ribonucleoprotein A2/B1,Protein Coding,7.6,100,HNRNPA2B1
1167,ETS1,"ETS Proto-Oncogene 1, Transcription Factor",Protein Coding,7.6,91,ETS1
1168,FZD1,Frizzled Class Receptor 1,Protein Coding,7.6,81,FZD1
1169,STING1,Stimulator Of Interferon Response CGAMP Interactor 1,Protein Coding,7.6,99,STING1
1170,HNF4A,Hepatocyte Nuclear Factor 4 Alpha,Protein Coding,7.5,100,HNF4A
1171,WNT3,Wnt Family Member 3,Protein Coding,7.5,89,WNT3
1172,CYCS,"Cytochrome C, Somatic",Protein Coding,7.5,88,CYCS
1173,WNT2B,Wnt Family Member 2B,Protein Coding,7.5,86,WNT2B
1174,TGFA,Transforming Growth Factor Alpha,Protein Coding,7.5,89,TGFA
1175,CYP2C9,Cytochrome P450 Family 2 Subfamily C Member 9,Protein Coding,7.5,93,CYP2C9
1176,POLB,DNA Polymerase Beta,Protein Coding,7.5,85,POLB
1177,SUZ12,SUZ12 Polycomb Repressive Complex 2 Subunit,Protein Coding,7.5,93,SUZ12
1178,RARB,Retinoic Acid Receptor Beta,Protein Coding,7.5,99,RARB
1179,OCLN,Occludin,Protein Coding,7.5,94,OCLN
1180,NLK,Nemo Like Kinase,Protein Coding,7.5,80,NLK
1181,MIR29B1,MicroRNA 29b-1,RNA Gene,7.5,71,MIR29B1
1182,MIR133A1,MicroRNA 133a-1,RNA Gene,7.5,67,MIR133A1
1183,FUT1,Fucosyltransferase 1 (H Blood Group),Protein Coding,7.5,79,FUT1
1184,ABCC3,ATP Binding Cassette Subfamily C Member 3,Protein Coding,7.5,92,ABCC3
1185,ACLY,ATP Citrate Lyase,Protein Coding,7.5,89,ACLY
1186,PIK3CD,"Phosphatidylinositol-4,5-Bisphosphate 3-Kinase Catalytic Subunit Delta",Protein Coding,7.5,100,PIK3CD
1187,RECQL4,RecQ Like Helicase 4,Protein Coding,7.5,91,RECQL4
1188,IQGAP1,IQ Motif Containing GTPase Activating Protein 1,Protein Coding,7.4,90,IQGAP1
1189,HNRNPU,Heterogeneous Nuclear Ribonucleoprotein U,Protein Coding,7.4,99,HNRNPU
1190,CDK12,Cyclin Dependent Kinase 12,Protein Coding,7.4,97,CDK12
1191,HDAC9,Histone Deacetylase 9,Protein Coding,7.4,94,HDAC9
1192,MAP1LC3B,Microtubule Associated Protein 1 Light Chain 3 Beta,Protein Coding,7.4,83,MAP1LC3B
1193,STAT6,Signal Transducer And Activator Of Transcription 6,Protein Coding,7.4,99,STAT6
1194,PTPN11,Protein Tyrosine Phosphatase Non-Receptor Type 11,Protein Coding,7.4,100,PTPN11
1195,MIR200A,MicroRNA 200a,RNA Gene,7.4,63,MIR200A
1196,CHGA,Chromogranin A,Protein Coding,7.4,73,CHGA
1197,KRT8,Keratin 8,Protein Coding,7.3,90,KRT8
1198,LOC126806658,BRD4-Independent Group 4 Enhancer GRCh37_chr3:41265899-41267098,Functional Element,7.3,58,LOC126806658
1199,DVL3,Dishevelled Segment Polarity Protein 3,Protein Coding,7.3,100,DVL3
1200,GADD45A,Growth Arrest And DNA Damage Inducible Alpha,Protein Coding,7.3,85,GADD45A
1201,TRA-TGC7-1,TRNA-Ala (Anticodon TGC) 7-1,RNA Gene,7.3,50,TRA-TGC7-1
1202,IL1RN,Interleukin 1 Receptor Antagonist,Protein Coding,7.3,97,IL1RN
1203,SHH,Sonic Hedgehog Signaling Molecule,Protein Coding,7.3,100,SHH
1204,CTTN,Cortactin,Protein Coding,7.3,87,CTTN
1205,XAF1,XIAP Associated Factor 1,Protein Coding,7.3,70,XAF1
1206,SFRP5,Secreted Frizzled Related Protein 5,Protein Coding,7.3,63,SFRP5
1207,MYD88,MYD88 Innate Immune Signal Transduction Adaptor,Protein Coding,7.3,99,MYD88
1208,TIMP3,TIMP Metallopeptidase Inhibitor 3,Protein Coding,7.3,89,TIMP3
1209,EIF2AK3,Eukaryotic Translation Initiation Factor 2 Alpha Kinase 3,Protein Coding,7.3,100,EIF2AK3
1210,CD9,CD9 Molecule,Protein Coding,7.3,85,CD9
1211,IRF1,Interferon Regulatory Factor 1,Protein Coding,7.3,92,IRF1
1212,WTAP,WT1 Associated Protein,Protein Coding,7.2,65,WTAP
1213,IL2RA,Interleukin 2 Receptor Subunit Alpha,Protein Coding,7.2,100,IL2RA
1214,TET1,Tet Methylcytosine Dioxygenase 1,Protein Coding,7.2,78,TET1
1215,CCN2,Cellular Communication Network Factor 2,Protein Coding,7.2,87,CCN2
1216,FZD4,Frizzled Class Receptor 4,Protein Coding,7.2,95,FZD4
1217,ADAM10,ADAM Metallopeptidase Domain 10,Protein Coding,7.2,100,ADAM10
1218,LRP5,LDL Receptor Related Protein 5,Protein Coding,7.2,100,LRP5
1219,ACVR2A,Activin A Receptor Type 2A,Protein Coding,7.2,83,ACVR2A
1220,SERPINA1,Serpin Family A Member 1,Protein Coding,7.2,100,SERPINA1
1221,IGFBP6,Insulin Like Growth Factor Binding Protein 6,Protein Coding,7.2,73,IGFBP6
1222,EZR,Ezrin,Protein Coding,7.2,92,EZR
1223,DLK1,Delta Like Non-Canonical Notch Ligand 1,Protein Coding,7.2,87,DLK1
1224,BIRC2,Baculoviral IAP Repeat Containing 2,Protein Coding,7.2,92,BIRC2
1225,EEF1A1,Eukaryotic Translation Elongation Factor 1 Alpha 1,Protein Coding,7.2,89,EEF1A1
1226,PDCD1LG2,Programmed Cell Death 1 Ligand 2,Protein Coding,7.2,75,PDCD1LG2
1227,CCND3,Cyclin D3,Protein Coding,7.2,88,CCND3
1228,LOC129933708,ATAC-STARR-Seq Lymphoblastoid Silent Region 11469,Functional Element,7.1,48,LOC129933708
1229,S100A9,S100 Calcium Binding Protein A9,Protein Coding,7.1,85,S100A9
1230,AKR1B1,Aldo-Keto Reductase Family 1 Member B,Protein Coding,7.1,88,AKR1B1
1231,CTBP1,C-Terminal Binding Protein 1,Protein Coding,7.1,100,CTBP1
1232,BRF1,BRF1 General Transcription Factor IIIB Subunit,Protein Coding,7.1,90,BRF1
1233,LRRFIP2,LRR Binding FLII Interacting Protein 2,Protein Coding,7.1,64,LRRFIP2
1234,NUMB,NUMB Endocytic Adaptor Protein,Protein Coding,7.1,88,NUMB
1235,MMP11,Matrix Metallopeptidase 11,Protein Coding,7.1,75,MMP11
1236,CSE1L,Chromosome Segregation 1 Like,Protein Coding,7.1,74,CSE1L
1237,CD8A,CD8 Subunit Alpha,Protein Coding,7.1,94,CD8A
1238,RBBP4,"RB Binding Protein 4, Chromatin Remodeling Factor",Protein Coding,7.1,87,RBBP4
1239,MTRR,5-Methyltetrahydrofolate-Homocysteine Methyltransferase Reductase,Protein Coding,7.1,98,MTRR
1240,SPHK1,Sphingosine Kinase 1,Protein Coding,7.1,89,SPHK1
1241,GSR,Glutathione-Disulfide Reductase,Protein Coding,7.1,98,GSR
