ChemicalName,ChemicalID,CasRN,GeneSymbol,GeneID,GeneForms,Organism,OrganismID,Interaction,InteractionActions,PubMedIDs,multi_chemical_co_treatment_flag,single_chemical_record_flag,normalized_gene_symbol
diisononyl phthalate,C012125,28553-12-0,ABCC4,10257,mRNA,Homo sapiens,9606,[diethyl phthalate co-treated with Diethylhexyl Phthalate co-treated with Dibutyl Phthalate co-treated with diisononyl phthalate co-treated with diisobutyl phthalate co-treated with butylbenzyl phthalate co-treated with CGA protein] results in decreased expression of ABCC4 mRNA,affects^cotreatment|decreases^expression,40456493,true,false,ABCC4
diisononyl phthalate,C012125,28553-12-0,ABCC4,10257,mRNA,Homo sapiens,9606,[diethyl phthalate co-treated with Diethylhexyl Phthalate co-treated with Dibutyl Phthalate co-treated with diisononyl phthalate co-treated with diisobutyl phthalate co-treated with butylbenzyl phthalate] inhibits the reaction [CGA protein results in increased expression of ABCC4 mRNA],affects^cotreatment|decreases^reaction|increases^expression,40456493,true,false,ABCC4
diisononyl phthalate,C012125,28553-12-0,ADAMTS1,9510,mRNA,Homo sapiens,9606,[diethyl phthalate co-treated with Diethylhexyl Phthalate co-treated with Dibutyl Phthalate co-treated with diisononyl phthalate co-treated with diisobutyl phthalate co-treated with butylbenzyl phthalate] affects the reaction [CGA protein affects the expression of ADAMTS1 mRNA],affects^cotreatment|affects^expression|affects^reaction,37552060,true,false,ADAMTS1
diisononyl phthalate,C012125,28553-12-0,AHSG,197,mRNA,Homo sapiens,9606,[Diethylhexyl Phthalate co-treated with diisononyl phthalate co-treated with butylbenzyl phthalate co-treated with lead nitrate co-treated with Mercury] results in decreased expression of AHSG mRNA,affects^cotreatment|decreases^expression,32949613,true,false,AHSG
diisononyl phthalate,C012125,28553-12-0,AKR1C1,1645,mRNA,Homo sapiens,9606,8-Bromo Cyclic Adenosine Monophosphate affects the reaction [[diethyl phthalate co-treated with Diethylhexyl Phthalate co-treated with Dibutyl Phthalate co-treated with diisononyl phthalate co-treated with diisobutyl phthalate co-treated with butylbenzyl phthalate] affects the reaction [CGA protein affects the expression of AKR1C1 mRNA]],affects^cotreatment|affects^expression|affects^reaction,40456493,true,false,AKR1C1
diisononyl phthalate,C012125,28553-12-0,AKR1C1,1645,mRNA,Homo sapiens,9606,[diethyl phthalate co-treated with Diethylhexyl Phthalate co-treated with Dibutyl Phthalate co-treated with diisononyl phthalate co-treated with diisobutyl phthalate co-treated with butylbenzyl phthalate] affects the reaction [CGA protein affects the expression of AKR1C1 mRNA],affects^cotreatment|affects^expression|affects^reaction,40456493,true,false,AKR1C1
diisononyl phthalate,C012125,28553-12-0,AKR1C3,8644,mRNA,Homo sapiens,9606,8-Bromo Cyclic Adenosine Monophosphate inhibits the reaction [[diethyl phthalate co-treated with Diethylhexyl Phthalate co-treated with Dibutyl Phthalate co-treated with diisononyl phthalate co-treated with diisobutyl phthalate co-treated with butylbenzyl phthalate] inhibits the reaction [CGA protein results in decreased expression of AKR1C3 mRNA]],affects^cotreatment|decreases^expression|decreases^reaction,40456493,true,false,AKR1C3
diisononyl phthalate,C012125,28553-12-0,AKR1C3,8644,mRNA,Homo sapiens,9606,[diethyl phthalate co-treated with Diethylhexyl Phthalate co-treated with Dibutyl Phthalate co-treated with diisononyl phthalate co-treated with diisobutyl phthalate co-treated with butylbenzyl phthalate] inhibits the reaction [CGA protein results in decreased expression of AKR1C3 mRNA],affects^cotreatment|decreases^expression|decreases^reaction,40456493,true,false,AKR1C3
diisononyl phthalate,C012125,28553-12-0,ATF4,468,protein,Homo sapiens,9606,ATF4 protein promotes the reaction [diisononyl phthalate results in increased expression of ATG5 protein],increases^expression|increases^reaction,37976928,false,true,ATF4
diisononyl phthalate,C012125,28553-12-0,ATF4,468,protein,Homo sapiens,9606,ATF4 protein promotes the reaction [diisononyl phthalate results in increased expression of BECN1 protein],increases^expression|increases^reaction,37976928,false,true,ATF4
diisononyl phthalate,C012125,28553-12-0,ATF4,468,protein,Homo sapiens,9606,ATF4 protein promotes the reaction [diisononyl phthalate results in increased expression of DDIT4 protein],increases^expression|increases^reaction,37976928,false,true,ATF4
diisononyl phthalate,C012125,28553-12-0,ATF4,468,protein,Homo sapiens,9606,ATF4 protein promotes the reaction [diisononyl phthalate results in increased expression of MAP1LC3B protein],increases^expression|increases^reaction,37976928,false,true,ATF4
diisononyl phthalate,C012125,28553-12-0,ATF4,468,protein,Homo sapiens,9606,ATF4 protein promotes the reaction [diisononyl phthalate results in increased expression of SQSTM1 protein],increases^expression|increases^reaction,37976928,false,true,ATF4
diisononyl phthalate,C012125,28553-12-0,ATG5,9474,protein,Homo sapiens,9606,ATF4 protein promotes the reaction [diisononyl phthalate results in increased expression of ATG5 protein],increases^expression|increases^reaction,37976928,false,true,ATG5
diisononyl phthalate,C012125,28553-12-0,ATG5,9474,protein,Homo sapiens,9606,DDIT4 protein promotes the reaction [diisononyl phthalate results in increased expression of ATG5 protein],increases^expression|increases^reaction,37976928,false,true,ATG5
diisononyl phthalate,C012125,28553-12-0,ATG5,9474,protein,Homo sapiens,9606,diisononyl phthalate results in increased expression of ATG5 protein,increases^expression,37976928,false,true,ATG5
diisononyl phthalate,C012125,28553-12-0,BECN1,8678,protein,Homo sapiens,9606,ATF4 protein promotes the reaction [diisononyl phthalate results in increased expression of BECN1 protein],increases^expression|increases^reaction,37976928,false,true,BECN1
diisononyl phthalate,C012125,28553-12-0,BECN1,8678,protein,Homo sapiens,9606,DDIT4 protein promotes the reaction [diisononyl phthalate results in increased expression of BECN1 protein],increases^expression|increases^reaction,37976928,false,true,BECN1
diisononyl phthalate,C012125,28553-12-0,BECN1,8678,protein,Homo sapiens,9606,diisononyl phthalate results in increased expression of BECN1 protein,increases^expression,37976928,false,true,BECN1
diisononyl phthalate,C012125,28553-12-0,C4BPA,722,mRNA,Homo sapiens,9606,[Diethylhexyl Phthalate co-treated with diisononyl phthalate co-treated with butylbenzyl phthalate co-treated with lead nitrate co-treated with Mercury] results in decreased expression of C4BPA mRNA,affects^cotreatment|decreases^expression,32949613,true,false,C4BPA
diisononyl phthalate,C012125,28553-12-0,CA5B,11238,gene,Homo sapiens,9606,diisononyl phthalate metabolite results in increased methylation of CA5B gene,increases^methylation,35032864,false,true,CA5B
diisononyl phthalate,C012125,28553-12-0,CA9,768,mRNA,Homo sapiens,9606,[Diethylhexyl Phthalate co-treated with diisononyl phthalate co-treated with butylbenzyl phthalate co-treated with lead nitrate co-treated with Mercury] results in decreased expression of CA9 mRNA,affects^cotreatment|decreases^expression,32949613,true,false,CA9
diisononyl phthalate,C012125,28553-12-0,CADM3,57863,mRNA,Homo sapiens,9606,[Diethylhexyl Phthalate co-treated with diisononyl phthalate co-treated with butylbenzyl phthalate co-treated with lead nitrate co-treated with Mercury] results in decreased expression of CADM3 mRNA,affects^cotreatment|decreases^expression,32949613,true,false,CADM3
diisononyl phthalate,C012125,28553-12-0,CASP14,23581,mRNA,Homo sapiens,9606,[Diethylhexyl Phthalate co-treated with diisononyl phthalate co-treated with butylbenzyl phthalate co-treated with lead nitrate co-treated with Mercury] results in decreased expression of CASP14 mRNA,affects^cotreatment|decreases^expression,32949613,true,false,CASP14
diisononyl phthalate,C012125,28553-12-0,CCL20,6364,mRNA,Homo sapiens,9606,[Diethylhexyl Phthalate co-treated with diisononyl phthalate co-treated with butylbenzyl phthalate co-treated with lead nitrate co-treated with Mercury] results in decreased expression of CCL20 mRNA,affects^cotreatment|decreases^expression,32949613,true,false,CCL20
