background,source,term_id,term_name,effective_domain_size,term_size,query_size,intersection_size,raw_p_hypergeom,gprofiler_fdr,tested_term_family_size,BH_FDR_all_GO_KEGG,BH_FDR_within_source
descriptive_annotated_genome,GO:BP,GO:0009893,positive regulation of metabolic process,20972,3410,79,39,8.369790296039735e-12,9.4113641995469e-10,24546,9.680400988278427e-09,7.60906935579968e-09
descriptive_annotated_genome,GO:BP,GO:0001516,prostaglandin biosynthetic process,20972,28,79,7,9.109997790857184e-12,9.877840461800858e-10,24546,1.0235472946504798e-08,7.986214491942159e-09
descriptive_annotated_genome,GO:BP,GO:0006636,unsaturated fatty acid biosynthetic process,20972,49,79,8,1.121761345218611e-11,1.1743680841667969e-09,24546,1.2253373094271295e-08,9.494742751633114e-09
descriptive_annotated_genome,GO:BP,GO:0006629,lipid metabolic process,20972,1369,79,25,1.5356627481480144e-11,1.5540907011257812e-09,24546,1.6321189704911494e-08,1.2564792605347053e-08
descriptive_annotated_genome,GO:BP,GO:1901654,response to ketone,20972,205,79,12,1.5895080176701468e-11,1.5566923682730923e-09,24546,1.6448898233384435e-08,1.2585827032816588e-08
descriptive_annotated_genome,GO:BP,GO:0006631,fatty acid metabolic process,20972,396,79,15,1.9086307203291264e-11,1.810813395912261e-09,24546,1.92448703708263e-08,1.4640390519124605e-08
descriptive_annotated_genome,GO:BP,GO:0046456,icosanoid biosynthetic process,20972,57,79,8,4.01223093175555e-11,3.691252457215094e-09,24546,3.944424229008881e-08,2.9843703166930825e-08
descriptive_annotated_genome,GO:BP,GO:0019752,carboxylic acid metabolic process,20972,863,79,20,4.157774391967495e-11,3.712647957062752e-09,24546,3.9878126875543847e-08,3.001668536036298e-08
descriptive_annotated_genome,GO:BP,GO:0032101,regulation of response to external stimulus,20972,1092,79,22,5.4011149710352796e-11,4.638598467526348e-09,24546,5.030101465309456e-08,3.7502976938043865e-08
descriptive_annotated_genome,GO:BP,GO:0009755,hormone-mediated signaling pathway,20972,228,79,12,5.500314388371137e-11,4.638598467526348e-09,24546,5.030101465309456e-08,3.7502976938043865e-08
descriptive_annotated_genome,GO:BP,GO:0034694,response to prostaglandin,20972,36,79,7,6.269934473121676e-11,5.144735421729038e-09,24546,5.603611436841745e-08,4.1595084210066126e-08
descriptive_annotated_genome,GO:BP,GO:0043436,oxoacid metabolic process,20972,885,79,20,6.507164408151103e-11,5.198881879775502e-09,24546,5.686394070802978e-08,4.203285725328341e-08
descriptive_annotated_genome,GO:BP,GO:0009888,tissue development,20972,2014,79,29,7.08275519083738e-11,5.513652502405735e-09,24546,6.054831850532372e-08,4.4577771516485725e-08
descriptive_annotated_genome,GO:BP,GO:0006082,organic acid metabolic process,20972,892,79,20,7.483753078224857e-11,5.680168586372679e-09,24546,6.26151289464073e-08,4.5924050764526834e-08
descriptive_annotated_genome,GO:BP,GO:0008610,lipid biosynthetic process,20972,717,79,18,1.2880769274470143e-10,9.35949018899896e-09,24546,1.0391095205877846e-07,7.567129320789438e-08
descriptive_annotated_genome,GO:BP,GO:0048519,negative regulation of biological process,20972,5753,79,49,1.2947911328654625e-10,9.35949018899896e-09,24546,1.0391095205877846e-07,7.567129320789438e-08
descriptive_annotated_genome,GO:BP,GO:0048545,response to steroid hormone,20972,312,79,13,1.4922253085261466e-10,1.0535804736477611e-08,24546,1.1736053606496438e-07,8.518177307693673e-08
descriptive_annotated_genome,GO:BP,GO:0031669,cellular response to nutrient levels,20972,250,79,12,1.597651739782949e-10,1.1023797004502346e-08,24546,1.2318834708867587e-07,8.912718091980061e-08
descriptive_annotated_genome,GO:BP,GO:0071379,cellular response to prostaglandin stimulus,20972,22,79,6,1.6743236062923562e-10,1.1296103263785762e-08,24546,1.266175028727704e-07,9.132877164456039e-08
descriptive_annotated_genome,GO:BP,GO:0031347,regulation of defense response,20972,831,79,19,1.7594768212578182e-10,1.16125470203016e-08,24546,1.3054654060215555e-07,9.388721316216175e-08
descriptive_annotated_genome,GO:BP,GO:0050727,regulation of inflammatory response,20972,395,79,14,2.3038349397155028e-10,1.4627461519705071e-08,24546,1.657803062255501e-07,1.1826273730654786e-07
