background,source,term_id,term_name,effective_domain_size,term_size,query_size,intersection_size,raw_p_hypergeom,gprofiler_fdr,tested_term_family_size,BH_FDR_all_GO_KEGG,BH_FDR_within_source
sensitivity_crc_union,GO:BP,GO:0045841,negative regulation of mitotic metaphase/anaphase transition,16307,49,81,1,0.21679407804551187,0.283945996956935,24546,1.0,1.0
sensitivity_crc_union,GO:BP,GO:0035850,epithelial cell differentiation involved in kidney development,16307,49,81,1,0.21679407804551187,0.283945996956935,24546,1.0,1.0
sensitivity_crc_union,GO:BP,GO:0046605,regulation of centrosome cycle,16307,49,81,1,0.21679407804551187,0.283945996956935,24546,1.0,1.0
sensitivity_crc_union,GO:BP,GO:0033048,negative regulation of mitotic sister chromatid segregation,16307,49,81,1,0.21679407804551187,0.283945996956935,24546,1.0,1.0
sensitivity_crc_union,GO:BP,GO:0045668,negative regulation of osteoblast differentiation,16307,49,81,1,0.21679407804551187,0.283945996956935,24546,1.0,1.0
sensitivity_crc_union,GO:BP,GO:0072594,establishment of protein localization to organelle,16307,324,81,3,0.2177672244704656,0.2850975823597815,24546,1.0,1.0
sensitivity_crc_union,GO:BP,GO:0070925,organelle assembly,16307,816,81,6,0.21891143608792618,0.2864720344667862,24546,1.0,1.0
sensitivity_crc_union,GO:MF,GO:0017171,serine hydrolase activity,16307,177,81,2,0.21954699506933484,0.28377896964597465,10123,1.0,1.0
sensitivity_crc_union,GO:BP,GO:0009306,protein secretion,16307,326,81,3,0.22036649495168364,0.2881864399579965,24546,1.0,1.0
sensitivity_crc_union,GO:MF,GO:0070888,E-box binding,16307,50,81,1,0.2206961373196117,0.2845818612805522,10123,1.0,1.0
sensitivity_crc_union,GO:BP,GO:0042088,T-helper 1 type immune response,16307,50,81,1,0.2206961373196117,0.2881864399579965,24546,1.0,1.0
sensitivity_crc_union,GO:BP,GO:0048146,positive regulation of fibroblast proliferation,16307,50,81,1,0.2206961373196117,0.2881864399579965,24546,1.0,1.0
sensitivity_crc_union,GO:BP,GO:0098926,postsynaptic signal transduction,16307,50,81,1,0.2206961373196117,0.2881864399579965,24546,1.0,1.0
sensitivity_crc_union,GO:BP,GO:0071320,cellular response to cAMP,16307,50,81,1,0.2206961373196117,0.2881864399579965,24546,1.0,1.0
sensitivity_crc_union,GO:BP,GO:0071692,protein localization to extracellular region,16307,328,81,3,0.22297232981002374,0.2909084629579852,24546,1.0,1.0
sensitivity_crc_union,GO:BP,GO:0006644,phospholipid metabolic process,16307,328,81,3,0.22297232981002374,0.2909084629579852,24546,1.0,1.0
sensitivity_crc_union,GO:BP,GO:0035592,establishment of protein localization to extracellular region,16307,329,81,3,0.22427765156848745,0.2916261026484789,24546,1.0,1.0
sensitivity_crc_union,GO:MF,GO:0015485,cholesterol binding,16307,51,81,1,0.22457899472731993,0.2875251262660938,10123,1.0,1.0
sensitivity_crc_union,GO:MF,GO:0016836,hydro-lyase activity,16307,51,81,1,0.22457899472731993,0.2875251262660938,10123,1.0,1.0
sensitivity_crc_union,GO:MF,GO:0008374,O-acyltransferase activity,16307,51,81,1,0.22457899472731993,0.2875251262660938,10123,1.0,1.0
sensitivity_crc_union,GO:BP,GO:1905819,negative regulation of chromosome separation,16307,51,81,1,0.22457899472731993,0.2916261026484789,24546,1.0,1.0
sensitivity_crc_union,GO:BP,GO:0043368,positive T cell selection,16307,51,81,1,0.22457899472731993,0.2916261026484789,24546,1.0,1.0
sensitivity_crc_union,GO:BP,GO:1902100,negative regulation of metaphase/anaphase transition of cell cycle,16307,51,81,1,0.22457899472731993,0.2916261026484789,24546,1.0,1.0
sensitivity_crc_union,GO:BP,GO:0003197,endocardial cushion development,16307,51,81,1,0.22457899472731993,0.2916261026484789,24546,1.0,1.0
sensitivity_crc_union,GO:BP,GO:0051985,negative regulation of chromosome segregation,16307,51,81,1,0.22457899472731993,0.2916261026484789,24546,1.0,1.0
sensitivity_crc_union,GO:BP,GO:0006984,ER-nucleus signaling pathway,16307,51,81,1,0.22457899472731993,0.2916261026484789,24546,1.0,1.0
sensitivity_crc_union,GO:BP,GO:1903351,cellular response to dopamine,16307,51,81,1,0.22457899472731993,0.2916261026484789,24546,1.0,1.0
sensitivity_crc_union,GO:BP,GO:0010543,regulation of platelet activation,16307,51,81,1,0.22457899472731993,0.2916261026484789,24546,1.0,1.0
sensitivity_crc_union,GO:BP,GO:1904356,regulation of telomere maintenance via telomere lengthening,16307,51,81,1,0.22457899472731993,0.2916261026484789,24546,1.0,1.0
sensitivity_crc_union,GO:BP,GO:0070897,transcription preinitiation complex assembly,16307,51,81,1,0.22457899472731993,0.2916261026484789,24546,1.0,1.0
sensitivity_crc_union,KEGG,KEGG:04961,Endocrine and other factor-regulated calcium reabsorption,16307,51,81,1,0.22457899472731993,0.3377127740260451,586,1.0,0.9894984278963118
sensitivity_crc_union,GO:CC,GO:0000421,autophagosome membrane,16307,51,81,1,0.22457899472731993,0.3687689174783834,4069,1.0,1.0
sensitivity_crc_union,GO:BP,GO:0034284,response to monosaccharide,16307,180,81,2,0.22502981371272462,0.2920865816296849,24546,1.0,1.0
