background,source,term_id,term_name,effective_domain_size,term_size,query_size,intersection_size,raw_p_hypergeom,gprofiler_fdr,tested_term_family_size,BH_FDR_all_GO_KEGG,BH_FDR_within_source
primary_dinp_exposure_universe,GO:BP,GO:0006952,defense response,93,32,81,32,0.00418181291368864,0.36274240017024917,24546,1.0,1.0
primary_dinp_exposure_universe,GO:BP,GO:0051239,regulation of multicellular organismal process,93,32,81,32,0.00418181291368864,0.36274240017024917,24546,1.0,1.0
primary_dinp_exposure_universe,GO:BP,GO:0009719,response to endogenous stimulus,93,32,81,32,0.00418181291368864,0.36274240017024917,24546,1.0,1.0
primary_dinp_exposure_universe,GO:BP,GO:0010604,positive regulation of macromolecule metabolic process,93,32,81,32,0.00418181291368864,0.36274240017024917,24546,1.0,1.0
primary_dinp_exposure_universe,GO:BP,GO:0065008,regulation of biological quality,93,32,81,32,0.00418181291368864,0.36274240017024917,24546,1.0,1.0
primary_dinp_exposure_universe,GO:CC,GO:0012505,endomembrane system,93,31,81,31,0.005185448012973915,0.24976574595824372,4069,1.0,1.0
primary_dinp_exposure_universe,GO:BP,GO:0008283,cell population proliferation,93,31,81,31,0.005185448012973915,0.4142900044049688,24546,1.0,1.0
primary_dinp_exposure_universe,GO:BP,GO:0009891,positive regulation of biosynthetic process,93,31,81,31,0.005185448012973915,0.4142900044049688,24546,1.0,1.0
primary_dinp_exposure_universe,GO:BP,GO:1901700,response to oxygen-containing compound,93,31,81,31,0.005185448012973915,0.4142900044049688,24546,1.0,1.0
primary_dinp_exposure_universe,GO:BP,GO:0042127,regulation of cell population proliferation,93,30,81,30,0.0064055534277913054,0.454720748522463,24546,1.0,1.0
primary_dinp_exposure_universe,GO:BP,GO:0006810,transport,93,30,81,30,0.0064055534277913054,0.454720748522463,24546,1.0,1.0
primary_dinp_exposure_universe,GO:BP,GO:0035556,intracellular signal transduction,93,30,81,30,0.0064055534277913054,0.454720748522463,24546,1.0,1.0
primary_dinp_exposure_universe,GO:BP,GO:0051234,establishment of localization,93,30,81,30,0.0064055534277913054,0.454720748522463,24546,1.0,1.0
primary_dinp_exposure_universe,GO:BP,GO:0060255,regulation of macromolecule metabolic process,93,41,81,40,0.006440379508058606,0.454720748522463,24546,1.0,1.0
primary_dinp_exposure_universe,GO:MF,GO:0036094,small molecule binding,93,41,81,40,0.006440379508058606,0.8580252995113259,10123,1.0,1.0
primary_dinp_exposure_universe,GO:BP,GO:0023051,regulation of signaling,93,29,81,29,0.007883758064973915,0.5203280322882788,24546,1.0,1.0
primary_dinp_exposure_universe,GO:BP,GO:0009888,tissue development,93,29,81,29,0.007883758064973915,0.5203280322882788,24546,1.0,1.0
primary_dinp_exposure_universe,GO:BP,GO:0010646,regulation of cell communication,93,29,81,29,0.007883758064973915,0.5203280322882788,24546,1.0,1.0
primary_dinp_exposure_universe,GO:MF,GO:0043167,ion binding,93,40,81,39,0.007959418362813785,0.8580252995113259,10123,1.0,1.0
primary_dinp_exposure_universe,GO:CC,GO:0005615,extracellular space,93,28,81,28,0.009668759891005746,0.3991816583572371,4069,1.0,1.0
primary_dinp_exposure_universe,GO:BP,GO:0009966,regulation of signal transduction,93,28,81,28,0.009668759891005746,0.5824902028584298,24546,1.0,1.0
primary_dinp_exposure_universe,GO:BP,GO:0009725,response to hormone,93,28,81,28,0.009668759891005746,0.5824902028584298,24546,1.0,1.0
primary_dinp_exposure_universe,GO:BP,GO:0071495,cellular response to endogenous stimulus,93,28,81,28,0.009668759891005746,0.5824902028584298,24546,1.0,1.0
primary_dinp_exposure_universe,GO:BP,GO:0010557,positive regulation of macromolecule biosynthetic process,93,28,81,28,0.009668759891005746,0.5824902028584298,24546,1.0,1.0
primary_dinp_exposure_universe,GO:BP,GO:0009889,regulation of biosynthetic process,93,39,81,38,0.009784914474894572,0.5824902028584298,24546,1.0,1.0
primary_dinp_exposure_universe,GO:CC,GO:0031982,vesicle,93,27,81,27,0.011817373200118133,0.4269026068542673,4069,1.0,1.0
primary_dinp_exposure_universe,GO:BP,GO:0019219,regulation of nucleobase-containing compound metabolic process,93,27,81,27,0.011817373200118133,0.6523190006465206,24546,1.0,1.0
primary_dinp_exposure_universe,GO:BP,GO:0008219,cell death,93,27,81,27,0.011817373200118133,0.6523190006465206,24546,1.0,1.0
primary_dinp_exposure_universe,GO:BP,GO:0033993,response to lipid,93,27,81,27,0.011817373200118133,0.6523190006465206,24546,1.0,1.0
primary_dinp_exposure_universe,GO:BP,GO:0019538,protein metabolic process,93,27,81,27,0.011817373200118133,0.6523190006465206,24546,1.0,1.0
primary_dinp_exposure_universe,GO:CC,GO:0005886,plasma membrane,93,26,81,26,0.014395709171052994,0.46226221671492396,4069,1.0,1.0
primary_dinp_exposure_universe,GO:BP,GO:0006915,apoptotic process,93,26,81,26,0.014395709171052994,0.7535409145399464,24546,1.0,1.0
primary_dinp_exposure_universe,GO:BP,GO:0012501,programmed cell death,93,26,81,26,0.014395709171052994,0.7535409145399464,24546,1.0,1.0
primary_dinp_exposure_universe,GO:BP,GO:1901701,cellular response to oxygen-containing compound,93,26,81,26,0.014395709171052994,0.7535409145399464,24546,1.0,1.0
primary_dinp_exposure_universe,GO:BP,GO:0006629,lipid metabolic process,93,25,81,25,0.017480503993421496,0.863926227018044,24546,1.0,1.0
primary_dinp_exposure_universe,GO:BP,GO:0051252,regulation of RNA metabolic process,93,25,81,25,0.017480503993421496,0.863926227018044,24546,1.0,1.0
primary_dinp_exposure_universe,GO:BP,GO:0006954,inflammatory response,93,25,81,25,0.017480503993421496,0.863926227018044,24546,1.0,1.0
primary_dinp_exposure_universe,GO:MF,GO:0019899,enzyme binding,93,25,81,25,0.017480503993421496,0.8774796502864035,10123,1.0,1.0
primary_dinp_exposure_universe,GO:BP,GO:0009605,response to external stimulus,93,36,81,35,0.01764276221183095,0.863926227018044,24546,1.0,1.0
primary_dinp_exposure_universe,GO:CC,GO:0005654,nucleoplasm,93,24,81,24,0.021160610097299703,0.6115416318119606,4069,1.0,1.0
primary_dinp_exposure_universe,GO:BP,GO:0044281,small molecule metabolic process,93,24,81,24,0.021160610097299703,0.8764527890341827,24546,1.0,1.0
primary_dinp_exposure_universe,GO:BP,GO:0042981,regulation of apoptotic process,93,24,81,24,0.021160610097299703,0.8764527890341827,24546,1.0,1.0
primary_dinp_exposure_universe,GO:BP,GO:0043067,regulation of programmed cell death,93,24,81,24,0.021160610097299703,0.8764527890341827,24546,1.0,1.0
primary_dinp_exposure_universe,GO:BP,GO:0032870,cellular response to hormone stimulus,93,24,81,24,0.021160610097299703,0.8764527890341827,24546,1.0,1.0
primary_dinp_exposure_universe,GO:BP,GO:0048584,positive regulation of response to stimulus,93,24,81,24,0.021160610097299703,0.8764527890341827,24546,1.0,1.0
primary_dinp_exposure_universe,GO:BP,GO:0048585,negative regulation of response to stimulus,93,24,81,24,0.021160610097299703,0.8764527890341827,24546,1.0,1.0
primary_dinp_exposure_universe,GO:BP,GO:0006351,DNA-templated transcription,93,24,81,24,0.021160610097299703,0.8764527890341827,24546,1.0,1.0
primary_dinp_exposure_universe,GO:BP,GO:0006355,regulation of DNA-templated transcription,93,24,81,24,0.021160610097299703,0.8764527890341827,24546,1.0,1.0
primary_dinp_exposure_universe,GO:BP,GO:2001141,regulation of RNA biosynthetic process,93,24,81,24,0.021160610097299703,0.8764527890341827,24546,1.0,1.0
primary_dinp_exposure_universe,GO:BP,GO:0009056,catabolic process,93,24,81,24,0.021160610097299703,0.8764527890341827,24546,1.0,1.0
primary_dinp_exposure_universe,GO:BP,GO:0010556,regulation of macromolecule biosynthetic process,93,35,81,34,0.02127089189306744,0.8764527890341827,24546,1.0,1.0
primary_dinp_exposure_universe,GO:BP,GO:0050793,regulation of developmental process,93,23,81,23,0.025538667358809993,0.8764527890341827,24546,1.0,1.0
primary_dinp_exposure_universe,GO:BP,GO:1902531,regulation of intracellular signal transduction,93,23,81,23,0.025538667358809993,0.8764527890341827,24546,1.0,1.0
primary_dinp_exposure_universe,GO:BP,GO:0010468,regulation of gene expression,93,33,81,32,0.030506667976908926,0.8764527890341827,24546,1.0,1.0
primary_dinp_exposure_universe,GO:BP,GO:0032101,regulation of response to external stimulus,93,22,81,22,0.030732972584330668,0.8764527890341827,24546,1.0,1.0
primary_dinp_exposure_universe,GO:BP,GO:0071396,cellular response to lipid,93,22,81,22,0.030732972584330668,0.8764527890341827,24546,1.0,1.0
primary_dinp_exposure_universe,GO:BP,GO:0006357,regulation of transcription by RNA polymerase II,93,22,81,22,0.030732972584330668,0.8764527890341827,24546,1.0,1.0
primary_dinp_exposure_universe,GO:BP,GO:0006366,transcription by RNA polymerase II,93,22,81,22,0.030732972584330668,0.8764527890341827,24546,1.0,1.0
primary_dinp_exposure_universe,GO:BP,GO:0009892,negative regulation of metabolic process,93,32,81,31,0.0362981360908174,0.8764527890341827,24546,1.0,1.0
primary_dinp_exposure_universe,GO:BP,GO:0051128,regulation of cellular component organization,93,21,81,21,0.0368795671011968,0.8764527890341827,24546,1.0,1.0
primary_dinp_exposure_universe,GO:BP,GO:0051254,positive regulation of RNA metabolic process,93,21,81,21,0.0368795671011968,0.8764527890341827,24546,1.0,1.0
primary_dinp_exposure_universe,GO:BP,GO:0022414,reproductive process,93,21,81,21,0.0368795671011968,0.8764527890341827,24546,1.0,1.0
primary_dinp_exposure_universe,GO:MF,GO:0003676,nucleic acid binding,93,21,81,21,0.0368795671011968,0.8774796502864035,10123,1.0,1.0
primary_dinp_exposure_universe,GO:MF,GO:0003824,catalytic activity,93,31,81,30,0.04300871587231305,0.8774796502864035,10123,1.0,1.0
primary_dinp_exposure_universe,GO:MF,GO:0046872,metal ion binding,93,31,81,30,0.04300871587231305,0.8774796502864035,10123,1.0,1.0
primary_dinp_exposure_universe,GO:MF,GO:0043169,cation binding,93,31,81,30,0.04300871587231305,0.8774796502864035,10123,1.0,1.0
primary_dinp_exposure_universe,GO:BP,GO:0043436,oxoacid metabolic process,93,20,81,20,0.04413456390798961,0.8764527890341827,24546,1.0,1.0
primary_dinp_exposure_universe,GO:BP,GO:0048468,cell development,93,20,81,20,0.04413456390798961,0.8764527890341827,24546,1.0,1.0
primary_dinp_exposure_universe,GO:BP,GO:0045893,positive regulation of DNA-templated transcription,93,20,81,20,0.04413456390798961,0.8764527890341827,24546,1.0,1.0
primary_dinp_exposure_universe,GO:BP,GO:0032879,regulation of localization,93,20,81,20,0.04413456390798961,0.8764527890341827,24546,1.0,1.0
primary_dinp_exposure_universe,GO:BP,GO:0080134,regulation of response to stress,93,20,81,20,0.04413456390798961,0.8764527890341827,24546,1.0,1.0
primary_dinp_exposure_universe,GO:BP,GO:0002376,immune system process,93,20,81,20,0.04413456390798961,0.8764527890341827,24546,1.0,1.0
primary_dinp_exposure_universe,GO:BP,GO:0006082,organic acid metabolic process,93,20,81,20,0.04413456390798961,0.8764527890341827,24546,1.0,1.0
primary_dinp_exposure_universe,GO:BP,GO:0003008,system process,93,20,81,20,0.04413456390798961,0.8764527890341827,24546,1.0,1.0
primary_dinp_exposure_universe,GO:BP,GO:1902680,positive regulation of RNA biosynthetic process,93,20,81,20,0.04413456390798961,0.8764527890341827,24546,1.0,1.0
primary_dinp_exposure_universe,GO:BP,GO:0019752,carboxylic acid metabolic process,93,20,81,20,0.04413456390798961,0.8764527890341827,24546,1.0,1.0
primary_dinp_exposure_universe,GO:BP,GO:0045944,positive regulation of transcription by RNA polymerase II,93,19,81,19,0.05267673756760051,0.8764527890341827,24546,1.0,1.0
