axis_key,exposure_axis,primary_biomarker,biological_matrix,eligible_chemical_count,eligible_chemical_ids,mapping_confidence,analysis,exposure_variable,status,fit_N,fit_crc_cases,fit_control_n,beta,SE,OR,CI_low,CI_high,P,design_df,PSU_N,strata_N,message,complete_case_n,n_parameters,cases_per_parameter_approx,condition_number_if_available,sparse_cell_warning,extreme_weight_ratio,extreme_weight_warning,singleton_stratum_N,fit_status,warning_message,warning_type,analytic_n,crc_cases,controls,exclusion_window,direction
urine|URXBPH,bisphenol exposure axis,URXBPH,urine,17,C008745;C517113;C047969;C000705701;C000730470;C000730511;C512161;C534679;D017438;C019273;C047971;C543008;C006780;C000611646;C000655605;C583074;C492482,high,Exclude_diagnosis_lt_2y,axis_log2,converged_with_warning,5743,37,5706,0.020484937757949833,0.07600541683419415,1.0206961941542736,0.8769078753482795,1.1880617680018453,0.7883970589580037,64,124,60,Newton-IRLS stopped before tolerance,5743,13,2.8461538461538463,545.269188492322,,7.657595239124367,False,0,converged_with_warning,Newton-IRLS stopped before tolerance,convergence_warning,5743,37,5706,< 2 years,positive
urine|URXBPH,bisphenol exposure axis,URXBPH,urine,17,C008745;C517113;C047969;C000705701;C000730470;C000730511;C512161;C534679;D017438;C019273;C047971;C543008;C006780;C000611646;C000655605;C583074;C492482,high,Exclude_diagnosis_lt_5y,axis_log2,converged_with_warning,5739,33,5706,0.026763733466184915,0.08574070600304161,1.0271250988063176,0.8654349920254552,1.2190239339974103,0.7559432776375269,64,124,60,Newton-IRLS stopped before tolerance,5739,13,2.5384615384615383,545.0845199866188,,7.652126442091135,False,0,converged_with_warning,Newton-IRLS stopped before tolerance,convergence_warning,5739,33,5706,< 5 years,positive
urine|URXCOP,DINP-related exposure axis,URXCOP,urine,3,C573544;C019174;C012125,high,Exclude_diagnosis_lt_1y,axis_log2,ok,9928,62,9866,0.2160990081371803,0.07848456272443981,1.2412252643184893,1.062415571319018,1.4501294958146718,0.006911572174626641,109,214,105,Newton-IRLS converged,9928,13,4.769230769230769,511.90536029177844,,16.717657808953877,False,0,ok,,none,9928,62,9866,< 1 years,positive
urine|URXCOP,DINP-related exposure axis,URXCOP,urine,3,C573544;C019174;C012125,high,Exclude_diagnosis_lt_2y,axis_log2,ok,9921,55,9866,0.23343953750805768,0.08304662963876493,1.2629364652965431,1.0712688825566696,1.4888965238765357,0.005858077553983695,109,214,105,Newton-IRLS converged,9921,13,4.230769230769231,511.7182470068906,,16.713747255549922,False,0,ok,,none,9921,55,9866,< 2 years,positive
urine|URXCOP,DINP-related exposure axis,URXCOP,urine,3,C573544;C019174;C012125,high,Exclude_diagnosis_lt_5y,axis_log2,ok,9910,44,9866,0.23468222164030264,0.08967697425889341,1.2645068719596277,1.0585979819286881,1.5104672940334745,0.010130732854087192,109,214,105,Newton-IRLS converged,9910,13,3.3846153846153846,511.4515219638736,,16.69971958377203,False,0,ok,,none,9910,44,9866,< 5 years,positive
urine|URXECP,DEHP-related exposure axis;phthalate exposure axis,URXECP,urine,2,C051450;D004051,moderate,Exclude_diagnosis_lt_1y,axis_log2,ok,11214,75,11139,0.19874638319361376,0.11003136472024398,1.2198725464851112,0.9811435408230827,1.5166884026161045,0.07330151642621588,124,244,120,Newton-IRLS converged,11214,13,5.769230769230769,515.3395786019631,,16.39137783182371,False,0,ok,,none,11214,75,11139,< 1 years,positive
urine|URXECP,DEHP-related exposure axis;phthalate exposure axis,URXECP,urine,2,C051450;D004051,moderate,Exclude_diagnosis_lt_2y,axis_log2,ok,11207,68,11139,0.21722579684883836,0.11504786356634254,1.2426246511935541,0.9895686360532405,1.5603930515748738,0.061344620470039704,124,244,120,Newton-IRLS converged,11207,13,5.230769230769231,515.1583132658701,,16.387113647784847,False,0,ok,,none,11207,68,11139,< 2 years,positive
urine|URXECP,DEHP-related exposure axis;phthalate exposure axis,URXECP,urine,2,C051450;D004051,moderate,Exclude_diagnosis_lt_5y,axis_log2,ok,11194,55,11139,0.21851425756758763,0.1267179110693632,1.244226756147775,0.9682199618241667,1.5989137610810351,0.0871248338351155,124,244,120,Newton-IRLS converged,11194,13,4.230769230769231,514.862105604563,,16.37875632380312,False,0,ok,,none,11194,55,11139,< 5 years,positive
urine|URXMBP,phthalate exposure axis,URXMBP,urine,1,C028577,high,Exclude_diagnosis_lt_1y,axis_log2,ok,13768,93,13675,-0.14263167245925537,0.13535320425452507,0.867073377091507,0.6636275856133819,1.132888773100017,0.2936477429853642,153,301,148,Newton-IRLS converged,13768,13,7.153846153846154,539.2163661935513,,16.0852870478674,False,0,ok,,none,13768,93,13675,< 1 years,protective
urine|URXMBP,phthalate exposure axis,URXMBP,urine,1,C028577,high,Exclude_diagnosis_lt_2y,axis_log2,ok,13760,85,13675,-0.14140422244409986,0.147799010263523,0.8681383197696055,0.6483046749814849,1.1625153594240516,0.3402112170496283,153,301,148,Newton-IRLS converged,13760,13,6.538461538461538,539.0462527736986,,16.0852870478674,False,0,ok,,none,13760,85,13675,< 2 years,protective
urine|URXMBP,phthalate exposure axis,URXMBP,urine,1,C028577,high,Exclude_diagnosis_lt_5y,axis_log2,ok,13742,67,13675,-0.1988750083559783,0.15406308669474772,0.8196523366235954,0.6045683477856799,1.1112555849031716,0.19869680570941525,153,301,148,Newton-IRLS converged,13742,13,5.153846153846154,538.6784697348091,,16.069388624286002,False,0,ok,,none,13742,67,13675,< 5 years,protective
urine|URXMEP,phthalate exposure axis,URXMEP,urine,1,C581825,high,Exclude_diagnosis_lt_1y,axis_log2,ok,13764,93,13671,-0.09470382709396297,0.06013583045944665,0.9096423059812071,0.8077460282570423,1.024392687657383,0.11736076897847342,153,301,148,Newton-IRLS converged,13764,13,7.153846153846154,511.73994575726175,,16.085772105647628,False,0,ok,,none,13764,93,13671,< 1 years,protective
urine|URXMEP,phthalate exposure axis,URXMEP,urine,1,C581825,high,Exclude_diagnosis_lt_2y,axis_log2,ok,13756,85,13671,-0.0984025535135499,0.06269663859067418,0.9062840025032266,0.8007028091863156,1.025787200656802,0.11859662665139202,153,301,148,Newton-IRLS converged,13756,13,6.538461538461538,511.5852851033706,,16.085772105647628,False,0,ok,,none,13756,85,13671,< 2 years,protective
urine|URXMEP,phthalate exposure axis,URXMEP,urine,1,C581825,high,Exclude_diagnosis_lt_5y,axis_log2,ok,13738,67,13671,-0.11742851972716332,0.068539889409203,0.8892040700243723,0.7765958065647375,1.0181408030587877,0.08868516822898297,153,301,148,Newton-IRLS converged,13738,13,5.153846153846154,511.2240182692262,,16.07086791031917,False,0,ok,,none,13738,67,13671,< 5 years,protective
urine|URXMHP,DEHP-related exposure axis,URXMHP,urine,1,C016599,high,Exclude_diagnosis_lt_1y,axis_log2,ok,13768,93,13675,0.09621306073759481,0.09279026548774802,1.1009936175182538,0.9165831510489911,1.3225062499006595,0.3014242936942965,153,301,148,Newton-IRLS converged,13768,13,7.153846153846154,518.0031647999938,,16.0852870478674,False,0,ok,,none,13768,93,13675,< 1 years,positive
urine|URXMHP,DEHP-related exposure axis,URXMHP,urine,1,C016599,high,Exclude_diagnosis_lt_2y,axis_log2,ok,13760,85,13675,0.07569976345730807,0.10075934043465407,1.0786386787893707,0.8839459032357246,1.3162133509772207,0.45363052085750155,153,301,148,Newton-IRLS converged,13760,13,6.538461538461538,517.8311246119447,,16.0852870478674,False,0,ok,,none,13760,85,13675,< 2 years,positive
urine|URXMHP,DEHP-related exposure axis,URXMHP,urine,1,C016599,high,Exclude_diagnosis_lt_5y,axis_log2,ok,13742,67,13675,0.05045183536090784,0.11875306251403453,1.0517462051586581,0.8318063939499765,1.3298407996274213,0.6715453663837476,153,301,148,Newton-IRLS converged,13742,13,5.153846153846154,517.4875805252691,,16.069388624286002,False,0,ok,,none,13742,67,13675,< 5 years,positive
urine|URXMIB,phthalate exposure axis,URXMIB,urine,1,C575690,high,Exclude_diagnosis_lt_1y,axis_log2,ok,12592,86,12506,-0.07468328976100813,0.08415060627818521,0.928037358723573,0.7857913388510517,1.0960331281404947,0.3763452205062576,139,274,135,Newton-IRLS converged,12592,13,6.615384615384615,548.9364293939154,,16.17173252847736,False,0,ok,,none,12592,86,12506,< 1 years,protective
urine|URXMIB,phthalate exposure axis,URXMIB,urine,1,C575690,high,Exclude_diagnosis_lt_2y,axis_log2,ok,12584,78,12506,-0.0855789433058068,0.08845580369055375,0.9179806717647391,0.7706878987435873,1.0934238296818117,0.3349860398464616,139,274,135,Newton-IRLS converged,12584,13,6.0,548.7665365178954,,16.17173252847736,False,0,ok,,none,12584,78,12506,< 2 years,protective
urine|URXMIB,phthalate exposure axis,URXMIB,urine,1,C575690,high,Exclude_diagnosis_lt_5y,axis_log2,ok,12568,62,12506,-0.11902590748670869,0.09558860566412967,0.8877848001910967,0.7348994665556814,1.0724757430350218,0.2151572615400702,139,274,135,Newton-IRLS converged,12568,13,4.769230769230769,548.3732497584311,,16.1465470178056,False,0,ok,,none,12568,62,12506,< 5 years,protective
urine|URXMOH,phthalate exposure axis,URXMOH,urine,1,C080276,high,Exclude_diagnosis_lt_1y,axis_log2,ok,12592,86,12506,0.18560713365766243,0.09244314935224833,1.2039491763450467,1.0028346079017194,1.4453964869189784,0.04660295248428194,139,274,135,Newton-IRLS converged,12592,13,6.615384615384615,530.0120836311137,,16.17173252847736,False,0,ok,,none,12592,86,12506,< 1 years,positive
urine|URXMOH,phthalate exposure axis,URXMOH,urine,1,C080276,high,Exclude_diagnosis_lt_2y,axis_log2,ok,12584,78,12506,0.1703989091300368,0.09949386161580631,1.1857777745678635,0.9740251661079138,1.4435652995267005,0.08900534164098997,139,274,135,Newton-IRLS converged,12584,13,6.0,529.8157328001491,,16.17173252847736,False,0,ok,,none,12584,78,12506,< 2 years,positive
urine|URXMOH,phthalate exposure axis,URXMOH,urine,1,C080276,high,Exclude_diagnosis_lt_5y,axis_log2,ok,12568,62,12506,0.16646850666863816,0.11091232114921147,1.1811263376814964,0.9485461224346318,1.4707344140358805,0.13564908811606652,139,274,135,Newton-IRLS converged,12568,13,4.769230769230769,529.4484492021141,,16.1465470178056,False,0,ok,,none,12568,62,12506,< 5 years,positive
urine|URXMZP,phthalate exposure axis,URXMZP,urine,2,C027561;C103325,moderate,Exclude_diagnosis_lt_1y,axis_log2,ok,13768,93,13675,-0.06266651097097753,0.0865638675949398,0.9392566532545529,0.791614103138865,1.1144357549781894,0.47021181764519393,153,301,148,Newton-IRLS converged,13768,13,7.153846153846154,539.1581931007304,,16.0852870478674,False,0,ok,,none,13768,93,13675,< 1 years,protective
urine|URXMZP,phthalate exposure axis,URXMZP,urine,2,C027561;C103325,moderate,Exclude_diagnosis_lt_2y,axis_log2,ok,13760,85,13675,-0.047983420128294534,0.09327526263711128,0.9531495900444179,0.7927422627501437,1.146014516559439,0.6076949651559934,153,301,148,Newton-IRLS converged,13760,13,6.538461538461538,538.9938527973954,,16.0852870478674,False,0,ok,,none,13760,85,13675,< 2 years,protective
urine|URXMZP,phthalate exposure axis,URXMZP,urine,2,C027561;C103325,moderate,Exclude_diagnosis_lt_5y,axis_log2,ok,13742,67,13675,-0.04798884155262275,0.10233271834389991,0.9531444226300494,0.7786790124319826,1.1666993406607655,0.6397734948549213,153,301,148,Newton-IRLS converged,13742,13,5.153846153846154,538.6735905029392,,16.069388624286002,False,0,ok,,none,13742,67,13675,< 5 years,protective
urine|URXP02,PAH exposure axis,URXP02,urine,11,C031721;C018520;C025968;C027384;C028519;C031969;C042552;C042553;C065012;C117619;C466921,moderate,Exclude_diagnosis_lt_1y,axis_log2,ok,8293,63,8230,0.015280053458635564,0.13542878250124957,1.0153973903517153,0.7759889730390938,1.3286681849293895,0.9104081403934111,94,184,90,Newton-IRLS converged,8293,13,4.846153846153846,577.9327797337254,,7.2503601196941005,False,0,ok,,none,8293,63,8230,< 1 years,positive
urine|URXP02,PAH exposure axis,URXP02,urine,11,C031721;C018520;C025968;C027384;C028519;C031969;C042552;C042553;C065012;C117619;C466921,moderate,Exclude_diagnosis_lt_2y,axis_log2,ok,8289,59,8230,-0.02989438495690853,0.14003254388476627,0.9705480326079778,0.734965085613444,1.28164385225592,0.8314136101694467,94,184,90,Newton-IRLS converged,8289,13,4.538461538461538,577.8380156623627,,7.2503601196941005,False,0,ok,,none,8289,59,8230,< 2 years,discordant
urine|URXP02,PAH exposure axis,URXP02,urine,11,C031721;C018520;C025968;C027384;C028519;C031969;C042552;C042553;C065012;C117619;C466921,moderate,Exclude_diagnosis_lt_5y,axis_log2,ok,8280,50,8230,-0.02925182825999098,0.15022169799487672,0.9711718651484346,0.7207084941812787,1.3086772242463038,0.8460289612018034,94,184,90,Newton-IRLS converged,8280,13,3.8461538461538463,577.4314501511443,,7.247174527574708,False,0,ok,,none,8280,50,8230,< 5 years,discordant
urine|URXP04,PAH exposure axis,URXP04,urine,5,C041509;C041511;C041512;C041513;C053036,moderate,Exclude_diagnosis_lt_1y,axis_log2,ok,8282,62,8220,-0.04855761312723036,0.1346283917247889,0.9526024553183728,0.7291575583971117,1.2445203748191538,0.7191488007209026,94,184,90,Newton-IRLS converged,8282,13,4.769230769230769,522.4161138617009,,7.259052546481945,False,0,ok,,none,8282,62,8220,< 1 years,protective
urine|URXP04,PAH exposure axis,URXP04,urine,5,C041509;C041511;C041512;C041513;C053036,moderate,Exclude_diagnosis_lt_2y,axis_log2,ok,8278,58,8220,-0.05442178698805614,0.14044552121450532,0.9470325762314671,0.7165697690369618,1.2516167150743245,0.69926658435714,94,184,90,Newton-IRLS converged,8278,13,4.461538461538462,522.2701122212881,,7.259052546481945,False,0,ok,,none,8278,58,8220,< 2 years,protective
urine|URXP04,PAH exposure axis,URXP04,urine,5,C041509;C041511;C041512;C041513;C053036,moderate,Exclude_diagnosis_lt_5y,axis_log2,ok,8270,50,8220,-0.1011442465617499,0.1476597607655468,0.9038026530574652,0.6741341427761959,1.2117161612817167,0.49504103276976696,94,184,90,Newton-IRLS converged,8270,13,3.8461538461538463,521.9517239407331,,7.252963876534548,False,0,ok,,none,8270,50,8220,< 5 years,protective
urine|URXP10,PAH exposure axis,URXP10,urine,39,C056699;C006710;C008422;C009590;C021146;C023389;C027704;C031195;C042881;C047249;C051446;C053035;C065011;C093581;C093582;C095210;C100422;C110144;C402363;C434863;C447880;C501268;C522458;C529617;C529618;C535034;C535035;D010569;C006718;C022921;C007738;C041508;C032121;C006703;C031180;C041517;D008748;D001564;C026487,moderate,Exclude_diagnosis_lt_1y,axis_log2,ok,8257,62,8195,0.07502335830756707,0.14412516645318776,1.0779093287282042,0.8096602706490574,1.4350321524704055,0.6039090711090874,94,184,90,Newton-IRLS converged,8257,13,4.769230769230769,514.125626286676,,7.091991171169114,False,0,ok,,none,8257,62,8195,< 1 years,positive
urine|URXP10,PAH exposure axis,URXP10,urine,39,C056699;C006710;C008422;C009590;C021146;C023389;C027704;C031195;C042881;C047249;C051446;C053035;C065011;C093581;C093582;C095210;C100422;C110144;C402363;C434863;C447880;C501268;C522458;C529617;C529618;C535034;C535035;D010569;C006718;C022921;C007738;C041508;C032121;C006703;C031180;C041517;D008748;D001564;C026487,moderate,Exclude_diagnosis_lt_2y,axis_log2,ok,8253,58,8195,0.09497240536716162,0.1490375733650489,1.0996285108624195,0.8179572623435565,1.4782958934028319,0.5255188543317894,94,184,90,Newton-IRLS converged,8253,13,4.461538461538462,513.9626539731867,,7.091991171169114,False,0,ok,,none,8253,58,8195,< 2 years,positive
urine|URXP10,PAH exposure axis,URXP10,urine,39,C056699;C006710;C008422;C009590;C021146;C023389;C027704;C031195;C042881;C047249;C051446;C053035;C065011;C093581;C093582;C095210;C100422;C110144;C402363;C434863;C447880;C501268;C522458;C529617;C529618;C535034;C535035;D010569;C006718;C022921;C007738;C041508;C032121;C006703;C031180;C041517;D008748;D001564;C026487,moderate,Exclude_diagnosis_lt_5y,axis_log2,ok,8245,50,8195,0.0608129987493449,0.16309698619729504,1.0627001693442686,0.7687266066924553,1.4690940057134632,0.7100890967924871,94,184,90,Newton-IRLS converged,8245,13,3.8461538461538463,513.6155339699603,,7.08837939952392,False,0,ok,,none,8245,50,8195,< 5 years,positive
