Analysis,Exposure,status,N,CRC_N,Control_N,beta,SE,OR,CI_low,CI_high,P,design_df,PSU_N,strata_N,message,Cycle
Single_cycle_2005-2006,mcop_log2,converged_with_warning,1286,6,1280,0.39482440104218547,0.2063763906637289,1.4841235574881413,0.9559435048211655,2.304134839331656,0.07501550213695622,15,30,15,Newton-IRLS stopped before tolerance,2005-2006
Single_cycle_2007-2008,mcop_log2,converged_with_warning,1476,13,1463,0.12167508824716948,0.2081320865034435,1.129387091021125,0.7264793466994285,1.755748745177868,0.5669661255617636,16,32,16,Newton-IRLS stopped before tolerance,2007-2008
Single_cycle_2009-2010,mcop_log2,ok,1574,16,1558,0.30392413361106196,0.24134912283248605,1.3551662406205152,0.8124400510333596,2.260444370488245,0.22599399306145887,16,31,15,Newton-IRLS converged,2009-2010
Single_cycle_2011-2012,mcop_log2,ok,1415,10,1405,-0.17419556998002103,0.15003158525023966,0.8401325768795741,0.6121765573290499,1.1529725179511048,0.26166220961549513,17,31,14,Newton-IRLS converged,2011-2012
Single_cycle_2013-2014,mcop_log2,ok,1484,7,1477,0.39354866461295357,0.25429430182298235,1.482231414195059,0.8620286179030139,2.5486508447610126,0.14255210585580144,15,30,15,Newton-IRLS converged,2013-2014
Single_cycle_2015-2016,mcop_log2,ok,1377,9,1368,0.27955226353777934,0.18333023353869718,1.322537531478965,0.8947536236646302,1.9548459776074294,0.1480999024444236,15,30,15,Newton-IRLS converged,2015-2016
Single_cycle_2017-2018,mcop_log2,converged_with_warning,1324,9,1315,0.456560716472088,0.30295238531387003,1.5786352634446856,0.8276482716571832,3.0110487514233704,0.1525701137800659,15,30,15,Newton-IRLS stopped before tolerance,2017-2018
