Dropped_cycle,Analysis,Exposure,status,N,CRC_N,Control_N,beta,SE,OR,CI_low,CI_high,P,design_df,PSU_N,strata_N,message
2005-2006,LOCO_drop_2005-2006,log2(MCOP),ok,8650,64,8586,0.17961717010998154,0.07700372548211222,1.1967591202504888,1.027084769107926,1.394463665493442,0.02180410592938881,94,184,90,Newton-IRLS converged
2007-2008,LOCO_drop_2007-2008,log2(MCOP),ok,8460,57,8403,0.23463669118807526,0.07656219039526274,1.2644492997005583,1.0861065777532495,1.4720765569992411,0.002851775936767841,93,182,89,Newton-IRLS converged
2009-2010,LOCO_drop_2009-2010,log2(MCOP),ok,8362,54,8308,0.19700945133772965,0.0735400600868776,1.2177555500704946,1.0522949719389627,1.4092327904931858,0.008733916646941528,93,183,90,Newton-IRLS converged
2011-2012,LOCO_drop_2011-2012,log2(MCOP),ok,8521,60,8461,0.288840441762151,0.08754414321484796,1.3348787206389714,1.1218400250817322,1.5883737065674006,0.0013793156036251647,92,183,91,Newton-IRLS converged
2013-2014,LOCO_drop_2013-2014,log2(MCOP),ok,8452,63,8389,0.23167268024265597,0.07952572781979372,1.2607070069744009,1.0765618419675338,1.4763500762107487,0.004469911151366915,94,184,90,Newton-IRLS converged
2015-2016,LOCO_drop_2015-2016,log2(MCOP),ok,8559,61,8498,0.20985023982439122,0.07976501525531289,1.2334933179476826,1.0528227940039103,1.4451679561716742,0.009953381507527788,94,184,90,Newton-IRLS converged
2017-2018,LOCO_drop_2017-2018,log2(MCOP),ok,8612,61,8551,0.19617278378889655,0.0797137742538204,1.216737119622602,1.0386265510476567,1.4253912696283237,0.01568127380342189,94,184,90,Newton-IRLS converged
