contrast,sample_id,group,PPAR_nuclear_receptor_score,inflammatory_RELA_STAT3_score,DINP_axis_9_gene_score
TCGA_primary_vs_TCGA_solid_normal,TCGA-D5-6929-01,TCGA_CRC_primary_tumor,0.07760955637821144,-0.7246455531571309,-0.10066935685186462
TCGA_primary_vs_TCGA_solid_normal,TCGA-AA-3511-01,TCGA_CRC_primary_tumor,0.006714418707794212,0.04737822311380192,0.015750819686907037
TCGA_primary_vs_TCGA_solid_normal,TCGA-EI-6512-01,TCGA_CRC_primary_tumor,0.2091771943595472,0.46805649647677483,0.26670592816337557
TCGA_primary_vs_TCGA_solid_normal,TCGA-QG-A5YX-01,TCGA_CRC_primary_tumor,0.07194845867624143,0.30294233787856417,0.12328043183231314
TCGA_primary_vs_TCGA_solid_normal,TCGA-F4-6704-11,TCGA_CRC_solid_normal,0.37533003170723994,0.41431056170964947,0.3839923717077754
TCGA_primary_vs_TCGA_solid_normal,TCGA-CM-6164-01,TCGA_CRC_primary_tumor,0.2952032870844178,0.47966754277015694,0.3361953439034709
TCGA_primary_vs_TCGA_solid_normal,TCGA-A6-A567-01,TCGA_CRC_primary_tumor,-0.47133704034279117,0.45671790557618025,-0.2651026079163531
TCGA_primary_vs_TCGA_solid_normal,TCGA-AA-3516-11,TCGA_CRC_solid_normal,1.0020116889346353,-0.34413853288441654,0.7028671951970682
TCGA_primary_vs_TCGA_solid_normal,TCGA-G4-6320-01,TCGA_CRC_primary_tumor,-0.7771090986180955,-1.013598280155577,-0.8296622500708692
TCGA_primary_vs_TCGA_solid_normal,TCGA-F5-6863-01,TCGA_CRC_primary_tumor,0.3483844253958378,-0.6551186124886367,0.12538375031039903
TCGA_primary_vs_TCGA_solid_normal,TCGA-AY-A69D-01,TCGA_CRC_primary_tumor,0.8060260471056646,0.39717114764422323,0.7151694027808999
TCGA_primary_vs_TCGA_solid_normal,TCGA-AG-3742-01,TCGA_CRC_primary_tumor,0.17108367708799194,0.2726933010819209,0.19366359353108725
